cnt_olympiad_entries,school,year
1,Liepājas Valsts 1.ģimnāzija,2008
1,Rēzeknes 5.vidusskola,2012
3,Daugavpils Krievu vidusskola - licejs,2014
1,Rudzātu vidusskola,2011
6,Dobeles Valsts ģimnāzija,2009
4,Siguldas Valsts ģimnāzija,2014
1,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2014
1,Preiļu Valsts ģimnāzija,2011
1,Rīgas Klasiskās ģimnāzija,2010
1,Rīgas 34.vidusskola,2011
1,Ventspils 1.ģimnāzija,2015
1,Rīgas 89.vidusskola,2011
2,Daugavpils Krievu vidusskola - licejs,2017
1,Valmieras Valsts ģimnāzija,2015
1,Puškina licejs,2012
1,Rēzeknes Valsts 1.ģimnāzija,2015
1,Tukuma 2.vidusskola,2012
1,Dobeles Valsts ģimnāzija,2012
1,Jelgavas Valsts ģimnāzija,2008
1,Ventspils 2.vidusskola,2011
1,Jūrmalas pilsētas Jaundubultu vidusskola,2011
1,Saldus 2.vidusskola,2012
2,Rēzeknes 5.vidusskola,2009
4,Rīgas 40.vidusskola,2008
4,Rīgas Zolitūdes ģimnāzija,2014
3,Siguldas Valsts ģimnāzija,2011
1,Rīgas 86.vidusskola,2015
1,Bauskas Valsts ģimnāzija,2012
1,Mārupes vidusskola,2015
7,Daugavpils Krievu vidusskola-licejs,2015
1,Rīgas 89.vidusskola,2013
1,Ventspils 2.vidusskola,2015
1,Ugāles vidusskola,2011
1,Limbažu novada ģimnāzija,2011
2,RTU Inženierzinātņu vidusskola,2015
1,Cēsu Valsts ģimnāzija,2014
1,Rīgas Valsts 2.ģimnāzija,2013
1,Rīgas Herdera vidusskola,2011
1,Rīgas Franču licejs,2015
1,Krāslavas Valsts ģimnāzija,2010
1,Iecavas vidusskola,2011
1,Jelgavas 2.pamatskola,2010
1,Rīgas 94.vidusskola,2010
2,Preiļu Valsts ģimnāzija,2015
1,Dagdas vidusskola,2010
2,Liepājas Valsts 1.ģimnāzija,2009
3,Valmieras Valsts ģimnāzija,2008
2,Rīgas 64.vidusskola,2013
2,Saldus pilsētas ģimnāzija,2009
1,Pļaviņu novada ģimnāzija,2012
1,Rīgas 51.vidusskola,2013
2,Rīgas 34.vidusskola,2010
1,Rīgas 61.vidusskola,2011
1,Gulbenes novada Valsts ģimnāzija,2008
6,Daugavpils Krievu vidusskola-licejs,2008
1,Ādažu vidusskola,2011
1,Rīgas 72.vidusskola,2014
2,Saldus pilsētas 2.vidusskola,2009
1,Inčukalna pamatskola,2017
2,Rīgas 88.vidusskola,2009
1,Aglonas vidusskola,2011
1,Nautrēnu vidusskola,2011
1,Āgenskalna Valsts ģimnāzija,2013
29,Rīgas Valsts 1.ģimnāzija,2013
1,Rīgas 71.vidusskola,2008
1,Rīgas 64.vidusskola,2011
1,Dobeles Valsts ģimnāzija,2015
6,Daugavpils Krievu vidusskola–licejs,2010
3,Siguldas Valsts ģimnāzija,2013
2,Rīgas Valsts 1. ģimnāzija,2018
2,Rīgas 61.vidusskola,2009
4,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2008
1,Ādažu vidusskola,2018
4,Rīgas Zolitūdes ģimnāzija,2011
1,Preiļu 1.pamatskola,2014
39,Rīgas Valsts 1.ģimnāzija,2014
1,Rīgas 34.vidusskola,2013
1,Daugavpils 3.vidusskola,2015
1,Rīgas Valsts vācu ģimnāzija,2013
2,Jēkabpils 2.vidusskola,2013
1,Madonas Valsts ģimnāzija,2013
2,Cēsu Valsts ģimnāzija,2011
1,Aglonas vidusskola,2013
3,Rīgas Valsts 2.ģimnāzija,2014
1,Āgenskalna Valsts ģimnāzija,2014
1,Rīgas Teikas vidusskola,2011
2,Rīgas Ostvalda vidusskola,2012
1,Liepājas pilsētas 12.vidusskola,2011
2,Rīgas Herdera vidusskola,2009
1,Rīgas Franču licejs,2012
1,Jēkabpils Valsts ģimnāzija,2011
1,Rīgas Ostvalda vidusskola,2010
1,Puškina licejs,2010
1,Valkas ģimnāzija,2015
1,Rīgas Klasiskā ģimnāzija,2013
1,Pļaviņu novada ģimnāzija,2013
1,Ventspils 2.vidusskola,2013
5,Rīgas 10.vidusskola,2012
8,Rīgas 40.vidusskola,2009
2,Daugavpils Valsts ģimnāzija,2011
1,Liepājas 7.vidusskola,2013
1,Liepājas Valsts 1.ģimnāzija,2010
1,Rīgas Klasiskās ģimnāzija,2008
1,Daugavpils Saskaņas pamatskola,2018
1,Rīgas 10.vidusskola,2008
1,Virbu pamatskola,2012
3,Preiļu Valsts ģimnāzija,2008
1,Rīgas Doma kora skola,2013
1,Jaunogres vidusskola,2008
4,Rīgas 40.vidusskola,2012
5,Rīgas 40.vidusskola,2010
4,Rīgas Zolitūdes ģimnāzija,2010
1,Jelgavas 5.vidusskola,2010
1,Rīgas Franču licejs,2008
2,Smiltenes ģimnāzija,2010
1,Liepājas A.Puškina 2.vidusskola,2013
2,Krāslavas Valsts ģimnāzija,2011
2,Rīgas Franču licejs,2009
2,Jaunogres vidusskola,2009
1,Rīgas Purvciema vidusskola,2011
4,Rīgas Zolitūdes ģimnāzija,2009
1,Tukuma 2.vidusskola,2014
1,ISMA vidusskola Premjers,2014
1,Jēkabpils 2.vidusskola,2015
1,Rīgas 61.vidusskola,2010
1,Rīgas Juglas vidusskola,2012
2,Jelgavas Valsts ģimnāzija,2009
5,Dobeles Valsts ģimnāzija,2010
1,Rīgas 51.vidusskola,2011
1,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2012
1,E.Glika Alūksnes Valsts ģimnāzija,2008
28,Rīgas Valsts 1.ģimnāzija,2010
1,Balvu pilsētas ģimnāzija,2008
2,Rīgas Franču licejs,2011
1,Rīgas 72.vidusskola,2015
1,Valkas ģimnāzija,2012
1,Jēkabpils 2.vidusskola,2014
1,Rēzeknes 1.vidusskola,2010
2,Rīgas Purvciema vidusskola,2009
1,Rīgas 84.vidusskola,2012
1,Daugavpils Valsts ģimnāzija,2014
1,Ludzas pilsētas ģimnāzija,2008
2,Daugavpils Saskaņas pamatskola,2011
1,Sunākstes pamatskola,2014
2,Rīgas Valsts 2.ģimnāzija,2012
1,Tīnūžu pamatskola,2012
1,Kuldīgas Centra vidusskola,2014
1,Rīgas 6.vidusskola,2013
1,J.Čakstes Liepājas pilsētas 10.vidusskola,2014
1,Rīgas 49.vidusskola,2017
3,Rīgas Zolitūdes ģimnāzija,2013
2,Rīgas 95.vidusskola,2010
1,Daugavpils 10.vidusskola,2013
1,Rudzātu vidusskola,2010
1,Rīgas 61.vidusskola,2008
1,Liepupes vidusskola,2015
3,Rīgas pilsētas 2.ģimnāzija,2008
3,Rīgas 64.vidusskola,2012
1,Rīgas Klasiskā ģimnāzija,2014
1,Neretas J.Jaunsudrabiņa vidusskola,2010
1,Rīgas 51.vidusskola,2012
2,Rīgas Ostvalda vidusskola,2013
1,Jēkabpils Valsts ģimnāzija,2010
1,Puškina licejs,2014
8,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2009
2,Grobiņas ģimnāzija,2009
4,Valmieras Valsts ģimnāzija,2010
1,Rīgas Valsts 2.ģimnāzija,2015
4,Liepājas pilsētas 12.vidusskola,2009
1,Rīgas Herdera vidusskola,2008
26,Rīgas Valsts 1.ģimnāzija,2012
4,Cēsu Valsts ģimnāzija,2009
1,Rīgas 92.vidusskola,2015
1,Limbažu novada ģimnāzija,2013
1,Valmieras Viestura vidusskola,2012
1,Daugavpils 10.vidusskola,2010
2,Rīgas Klasiskās ģimnāzija,2009
2,Tukuma 2.vidusskola,2015
2,Rīgas Zolitūdes ģimnāzija,2008
2,Rīgas 13.vidusskola,2009
1,Limbažu 1.vidusskola,2008
1,I.Gaiša Kokneses vidusskola,2015
1,Rīgas Purvciema vidusskola,2008
1,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2011
2,Rīgas 40.vidusskola,2011
1,Rīgas Klasiskā ģimnāzija,2015
1,Rīgas 88.vidusskola,2010
1,A.Upīša Skrīveru vidusskola,2011
1,Jēkabpils 2.vidusskola,2012
1,Rīgas 96.vidusskola,2012
3,Siguldas Valsts ģimnāzija,2010
1,Rīgas 88.vidusskola,2008
1,Rīgas 13.vidusskola,2008
2,Rīgas Zolitūdes ģimnāzija,2015
1,Uzvaras vidusskola,2013
1,Liepājas 7.vidusskola,2011
1,Ogres 1.vidusskola,2015
1,Tukuma 2.vidusskola,2010
2,Rīgas 10.vidusskola,2009
1,Baldones vidusskola,2008
