School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Mērsraga vidusskola|2213900624|Latviešu|SKOLAS IELA 8, MĒRSRAGS, MĒRSRAGA PAGASTS, ROJAS NOVADS, LV-3284|2011|205|1
Vandzenes vidusskola|4113900618|Latviešu|VANDZENES SKOLA, VANDZENES PAGASTS, TALSU NOVADS, LV-3281|2011|0|0
Talsu Kristīgā vidusskola|2213801678|Latviešu|JUSTĪNA GROTA IELA 1, TALSI, TALSU NOVADS, LV-3200|2011|237|1
Dienas apmācības klases pie Talsu novada Vakara un neklātienes vidusskolas|4114900622|Latviešu|KĀRĻA MĪLENBAHA IELA 30, TALSI, TALSU NOVADS, LV-3201|2011|14|1
Mazirbes speciālā internātpamatskola|4120901355|Latviešu|MAZIRBE, KOLKAS PAGASTS, DUNDAGAS NOVADS, LV-3275|2011|54|1
Upesgrīvas speciālā sākumskola|2220901278|Latviešu|UPESGRĪVA, VANDZENES PAGASTS, TALSU NOVADS, LV-3266|2011|0|0
Ances pamatskola|4112900052|Latviešu|ANCE, VENTSPILS NOVADS, LV-3612|2011|54|1
Popes pamatskola|4112900049|Latviešu|POPE, POPES PAGASTS, VENTSPILS NOVADS, LV-3614|2011|89|1
Puzes pamatskola|4112900054|Latviešu|PUZES PAGASTS, VENTSPILS NOVADS, LV-3613|2011|59|1
Tārgales pamatskola|4112900050|Latviešu|TĀRGALE, TĀRGALES PAGASTS, VENTSPILS NOVADS, LV-3621|2011|126|1
Užavas pamatskola|4112900047|Latviešu|UŽAVA, UŽAVAS PAGASTS, VENTSPILS NOVADS, LV-3627|2011|93|1
Zlēku pamatskola|4112900544|Latviešu|ZLĒKAS, ZLĒKU PAGASTS, VENTSPILS NOVADS, LV-3617|2011|44|1
Zūru pamatskola|4112900046|Latviešu|SKOLAS IELA 10, VENTAVA, VĀRVES PAGASTS, VENTSPILS NOVADS, LV-3623|2011|130|1
Jūrkalnes pamatskola|4112900053|Latviešu|JŪRKALNE, JŪRKALNES PAGASTS, VENTSPILS NOVADS, LV-3626|2011|26|1
Piltenes vidusskola|4113900543|Latviešu|LIELĀ IELA 13, PILTENE, VENTSPILS NOVADS, LV-3620|2011|143|1
Ugāles vidusskola|4113900055|Latviešu|UGĀLE, UGĀLES PAGASTS, VENTSPILS NOVADS, LV-3615|2011|280|1
Stiklu speciālā internātpamatskola|4120901132|Latviešu|STIKLI, PUZES PAGASTS, VENTSPILS NOVADS, LV-3613|2011|104|1
Žīguru pamatskola|4212900431|Latviešu|PARKA IELA 9, ŽĪGURI, ŽĪGURU PAGASTS, VIĻAKAS NOVADS, LV-4584|2011|72|1
Briežuciema pamatskola|4212900421|Latviešu|BRIEŽUCIEMA PAGASTS, BALVU NOVADS, LV-4595|2011|57|1
Eglaines pamatskola|4212900422|Latviešu|SKOLAS IELA 3, BENISLAVA, LAZDUKALNA PAGASTS, RUGĀJU NOVADS, LV-4577|2011|74|1
Mežvidu pamatskola|4212900425|Latviešu|SOLA, SUSĀJU PAGASTS, VIĻAKAS NOVADS, LV-4585|2011|35|1
Stacijas pamatskola|4212900426|Latviešu|SKOLAS IELA 12, BALVU STACIJA, KUBUĻU PAGASTS, BALVU NOVADS, LV-4566|2011|132|1
Viduču pamatskola|4212900429|Latviešu|SEMENOVA, MEDŅEVAS PAGASTS, VIĻAKAS NOVADS, LV-4586|2011|85|1
Upītes pamatskola|4212900427|Latviešu|STABĻOVAS IELA, UPĪTE, ŠĶILBĒNU PAGASTS, VIĻAKAS NOVADS, LV-4587|2011|53|1
Tilžas internātpamatskola|4212900432|Latviešu|PĀRUPES IELA 4, TILŽA, TILŽAS PAGASTS, BALVU NOVADS, LV-4572|2011|105|1
Kupravas pamatskola|4212900424|Latviešu|RŪPNĪCAS IELA 7, KUPRAVA, KUPRAVAS PAGASTS, VIĻAKAS NOVADS, LV-4582|2011|23|1
Viļakas pamatskola|4212900074|LK|PILS IELA 11a, VIĻAKA, VIĻAKAS NOVADS, LV-4583|2011|104|1
Balvu pamatskola|4212901935|Latviešu|BRĪVĪBAS IELA 47, BALVI, BALVU NOVADS, LV-4501|2011|450|1
Balvu 2.pamatskola|4212902778|Krievu|PARTIZĀNU IELA 16, BALVI, BALVU NOVADS, LV-4501|2011|0|0
Balvu Valsts ģimnāzija|4219900434|Latviešu|DĀRZA IELA 2, BALVI, BALVU NOVADS, LV-4501|2011|352|1
Baltinavas vidusskola|4213900440|Latviešu|KĀRSAVAS IELA 22, BALTINAVA, BALTINAVAS NOVADS, LV-4594|2011|140|1
Bērzpils vidusskola|4213900436|Latviešu|DĀRZA IELA 12, BĒRZPILS, BĒRZPILS PAGASTS, BALVU NOVADS, LV-4576|2011|124|1
Tilžas vidusskola|313900439|Latviešu|RAIŅA IELA 15, TILŽA, TILŽAS PAGASTS, BALVU NOVADS, LV-4572|2011|157|1
Rekavas vidusskola|4213900437|Latviešu|SKOLAS IELA 1, REKOVA, ŠĶILBĒNU PAGASTS, VIĻAKAS NOVADS, LV-4587|2011|144|1
Rugāju novada vidusskola|4213902769|Latviešu|KURMENES IELA 87, RUGĀJI, RUGĀJU PAGASTS, RUGĀJU NOVADS, LV-4570|2011|186|1
Balvu Amatniecības vidusskola|4213900441|Latviešu|VIDZEMES IELA 26, BALVI, BALVU NOVADS, LV-4501|2011|235|1
Viļakas Valsts ģimnāzija|4219900075|Latviešu|PILS IELA 11, VIĻAKA, VIĻAKAS NOVADS, LV-4583|2011|131|1
Baltinavas Kristīgā speciālā internātpamatskola|4220900433|Latviešu|KĀRSAVAS IELA 24, BALTINAVA, BALTINAVAS NOVADS, LV-4594|2011|65|1
Subates pamatskola|4212900508|Latviešu|TIRGUS LAUKUMS 20, SUBATE, ILŪKSTES NOVADS, LV-5471|2011|65|1
Kalupes pamatskola|4212900502|Latviešu|LIELĀ IELA 35, KALUPE, KALUPES PAGASTS, DAUGAVPILS NOVADS, LV-5450|2011|106|1
Birznieku pamatskola|4212900499|Krievu|MIERA IELA 28, MIRNIJS, LAUCESAS PAGASTS, DAUGAVPILS NOVADS, LV-5461|2011|65|1
Naujenes pamatskola|4212900511|Latviešu|STACIJAS IELA 8, NAUJENE, NAUJENES PAGASTS, DAUGAVPILS NOVADS, LV-5462|2011|103|1
Tabores pamatskola|4212900509|Krievu|OKTOBRA IELA 39, TABORE, TABORES PAGASTS, DAUGAVPILS NOVADS, LV-5465|2011|54|1
Nīcgales pamatskola|4212900510|Latviešu|SKOLAS IELA 15, NĪCGALE, NĪCGALES PAGASTS, DAUGAVPILS NOVADS, LV-5463|2011|50|1
Skrudalienas pamatskola|4212900503|Latviešu|SKRUDALIENA, SKRUDALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5470|2011|54|1
Randenes pamatskola|4212900498|Krievu|VĀRPAS IELA 2, RANDENE, KALKŪNES PAGASTS, DAUGAVPILS NOVADS, LV-5449|2011|45|1
Lāču pamatskola|4212900506|LK|MUZEJA IELA 2, LOCIKI, NAUJENES PAGASTS, DAUGAVPILS NOVADS, LV-5458|2011|138|1
Biķernieku pamatskola|4212900504|Krievu|SKOLAS IELA 1, BIĶERNIEKI, BIĶERNIEKU PAGASTS, DAUGAVPILS NOVADS, LV-5440|2011|79|1
Silenes pamatskola|4212902413|LK|SILENE, SKRUDALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5470|2011|66|1
Ilūkstes 1. vidusskola|4213900513|Latviešu|RAIŅA IELA 49, ILŪKSTE, ILŪKSTES NOVADS, LV-5447|2011|397|1
Ilūkstes 2. vidusskola|4213901046|LK|STADIONA IELA 1, ILŪKSTE, ILŪKSTES NOVADS, LV-5447|2011|0|0
Bebrenes vidusskola|4213900516|Latviešu|BEBRENE, BEBRENES PAGASTS, ILŪKSTES NOVADS, LV-5439|2011|147|1
Medumu vidusskola|4213900389|Latviešu|ALEJAS IELA 20, MEDUMI, MEDUMU PAGASTS, DAUGAVPILS NOVADS, LV-5460|2011|85|1
Salienas vidusskola|4213900512|Krievu|CENTRĀLES IELA 21, SALIENA, SALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5469|2011|123|1
Sventes vidusskola|4213900519|LK|DAUGAVPILS IELA 1a, SVENTE, SVENTES PAGASTS, DAUGAVPILS NOVADS, LV-5473|2011|120|1
Špoģu vidusskola|4213900514|LK|ŠOSEJAS IELA 3, ŠPOĢI, VIŠĶU PAGASTS, DAUGAVPILS NOVADS, LV-5481|2011|357|1
Vaboles vidusskola|4213901322|Latviešu|VABOLE, VABOLES PAGASTS, DAUGAVPILS NOVADS, LV-5477|2011|152|1
Zemgales vidusskola|4213900517|Krievu|ZEMGALE, DEMENES PAGASTS, DAUGAVPILS NOVADS, LV-5442|2011|171|1
Medumu speciālā internātpamatskola|4220900868|Krievu|ILGAS IELA 15, MEDUMI, MEDUMU PAGASTS, DAUGAVPILS NOVADS, LV-5460|2011|111|1
Raudas speciālā internātpamatskola bērniem bāreņiem|4220900521|Latviešu|RAUDA, ŠĒDERES PAGASTS, ILŪKSTES NOVADS, LV-5447|2011|42|1
Konstantinovas sākumskola|4211900554|Latviešu|SAULES IELA 15, KONSTANTINOVA, KONSTANTINOVAS PAGASTS, DAGDAS NOVADS, LV-5680|2011|23|1
Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola|4212900565|LK|EZERU IELA 33, GRĀVERI, GRĀVERU PAGASTS, AGLONAS NOVADS, LV-5655|2011|29|1
Kalniešu pamatskola|1112900561|Krievu|KALNIEŠU PAGASTS, KRĀSLAVAS NOVADS, LV-5660|2011|45|1
Robežnieku pamatskola|1112900551|Latviešu|ROBEŽNIEKI, ROBEŽNIEKU PAGASTS, KRĀSLAVAS NOVADS, LV-5666|2011|87|1
Sauleskalna pamatskola|1112900555|Latviešu|KOMBUĻI, KOMBUĻU PAGASTS, KRĀSLAVAS NOVADS, LV-5656|2011|0|0
Andrupenes pamatskola|4212900568|Latviešu|SKOLAS IELA 6, ANDRUPENE, ANDRUPENES PAGASTS, DAGDAS NOVADS, LV-5687|2011|82|1
Asūnes pamatskola|4212900566|Latviešu|SKOLAS IELA 12, ASŪNE, ASŪNES PAGASTS, DAGDAS NOVADS, LV-5676|2011|68|1
Krāslavas Gr. Plāteru v.n. Poļu pamatskola|1112900569|Poļu|RĒZEKNES IELA 39, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601|2011|51|1
Andzeļu pamatskola|4212900567|Latviešu|Zīles, ANDZEĻI, ANDZEĻU PAGASTS, DAGDAS NOVADS, LV-5696|2011|62|1
Skaistas pamatskola|1112900560|Latviešu|SKOLAS IELA 1, SKAISTA, SKAISTAS PAGASTS, KRĀSLAVAS NOVADS, LV-5671|2011|19|1
Šķaunes pamatskola|4212900559|Latviešu|ŠĶAUNE, ŠĶAUNES PAGASTS, DAGDAS NOVADS, LV-5695|2011|39|1
Šķeltovas pamatskola|4212900558|Latviešu|SKOLAS IELA 1, ŠĶELTOVA, ŠĶELTOVAS PAGASTS, AGLONAS NOVADS, LV-5653|2011|47|1
Aulejas pamatskola|1112900562|Latviešu|AULEJA, AULEJAS PAGASTS, KRĀSLAVAS NOVADS, LV-5681|2011|29|1
Izvaltas pamatskola|1112900563|Latviešu|SAULES IELA 1, IZVALTA, IZVALTAS PAGASTS, KRĀSLAVAS NOVADS, LV-5652|2011|74|1
Krāslavas pamatskola|1112900553|Latviešu|PILS IELA 5, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601|2011|366|1
Priežmalas pamatskola|4212902579|Latviešu|PRIEŽMALE, KASTUĻINAS PAGASTS, AGLONAS NOVADS, LV-5685|2011|54|1
Dagdas vidusskola|4213900573|LK|MIČURINA IELA 3a, DAGDA, DAGDAS NOVADS, LV-5674|2011|431|1
Krāslavas Valsts ģimnāzija|1119902694|Latviešu|RAIŅA IELA 25, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601|2011|249|1
Krāslavas Varavīksnes vidusskola|1113900576|LK|N. RANCĀNA IELA 4, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601|2011|559|1
Ezernieku vidusskola|4213900572|Latviešu|EZERNIEKI, EZERNIEKU PAGASTS, DAGDAS NOVADS, LV-5692|2011|151|1
Indras vidusskola|1113900574|LK|SKOLAS IELA 1, INDRA, INDRAS PAGASTS, KRĀSLAVAS NOVADS, LV-5664|2011|122|1
Aleksandrovas speciālā internātpamatskola|4220900579|LK|ALEKSANDROVA, KONSTANTINOVAS PAGASTS, DAGDAS NOVADS, LV-5680|2011|101|1
Aizgāršas pamatskola|4212900460|Krievu|GOLIŠEVA, GOLIŠEVAS PAGASTS, KĀRSAVAS NOVADS, LV-5704|2011|0|0
Cirmas pamatskola|4212900457|Latviešu|LAUČI, ZVIRGZDENES PAGASTS, CIBLAS NOVADS, LV-5721|2011|34|1
Nirzas pamatskola|4212900456|Latviešu|NIRZA, NIRZAS PAGASTS, LUDZAS NOVADS, LV-5729|2011|79|1
Pasienes pamatskola|4212900454|Krievu|PASIENE, PASIENES PAGASTS, ZILUPES NOVADS, LV-5732|2011|0|0
Pildas pamatskola|4212900453|Latviešu|PILDA, PILDAS PAGASTS, LUDZAS NOVADS, LV-5733|2011|99|1
Ņukšu pamatskola|4212900455|Latviešu|ŅUKŠI, ŅUKŠU PAGASTS, LUDZAS NOVADS, LV-5730|2011|0|0
Mērdzenes pamatskola|4212900452|Latviešu|MĒRDZENE, MĒRDZENES PAGASTS, KĀRSAVAS NOVADS, LV-5726|2011|79|1
Pušmucovas pamatskola|4212900451|Latviešu|PUŠMUCOVA, PUŠMUCOVAS PAGASTS, CIBLAS NOVADS, LV-5742|2011|71|1
Salnavas pamatskola|4212900450|Latviešu|SALNAVA, SALNAVAS PAGASTS, KĀRSAVAS NOVADS, LV-5740|2011|72|1
Brigu pamatskola|4212900465|LK|BRIGI, BRIĢU PAGASTS, LUDZAS NOVADS, LV-5707|2011|0|0
Ludzas Mūzikas pamatskola|4212900459|Latviešu|STACIJAS IELA 45, LUDZA, LUDZAS NOVADS, LV-5701|2011|73|1
Ludzas pilsētas ģimnāzija|4216900471|Latviešu|BLAUMAŅA IELA 4, LUDZA, LUDZAS NOVADS, LV-5701|2011|591|1
Zilupes vidusskola|4213900476|LK|SKOLAS IELA 1, ZILUPE, ZILUPES NOVADS, LV-5751|2011|388|1
Ciblas vidusskola|4213900473|Latviešu|CIBLA, CIBLAS PAGASTS, CIBLAS NOVADS, LV-5709|2011|136|1
Istras vidusskola|4213900474|Krievu|VECSLABADA, ISTRAS PAGASTS, LUDZAS NOVADS, LV-5748|2011|118|1
Ludzas 2. vidusskola|4213900475|LK|P. MIGLINĪKA IELA 34a, LUDZA, LUDZAS NOVADS, LV-5701|2011|418|1
Kārsavas vidusskola|4213902516|Latviešu|VIENĪBAS IELA 101, KĀRSAVA, KĀRSAVAS NOVADS, LV-5717|2011|345|1
Ezersalas speciālā internātpamatskola|4220900478|LK|FRANAPOLE, ZVIRGZDENES PAGASTS, CIBLAS NOVADS, LV-5752|2011|59|1
Aizkalnes pamatskola|1812900362|Latviešu|RAIŅA IELA 6, AIZKALNE, AIZKALNES PAGASTS, PREIĻU NOVADS, LV-5305|2011|0|0
Dravnieku pamatskola|4212900360|Latviešu|SKOLAS IELA 4, STABULNIEKI, STABULNIEKU PAGASTS, RIEBIŅU NOVADS, LV-5333|2011|85|1
Jaunsilavas pamatskola|1812900366|Latviešu|JAUNSILAVAS IELA 1, JAUNSILAVAS, TURKU PAGASTS, LĪVĀNU NOVADS, LV-5316|2011|108|1
Galēnu pamatskola|1812900364|Latviešu|SKOLAS IELA 11, GALĒNI, GALĒNU PAGASTS, RIEBIŅU NOVADS, LV-5311|2011|75|1
Jersikas pamatskola|4212900365|Latviešu|JERSIKA, JERSIKAS PAGASTS, LĪVĀNU NOVADS, LV-5315|2011|102|1
Pelēču pamatskola|4212900367|Latviešu|SKOLAS IELA 4, PELĒČI, PELĒČU PAGASTS, PREIĻU NOVADS, LV-5320|2011|68|1
Priekuļu pamatskola|4212900372|Latviešu|SKOLAS IELA 8, PRĪKUĻI, SAUNAS PAGASTS, PREIĻU NOVADS, LV-5323|2011|40|1
Rožupes pamatskola|1812900368|Latviešu|SKOLAS IELA 2, ROŽUPE, ROŽUPES PAGASTS, LĪVĀNU NOVADS, LV-5327|2011|78|1
Salas pamatskola|4212900370|Latviešu|SMELTERI, SAUNAS PAGASTS, PREIĻU NOVADS, LV-5326|2011|57|1
Silajāņu pamatskola|1812900354|LK|SKOLAS IELA 4, SILAJĀŅI, SILAJĀŅU PAGASTS, RIEBIŅU NOVADS, LV-5330|2011|50|1
Sīļukalna pamatskola|1812900358|Latviešu|LATGALES IELA 2, SĪĻUKALNS, SĪĻUKALNA PAGASTS, RIEBIŅU NOVADS, LV-5331|2011|48|1
Sutru pamatskola|4212900357|Latviešu|SUTRI, SUTRU PAGASTS, LĪVĀNU NOVADS, LV-5334|2011|40|1
Vanagu pamatskola|4212900371|Latviešu|VANAGI, UPMALAS PAGASTS, VĀRKAVAS NOVADS, LV-5316|2011|25|1
Vārkavas pamatskola|4212900353|Latviešu|VĀRKAVA, VĀRKAVAS PAGASTS, VĀRKAVAS NOVADS, LV-5337|2011|44|1
Rušonas pamatskola|4212900373|Latviešu|LIEPU IELA 5a, KASTĪRE, RUŠONAS PAGASTS, RIEBIŅU NOVADS, LV-5329|2011|74|1
Preiļu 1. pamatskola|1812900356|Latviešu|DAUGAVPILS IELA 34, PREIĻI, PREIĻU NOVADS, LV-5301|2011|469|1
Līvānu 1. vidusskola|1813900374|Latviešu|RĪGAS IELA 101, LĪVĀNI, LĪVĀNU NOVADS, LV-5316|2011|568|1
Līvānu 2. vidusskola|1813900387|Krievu|RĪGAS IELA 113/117, LĪVĀNI, LĪVĀNU NOVADS, LV-5316|2011|264|1
Preiļu 2. vidusskola|1813900386|LK|ANDREJA PAULĀNA IELA 2, PREIĻI, PREIĻU NOVADS, LV-5301|2011|217|1
Aglonas vidusskola|4213900381|Latviešu|DAUGAVPILS IELA 6, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304|2011|187|1
Riebiņu vidusskola|1813900379|LK|LIEPU IELA 21, RIEBIŅI, RIEBIŅU PAGASTS, RIEBIŅU NOVADS, LV-5326|2011|178|1
Rudzātu vidusskola|4213900378|Latviešu|MIERA IELA 13, RUDZĀTI, RUDZĀTU PAGASTS, LĪVĀNU NOVADS, LV-5328|2011|111|1
Vārkavas vidusskola|4213900377|Latviešu|SKOLAS IELA 4, VECVĀRKAVA, UPMALAS PAGASTS, VĀRKAVAS NOVADS, LV-5335|2011|142|1
Aglonas internātvidusskola|4213900380|Latviešu|RUŠONAS IELA 11, JAUNAGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304|2011|133|1
Preiļu Valsts ģimnāzija|1819900382|Latviešu|KOOPERATĪVA IELA 6, PREIĻI, PREIĻU NOVADS, LV-5301|2011|266|1
Aglonas Katoļu ģimnāzija|1813800388|Latviešu|ALOĪZA BROKA IELA 6, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304|2011|8|1
Rudzātu speciālā internātpamatskola|4220900355|Latviešu|LŪZENIEKI, RUDZĀTU PAGASTS, LĪVĀNU NOVADS, LV-5328|2011|66|1
Dekšāru pamatskola|4212901166|Latviešu|NĀKOTNES IELA 2, DEKŠĀRES, DEKŠĀRES PAGASTS, VIĻĀNU NOVADS, LV-4614|2011|84|1
Feimaņu pamatskola|4212901145|LK|FEIMAŅI, FEIMAŅU PAGASTS, RĒZEKNES NOVADS, LV-4623|2011|102|1
Jaunstrūžānu pamatskola|4212901156|Latviešu|MIERA IELA 12, STRŪŽĀNI, STRUŽĀNU PAGASTS, RĒZEKNES NOVADS, LV-4643|2011|88|1
Kalnezeru Katoļu pamatskola|4212901141|Latviešu|VIRAUDAS IELA 5, LENDŽI, LENDŽU PAGASTS, RĒZEKNES NOVADS, LV-4625|2011|51|1
Rēznas pamatskola|4212901165|LK|SKOLAS IELA 2, STOĻEROVA, STOĻEROVAS PAGASTS, RĒZEKNES NOVADS, LV-4642|2011|154|1
Sakstagala Jāņa Klīdzēja pamatskola|4212901167|LK|SKOLAS IELA 13, SAKSTAGALS, SAKSTAGALA PAGASTS, RĒZEKNES NOVADS, LV-4638|2011|175|1
Verēmu pamatskola|4212901168|Latviešu|SONDORI, VĒRĒMU PAGASTS, RĒZEKNES NOVADS, LV-4647|2011|65|1
Gaigalavas pamatskola|4212902240|Latviešu|GAIGALAVA, GAIGALAVAS PAGASTS, RĒZEKNES NOVADS, LV-4618|2011|147|1
Maltas 1. vidusskola|4213901160|Latviešu|SKOLAS IELA 5, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630|2011|330|1
Viļānu vidusskola|4213900184|LK|RĒZEKNES IELA 1a, VIĻĀNI, VIĻĀNU NOVADS, LV-4650|2011|558|1
Audriņu vidusskola|4213901140|Krievu|AUDRIŅI, AUDRIŅU PAGASTS, RĒZEKNES NOVADS, LV-4611|2011|0|0
Dricānu vidusskola|4213901150|Latviešu|DRICĀNI, DRICĀNU PAGASTS, RĒZEKNES NOVADS, LV-4615|2011|176|1
Kaunatas vidusskola|4213901076|LK|RĀZNAS IELA 17, KAUNATA, KAUNATAS PAGASTS, RĒZEKNES NOVADS, LV-4622|2011|279|1
Tiskādu vidusskola|4213901149|Krievu|PARKA IELA 4, VECRUŽINA, SILMALAS PAGASTS, RĒZEKNES NOVADS, LV-4636|2011|249|1
Maltas 2. vidusskola|4213901074|Krievu|SPORTA IELA 5, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630|2011|259|1
Makašānu Amatu vidusskola|4213901078|Latviešu|IUGULOVA, VĒRĒMU PAGASTS, RĒZEKNES NOVADS, LV-4604|2011|0|0
Nautrēnu vidusskola|4213901152|Latviešu|ROGOVKA, NAUTRĒNU PAGASTS, RĒZEKNES NOVADS, LV-4652|2011|283|1
Maltas speciālā sanatorijas internātpamatskola|4223900956|LK|ROZENTOVAS IELA 9, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630|2011|0|0
Tiskādu sanatorijas internātpamatskola|4223901170|Krievu|PARKA IELA 4, VECRUŽINA, SILMALAS PAGASTS, RĒZEKNES NOVADS, LV-4636|2011|0|0
Adamovas sanatorijas internātpamatskola|4223901171|Latviešu|ADAMOVA, VĒRĒMU PAGASTS, RĒZEKNES NOVADS, LV-4647|2011|0|0
Skultes sākumskola|4311902723|Latviešu|MANDEGAS, SKULTES PAGASTS, LIMBAŽU NOVADS, LV-4025|2011|23|1
Krišjāņa Valdemāra Ainažu pamatskola|4312900160|Latviešu|PARKA IELA 12, AINAŽI, SALACGRĪVAS NOVADS, LV-4035|2011|137|1
Garlība Merķeļa Lēdurgas pamatskola|4312900169|Latviešu|LĒDURGA, LĒDURGAS PAGASTS, KRIMULDAS NOVADS, LV-4012|2011|113|1
Pāles pamatskola|4312900171|Latviešu|PĀLE, PĀLES PAGASTS, LIMBAŽU NOVADS, LV-4052|2011|79|1
Friča Bārdas Pociema pamatskola|4312900172|Latviešu|POCIEMS, KATVARU PAGASTS, LIMBAŽU NOVADS, LV-4061|2011|0|0
Puikules pamatskola|4312900173|Latviešu|PUIKULE, BRĪVZEMNIEKU PAGASTS, ALOJAS NOVADS, LV-4063|2011|51|1
Umurgas pamatskola|4312900175|Latviešu|UMURGA, UMURGAS PAGASTS, LIMBAŽU NOVADS, LV-4004|2011|115|1
Vidrižu pamatskola|4312900176|Latviešu|VIDRIŽI, VIDRIŽU PAGASTS, LIMBAŽU NOVADS, LV-4013|2011|105|1
Baumaņu Kārļa Viļķenes pamatskola|4312900178|Latviešu|VIĻĶENE, VIĻĶENES PAGASTS, LIMBAŽU NOVADS, LV-4050|2011|80|1
Ozolmuižas pamatskola|4312900170|Latviešu|Ozolmuižas pils, OZOLMUIŽA, BRĪVZEMNIEKU PAGASTS, ALOJAS NOVADS, LV-4063|2011|60|1
Lādezera pamatskola|4312900167|Latviešu|LĀDEZERS, LIMBAŽU PAGASTS, LIMBAŽU NOVADS, LV-4011|2011|139|1
Alojas Ausekļa vidusskola|4313900157|Latviešu|AUSEKĻA IELA 1, ALOJA, ALOJAS NOVADS, LV-4064|2011|242|1
Limbažu 1. vidusskola|4313901395|Latviešu|RĪGAS IELA 28, LIMBAŽI, LIMBAŽU NOVADS, LV-4001|2011|212|1
Limbažu 2. vidusskola|4313901465|Latviešu|RĪGAS IELA 30, LIMBAŽI, LIMBAŽU NOVADS, LV-4001|2011|0|0
Salacgrīvas vidusskola|4313900159|Latviešu|PĒRNAVAS IELA 31, SALACGRĪVA, SALACGRĪVAS NOVADS, LV-4033|2011|504|1
Liepupes vidusskola|4313900158|Latviešu|Veiksmes, LIEPUPE, LIEPUPES PAGASTS, SALACGRĪVAS NOVADS, LV-4023|2011|174|1
Limbažu 3. vidusskola|4313901881|Latviešu|PARKA IELA 38, LIMBAŽI, LIMBAŽU NOVADS, LV-4001|2011|506|1
Staiceles vidusskola|4313902604|Latviešu|SPORTA IELA 4, STAICELE, ALOJAS NOVADS, LV-4043|2011|186|1
Katvaru speciālā internātpamatskola|1420900181|Latviešu|KATVARI, KATVARU PAGASTS, LIMBAŽU NOVADS, LV-4060|2011|58|1
Mazozolu pamatskola|4312900197|Latviešu|Jaunā skola, LĪČUPE, MAZOZOLU PAGASTS, OGRES NOVADS, LV-5065|2011|0|0
Lielvārdes pamatskola|4312900195|LK|AVOTU IELA 2, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5071|2011|259|1
Birzgales pamatskola|4312901328|Latviešu|SKOLAS IELA 1, BIRZGALE, BIRZGALES PAGASTS, ĶEGUMA NOVADS, LV-5033|2011|97|1
Kaibalas pamatskola|4312900522|Latviešu|KAIBALA, LIELVĀRDES NOVADS, LV-5070|2011|0|0
Krapes pamatskola|4312900191|Latviešu|KRAPES PAGASTS, OGRES NOVADS, LV-5012|2011|0|0
Ķeipenes pamatskola|4312900196|Latviešu|ZIEDU IELA 3, ĶEIPENE, ĶEIPENES PAGASTS, OGRES NOVADS, LV-5062|2011|101|1
Lauberes pamatskola|4312900192|Latviešu|SKOLAS IELA 8, LAUBERE, LAUBERES PAGASTS, OGRES NOVADS, LV-5044|2011|62|1
Lēdmanes pamatskola|4312901329|Latviešu|LĒDMANE, LĒDMANES PAGASTS, LIELVĀRDES NOVADS, LV-5011|2011|104|1
Meņģeles pamatskola|4312901086|Latviešu|MEŅĢELE, MEŅĢELES PAGASTS, OGRES NOVADS, LV-5047|2011|0|0
Tīnūžu pamatskola|1712900199|Latviešu|IKŠĶILES LAUKU TERITORIJA, IKŠĶILES NOVADS, LV-5015|2011|161|1
Ogres pamatskola|4312900200|Latviešu|MEŽA PROSPEKTS 14/1, OGRE, OGRES NOVADS, LV-5001|2011|505|1
Ogresgala pamatskola|4312900194|Latviešu|NĀKOTNES IELA 4, OGRESGALS, OGRESGALA PAGASTS, OGRES NOVADS, LV-5041|2011|151|1
Ogres Sv. Meinarda katoļu pamatskola|1712801391|Latviešu|MEŽA PROSPEKTS 1, OGRE, OGRES NOVADS, LV-5001|2011|0|0
Jaunogres vidusskola|4313901327|Krievu|MĀLKALNES PROSPEKTS 43, OGRE, OGRES NOVADS, LV-5001|2011|498|1
Edgara Kauliņa Lielvārdes vidusskola|1713901694|Latviešu|GAISMAS IELA 17, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5070|2011|513|1
Ogres 1. vidusskola|4313900189|Latviešu|ZINĪBU IELA 3, OGRE, OGRES NOVADS, LV-5001|2011|943|1
Madlienas vidusskola|4313900188|Latviešu|MADLIENA, MADLIENAS PAGASTS, OGRES NOVADS, LV-5045|2011|279|1
