School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Dienas apmācības klases pie  Jelgavas Vakara (maiņu) vidusskolas|2814900141|LK|SKOLOTĀJU IELA 8, JELGAVA, LV-3001|2009|76|1
Jelgavas speciālā pamatskola|2820900152|LK|Zemgales Prospekts 7, JELGAVA, LV-3001|2009|114|1
Jelgavas speciālā internātpamatskola|2820902715|LK|FILOZOFU IELA 50, JELGAVA, LV-3001|2009|129|1
Jelgavas 1. sanatorijas internātpamatskola|2823901097|Latviešu|Institūta 4, JELGAVA, LV-3004|2009|141|1
"Sākumskola ""Ābelīte"""|2911901386|Krievu|PLŪDU IELA 4a, JŪRMALA, LV-2015|2009|92|1
"Sākumskola ""Taurenītis"""|2911901383|Latviešu|KĻAVU IELA 29/31, JŪRMALA, LV-2015|2009|127|1
"Jūrmalas pirmsskolas izglītības iestāde ""Zvaniņš"""|2901902800|Latviešu|LĪBIEŠU IELA 19/21, JŪRMALA, LV-2016|2009|41|1
"Jūrmalas sākumskola ""Atvase"""|2911901882|Latviešu|RAIŅA IELA 53, JŪRMALA, LV-2011|2009|316|1
Slokas pamatskola|2912901351|Latviešu|SKOLAS IELA 3, JŪRMALA, LV-2011|2009|315|1
Majoru pamatskola|2912901352|Latviešu|RĪGAS IELA 3, JŪRMALA, LV-2015|2009|413|1
Jūrmalas Alternatīvā skola|2912901382|Latviešu|VIESTURA IELA 6, JŪRMALA, LV-2010|2009|144|1
Vaivaru pamatskola|2912901441|Latviešu|SKAUTU IELA 2, JŪRMALA, LV-2008|2009|146|1
Jūrmalas Valsts ģimnāzija|2919902697|Latviešu|RAIŅA IELA 55, JŪRMALA, LV-2011|2009|446|1
Jūrmalas pilsētas Kauguru vidusskola|2913901344|Krievu|RAIŅA IELA 118, JŪRMALA, LV-2016|2009|647|1
Ķemeru vidusskola|2913901345|Latviešu|TUKUMA IELA 10, JŪRMALA, LV-2012|2009|166|1
Pumpuru vidusskola|2913901346|Latviešu|KRONVALDA IELA 8, JŪRMALA, LV-2008|2009|571|1
Jūrmalas pilsētas Jaundubultu vidusskola|2913901349|Krievu|LIELUPES IELA 21, JŪRMALA, LV-2015|2009|263|1
Jūrmalas pilsētas Lielupes vidusskola|2913901347|LK|AIZPUTES IELA 1a, JŪRMALA, LV-2010|2009|227|1
Jūrmalas pilsētas Mežmalas vidusskola|2913901348|Krievu|RŪPNIECĪBAS IELA 13, JŪRMALA, LV-2016|2009|388|1
Jūrmalas pilsētas speciālā internātpamatskola|2920901384|LK|DZIRNAVU IELA 50, JŪRMALA, LV-1184|2009|82|1
Liepājas Ezerkrasta sākumskola|3011900940|Latviešu|LAUKU IELA 54, LIEPĀJA, LV-3411|2009|311|1
"Privātsākumskola ""Varavīksne"""|3011800081|Latviešu|REPUBLIKAS IELA 23, LIEPĀJA, LV-3401|2009|27|1
Liepājas 3. pamatskola|3012900937|Krievu|LAZARETES IELA 8, LIEPĀJA, LV-3402|2009|499|1
Liepājas internātpamatskola|3012901048|LK|KRŪMU IELA 65, LIEPĀJA, LV-3402|2009|153|1
Liepājas Centra pamatskola|3012902612|Latviešu|Ūliha 33, LIEPĀJA, LV-3400|2009|501|1
Liepājas Katoļu pamatskola|3012800408|Latviešu|PELDU IELA 17, LIEPĀJA, LV-3400|2009|128|1
Liepājas Valsts 1. ģimnāzija|3019902788|Latviešu|AUSEKĻA IELA 9, LIEPĀJA, LV-3401|2009|664|1
Liepājas A. Puškina 2. vidusskola|3013900936|Krievu|LIEDAGA IELA 5, LIEPĀJA, LV-3416|2009|665|1
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola|3013900932|Latviešu|RĪGAS IELA 50, LIEPĀJA, LV-3400|2009|1268|1
Liepājas Raiņa 6. vidusskola|3013900933|Latviešu|GANĪBU IELA 106, LIEPĀJA, LV-3411|2009|643|1
Liepājas 7. vidusskola|3013900934|Krievu|CELMU IELA 6, LIEPĀJA, LV-3417|2009|961|1
J. Čakstes Liepājas pilsētas 10. vidusskola|3013900925|Latviešu|ALEJAS IELA 16, LIEPĀJA, LV-3401|2009|861|1
Liepājas pilsētas 12. vidusskola|3013900930|Krievu|VALDEMĀRA IELA 35/37, LIEPĀJA, LV-3401|2009|543|1
Liepājas 15. vidusskola|3013900931|Latviešu|OSKARA KALPAKA IELA 96, LIEPĀJA, LV-3417|2009|873|1
Liepājas 8. vidusskola|3013900924|LK|DUNIKAS IELA 9/11, LIEPĀJA, LV-3416|2009|675|1
Dienas apmācības klases pie Liepājas vakara (maiņu) vidusskolas|3014900943|LK|RAIŅA IELA 5, LIEPĀJA, LV-3401|2009|32|1
Liepājas speciālā internātpamatskola|3020900938|LK|Ūliha 56, LIEPĀJA, LV-3401|2009|218|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Liepājas Būvamatniecības vidusskolas|3031001369|Latviešu|KLĀVA UKSTIŅA IELA 17/23, LIEPĀJA, LV-3411|2009|32|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Liepājas Tūrisma un tekstila skolas|3031001356|Latviešu|VENTSPILS IELA 51, LIEPĀJA, LV-3405|2009|30|1
Rēzeknes Valsts ģimnāzija|3119902527|Latviešu|KAĻĶU IELA 12, RĒZEKNE, LV-4601|2009|278|1
Rēzeknes 2. vidusskola|3113900062|Krievu|DĀRZU IELA 17/21, RĒZEKNE, LV-4600|2009|697|1
Rēzeknes 3. vidusskola|3113900063|Krievu|18. NOVEMBRA IELA 33, RĒZEKNE, LV-4600|2009|393|1
