Novads,Skolas kods,Skola,Priekšmets,Kopvērtējums
119,11951203,Ventspils 1. ģimnāzija,LAT12,69.32%
119,11971212,Ventspils Mūzikas vidusskola,ANG12,52.08%
119,11971212,Ventspils Mūzikas vidusskola,MAT12,22.08%
119,11971212,Ventspils Mūzikas vidusskola,LAT12,65.43%
119,11971216,Ventspils Tehnikums,ANG12,41.75%
119,11971216,Ventspils Tehnikums,MAT12,17.62%
119,11971216,Ventspils Tehnikums,LAT12,49.86%
119,11971217,Latvijas Jūras akadēmijas Jūrskola (Ventspils),ANG12,37.70%
119,11971217,Latvijas Jūras akadēmijas Jūrskola (Ventspils),MAT12,19.70%
119,11971217,Latvijas Jūras akadēmijas Jūrskola (Ventspils),LAT12,36.60%
120,12031303,Viesītes vidusskola,ANG12,55.44%
120,12031303,Viesītes vidusskola,MAT12,48.82%
120,12031303,Viesītes vidusskola,LAT12,62.94%
120,12071302,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,ANG12,27.38%
120,12071302,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,MAT12,14.75%
120,12071302,Aizkraukles Profesionālā vidusskola IPĪV Viesīte,LAT12,39.38%
121,12131411,Rekavas vidusskola,ANG12,52.08%
121,12131411,Rekavas vidusskola,MAT12,55.87%
121,12131411,Rekavas vidusskola,LAT12,60.87%
121,12161321,Viļakas Valsts ģimnāzija,ANG12,59.00%
121,12161321,Viļakas Valsts ģimnāzija,MAT12,50.06%
121,12161321,Viļakas Valsts ģimnāzija,LAT12,65.75%
122,12233303,Viļānu vidusskola,ANG12,54.15%
122,12233303,Viļānu vidusskola,MAT12,35.00%
122,12233303,Viļānu vidusskola,LAT12,64.10%
123,12333303,Zilupes vidusskola,ANG12,53.00%
123,12333303,Zilupes vidusskola,MAT12,38.56%
123,12333303,Zilupes vidusskola,LAT12,56.56%
