IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
A. Spāģa Dunalkas pamatskola,95.50%,2,ANG9
Ābeļu pamatskola,78.83%,3,ANG9
Ādažu vidusskola,78.80%,71,ANG9
Āgenskalna Valsts ģimnāzija,88.92%,118,ANG9
Aglonas internātvidusskola,66.75%,2,ANG9
Aglonas vidusskola,84.80%,5,ANG9
Aizkraukles novada vidusskola,73.08%,73,ANG9
Aizkraukles Vakara (maiņu) vidusskola,51.80%,5,ANG9
Aizputes novada Neklātienes vidusskola,73.00%,2,ANG9
Aizputes pagasta pamatskola,71.09%,11,ANG9
Aizputes vidusskola,73.24%,29,ANG9
Aizupes pamatskola,68.21%,7,ANG9
Aknīstes vidusskola,76.92%,6,ANG9
Allažu pamatskola,65.88%,8,ANG9
Alojas Ausekļa vidusskola,65.20%,5,ANG9
Alsungas vidusskola,57.54%,13,ANG9
Alsviķu struktūrvienība (prof.) (strukt.),57.75%,6,ANG9
Alūksnes novada vidusskola,62.57%,14,ANG9
Amatas novada Skujenes pamatskola,67.79%,7,ANG9
Amatas pamatskola,71.60%,5,ANG9
Ances pamatskola,75.00%,6,ANG9
Andreja Eglīša Ļaudonas vidusskola,56.82%,11,ANG9
Andreja Pumpura Rīgas 11. pamatskola,75.57%,30,ANG9
Andreja Upīša Skrīveru vidusskola,74.38%,25,ANG9
Andrupenes pamatskola,70.50%,4,ANG9
Andzeļu pamatskola,74.25%,2,ANG9
Annas Brigaderes pamatskola,62.25%,6,ANG9
Annenieku pamatskola,72.17%,3,ANG9
Apriķu pamatskola,56.33%,3,ANG9
Ata Kronvalda Durbes pamatskola,65.80%,15,ANG9
Auces vidusskola,68.20%,22,ANG9
Augstkalnes vidusskola,75.00%,6,ANG9
Babītes vidusskola,85.56%,41,ANG9
Baldones Mūzikas pamatskola,84.69%,13,ANG9
Baldones vidusskola,79.33%,36,ANG9
Baložu vidusskola,64.95%,31,ANG9
Baltinavas vidusskola,74.14%,7,ANG9
Balvu pamatskola,71.50%,1,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola (prof.),70.50%,11,ANG9
Balvu Valsts ģimnāzija,72.65%,39,ANG9
Barkavas pamatskola,69.50%,5,ANG9
Bārtas pamatskola,62.67%,3,ANG9
Baumaņu Kārļa Viļķenes pamatskola,71.25%,6,ANG9
Bauskas 2. vidusskola,76.98%,25,ANG9
Bauskas pilsētas pamatskola,69.72%,23,ANG9
Bauskas Valsts ģimnāzija,79.63%,39,ANG9
Bebrenes vispārizglītojošā un profesionālā vidusskola,77.00%,3,ANG9
Bebru pamatskola,69.00%,10,ANG9
Bejas pamatskola,58.13%,8,ANG9
Bēnes vidusskola,71.00%,13,ANG9
Berģu Mūzikas un mākslas pamatskola,85.32%,14,ANG9
Bērzaunes pamatskola,67.14%,7,ANG9
Bērzgales pamatskola (strukt.),86.00%,1,ANG9
Bērzpils vidusskola,66.45%,10,ANG9
Bikstu pamatskola,42.00%,4,ANG9
Biķernieku pamatskola,50.42%,6,ANG9
Bilskas pamatskola,69.81%,8,ANG9
Birzgales pamatskola,63.64%,11,ANG9
Biržu internātpamatskola,67.36%,7,ANG9
Biržu pamatskola,75.00%,6,ANG9
Blīdenes pamatskola,74.09%,11,ANG9
Blomes pamatskola,51.85%,10,ANG9
Brāļu Skrindu Atašienes vidusskola,87.50%,1,ANG9
Brocēnu vidusskola,76.24%,29,ANG9
Burtnieku Ausekļa pamatskola,66.00%,11,ANG9
Carnikavas pamatskola,75.55%,19,ANG9
Cēres pamatskola,50.94%,8,ANG9
Cēsu 1. pamatskola,71.31%,16,ANG9
Cēsu 2. pamatskola,76.33%,32,ANG9
Cēsu 2. vakara (maiņu) vidusskola,48.00%,3,ANG9
Cēsu internātpamatskola - attīstības centrs,74.17%,3,ANG9
Cēsu Pilsētas vidusskola,68.69%,21,ANG9
Cēsu Valsts ģimnāzija,84.94%,52,ANG9
Cesvaines vidusskola,70.20%,23,ANG9
Ciblas vidusskola,52.33%,3,ANG9
Codes pamatskola,75.92%,6,ANG9
Dagdas vidusskola,66.62%,13,ANG9
Daudzeses pamatskola,72.60%,5,ANG9
Daugavgrīvas cietums (strukt.),40.55%,10,ANG9
Daugavpils 10. vidusskola,62.24%,46,ANG9
Daugavpils 11. pamatskola,39.88%,26,ANG9
Daugavpils 12. vidusskola,73.79%,17,ANG9
Daugavpils 13. vidusskola,52.91%,38,ANG9
Daugavpils 15. vidusskola,53.81%,58,ANG9
Daugavpils 16. vidusskola,62.80%,46,ANG9
Daugavpils 17. vidusskola,56.00%,10,ANG9
Daugavpils 3. vidusskola,66.59%,78,ANG9
Daugavpils 9. vidusskola,69.70%,45,ANG9
Daugavpils Centra vidusskola,59.82%,34,ANG9
Daugavpils Krievu vidusskola - licejs,76.74%,70,ANG9
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,46.67%,6,ANG9
Daugavpils Saskaņas pamatskola,70.70%,27,ANG9
Daugavpils Valsts ģimnāzija,70.83%,29,ANG9
Daugavpils Vienības pamatskola,65.67%,3,ANG9
Daugmales pamatskola,71.89%,9,ANG9
Dāvja Ozoliņa Apes vidusskola,70.79%,12,ANG9
Degumnieku pamatskola,71.17%,6,ANG9
Dekšāru pamatskola,75.25%,8,ANG9
Dobeles 1. vidusskola,61.97%,30,ANG9
Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),62.17%,3,ANG9
Dobeles Kristīgā pamatskola,40.50%,1,ANG9
Dobeles Valsts ģimnāzija,78.37%,46,ANG9
Drabešu Jaunā pamatskola,53.17%,6,ANG9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,80.45%,22,ANG9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,78.65%,13,ANG9
Dravnieku pamatskola,70.33%,3,ANG9
Dricānu vidusskola,70.44%,8,ANG9
Drustu pamatskola,56.60%,5,ANG9
Dunavas pamatskola,70.50%,1,ANG9
Dundagas vidusskola,71.68%,28,ANG9
Dzelzavas pamatskola,67.58%,13,ANG9
Dzērbenes vispārizglītojošā un mūzikas pamatskola,88.13%,4,ANG9
Dzērves pamatskola,55.17%,6,ANG9
Dzimtmisas pamatskola,49.04%,12,ANG9
Džūkstes pamatskola,64.56%,8,ANG9
Edgara Kauliņa Lielvārdes vidusskola,79.10%,30,ANG9
Ēdoles pamatskola,63.61%,9,ANG9
Eglaines pamatskola,66.00%,4,ANG9
Elejas vidusskola,72.18%,17,ANG9
Engures vidusskola,70.69%,16,ANG9
Ērgļu vidusskola,78.44%,18,ANG9
Ernsta Glika Alūksnes Valsts ģimnāzija,64.52%,62,ANG9
Ēveles pamatskola,32.50%,5,ANG9
Feimaņu pamatskola,68.00%,2,ANG9
"filiāle ""Laidzes pamatskola"" (strukt.)",64.40%,5,ANG9
Friča Brīvzemnieka pamatskola,75.67%,18,ANG9
Gaigalavas pamatskola,89.83%,3,ANG9
Gaiķu pamatskola,72.50%,4,ANG9
Galēnu pamatskola,74.75%,6,ANG9
Galgauskas pamatskola,64.75%,4,ANG9
Gardenes pamatskola,54.13%,4,ANG9
Garkalnes Mākslu un vispārizglītojošā pamatskola,85.17%,9,ANG9
Garlība Merķeļa Lēdurgas pamatskola,77.50%,6,ANG9
Garozas pamatskola,77.29%,7,ANG9
Gaujienas internātpamatskola,29.75%,2,ANG9
Gaviezes pamatskola,64.50%,4,ANG9
Gramzdas pamatskola,70.50%,5,ANG9
Griķu pamatskola,64.50%,13,ANG9
Grobiņas ģimnāzija,72.72%,57,ANG9
Grundzāles pamatskola,72.25%,6,ANG9
