IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Gulbenes 2. vidusskola,73.24%,35,ANG9
Gulbenes novada valsts ģimnāzija,79.26%,31,ANG9
Gulbīša pamatskola,53.79%,7,ANG9
Iecavas internātpamatskola,85.10%,5,ANG9
Iecavas vidusskola,80.11%,57,ANG9
Ikšķiles vidusskola,80.92%,53,ANG9
Ilmāra Gaiša Kokneses vidusskola,76.43%,34,ANG9
Ilūkstes 1. vidusskola,84.67%,6,ANG9
Ilūkstes Sadraudzības vidusskola,52.42%,12,ANG9
Ilzenes pamatskola,68.25%,4,ANG9
Iļģuciema vidusskola,76.33%,18,ANG9
Inčukalna pamatskola,80.29%,12,ANG9
Indras pamatskola,90.50%,1,ANG9
Inešu pamatskola,89.50%,1,ANG9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",80.07%,14,ANG9
Irlavas vidusskola,41.36%,7,ANG9
Īslīces vidusskola,69.43%,15,ANG9
Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),56.38%,4,ANG9
Izvaltas pamatskola,72.67%,3,ANG9
J. Čakstes Liepājas pilsētas 10. vidusskola,72.18%,57,ANG9
J. Endzelīna Kauguru pamatskola,55.87%,19,ANG9
J. Raiņa Daugavpils 6. vidusskola,46.22%,36,ANG9
J.G.Herdera Rīgas Grīziņkalna vidusskola,57.25%,26,ANG9
J.Pilsudska Daugavpils valsts poļu ģimnāzija,56.27%,15,ANG9
Jankas Kupalas Rīgas Baltkrievu pamatskola,53.47%,18,ANG9
Jāņa Eglīša Preiļu Valsts ģimnāzija,82.83%,12,ANG9
Jāņa Zālīša Sausnējas pamatskola,65.50%,1,ANG9
Jaunburtnieku pamatskola,43.57%,7,ANG9
Jaunjelgavas vidusskola,82.17%,15,ANG9
Jaunmārupes pamatskola,83.03%,20,ANG9
Jaunogres vidusskola,57.76%,49,ANG9
Jaunpiebalgas vidusskola,65.77%,24,ANG9
Jaunpils vidusskola,72.55%,20,ANG9
Jaunsilavas pamatskola,77.17%,6,ANG9
Jēkabpils 2. vidusskola,56.00%,42,ANG9
Jēkabpils 3. vidusskola,73.11%,19,ANG9
Jēkabpils vakara vidusskola,48.00%,2,ANG9
Jēkabpils Valsts ģimnāzija,80.97%,74,ANG9
Jelgavas 1.internātpamatskola - attīstības centrs,85.75%,6,ANG9
Jelgavas 2. pamatskola,56.57%,50,ANG9
Jelgavas 4. vidusskola,74.56%,73,ANG9
Jelgavas 5. vidusskola,64.58%,56,ANG9
Jelgavas 6. vidusskola,56.95%,48,ANG9
Jelgavas Amatu vidusskola (prof.),68.10%,5,ANG9
Jelgavas novada Neklātienes vidusskola,69.00%,3,ANG9
Jelgavas Spīdolas ģimnāzija,83.97%,73,ANG9
Jelgavas Tehnoloģiju vidusskola,63.19%,49,ANG9
Jelgavas Vakara (maiņu) vidusskola,76.00%,1,ANG9
Jelgavas Valsts ģimnāzija,80.88%,92,ANG9
Jersikas pamatskola,77.70%,5,ANG9
Jumpravas vidusskola,64.64%,7,ANG9
Jura Neikena Dikļu pamatskola,64.72%,9,ANG9
"Murjāņu sporta ģimnāzija, JŪRMALA (strukt.)",70.44%,9,ANG9
Jūrmalas Alternatīvā skola,91.04%,14,ANG9
Jūrmalas pilsētas Jaundubultu vidusskola,59.93%,25,ANG9
Jūrmalas pilsētas Kauguru vidusskola,57.99%,49,ANG9
Jūrmalas pilsētas Lielupes pamatskola,66.35%,10,ANG9
Jūrmalas pilsētas Mežmalas vidusskola,50.85%,20,ANG9
Jūrmalas vakara vidusskola,47.33%,6,ANG9
Jūrmalas Valsts ģimnāzija,85.89%,32,ANG9
Kalētu pamatskola,66.00%,5,ANG9
Kalnciema pagasta vidusskola,80.25%,2,ANG9
Kalnciema vidusskola,69.55%,11,ANG9
Kalsnavas pamatskola,50.77%,11,ANG9
Kalupes pamatskola,95.00%,2,ANG9
Kalvenes pamatskola,78.83%,9,ANG9
Kandavas internātvidusskola,67.83%,39,ANG9
Kandavas Kārļa Mīlenbaha vidusskola,78.05%,39,ANG9
Kandavas novada Zantes pamatskola,56.81%,8,ANG9
Kapsēdes pamatskola,30.05%,11,ANG9
Kārķu pamatskola,62.13%,4,ANG9
Kārsavas vidusskola,74.82%,11,ANG9
Kaunatas vidusskola,63.74%,23,ANG9
Kocēnu pamatskola,64.07%,15,ANG9
Kolkas pamatskola,88.50%,1,ANG9
Krāslavas gr. Plāteru v.n. Poļu pamatskola,46.00%,5,ANG9
Krāslavas pamatskola,75.06%,9,ANG9
Krāslavas Valsts ģimnāzija,70.35%,10,ANG9
Krāslavas Varavīksnes vidusskola,54.15%,39,ANG9
Krimuldas vidusskola,74.21%,17,ANG9
Kristiāna Dāvida pamatskola,76.83%,3,ANG9
Krišjāņa Valdemāra Ainažu pamatskola,80.30%,5,ANG9
Krotes Kronvalda Ata pamatskola,72.44%,8,ANG9
Kruķu pamatskola (strukt.),35.30%,5,ANG9
Krustpils pamatskola,84.38%,4,ANG9
Kuldīgas 2. vidusskola,64.38%,26,ANG9
Kuldīgas Centra vidusskola,66.83%,51,ANG9
Kuldīgas Mākslas un humanitāro zinību vidusskola,67.98%,23,ANG9
Kuldīgas pamatskola,71.78%,18,ANG9
Kusas pamatskola,46.00%,2,ANG9
Ķeguma komercnovirziena vidusskola,72.85%,10,ANG9
Ķeipenes pamatskola,73.14%,11,ANG9
Ķekavas vidusskola,75.85%,53,ANG9
Ķemeru pamatskola,68.25%,4,ANG9
Lāču pamatskola,49.00%,12,ANG9
Lādezera pamatskola,66.93%,7,ANG9
Laidu pamatskola,43.58%,6,ANG9
Lapmežciema pamatskola,73.73%,15,ANG9
Laucesas pamatskola,50.35%,13,ANG9
Laucienes pamatskola,73.15%,13,ANG9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola"" (strukt.)",76.42%,6,ANG9
Lazdonas pamatskola,55.75%,2,ANG9
Lēdmanes pamatskola,76.20%,5,ANG9
Lejasciema vidusskola,75.69%,8,ANG9
Lielvārdes pamatskola,71.23%,13,ANG9
Liepājas 3. pamatskola,55.29%,43,ANG9
Liepājas 7. vidusskola,62.85%,68,ANG9
Liepājas 8. vidusskola,68.95%,47,ANG9
Liepājas A. Puškina 2. vidusskola,62.94%,56,ANG9
Liepājas internātpamatskola,59.58%,6,ANG9
Liepājas Katoļu pamatskola,85.54%,13,ANG9
Liepājas pilsētas 12. vidusskola,57.67%,51,ANG9
Liepājas Raiņa 6. vidusskola,70.30%,66,ANG9
Liepājas vakara (maiņu) vidusskola,54.20%,5,ANG9
Liepājas Valsts 1. ģimnāzija,77.12%,77,ANG9
Liepas pamatskola,89.25%,4,ANG9
Liepnas internātpamatskola,36.00%,2,ANG9
Liepnas vidusskola,63.15%,10,ANG9
Liepu pamatskola (strukt.),47.11%,9,ANG9
Liepupes vidusskola,66.07%,14,ANG9
Liezēres pamatskola,74.00%,2,ANG9
Līgatnes novada vidusskola,57.08%,12,ANG9
Limbažu 3. vidusskola,68.03%,18,ANG9
Limbažu novada ģimnāzija,76.33%,55,ANG9
Līvānu 1. vidusskola,80.07%,22,ANG9
Līvānu 2. vidusskola,40.53%,16,ANG9
Līvānu novada Vakara (maiņu) vidusskola,77.00%,1,ANG9
Līvbērzes pamatskola,59.38%,4,ANG9
Lizuma vidusskola,71.45%,19,ANG9
Lubānas vidusskola,69.58%,12,ANG9
Lūcijas Rancānes Makašānu Amatu vidusskola,56.00%,3,ANG9
Ludzas 2. vidusskola,62.40%,24,ANG9
Ludzas pilsētas ģimnāzija,74.80%,25,ANG9
Madlienas vidusskola,65.17%,9,ANG9
Madonas pilsētas vidusskola,70.76%,48,ANG9
Madonas Vakara un neklātienes vidusskola,41.50%,1,ANG9
Madonas Valsts ģimnāzija,85.33%,26,ANG9
Majoru vidusskola,82.61%,22,ANG9
Malienas pamatskola,52.88%,8,ANG9
Mālpils internātpamatskola,34.17%,3,ANG9
Mālpils novada vidusskola,68.84%,19,ANG9
Maltas vidusskola,66.88%,24,ANG9
Mārsnēnu pamatskola,47.00%,3,ANG9
Mārupes pamatskola,76.50%,9,ANG9
Mārupes vidusskola,83.94%,94,ANG9
Māteru Jura Kazdangas pamatskola,58.45%,11,ANG9
Matīšu pamatskola,69.43%,7,ANG9
Mazozolu filiāle (strukt.),65.30%,5,ANG9
Mazsalacas vidusskola,70.12%,26,ANG9
Mazzalves pamatskola,79.86%,7,ANG9
Medumu pamatskola,81.25%,2,ANG9
Meirānu Kalpaka pamatskola,91.50%,2,ANG9
Meņģeles filiāle (strukt.),86.50%,1,ANG9
Mērdzenes pamatskola,60.00%,1,ANG9
Mērsraga vidusskola,72.56%,9,ANG9
Mētrienas pamatskola,55.50%,4,ANG9
Mežciema pamatskola,75.50%,26,ANG9
Mežgaļu pamatskola,72.70%,10,ANG9
Mežinieku pamatskola,59.50%,8,ANG9
Mežotnes pamatskola,75.44%,8,ANG9
Mežvidu pamatskola,68.50%,4,ANG9
Misas vidusskola,73.00%,8,ANG9
Mores pamatskola,90.00%,3,ANG9
Murjāņu sporta ģimnāzija,67.67%,18,ANG9
Murmastienes pamatskola,74.10%,5,ANG9
Naukšēnu novada vidusskola,52.33%,20,ANG9
Nautrēnu vidusskola,88.40%,5,ANG9
Neretas Jāņa Jaunsudrabiņa vidusskola,88.23%,11,ANG9
Nīcas vidusskola,68.70%,10,ANG9
Nīgrandes pagasta Kalnu vidusskola,60.13%,15,ANG9
Nīkrāces pamatskola,52.64%,7,ANG9
Nirzas pamatskola,65.25%,2,ANG9
Nītaures vidusskola,82.93%,7,ANG9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,67.21%,40,ANG9
Ogres 1. vidusskola,80.47%,72,ANG9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),70.00%,6,ANG9
Ogres Valsts ģimnāzija,78.58%,58,ANG9
Ogresgala pamatskola,56.95%,10,ANG9
Ojāra Vācieša Gaujienas pamatskola,75.75%,6,ANG9
Olaines 1. vidusskola,73.85%,58,ANG9
Olaines 2. vidusskola,55.46%,70,ANG9
Oskara Kalpaka Liepājas 15. vidusskola,70.47%,37,ANG9
Ozolmuižas pamatskola,46.17%,3,ANG9
Ozolnieku vidusskola,74.52%,32,ANG9
Pāles pamatskola,54.77%,13,ANG9
Palsmanes pamatskola,80.29%,7,ANG9
"Pamatskola ""Rīdze""",82.72%,38,ANG9
Pastendes pamatskola,70.77%,13,ANG9
Pāvilostas vidusskola,43.43%,7,ANG9
Pededzes pamatskola,64.78%,9,ANG9
Pelēču pamatskola,69.25%,2,ANG9
Penkules pamatskola,54.13%,4,ANG9
Pilsrundāles vidusskola,76.86%,11,ANG9
Piltenes vidusskola,79.06%,8,ANG9
Pļaviņu novada ģimnāzija,62.11%,23,ANG9
Popes pamatskola,71.42%,6,ANG9
Praulienas pamatskola,73.00%,3,ANG9
Preiļu 1. pamatskola,68.97%,18,ANG9
Preiļu 2. vidusskola,46.83%,12,ANG9
Priekules vidusskola,71.59%,23,ANG9
Priekuļu vidusskola,69.16%,25,ANG9
"Privātā pamatskola ""Gaismas tilts 97""",83.64%,11,ANG9
"Privātā pamatskola ""Maksima""",77.07%,7,ANG9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,74.75%,2,ANG9
"Privātā vidusskola ""Citruss""",91.50%,1,ANG9
"Privātā vidusskola ""Klasika""",76.75%,10,ANG9
"Privātā vidusskola ""Laisma""",71.25%,10,ANG9
"Privātā vidusskola ""Norma""",78.75%,2,ANG9
"Privātā vidusskola ""Patnis""",81.92%,6,ANG9
"Privātā vidusskola ""RIMS""",89.00%,3,ANG9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,77.50%,21,ANG9
"Privātskola ""Latreia""",80.69%,13,ANG9
"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",80.05%,57,ANG9
Pumpuru vidusskola,80.06%,35,ANG9
Pūņu pamatskola,66.68%,11,ANG9
Pūres pamatskola,73.22%,16,ANG9
Puškina licejs,64.09%,53,ANG9
Pušmucovas pamatskola,81.25%,2,ANG9
Puzes pamatskola,61.92%,6,ANG9
Raiskuma internātpamatskola - rehabilitācijas centrs,58.75%,2,ANG9
Rāmuļu pamatskola,29.45%,19,ANG9
Randenes pamatskola,48.83%,3,ANG9
Rankas pamatskola,23.00%,2,ANG9
Raunas vidusskola,72.54%,12,ANG9
Rekavas vidusskola,74.50%,14,ANG9
Remtes pamatskola,69.38%,4,ANG9
Rencēnu pamatskola,53.13%,4,ANG9
Rēzeknes 2. vidusskola,57.42%,45,ANG9
Rēzeknes 3. vidusskola,59.83%,39,ANG9
Rēzeknes 4. vidusskola,55.68%,17,ANG9
Rēzeknes 5. vidusskola,79.85%,17,ANG9
Rēzeknes 6. vidusskola,67.61%,28,ANG9
Rēzeknes internātpamatskola-attīstības centrs,37.83%,3,ANG9
Rēzeknes Katoļu vidusskola,62.71%,14,ANG9
Rēzeknes Valsts 1. ģimnāzija,82.77%,35,ANG9
Rēzeknes valsts poļu ģimnāzija,64.94%,53,ANG9
Rēznas pamatskola,66.50%,2,ANG9
Rīgas 1. Privātā tālmācības vidusskola,0.00%,4,ANG9
Rīgas 1. Tālmācības vidusskola,79.00%,14,ANG9
Rīgas 1. vidusskola,59.44%,31,ANG9
Rīgas 10. vidusskola,79.41%,75,ANG9
Rīgas 13. vidusskola,64.46%,45,ANG9
Rīgas 14. vakara (maiņu) vidusskola,66.83%,6,ANG9
Rīgas 15. vidusskola,48.40%,20,ANG9
Rīgas 18. vakara (maiņu) vidusskola,41.70%,15,ANG9
Rīgas 19. vidusskola,73.00%,3,ANG9
Rīgas 21. vidusskola,66.20%,41,ANG9
Rīgas 22. vidusskola,56.41%,45,ANG9
Rīgas 25. vidusskola,73.97%,47,ANG9
Rīgas 28. vidusskola,79.80%,15,ANG9
Rīgas 29. vidusskola,57.75%,8,ANG9
Rīgas 31. vidusskola,72.27%,32,ANG9
Rīgas 33. vidusskola,61.03%,60,ANG9
Rīgas 34. vidusskola,70.84%,95,ANG9
Rīgas 37. vidusskola,49.33%,15,ANG9
Rīgas 40. vidusskola,80.97%,91,ANG9
Rīgas 41. vidusskola,75.99%,35,ANG9
Rīgas 45. vidusskola,75.19%,36,ANG9
Rīgas 46. vidusskola,61.03%,29,ANG9
Rīgas 47. vidusskola,82.00%,28,ANG9
Rīgas 49. vidusskola,81.18%,79,ANG9
Rīgas 51. vidusskola,57.07%,49,ANG9
Rīgas 53. vidusskola,60.77%,32,ANG9
Rīgas 54. vidusskola,58.12%,33,ANG9
Rīgas 6. vidusskola,82.58%,51,ANG9
Rīgas 60. vidusskola,54.72%,32,ANG9
Rīgas 61. vidusskola,66.33%,20,ANG9
Rīgas 63. vidusskola,58.57%,62,ANG9
Rīgas 64. vidusskola,82.88%,89,ANG9
Rīgas 65. vidusskola,60.47%,52,ANG9
Rīgas 66. speciālā vidusskola,64.58%,20,ANG9
Rīgas 69. vidusskola,77.81%,21,ANG9
Rīgas 7. pamatskola,80.17%,3,ANG9
Rīgas 71. vidusskola,64.63%,57,ANG9
Rīgas 72. vidusskola,67.09%,74,ANG9
Rīgas 74. vidusskola,72.23%,41,ANG9
Rīgas 75. vidusskola,58.15%,36,ANG9
Rīgas 80. vidusskola,67.92%,50,ANG9
Rīgas 84. vidusskola,84.66%,48,ANG9
Rīgas 85. vidusskola,82.48%,24,ANG9
Rīgas 86. vidusskola,57.93%,43,ANG9
Rīgas 88. vidusskola,63.57%,105,ANG9
Rīgas 89. vidusskola,63.42%,39,ANG9
Rīgas 9. vakara (maiņu) vidusskola,48.46%,13,ANG9
Rīgas 92. vidusskola,54.73%,52,ANG9
Rīgas 93. vidusskola,82.37%,27,ANG9
Rīgas 94. vidusskola,71.94%,25,ANG9
Rīgas 95. vidusskola,69.22%,81,ANG9
Rīgas 96. vidusskola,65.04%,49,ANG9
Rīgas Angļu ģimnāzija,88.00%,78,ANG9
Rīgas Anniņmuižas vidusskola,62.62%,43,ANG9
Rīgas Austrumu vidusskola,52.12%,20,ANG9
Rīgas Avotu pamatskola,79.10%,15,ANG9
Rīgas Centra daiļamatniecības pamatskola,82.89%,35,ANG9
Rīgas Centra humanitārā vidusskola,90.21%,77,ANG9
Rīgas Daugavgrīvas vidusskola,62.26%,37,ANG9
Rīgas Ezerkrastu pamatskola,58.25%,6,ANG9
Rīgas Hanzas vidusskola,77.03%,56,ANG9
Rīgas Igauņu pamatskola,81.38%,13,ANG9
Rīgas Imantas vidusskola,73.76%,38,ANG9
Rīgas Itas Kozakēvičas Poļu vidusskola,75.64%,25,ANG9
Rīgas Jāņa Poruka vidusskola,81.30%,15,ANG9
Rīgas Juglas vidusskola,81.42%,56,ANG9
Rīgas Katoļu ģimnāzija,81.00%,7,ANG9
Rīgas Klasiskā ģimnāzija,80.82%,102,ANG9
Rīgas Kristīgā vidusskola,75.14%,14,ANG9
Rīgas Kultūru vidusskola,85.40%,39,ANG9
Rīgas Ķengaraga vidusskola,62.43%,42,ANG9
Rīgas Lastādijas internātpamatskola,37.56%,16,ANG9
Rīgas Lietuviešu vidusskola,79.26%,17,ANG9
Rīgas Mūzikas internātvidusskola,75.43%,7,ANG9
Rīgas Natālijas Draudziņas vidusskola ,75.16%,38,ANG9
Rīgas Ostvalda vidusskola,73.87%,50,ANG9
Rīgas Pārdaugavas pamatskola,60.55%,20,ANG9
Rīgas Pļavnieku pamatskola,80.72%,32,ANG9
Rīgas Purvciema vidusskola,76.73%,102,ANG9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,68.22%,9,ANG9
Rīgas Rīnūžu vidusskola,52.76%,44,ANG9
Rīgas Sergeja Žoltoka vidusskola,60.67%,26,ANG9
Rīgas Tālmācības vidusskola,80.80%,22,ANG9
Rīgas Teikas vidusskola,82.03%,82,ANG9
Rīgas Ukraiņu vidusskola,66.30%,15,ANG9
Rīgas vakara ģimnāzija,51.92%,19,ANG9
Rīgas Valdorfskola,80.21%,31,ANG9
Rīgas Valsts 1. ģimnāzija,90.14%,121,ANG9
Rīgas Valsts 2. ģimnāzija,87.64%,85,ANG9
Rīgas Valsts 3. ģimnāzija,86.23%,99,ANG9
Rīgas Valsts vācu ģimnāzija,83.83%,74,ANG9
Rīgas Zolitūdes ģimnāzija,75.20%,123,ANG9
Rojas vidusskola,76.82%,19,ANG9
Ropažu vidusskola,74.54%,14,ANG9
Rožupes pamatskola,82.50%,2,ANG9
Rubenes pamatskola,64.91%,17,ANG9
Rubeņu pamatskola,70.31%,8,ANG9
Rucavas pamatskola,67.57%,7,ANG9
Rudzātu vidusskola,74.90%,5,ANG9
Rugāju novada Eglaines pamatskola,66.20%,5,ANG9
Rugāju novada vidusskola,69.40%,5,ANG9
Rūjienas vidusskola,73.61%,33,ANG9
Sabiles pamatskola,72.45%,11,ANG9
Sakstagala Jāņa Klīdzēja pamatskola,95.00%,2,ANG9
Salacgrīvas vidusskola,71.14%,28,ANG9
Salas pamatskola,64.75%,2,ANG9
Salas vidusskola,66.75%,14,ANG9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",77.28%,55,ANG9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",54.53%,50,ANG9
Saldus novada pašvaldības Cieceres internātpamatskola,68.83%,18,ANG9
Saldus novada pašvaldības Druvas vidusskola,76.25%,12,ANG9
Saldus novada pašvaldības Ezeres pamatskola,65.75%,6,ANG9
Saldus novada pašvaldības Jaunlutriņu pamatskola,68.81%,8,ANG9
Saldus novada pašvaldības Kursīšu pamatskola,62.25%,8,ANG9
Saldus novada pašvaldības Lutriņu pamatskola,74.17%,6,ANG9
Saldus novada pašvaldības Pampāļu pamatskola,56.31%,8,ANG9
Saldus novada pašvaldības Rubas pamatskola,66.40%,10,ANG9
Saldus novada pašvaldības Zirņu pamatskola,61.44%,8,ANG9
Saldus pamatskola,77.44%,17,ANG9
Saldus Vakara vidusskola,46.67%,3,ANG9
Saldus vidusskola,74.38%,58,ANG9
Salgales pamatskola,70.75%,2,ANG9
Salienas vidusskola,64.79%,12,ANG9
Salnavas pamatskola,79.00%,3,ANG9
