Novada kods,Skola,Skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
84,"Privātskola ""Latreia""",8432112,ANG12,77.55%,11
84,"Privātskola ""Latreia""",8432112,LAT12,35.28%,11
84,"Privātskola ""Latreia""",8432112,MAT12,46.65%,11
84,Rīgas 33. vidusskola,8432115,ANG12,59.28%,18
84,Rīgas 33. vidusskola,8432115,LAT12,38.47%,18
84,Rīgas 33. vidusskola,8432115,MAT12,36.32%,18
84,Rīgas 34. vidusskola,8432116,ANG12,66.61%,35
84,Rīgas 34. vidusskola,8432116,LAT12,46.13%,36
84,Rīgas 34. vidusskola,8432116,MAT12,49.25%,36
84,Rīgas 54. vidusskola,8432118,ANG12,60.64%,13
84,Rīgas 54. vidusskola,8432118,LAT12,50.52%,13
84,Rīgas 54. vidusskola,8432118,MAT12,38.94%,13
84,Rīgas 96. vidusskola,8432123,ANG12,69.03%,28
84,Rīgas 96. vidusskola,8432123,LAT12,42.92%,29
84,Rīgas 96. vidusskola,8432123,MAT12,47.43%,29
84,Rīgas Daugavgrīvas vidusskola,8432126,ANG12,65.51%,21
84,Rīgas Daugavgrīvas vidusskola,8432126,LAT12,40.90%,22
84,Rīgas Daugavgrīvas vidusskola,8432126,MAT12,60.74%,21
84,Rīgas 71. vidusskola,8433121,ANG12,65.19%,22
84,Rīgas 71. vidusskola,8433121,LAT12,48.03%,22
84,Rīgas 71. vidusskola,8433121,MAT12,38.27%,22
84,Rīgas Anniņmuižas vidusskola,8433125,ANG12,61.49%,37
84,Rīgas Anniņmuižas vidusskola,8433125,LAT12,37.10%,34
84,Rīgas Anniņmuižas vidusskola,8433125,MAT12,49.61%,34
84,Rīgas Ostvalda vidusskola,8433130,ANG12,62.95%,29
84,Rīgas Ostvalda vidusskola,8433130,LAT12,43.53%,29
84,Rīgas Ostvalda vidusskola,8433130,MAT12,51.49%,29
84,Rīgas Valsts vācu ģimnāzija,8461134,ANG12,80.95%,74
84,Rīgas Valsts vācu ģimnāzija,8461134,LAT12,69.40%,100
84,Rīgas Valsts vācu ģimnāzija,8461134,MAT12,46.28%,100
84,Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,ANG12,78.10%,24
84,Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,LAT12,67.77%,31
84,Jaņa Rozentāla Rīgas Mākslas vidusskola,8471102,MAT12,41.39%,31
84,Emīla Dārziņa mūzikas vidusskola,8471104,ANG12,79.93%,14
84,Emīla Dārziņa mūzikas vidusskola,8471104,LAT12,66.35%,14
84,Emīla Dārziņa mūzikas vidusskola,8471104,MAT12,43.77%,26
84,Latvijas Jūras akadēmijas Jūrskola,8471107,ANG12,61.08%,51
84,Latvijas Jūras akadēmijas Jūrskola,8471107,LAT12,48.29%,51
84,Latvijas Jūras akadēmijas Jūrskola,8471107,MAT12,29.06%,51
84,Rīgas Doma kora skola,8471114,ANG12,82.77%,14
84,Rīgas Doma kora skola,8471114,LAT12,62.45%,13
84,Rīgas Doma kora skola,8471114,MAT12,47.26%,13
84,Rīgas Horeogrāfijas vidusskola,8471115,ANG12,75.33%,2
84,Rīgas Horeogrāfijas vidusskola,8471115,LAT12,52.27%,2
84,Rīgas Horeogrāfijas vidusskola,8471115,MAT12,37.37%,5
84,Rīgas Mākslas un mediju tehnikums,8471124,ANG12,56.69%,141
84,Rīgas Mākslas un mediju tehnikums,8471124,LAT12,48.43%,138
84,Rīgas Mākslas un mediju tehnikums,8471124,MAT12,19.35%,137
84,"Profesionālā vidusskola ""Victoria""",8471126,ANG12,57.79%,39
84,"Profesionālā vidusskola ""Victoria""",8471126,LAT12,32.85%,39
84,"Profesionālā vidusskola ""Victoria""",8471126,MAT12,16.82%,35
85,Rīgas 25. vidusskola,8531115,ANG12,69.46%,17
85,Rīgas 25. vidusskola,8531115,LAT12,50.23%,22
85,Rīgas 25. vidusskola,8531115,MAT12,34.02%,21
85,Rīgas 6. vidusskola,8531118,ANG12,77.95%,41
85,Rīgas 6. vidusskola,8531118,LAT12,63.42%,42
85,Rīgas 6. vidusskola,8531118,MAT12,41.17%,42
85,Rīgas 93. vidusskola,8531129,ANG12,64.93%,13
85,Rīgas 93. vidusskola,8531129,LAT12,62.61%,15
85,Rīgas 93. vidusskola,8531129,MAT12,31.37%,15
85,Rīgas Lietuviešu vidusskola,8531137,ANG12,68.37%,22
85,Rīgas Lietuviešu vidusskola,8531137,LAT12,68.95%,22
85,Rīgas Lietuviešu vidusskola,8531137,MAT12,48.81%,22
85,Habad Ebreju privātā vidusskola,8532102,ANG12,56.13%,5
85,Habad Ebreju privātā vidusskola,8532102,LAT12,37.38%,5
85,Habad Ebreju privātā vidusskola,8532102,MAT12,56.25%,5
85,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,ANG12,66.79%,7
85,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,LAT12,40.41%,8
85,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,MAT12,54.69%,8
85,Rīgas Austrumu vidusskola,8532116,ANG12,59.31%,13
85,Rīgas Austrumu vidusskola,8532116,LAT12,32.95%,13
85,Rīgas Austrumu vidusskola,8532116,MAT12,41.10%,13
85,Rīgas 51. vidusskola,8532117,ANG12,63.11%,17
85,Rīgas 51. vidusskola,8532117,LAT12,44.88%,17
85,Rīgas 51. vidusskola,8532117,MAT12,60.51%,17
85,Rīgas 65. vidusskola,8532120,ANG12,46.34%,9
85,Rīgas 65. vidusskola,8532120,LAT12,22.79%,9
85,Rīgas 65. vidusskola,8532120,MAT12,19.72%,9
85,Rīgas 72. vidusskola,8532121,ANG12,65.14%,36
85,Rīgas 72. vidusskola,8532121,LAT12,42.97%,36
85,Rīgas 72. vidusskola,8532121,MAT12,45.89%,35
85,Rīgas 75. vidusskola,8532122,ANG12,60.88%,24
85,Rīgas 75. vidusskola,8532122,LAT12,36.67%,24
85,Rīgas 75. vidusskola,8532122,MAT12,40.86%,24
85,Rīgas 86. vidusskola,8532123,ANG12,54.78%,23
85,Rīgas 86. vidusskola,8532123,LAT12,31.48%,22
85,Rīgas 86. vidusskola,8532123,MAT12,47.40%,20
85,Rīgas 88. vidusskola,8532124,ANG12,59.00%,44
85,Rīgas 88. vidusskola,8532124,LAT12,37.12%,46
85,Rīgas 88. vidusskola,8532124,MAT12,43.28%,45
85,J.G.Herdera Rīgas Grīziņkalna vidusskola,8532134,ANG12,64.01%,17
85,J.G.Herdera Rīgas Grīziņkalna vidusskola,8532134,LAT12,39.36%,29
85,J.G.Herdera Rīgas Grīziņkalna vidusskola,8532134,MAT12,37.72%,28
85,Rīgas Sergeja Žoltoka vidusskola,8532141,ANG12,53.80%,13
85,Rīgas Sergeja Žoltoka vidusskola,8532141,LAT12,36.16%,14
85,Rīgas Sergeja Žoltoka vidusskola,8532141,MAT12,42.02%,13
85,Rīgas Ķengaraga vidusskola,8532146,ANG12,63.56%,28
85,Rīgas Ķengaraga vidusskola,8532146,LAT12,41.72%,28
85,Rīgas Ķengaraga vidusskola,8532146,MAT12,56.25%,28
85,Rīgas 1. vidusskola,8533111,ANG12,54.30%,49
85,Rīgas 1. vidusskola,8533111,LAT12,39.65%,58
85,Rīgas 1. vidusskola,8533111,MAT12,22.45%,58
85,Rīgas 15. vidusskola,8533113,ANG12,36.17%,17
85,Rīgas 15. vidusskola,8533113,LAT12,27.40%,17
85,Rīgas 15. vidusskola,8533113,MAT12,34.93%,17
85,Rīgas 92. vidusskola,8533126,ANG12,49.99%,43
85,Rīgas 92. vidusskola,8533126,LAT12,29.16%,46
85,Rīgas 92. vidusskola,8533126,MAT12,35.62%,44
85,Rīgas Ukraiņu vidusskola,8534145,ANG12,64.58%,9
85,Rīgas Ukraiņu vidusskola,8534145,LAT12,40.34%,7
85,Rīgas Ukraiņu vidusskola,8534145,MAT12,41.69%,7
85,Rīgas Tālmācības vidusskola,8541105,ANG12,66.94%,95
85,Rīgas Tālmācības vidusskola,8541105,LAT12,45.30%,115
85,Rīgas Tālmācības vidusskola,8541105,MAT12,19.37%,117
85,"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,ANG12,66.99%,48
85,"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,LAT12,43.49%,58
85,"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,MAT12,23.89%,57
85,Rīgas vakara ģimnāzija,8543147,ANG12,53.53%,93
85,Rīgas vakara ģimnāzija,8543147,LAT12,42.07%,115
85,Rīgas vakara ģimnāzija,8543147,MAT12,26.51%,114
85,Rīgas 1. Tālmācības vidusskola,8543150,ANG12,58.86%,100
85,Rīgas 1. Tālmācības vidusskola,8543150,LAT12,45.56%,134
85,Rīgas 1. Tālmācības vidusskola,8543150,MAT12,16.79%,134
85,Eiropas Tālmācības vidusskola,8543151,ANG12,55.88%,61
85,Eiropas Tālmācības vidusskola,8543151,LAT12,35.71%,79
85,Eiropas Tālmācības vidusskola,8543151,MAT12,19.43%,74
85,"Rīgas ģimnāzija ""Maksima""",8551131,ANG12,77.89%,4
85,"Rīgas ģimnāzija ""Maksima""",8551131,LAT12,59.31%,5
85,"Rīgas ģimnāzija ""Maksima""",8551131,MAT12,68.62%,5
85,Rīgas pilsētas Pļavnieku ģimnāzija,8551138,ANG12,67.93%,36
85,Rīgas pilsētas Pļavnieku ģimnāzija,8551138,LAT12,61.02%,44
85,Rīgas pilsētas Pļavnieku ģimnāzija,8551138,MAT12,39.46%,44
85,Rīgas Celtniecības koledža,8571128,ANG12,51.88%,89
85,Rīgas Celtniecības koledža,8571128,LAT12,37.16%,90
85,Rīgas Celtniecības koledža,8571128,MAT12,32.53%,91
86,"privātā vidusskola ""Norma""",8631109,ANG12,52.06%,10
86,"privātā vidusskola ""Norma""",8631109,LAT12,30.39%,10
86,"privātā vidusskola ""Norma""",8631109,MAT12,30.06%,10
86,Rīgas 45. vidusskola,8631117,ANG12,75.71%,30
86,Rīgas 45. vidusskola,8631117,LAT12,51.43%,34
86,Rīgas 45. vidusskola,8631117,MAT12,30.81%,34
86,Rīgas 49. vidusskola,8631118,ANG12,77.30%,52
86,Rīgas 49. vidusskola,8631118,LAT12,68.23%,62
86,Rīgas 49. vidusskola,8631118,MAT12,59.17%,62
86,Rīgas 64. vidusskola,8631122,ANG12,81.23%,54
86,Rīgas 64. vidusskola,8631122,LAT12,70.52%,54
86,Rīgas 64. vidusskola,8631122,MAT12,59.10%,54
86,Rīgas 84. vidusskola,8631125,ANG12,74.89%,46
86,Rīgas 84. vidusskola,8631125,LAT12,57.05%,52
86,Rīgas 84. vidusskola,8631125,MAT12,45.89%,50
86,Rīgas 85. vidusskola,8631126,ANG12,75.32%,15
86,Rīgas 85. vidusskola,8631126,LAT12,58.16%,16
86,Rīgas 85. vidusskola,8631126,MAT12,46.25%,14
86,Rīgas Hanzas vidusskola,8631133,ANG12,71.37%,36
86,Rīgas Hanzas vidusskola,8631133,LAT12,55.76%,39
86,Rīgas Hanzas vidusskola,8631133,MAT12,27.35%,39
86,Rīgas Juglas vidusskola,8631136,ANG12,74.97%,33
86,Rīgas Juglas vidusskola,8631136,LAT12,60.22%,33
86,Rīgas Juglas vidusskola,8631136,MAT12,52.33%,33
86,Rīgas Teikas vidusskola,8631143,ANG12,74.81%,83
86,Rīgas Teikas vidusskola,8631143,LAT12,66.76%,88
86,Rīgas Teikas vidusskola,8631143,MAT12,41.65%,88
86,Rīgas 60. vidusskola,8632120,ANG12,61.63%,34
86,Rīgas 60. vidusskola,8632120,LAT12,42.21%,34
86,Rīgas 60. vidusskola,8632120,MAT12,35.20%,34
86,Rīgas 63. vidusskola,8632121,ANG12,64.85%,22
86,Rīgas 63. vidusskola,8632121,LAT12,43.41%,22
86,Rīgas 63. vidusskola,8632121,MAT12,47.44%,22
86,Rīgas 74. vidusskola,8632123,ANG12,56.42%,27
86,Rīgas 74. vidusskola,8632123,LAT12,36.80%,27
86,Rīgas 74. vidusskola,8632123,MAT12,44.89%,24
86,Rīgas Purvciema vidusskola,8632139,ANG12,71.39%,41
86,Rīgas Purvciema vidusskola,8632139,LAT12,46.17%,46
86,Rīgas Purvciema vidusskola,8632139,MAT12,55.66%,46
86,Š. Dubnova Rīgas Ebreju vidusskola,8632145,ANG12,59.46%,9
86,Š. Dubnova Rīgas Ebreju vidusskola,8632145,LAT12,36.36%,9
86,Š. Dubnova Rīgas Ebreju vidusskola,8632145,MAT12,53.47%,9
86,Biznesa un vadības privātvidusskola,8633102,ANG12,87.83%,1
86,Biznesa un vadības privātvidusskola,8633102,LAT12,50.00%,1
86,Biznesa un vadības privātvidusskola,8633102,MAT12,8.75%,1
86,"Privātā vidusskola ""Klasika""",8633107,ANG12,82.35%,9
86,"Privātā vidusskola ""Klasika""",8633107,LAT12,50.61%,12
86,"Privātā vidusskola ""Klasika""",8633107,MAT12,60.94%,12
86,"Privātā vidusskola ""Laisma""",8633109,ANG12,81.08%,5
86,"Privātā vidusskola ""Laisma""",8633109,LAT12,62.35%,4
86,"Privātā vidusskola ""Laisma""",8633109,MAT12,45.00%,4
86,Rīgas 21. vidusskola,8633113,ANG12,62.26%,17
86,Rīgas 21. vidusskola,8633113,LAT12,36.96%,18
86,Rīgas 21. vidusskola,8633113,MAT12,43.44%,18
86,Rīgas 80. vidusskola,8633124,ANG12,57.39%,37
86,Rīgas 80. vidusskola,8633124,LAT12,33.56%,37
86,Rīgas 80. vidusskola,8633124,MAT12,32.74%,37
86,Rīgas 89. vidusskola,8633127,ANG12,54.73%,20
86,Rīgas 89. vidusskola,8633127,LAT12,36.42%,20
86,Rīgas 89. vidusskola,8633127,MAT12,41.09%,20
86,Rīgas Itas Kozakēvičas Poļu vidusskola,8634135,ANG12,68.38%,21
86,Rīgas Itas Kozakēvičas Poļu vidusskola,8634135,LAT12,45.76%,18
86,Rīgas Itas Kozakēvičas Poļu vidusskola,8634135,MAT12,48.90%,21
86,Rīgas 9. vakara (maiņu) vidusskola,8643128,ANG12,52.63%,36
86,Rīgas 9. vakara (maiņu) vidusskola,8643128,LAT12,41.73%,53
86,Rīgas 9. vakara (maiņu) vidusskola,8643128,MAT12,20.57%,50
86,Rīgas Franču licejs,8651132,ANG12,88.51%,37
86,Rīgas Franču licejs,8651132,LAT12,77.67%,42
86,Rīgas Franču licejs,8651132,MAT12,54.22%,42
86,Rīgas Centra krievu privātģimnāzija,8652130,ANG12,74.46%,7
86,Rīgas Centra krievu privātģimnāzija,8652130,LAT12,32.10%,8
86,Rīgas Centra krievu privātģimnāzija,8652130,MAT12,35.62%,8
86,Rīgas Klasiskā ģimnāzija,8652137,ANG12,74.28%,49
86,Rīgas Klasiskā ģimnāzija,8652137,LAT12,52.61%,55
86,Rīgas Klasiskā ģimnāzija,8652137,MAT12,57.63%,55
86,Jāzepa Mediņa Rīgas Mūzikas vidusskola,8671101,ANG12,71.34%,32
86,Jāzepa Mediņa Rīgas Mūzikas vidusskola,8671101,LAT12,66.54%,33
86,Jāzepa Mediņa Rīgas Mūzikas vidusskola,8671101,MAT12,32.25%,25
86,Rīgas Dizaina un mākslas vidusskola,8671119,ANG12,69.47%,108
86,Rīgas Dizaina un mākslas vidusskola,8671119,LAT12,59.96%,96
86,Rīgas Dizaina un mākslas vidusskola,8671119,MAT12,30.25%,98
86,Rīgas Tirdzniecības profesionālā vidusskola,8671125,ANG12,53.13%,132
86,Rīgas Tirdzniecības profesionālā vidusskola,8671125,LAT12,42.24%,129
86,Rīgas Tirdzniecības profesionālā vidusskola,8671125,MAT12,17.89%,128
86,"Profesionālā vidusskola ""Perspektīva""",8671127,ANG12,21.25%,1
86,"Profesionālā vidusskola ""Perspektīva""",8671127,LAT12,7.38%,1
86,"Profesionālā vidusskola ""Perspektīva""",8671127,MAT12,12.50%,2
86,Rīgas Stila un modes profesionālā vidusskola,8671140,ANG12,41.28%,130
86,Rīgas Stila un modes profesionālā vidusskola,8671140,LAT12,46.23%,127
86,Rīgas Stila un modes profesionālā vidusskola,8671140,MAT12,13.99%,128
86,Rīgas Tehniskā koledža,8671141,ANG12,58.49%,264
86,Rīgas Tehniskā koledža,8671141,LAT12,45.04%,241
86,Rīgas Tehniskā koledža,8671141,MAT12,24.98%,241
86,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,ANG12,42.80%,282
86,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,LAT12,37.35%,277
86,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",8671146,MAT12,12.44%,275
87,Rīgas 47. vidusskola,8731105,ANG12,70.42%,26
87,Rīgas 47. vidusskola,8731105,LAT12,53.45%,26
87,Rīgas 47. vidusskola,8731105,MAT12,33.15%,26
87,Rīgas 94. vidusskola,8731110,ANG12,73.53%,19
87,Rīgas 94. vidusskola,8731110,LAT12,61.98%,24
87,Rīgas 94. vidusskola,8731110,MAT12,43.54%,24
87,Rīgas 53. vidusskola,8732107,ANG12,58.29%,18
87,Rīgas 53. vidusskola,8732107,LAT12,37.94%,18
87,Rīgas 53. vidusskola,8732107,MAT12,31.98%,18
87,Rīgas 61. vidusskola,8732108,ANG12,40.70%,13
87,Rīgas 61. vidusskola,8732108,LAT12,32.16%,13
87,Rīgas 61. vidusskola,8732108,MAT12,26.11%,13
87,Rīgas 95. vidusskola,8732111,ANG12,63.53%,43
87,Rīgas 95. vidusskola,8732111,LAT12,41.82%,43
87,Rīgas 95. vidusskola,8732111,MAT12,51.51%,43
87,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,ANG12,49.08%,3
87,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,LAT12,16.67%,3
87,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,MAT12,30.83%,3
87,Rīgas 14. vakara (maiņu) vidusskola,8743103,ANG12,48.24%,69
87,Rīgas 14. vakara (maiņu) vidusskola,8743103,LAT12,38.48%,70
87,Rīgas 14. vakara (maiņu) vidusskola,8743103,MAT12,19.15%,67
87,Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,ANG12,37.83%,2
87,Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,LAT12,39.12%,7
87,Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,MAT12,22.50%,7
87,Rīgas Angļu ģimnāzija,8751112,ANG12,83.13%,56
87,Rīgas Angļu ģimnāzija,8751112,LAT12,60.64%,56
87,Rīgas Angļu ģimnāzija,8751112,MAT12,40.71%,56
87,Rīgas Katoļu ģimnāzija,8751118,ANG12,74.79%,9
87,Rīgas Katoļu ģimnāzija,8751118,LAT12,61.55%,9
87,Rīgas Katoļu ģimnāzija,8751118,MAT12,36.25%,9
87,Ziemeļvalstu ģimnāzija,8751128,ANG12,76.61%,27
87,Ziemeļvalstu ģimnāzija,8751128,LAT12,65.32%,27
87,Ziemeļvalstu ģimnāzija,8751128,MAT12,48.22%,27
87,Rīgas Zolitūdes ģimnāzija,8752125,ANG12,71.05%,79
87,Rīgas Zolitūdes ģimnāzija,8752125,LAT12,44.08%,84
87,Rīgas Zolitūdes ģimnāzija,8752125,MAT12,48.76%,84
87,Āgenskalna Valsts ģimnāzija,8761103,ANG12,82.62%,133
87,Āgenskalna Valsts ģimnāzija,8761103,LAT12,80.40%,140
87,Āgenskalna Valsts ģimnāzija,8761103,MAT12,57.43%,140
87,Rīgas Mūzikas internātvidusskola,8781118,ANG12,54.57%,8
87,Rīgas Mūzikas internātvidusskola,8781118,LAT12,57.67%,8
87,Rīgas Mūzikas internātvidusskola,8781118,MAT12,26.07%,7
88,Rīgas 28. vidusskola,8831107,ANG12,59.05%,11
88,Rīgas 28. vidusskola,8831107,LAT12,56.73%,13
88,Rīgas 28. vidusskola,8831107,MAT12,21.92%,13
88,Rīgas 31. vidusskola,8831109,ANG12,68.69%,14
88,Rīgas 31. vidusskola,8831109,LAT12,68.06%,15
88,Rīgas 31. vidusskola,8831109,MAT12,36.83%,15
88,Rīgas Jāņa Poruka vidusskola,8831113,ANG12,61.87%,24
88,Rīgas Jāņa Poruka vidusskola,8831113,LAT12,60.04%,28
88,Rīgas Jāņa Poruka vidusskola,8831113,MAT12,24.00%,28
88,Rīgas Kultūru vidusskola,8831114,ANG12,80.70%,55
88,Rīgas Kultūru vidusskola,8831114,LAT12,68.22%,55
88,Rīgas Kultūru vidusskola,8831114,MAT12,39.01%,55
88,RTU inženierzinātņu vidusskola,8831115,LAT12,67.04%,2
88,RTU inženierzinātņu vidusskola,8831115,MAT12,67.19%,2
88,Puškina licejs,8832103,ANG12,55.37%,21
88,Puškina licejs,8832103,LAT12,31.42%,20
88,Puškina licejs,8832103,MAT12,48.40%,18
88,Rīgas 10. vidusskola,8832104,ANG12,69.44%,38
88,Rīgas 10. vidusskola,8832104,LAT12,46.85%,43
88,Rīgas 10. vidusskola,8832104,MAT12,62.86%,43
88,Rīgas 29. vidusskola,8832108,ANG12,40.89%,4
88,Rīgas 29. vidusskola,8832108,LAT12,26.79%,6
88,Rīgas 29. vidusskola,8832108,MAT12,19.38%,4
88,Rīgas 46. vidusskola,8832111,ANG12,57.69%,20
88,Rīgas 46. vidusskola,8832111,LAT12,30.99%,20
88,Rīgas 46. vidusskola,8832111,MAT12,37.75%,20
88,Rīgas Rīnūžu vidusskola,8832117,ANG12,59.59%,18
88,Rīgas Rīnūžu vidusskola,8832117,LAT12,34.97%,18
88,Rīgas Rīnūžu vidusskola,8832117,MAT12,47.05%,18
88,Rīgas 13. vidusskola,8833105,ANG12,77.75%,20
88,Rīgas 13. vidusskola,8833105,LAT12,52.73%,21
88,Rīgas 13. vidusskola,8833105,MAT12,65.80%,21
88,Rīgas 37. vidusskola,8833110,ANG12,57.76%,17
88,Rīgas 37. vidusskola,8833110,LAT12,30.74%,17
88,Rīgas 37. vidusskola,8833110,MAT12,45.96%,17
88,Rīgas 18. vakara (maiņu) vidusskola,8843106,ANG12,44.83%,37
88,Rīgas 18. vakara (maiņu) vidusskola,8843106,LAT12,34.90%,33
88,Rīgas 18. vakara (maiņu) vidusskola,8843106,MAT12,18.64%,33
88,Rīgas Valsts 2. ģimnāzija,8861121,ANG12,85.64%,171
88,Rīgas Valsts 2. ģimnāzija,8861121,LAT12,76.16%,183
88,Rīgas Valsts 2. ģimnāzija,8861121,MAT12,61.95%,182
88,"Profesionālā vidusskola ""RIMAN""",8871101,LAT12,4.26%,2
88,Banku Augstskolas Uzņēmējdarbības koledža,8871119,ANG12,55.90%,27
88,Banku Augstskolas Uzņēmējdarbības koledža,8871119,LAT12,46.33%,27
88,Banku Augstskolas Uzņēmējdarbības koledža,8871119,MAT12,14.28%,26
88,Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,ANG12,34.75%,7
88,Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,LAT12,13.86%,5
88,Rīgas Uzņēmējdarbības tehniskā vidusskola,8871128,MAT12,11.25%,7
88,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",8871132,ANG12,50.79%,315
88,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",8871132,LAT12,38.97%,310
88,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",8871132,MAT12,24.59%,311
88,Rīgas 66. speciālā vidusskola,8883112,ANG12,57.16%,16
88,Rīgas 66. speciālā vidusskola,8883112,LAT12,51.10%,16
88,Rīgas 66. speciālā vidusskola,8883112,MAT12,42.26%,16
89,Rojas vidusskola,8931402,ANG12,71.83%,18
89,Rojas vidusskola,8931402,LAT12,67.79%,19
89,Rojas vidusskola,8931402,MAT12,35.43%,19
90,Ropažu vidusskola,9031301,ANG12,56.46%,9
90,Ropažu vidusskola,9031301,LAT12,44.77%,10
90,Ropažu vidusskola,9031301,MAT12,21.25%,10
92,Rugāju novada vidusskola,9231402,ANG12,66.46%,12
92,Rugāju novada vidusskola,9231402,LAT12,62.40%,12
92,Rugāju novada vidusskola,9231402,MAT12,48.07%,12
93,Pilsrundāles vidusskola,9331401,ANG12,69.38%,9
93,Pilsrundāles vidusskola,9331401,LAT12,61.41%,11
93,Pilsrundāles vidusskola,9331401,MAT12,55.91%,11
93,Kandavas Lauksaimniecības tehnikums Saulaines teriotoriālā struktūrvienība,9371402,ANG12,34.08%,28
93,Kandavas Lauksaimniecības tehnikums Saulaines teriotoriālā struktūrvienība,9371402,LAT12,34.25%,39
93,Kandavas Lauksaimniecības tehnikums Saulaines teriotoriālā struktūrvienība,9371402,MAT12,11.98%,40
94,Rūjienas vidusskola,9431304,ANG12,60.36%,18
94,Rūjienas vidusskola,9431304,LAT12,57.19%,18
94,Rūjienas vidusskola,9431304,MAT12,30.31%,18
95,Salacgrīvas vidusskola,9531303,ANG12,67.39%,32
95,Salacgrīvas vidusskola,9531303,LAT12,62.57%,32
95,Salacgrīvas vidusskola,9531303,MAT12,48.24%,32
95,Liepupes vidusskola,9531402,ANG12,62.89%,7
95,Liepupes vidusskola,9531402,LAT12,44.48%,7
95,Liepupes vidusskola,9531402,MAT12,26.61%,7
96,Salas vidusskola,9631404,ANG12,69.41%,6
96,Salas vidusskola,9631404,LAT12,60.51%,6
96,Salas vidusskola,9631404,MAT12,40.00%,6
97,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,ANG12,72.59%,15
97,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,LAT12,59.24%,18
97,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,MAT12,42.15%,18
97,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,ANG12,73.27%,8
97,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,LAT12,42.18%,8
97,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,MAT12,49.79%,9
98,Saldus 2. vidusskola,9831302,ANG12,71.75%,41
98,Saldus 2. vidusskola,9831302,LAT12,65.74%,42
98,Saldus 2. vidusskola,9831302,MAT12,56.16%,42
98,Saldus 1.vidusskola,9831303,ANG12,62.24%,28
98,Saldus 1.vidusskola,9831303,LAT12,63.14%,28
98,Saldus 1.vidusskola,9831303,MAT12,44.53%,28
98,Saldus novada pašvaldības Druvas vidusskola,9831405,ANG12,72.66%,22
98,Saldus novada pašvaldības Druvas vidusskola,9831405,LAT12,69.93%,22
98,Saldus novada pašvaldības Druvas vidusskola,9831405,MAT12,51.67%,22
98,Saldus novada pašvaldības Ezeres vidusskola,9831406,ANG12,62.21%,10
98,Saldus novada pašvaldības Ezeres vidusskola,9831406,LAT12,51.59%,10
98,Saldus novada pašvaldības Ezeres vidusskola,9831406,MAT12,27.56%,10
98,Saldus novada pašvaldības Kalnu vidusskola,9831408,ANG12,50.72%,15
98,Saldus novada pašvaldības Kalnu vidusskola,9831408,LAT12,42.04%,17
98,Saldus novada pašvaldības Kalnu vidusskola,9831408,MAT12,15.18%,17
98,Saldus Vakara vidusskola,9841322,ANG12,39.81%,15
98,Saldus Vakara vidusskola,9841322,LAT12,46.59%,21
98,Saldus Vakara vidusskola,9841322,MAT12,17.44%,20
98,Saldus tehnikums,9871320,ANG12,47.77%,94
98,Saldus tehnikums,9871320,LAT12,39.59%,94
98,Saldus tehnikums,9871320,MAT12,18.24%,94
99,Saulkrastu vidusskola,9931301,ANG12,68.16%,10
99,Saulkrastu vidusskola,9931301,LAT12,63.41%,13
99,Saulkrastu vidusskola,9931301,MAT12,42.88%,13
99,Zvejniekciema vidusskola,9931302,ANG12,64.30%,14
99,Zvejniekciema vidusskola,9931302,LAT12,59.17%,13
