Novads,Nosaukums,Kopvērtējums,Priekšmets
Rīgas pilsēta (Latgales priekšp.),Rīgas 32. vidusskola,61.62%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 51. vidusskola,58.20%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 65. vidusskola,55.76%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 72. vidusskola,66.03%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 75. vidusskola,65.80%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 86. vidusskola,65.11%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 88. vidusskola,66.30%,ANG9
Rīgas pilsēta (Latgales priekšp.),J.G.Herdera Rīgas Grīziņkalna vidusskola,57.74%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Sergeja Žoltoka vidusskola,66.84%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Ķengaraga vidusskola,67.45%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 1. vidusskola,64.09%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 15. vidusskola,58.35%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 92. vidusskola,59.02%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Ukraiņu vidusskola,85.20%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Tālmācības vidusskola,67.30%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Tālmācības vidusskola ""Rīgas Komercskola""",74.50%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas vakara ģimnāzija,50.88%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 1. Tālmācības vidusskola,76.25%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas pilsētas Pļavnieku ģimnāzija,79.56%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Lastādijas internātpamatskola,47.50%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Mežciema pamatskola,80.17%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Ezerkrastu pamatskola,74.54%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 45. vidusskola,79.83%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 49. vidusskola,81.84%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 64. vidusskola,80.91%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 84. vidusskola,78.98%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 85. vidusskola,76.87%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Hanzas vidusskola,85.62%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Juglas vidusskola,80.76%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Teikas vidusskola,81.86%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Privātā alternatīvā vidusskola,76.00%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 63. vidusskola,55.42%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 74. vidusskola,61.21%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Purvciema vidusskola,73.75%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Š. Dubnova Rīgas Ebreju vidusskola,60.60%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),"Privātā vidusskola ""Klasika""",83.91%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),"Privātā vidusskola ""Laisma""",50.00%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 21. vidusskola,55.07%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 80. vidusskola,72.96%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 89. vidusskola,71.71%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Itas Kozakēvičas Poļu vidusskola,71.60%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 9. vakara (maiņu) vidusskola,55.47%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Centra krievu privātģimnāzija,85.00%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Klasiskā ģimnāzija,78.32%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Friča Brīvzemnieka pamatskola,76.08%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Igauņu pamatskola,66.44%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Pārdaugavas pamatskola,62.74%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 47. vidusskola,78.64%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 94. vidusskola,73.65%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 53. vidusskola,56.95%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 61. vidusskola,50.57%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 95. vidusskola,63.60%,ANG9
Rīgas pilsēta (Zemgales priekšp.),"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",74.15%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 14. vakara (maiņu) vidusskola,49.50%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Angļu ģimnāzija,82.88%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Katoļu ģimnāzija,78.17%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Ziemeļvalstu ģimnāzija,79.05%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Zolitūdes ģimnāzija,71.15%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Āgenskalna Valsts ģimnāzija,87.63%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Mūzikas internātvidusskola,62.77%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 7. pamatskola,65.00%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 28. vidusskola,58.31%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 31. vidusskola,76.87%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Jāņa Poruka vidusskola,83.43%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Kultūru vidusskola,81.39%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Puškina licejs,61.05%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 10. vidusskola,77.33%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 29. vidusskola,46.53%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 46. vidusskola,58.84%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Rīnūžu vidusskola,63.71%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 13. vidusskola,70.51%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 37. vidusskola,60.88%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 18. vakara (maiņu) vidusskola,65.50%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Valsts 2. ģimnāzija,86.73%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 66. speciālā vidusskola,78.00%,ANG9
Rojas novads,Mērsraga vidusskola,76.67%,ANG9
Rojas novads,Rojas vidusskola,71.43%,ANG9
Ropažu novads,Zaķumuižas pamatskola,74.31%,ANG9
Ropažu novads,Ropažu vidusskola,72.85%,ANG9
Rucavas novads,Rucavas pamatskola,76.00%,ANG9
Rucavas novads,Sikšņu pamatskola,43.50%,ANG9
Rugāju novads,Rugāju novada Eglaines pamatskola,62.38%,ANG9
Rugāju novads,Rugāju novada vidusskola,54.64%,ANG9
Rundāles novads,Pilsrundāles vidusskola,65.63%,ANG9
Rūjienas novads,Jeru pamatskola,48.44%,ANG9
Rūjienas novads,Rūjienas vidusskola,62.04%,ANG9
Salacgrīvas novads,Krišjāņa Valdemāra Ainažu pamatskola,60.60%,ANG9
Salacgrīvas novads,Salacgrīvas vidusskola,73.26%,ANG9
Salacgrīvas novads,Liepupes vidusskola,85.14%,ANG9
Salas novads,Biržu pamatskola,69.67%,ANG9
Salas novads,Salas vidusskola,68.89%,ANG9
Salas novads,Biržu internātpamatskola,64.45%,ANG9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",74.51%,ANG9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",60.62%,ANG9
Saldus novads,Saldus pamatskola,76.50%,ANG9
Saldus novads,Saldus novada pašvaldības Jaunlutriņu pamatskola,54.88%,ANG9
Saldus novads,Saldus novada pašvaldības Kursīšu pamatskola,64.57%,ANG9
Saldus novads,Saldus novada pašvaldības Lutriņu pamatskola,64.38%,ANG9
Saldus novads,Saldus novada pašvaldības Nīgrandes pamatskola,63.64%,ANG9
Saldus novads,Saldus novada pašvaldības Pampāļu pamatskola,47.00%,ANG9
Saldus novads,Saldus novada pašvaldības Rubas pamatskola,82.50%,ANG9
Saldus novads,Saldus novada pašvaldības Striķu pamatskola,64.80%,ANG9
Saldus novads,Saldus novada pašvaldības Zirņu pamatskola,63.25%,ANG9
Saldus novads,Saldus 2. vidusskola,71.76%,ANG9
Saldus novads,Saldus 1.vidusskola,74.83%,ANG9
Saldus novads,Saldus novada pašvaldības Druvas vidusskola,79.34%,ANG9
Saldus novads,Saldus novada pašvaldības Ezeres vidusskola,61.88%,ANG9
Saldus novads,Saldus novada pašvaldības Kalnu vidusskola,55.75%,ANG9
Saldus novads,Saldus Vakara vidusskola,52.25%,ANG9
Saldus novads,Saldus novada pašvaldības Cieceres internātpamatskola,54.78%,ANG9
Saulkrastu novads,Saulkrastu vidusskola,77.62%,ANG9
Saulkrastu novads,Zvejniekciema vidusskola,80.89%,ANG9
Sējas novads,Sējas pamatskola,77.36%,ANG9
Siguldas novads,Siguldas 1. pamatskola,68.72%,ANG9
Siguldas novads,Allažu pamatskola,63.00%,ANG9
Siguldas novads,Mores pamatskola,70.00%,ANG9
Siguldas novads,Siguldas pilsētas vidusskola,67.75%,ANG9
Siguldas novads,Siguldas Valsts ģimnāzija,85.66%,ANG9
Skrīveru novads,Andreja Upīša Skrīveru vidusskola,74.52%,ANG9
Skrundas novads,Nīkrāces pamatskola,66.20%,ANG9
Skrundas novads,Oskara Kalpaka Rudbāržu pamatskola,49.78%,ANG9
Skrundas novads,Skrundas vidusskola,69.36%,ANG9
Skrundas novads,Skrundas Profesionālā vidusskola,49.75%,ANG9
Smiltenes novads,Blomes pamatskola,63.00%,ANG9
Smiltenes novads,Grundzāles pamatskola,76.00%,ANG9
Smiltenes novads,Palsmanes pamatskola,63.44%,ANG9
Smiltenes novads,Variņu pamatskola,64.67%,ANG9
Smiltenes novads,Smiltenes Centra vidusskola,62.87%,ANG9
Smiltenes novads,Smiltenes ģimnāzija,71.73%,ANG9
Stopiņu novads,Stopiņu pamatskola,71.67%,ANG9
Stopiņu novads,Ulbrokas vidusskola,71.34%,ANG9
Stopiņu novads,Upesleju internātpamatskola – rehabilitācijas centrs,65.20%,ANG9
Strenču novads,Strenču novada vidusskola,69.58%,ANG9
Talsu novads,Stendes pamatskola,65.00%,ANG9
Talsu novads,Talsu pamatskola,76.40%,ANG9
Talsu novads,"filiāle ""Laidzes pamatskola""",67.78%,ANG9
Talsu novads,Laucienes pamatskola,67.18%,ANG9
Talsu novads,Laucienes pamatskolas filiāle,73.00%,ANG9
Talsu novads,Pastendes pamatskola,87.83%,ANG9
Talsu novads,Pūņu pamatskola,64.38%,ANG9
Talsu novads,Virbu pamatskola,70.40%,ANG9
Talsu novads,Vandzenes pamatskola,62.43%,ANG9
Talsu novads,Sabiles vidusskola,63.75%,ANG9
Talsu novads,Talsu 2. vidusskola,71.28%,ANG9
Talsu novads,Talsu Kristīgā vidusskola,79.06%,ANG9
Talsu novads,Valdemārpils vidusskola,67.15%,ANG9
Talsu novads,Talsu novada Vakara un neklātienes vidusskola,49.88%,ANG9
Talsu novads,Talsu Valsts ģimnāzija,81.67%,ANG9
Tērvetes novads,Annas Brigaderes pamatskola,79.33%,ANG9
Tērvetes novads,Augstkalnes vidusskola,65.36%,ANG9
Tukuma novads,Tukuma 2. pamatskola,72.91%,ANG9
Tukuma novads,Tukuma E. Birznieka-Upīša 1. pamatskola,63.79%,ANG9
Tukuma novads,Džūkstes pamatskola,65.20%,ANG9
Tukuma novads,Pūres pamatskola,67.11%,ANG9
Tukuma novads,Tukuma 3. pamatskola,68.57%,ANG9
Tukuma novads,Tukuma 2. vidusskola,74.14%,ANG9
Tukuma novads,Irlavas vidusskola,56.13%,ANG9
Tukuma novads,Tumes vidusskola,55.33%,ANG9
Tukuma novads,Zemgales vidusskola,61.71%,ANG9
Tukuma novads,Tukuma Vakara un neklātienes vidusskola,60.63%,ANG9
Tukuma novads,Tukuma Raiņa ģimnāzija,80.86%,ANG9
Vaiņodes novads,Vaiņodes vidusskola,71.28%,ANG9
Vaiņodes novads,Vaiņodes internātpamatskola,54.75%,ANG9
Valkas novads,Valkas pamatskola,68.60%,ANG9
Valkas novads,Ērģemes pamatskola,51.50%,ANG9
Valkas novads,Kārķu pamatskola,96.50%,ANG9
Valkas novads,Ozolu pamatskola,62.80%,ANG9
Valkas novads,Vijciema pamatskola,62.43%,ANG9
Valkas novads,Valkas ģimnāzija,87.48%,ANG9
Valmieras novads,Jaunburtnieku pamatskola,55.22%,ANG9
Valmieras novads,Jura Neikena Dikļu pamatskola,75.00%,ANG9
Valmieras novads,Kocēnu pamatskola,80.38%,ANG9
Valmieras novads,Rubenes pamatskola,77.25%,ANG9
Valmieras pilsēta,Valmieras 5. vidusskola,52.88%,ANG9
Valmieras pilsēta,Valmieras Viestura vidusskola,75.02%,ANG9
Valmieras pilsēta,Valmieras 2. vidusskola,65.12%,ANG9
Valmieras pilsēta,Valmieras 2.vidusskolas filiāle,52.57%,ANG9
Valmieras pilsēta,Valmieras Pārgaujas ģimnāzija,71.11%,ANG9
Valmieras pilsēta,Valmieras Valsts ģimnāzija,78.48%,ANG9
Varakļānu novads,Varakļānu novada pašvaldības Stirnienes pamatskola,68.00%,ANG9
Varakļānu novads,Varakļānu vidusskola,71.33%,ANG9
Vārkavas novads,Vārkavas pamatskola,68.00%,ANG9
Vārkavas novads,Vārkavas vidusskola,69.67%,ANG9
Vecpiebalgas novads,Dzērbenes vispārizglītojošā un mūzikas pamatskola,60.50%,ANG9
Vecpiebalgas novads,Inešu pamatskola,96.50%,ANG9
Vecpiebalgas novads,Taurenes pamatskola,68.50%,ANG9
Vecpiebalgas novads,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,33.00%,ANG9
Vecpiebalgas novads,Vecpiebalgas vidusskola,67.88%,ANG9
Vecumnieku novads,Stelpes pamatskola,61.00%,ANG9
Vecumnieku novads,Misas vidusskola,65.00%,ANG9
Vecumnieku novads,Skaistkalnes vidusskola,69.33%,ANG9
Vecumnieku novads,Vecumnieku novada Domes Valles vidusskola,69.22%,ANG9
Vecumnieku novads,Vecumnieku vidusskola,52.50%,ANG9
Ventspils novads,Ances pamatskola,63.86%,ANG9
Ventspils novads,Jūrkalnes pamatskola,75.00%,ANG9
Ventspils novads,Popes pamatskola,69.89%,ANG9
Ventspils novads,Puzes pamatskola,74.25%,ANG9
Ventspils novads,Tārgales pamatskola,69.50%,ANG9
Ventspils novads,Užavas pamatskola,61.67%,ANG9
Ventspils novads,Zlēku pamatskola,61.80%,ANG9
Ventspils novads,Zūru pamatskola,62.43%,ANG9
Ventspils novads,Piltenes vidusskola,66.27%,ANG9
Ventspils novads,Ugāles vidusskola,66.20%,ANG9
Ventspils pilsēta,Ventspils 1. pamatskola,75.41%,ANG9
Ventspils pilsēta,Ventspils 2. pamatskola,71.20%,ANG9
Ventspils pilsēta,Ventspils 4. vidusskola,80.97%,ANG9
Ventspils pilsēta,Ventspils 5. vidusskola,78.25%,ANG9
Ventspils pilsēta,Ventspils 2. vidusskola,70.51%,ANG9
Ventspils pilsēta,Ventspils 3. vidusskola,62.69%,ANG9
Ventspils pilsēta,Ventspils 6. vidusskola,75.60%,ANG9
Ventspils pilsēta,Ventspils vakara vidusskola,42.44%,ANG9
Ventspils pilsēta,Ventspils 1. ģimnāzija,82.02%,ANG9
Viesītes novads,Rites pamatskola,55.00%,ANG9
Viesītes novads,Viesītes vidusskola,75.00%,ANG9
Viļakas novads,Viduču pamatskola,76.33%,ANG9
Viļakas novads,Žīguru pamatskola,87.00%,ANG9
Viļakas novads,Rekavas vidusskola,60.67%,ANG9
Viļakas novads,Viļakas Valsts ģimnāzija,67.44%,ANG9
Viļānu novads,Dekšāru pamatskola,56.00%,ANG9
Viļānu novads,Viļānu vidusskola,67.96%,ANG9
Zilupes novads,Zilupes vidusskola,40.06%,ANG9
Aglonas novads,Priežmalas pamatskola,55.15%,LAT9
Aglonas novads,Aglonas vidusskola,67.86%,LAT9
Aglonas novads,Aglonas Katoļu ģimnāzija,63.18%,LAT9
Aglonas novads,Aglonas internātvidusskola,47.45%,LAT9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,43.82%,LAT9
Aizkraukles novads,Aizkraukles novada ģimnāzija,63.55%,LAT9
Aizputes novads,Apriķu pamatskola,51.70%,LAT9
Aizputes novads,Dzērves pamatskola,68.75%,LAT9
Aizputes novads,Kalvenes pamatskola,76.00%,LAT9
Aizputes novads,Māteru Jura Kazdangas pamatskola,70.00%,LAT9
Aizputes novads,Aizputes vidusskola,62.03%,LAT9
Aknīstes novads,Asares pamatskola,59.09%,LAT9
Aknīstes novads,Gārsenes pamatskola,57.73%,LAT9
Aknīstes novads,Aknīstes vidusskola,66.95%,LAT9
Alojas novads,Ozolmuižas pamatskola,50.00%,LAT9
Alojas novads,Alojas Ausekļa vidusskola,66.14%,LAT9
Alojas novads,Staiceles vidusskola,52.47%,LAT9
Alsungas novads,Alsungas vidusskola,65.57%,LAT9
Alūksnes novads,Bejas pamatskola,56.06%,LAT9
Alūksnes novads,Ilzenes pamatskola,67.02%,LAT9
Alūksnes novads,Jaunlaicenes pamatskola,66.36%,LAT9
Alūksnes novads,Malienas pamatskola,68.64%,LAT9
Alūksnes novads,Mālupes pamatskola,72.73%,LAT9
Alūksnes novads,Mārkalnes pamatskola,64.24%,LAT9
Alūksnes novads,Pededzes pamatskola,63.51%,LAT9
Alūksnes novads,Strautiņu pamatskola,64.27%,LAT9
Alūksnes novads,Ziemeru pamatskola,68.86%,LAT9
Alūksnes novads,Jaunannas Mūzikas un mākslas pamatskola,62.27%,LAT9
Alūksnes novads,Alūksnes novada vidusskola,53.67%,LAT9
Alūksnes novads,Liepnas vidusskola,67.55%,LAT9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,56.57%,LAT9
Alūksnes novads,Liepnas internātpamatskola,53.71%,LAT9
Amatas novads,Amatas pamatskola,62.32%,LAT9
Amatas novads,Sērmūkšu pamatskola,37.73%,LAT9
Amatas novads,Skujenes pamatskola,80.00%,LAT9
Amatas novads,Zaubes pamatskola,62.27%,LAT9
Amatas novads,Nītaures vidusskola,61.95%,LAT9
Amatas novads,Drabešu internātpamatskola,47.27%,LAT9
Apes novads,Vidagas Sikšņu pamatskola,53.64%,LAT9
Apes novads,Trapenes pamatskola,48.64%,LAT9
Apes novads,Dāvja Ozoliņa Apes vidusskola,63.03%,LAT9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,62.59%,LAT9
Apes novads,Gaujienas internātpamatskola,61.17%,LAT9
Auces novads,Auces vidusskola,64.03%,LAT9
Auces novads,Bēnes vidusskola,67.53%,LAT9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,60.27%,LAT9
Ādažu novads,Ādažu vidusskola,59.50%,LAT9
Babītes novads,Babītes vidusskola,61.47%,LAT9
Baldones novads,Baldones Mūzikas pamatskola,70.45%,LAT9
Baldones novads,Baldones vidusskola,68.57%,LAT9
Baltinavas novads,Baltinavas vidusskola,59.24%,LAT9
Balvu novads,Briežuciema pamatskola,53.33%,LAT9
Balvu novads,Stacijas pamatskola,59.27%,LAT9
Balvu novads,Balvu profesionālā un vispārizglītojošā vidusskola,54.26%,LAT9
Balvu novads,Bērzpils vidusskola,63.06%,LAT9
Balvu novads,Tilžas vidusskola,45.00%,LAT9
Balvu novads,Tilžas vidusskolas Vectilžas filiāle,62.12%,LAT9
Balvu novads,Balvu Valsts ģimnāzija,73.74%,LAT9
Balvu novads,Tilžas internātpamatskola,48.70%,LAT9
Bauskas novads,Bauskas pilsētas pamatskola,69.76%,LAT9
Bauskas novads,Codes pamatskola,57.37%,LAT9
Bauskas novads,Griķu pamatskola,68.89%,LAT9
Bauskas novads,Jaunsaules pamatskola,75.64%,LAT9
Bauskas novads,Mežgaļu pamatskola,69.74%,LAT9
Bauskas novads,Mežotnes pamatskola,65.00%,LAT9
Bauskas novads,Ozolaines pamatskola,74.55%,LAT9
Bauskas novads,Vecsaules pamatskola,62.27%,LAT9
Bauskas novads,Bauskas 2. vidusskola,70.02%,LAT9
Bauskas novads,Īslīces vidusskola,64.23%,LAT9
Bauskas novads,Uzvaras vidusskola,73.96%,LAT9
Bauskas novads,Bauskas Valsts ģimnāzija,71.25%,LAT9
Bauskas novads,Mežotnes internātvidusskola,50.78%,LAT9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,68.33%,LAT9
Beverīnas novads,Trikātas pamatskola,69.09%,LAT9
Brocēnu novads,Blīdenes pamatskola,66.46%,LAT9
Brocēnu novads,Gaiķu pamatskola,59.55%,LAT9
Brocēnu novads,Remtes pamatskola,66.91%,LAT9
Brocēnu novads,Brocēnu vidusskola,68.16%,LAT9
Burtnieku novads,Ēveles pamatskola,55.45%,LAT9
Burtnieku novads,Matīšu pamatskola,58.75%,LAT9
Burtnieku novads,Rencēnu pamatskola,56.21%,LAT9
Burtnieku novads,Burtnieku Ausekļa vidusskola,55.95%,LAT9
Carnikavas novads,Carnikavas pamatskola,72.55%,LAT9
Cesvaines novads,Cesvaines vidusskola,58.45%,LAT9
Cesvaines novads,Cesvaines internātpamatskola,46.18%,LAT9
Cēsu novads,Cēsu 1. pamatskola,61.50%,LAT9
Cēsu novads,Cēsu 2. pamatskola,67.71%,LAT9
Cēsu novads,Cēsu pilsētas pamatskola,53.93%,LAT9
Cēsu novads,Līvu pamatskola,47.27%,LAT9
Cēsu novads,Rāmuļu pamatskola,57.92%,LAT9
Cēsu novads,Cēsu 2. vidusskola,52.88%,LAT9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,53.03%,LAT9
Cēsu novads,Cēsu Valsts ģimnāzija,81.47%,LAT9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,70.48%,LAT9
Cēsu novads,Cēsu internātpamatskola - rehabilitācijas centrs,67.73%,LAT9
Ciblas novads,Pušmucovas pamatskola,61.70%,LAT9
Ciblas novads,Ciblas vidusskola,53.64%,LAT9
Dagdas novads,Andrupenes pamatskola,46.62%,LAT9
Dagdas novads,Andzeļu pamatskola,41.59%,LAT9
Dagdas novads,Šķaunes pamatskola,80.00%,LAT9
Dagdas novads,Asūnes pamatskola,69.36%,LAT9
Dagdas novads,Dagdas vidusskola,59.20%,LAT9
Dagdas novads,Ezernieku vidusskola,59.09%,LAT9
Daugavpils novads,Kalupes pamatskola,42.00%,LAT9
Daugavpils novads,Naujenes pamatskola,68.94%,LAT9
Daugavpils novads,Nīcgales pamatskola,53.18%,LAT9
Daugavpils novads,Skrudalienas pamatskola,55.45%,LAT9
Daugavpils novads,Sventes vidusskola,51.14%,LAT9
Daugavpils novads,Vaboles vidusskola,68.42%,LAT9
Daugavpils novads,Špoģu vidusskola,62.13%,LAT9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,52.00%,LAT9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,75.02%,LAT9
Daugavpils pilsēta,Daugavpils 12. vidusskola,58.20%,LAT9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,70.17%,LAT9
Daugavpils pilsēta,Daugavpils Būvniecības tehnikums,36.02%,LAT9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,54.29%,LAT9
Dobeles novads,Dobeles Kristīgā pamatskola,53.55%,LAT9
Dobeles novads,Bikstu pamatskola,54.43%,LAT9
Dobeles novads,Gardenes pamatskola,50.91%,LAT9
Dobeles novads,Mežinieku pamatskola,55.05%,LAT9
Dobeles novads,Penkules pamatskola,57.95%,LAT9
Dobeles novads,Dobeles 1. vidusskola,44.72%,LAT9
Dobeles novads,Dobeles Valsts ģimnāzija,65.07%,LAT9
Dobeles novads,Dobeles Amatniecības un vispārizglītojošā vidusskola,45.39%,LAT9
Dundagas novads,Kolkas pamatskola,70.91%,LAT9
Dundagas novads,Dundagas vidusskola,65.45%,LAT9
Durbes novads,A. Spāģa Dunalkas pamatskola,45.45%,LAT9
Durbes novads,Ata Kronvalda Durbes vidusskola,73.64%,LAT9
Engures novads,Lapmežciema pamatskola,87.14%,LAT9
Engures novads,Smārdes pamatskola,68.46%,LAT9
Engures novads,Engures vidusskola,64.36%,LAT9
Ērgļu novads,Jāņa Zālīša Sausnējas pamatskola,53.64%,LAT9
Ērgļu novads,Ērgļu vidusskola,60.18%,LAT9
Garkalnes novads,Garkalnes Mākslu un vispārizglītojošā vidusskola,52.73%,LAT9
Garkalnes novads,Berģu Mūzikas un mākslas pamatskola,55.12%,LAT9
Grobiņas novads,Bārtas pamatskola,56.55%,LAT9
Grobiņas novads,Gaviezes pamatskola,63.18%,LAT9
Grobiņas novads,Kapsēdes pamatskola,68.52%,LAT9
Grobiņas novads,Grobiņas pamatskola,63.02%,LAT9
Grobiņas novads,Grobiņas ģimnāzija,62.66%,LAT9
Gulbenes novads,Daukstes pamatskola,55.00%,LAT9
Gulbenes novads,Druvienas pamatskola,66.36%,LAT9
Gulbenes novads,Galgauskas pamatskola,55.12%,LAT9
Gulbenes novads,K. Valdemāra pamatskola,48.57%,LAT9
Gulbenes novads,Litenes pamatskola,67.05%,LAT9
Gulbenes novads,Rankas pamatskola,56.36%,LAT9
Gulbenes novads,Stāķu pamatskola,53.09%,LAT9
Gulbenes novads,Stāmerienas pamatskola,51.82%,LAT9
Gulbenes novads,Tirzas pamatskola,57.68%,LAT9
Gulbenes novads,Gulbenes 2. vidusskola,53.90%,LAT9
Gulbenes novads,Gulbenes vidusskola,65.41%,LAT9
Gulbenes novads,Gulbīša vidusskola,64.55%,LAT9
Gulbenes novads,Lejasciema vidusskola,65.04%,LAT9
Gulbenes novads,Lizuma vidusskola,69.23%,LAT9
Gulbenes novads,Gulbenes Vakara (maiņu) vidusskola,50.00%,LAT9
Gulbenes novads,Gulbenes novada valsts ģimnāzija,68.21%,LAT9
Gulbenes novads,Rankas Profesionālā vidusskola,52.27%,LAT9
Iecavas novads,Dzimtmisas pamatskola,60.50%,LAT9
Iecavas novads,Iecavas vidusskola,56.44%,LAT9
Iecavas novads,Iecavas internātpamatskola,56.78%,LAT9
Ikšķiles novads,Tīnūžu pamatskola,67.01%,LAT9
Ikšķiles novads,Ikšķiles vidusskola,64.44%,LAT9
Ilūkstes novads,Subates pamatskola,60.10%,LAT9
Ilūkstes novads,Eglaines pamatskola,63.31%,LAT9
Ilūkstes novads,Ilūkstes 1. vidusskola,66.97%,LAT9
Ilūkstes novads,Bebrenes vispārizglītojošā un profesionālā vidusskola,67.00%,LAT9
Inčukalna novads,Inčukalna pamatskola,73.33%,LAT9
Inčukalna novads,Vangažu vidusskola,60.15%,LAT9
Jaunjelgavas novads,Daudzeses pamatskola,62.56%,LAT9
