Priekšmets,Skola,Kopvērtējums
LAT12,Bebrenes Profesionālā vidusskola,47.90%
ANG12,Bebrenes vidusskola,49.30%
MAT12,Bebrenes vidusskola,44.40%
LAT12,Bebrenes vidusskola,55.20%
ANG12,Bēnes vidusskola,40.00%
MAT12,Bēnes vidusskola,25.40%
LAT12,Bēnes vidusskola,56.60%
ANG12,Bērzpils vidusskola,61.60%
MAT12,Bērzpils vidusskola,68.20%
LAT12,Bērzpils vidusskola,72.60%
ANG12,Biznesa un vadības privātvidusskola,56.80%
MAT12,Biznesa un vadības privātvidusskola,34.80%
LAT12,Biznesa un vadības privātvidusskola,56.20%
ANG12,Brāļu Skrindu Atašienes vidusskola,43.20%
MAT12,Brāļu Skrindu Atašienes vidusskola,29.60%
LAT12,Brāļu Skrindu Atašienes vidusskola,45.60%
ANG12,Brocēnu vidusskola,57.40%
MAT12,Brocēnu vidusskola,37.10%
LAT12,Brocēnu vidusskola,60.10%
ANG12,Burtnieku Ausekļa vidusskola,52.60%
MAT12,Burtnieku Ausekļa vidusskola,52.40%
LAT12,Burtnieku Ausekļa vidusskola,59.90%
ANG12,Cēsu 2. vakara (maiņu) vidusskola,25.70%
MAT12,Cēsu 2. vakara (maiņu) vidusskola,17.50%
LAT12,Cēsu 2. vakara (maiņu) vidusskola,33.60%
ANG12,Cēsu 2. vidusskola,43.90%
MAT12,Cēsu 2. vidusskola,28.00%
LAT12,Cēsu 2. vidusskola,48.10%
ANG12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,36.10%
MAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,23.10%
LAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,51.30%
ANG12,Cēsu Profesionālā vidusskola,32.40%
MAT12,Cēsu Profesionālā vidusskola,19.60%
LAT12,Cēsu Profesionālā vidusskola,34.10%
ANG12,Cēsu Valsts ģimnāzija,69.80%
MAT12,Cēsu Valsts ģimnāzija,64.10%
LAT12,Cēsu Valsts ģimnāzija,71.40%
ANG12,Cesvaines vidusskola,57.00%
MAT12,Cesvaines vidusskola,48.10%
LAT12,Cesvaines vidusskola,57.90%
ANG12,Ciblas vidusskola,41.30%
MAT12,Ciblas vidusskola,26.00%
LAT12,Ciblas vidusskola,54.50%
ANG12,Cīravas arodvidusskola,34.90%
MAT12,Cīravas arodvidusskola,33.30%
LAT12,Cīravas arodvidusskola,39.50%
ANG12,Dagdas arodvidusskola,22.40%
MAT12,Dagdas arodvidusskola,36.50%
LAT12,Dagdas arodvidusskola,41.60%
ANG12,Dagdas vidusskola,56.50%
MAT12,Dagdas vidusskola,60.00%
LAT12,Dagdas vidusskola,54.40%
ANG12,Daugavpils 10. vidusskola,51.70%
MAT12,Daugavpils 10. vidusskola,57.50%
LAT12,Daugavpils 10. vidusskola,44.00%
ANG12,Daugavpils 12. vidusskola,59.40%
MAT12,Daugavpils 12. vidusskola,54.30%
LAT12,Daugavpils 12. vidusskola,53.80%
ANG12,Daugavpils 13. vidusskola,48.70%
MAT12,Daugavpils 13. vidusskola,65.60%
LAT12,Daugavpils 13. vidusskola,45.00%
ANG12,Daugavpils 15. vidusskola,51.50%
MAT12,Daugavpils 15. vidusskola,56.30%
LAT12,Daugavpils 15. vidusskola,47.90%
ANG12,Daugavpils 16. vidusskola,43.70%
MAT12,Daugavpils 16. vidusskola,53.20%
LAT12,Daugavpils 16. vidusskola,40.10%
ANG12,Daugavpils 17. vidusskola,40.50%
MAT12,Daugavpils 17. vidusskola,32.40%
LAT12,Daugavpils 17. vidusskola,34.40%
ANG12,Daugavpils 3. vidusskola,58.10%
MAT12,Daugavpils 3. vidusskola,67.20%
LAT12,Daugavpils 3. vidusskola,47.70%
ANG12,Daugavpils 9. vidusskola,62.70%
MAT12,Daugavpils 9. vidusskola,62.50%
LAT12,Daugavpils 9. vidusskola,45.00%
ANG12,Daugavpils Celtnieku profesionālā vidusskola,28.80%
MAT12,Daugavpils Celtnieku profesionālā vidusskola,21.60%
LAT12,Daugavpils Celtnieku profesionālā vidusskola,27.60%
ANG12,Daugavpils Krievu vidusskola - licejs,75.50%
MAT12,Daugavpils Krievu vidusskola - licejs,80.60%
LAT12,Daugavpils Krievu vidusskola - licejs,59.60%
ANG12,"Daugavpils mākslas vidusskola ""Saules skola""",43.20%
MAT12,"Daugavpils mākslas vidusskola ""Saules skola""",28.40%
LAT12,"Daugavpils mākslas vidusskola ""Saules skola""",56.40%
ANG12,Daugavpils Mūzikas vidusskola,42.60%
MAT12,Daugavpils Mūzikas vidusskola,42.50%
LAT12,Daugavpils Mūzikas vidusskola,55.20%
ANG12,Daugavpils pilsētas Centra ģimnāzija,53.10%
MAT12,Daugavpils pilsētas Centra ģimnāzija,59.70%
LAT12,Daugavpils pilsētas Centra ģimnāzija,53.20%
ANG12,Daugavpils Universitāte,39.80%
LAT12,Daugavpils Universitāte,30.40%
ANG12,Daugavpils Valsts ģimnāzija,65.40%
MAT12,Daugavpils Valsts ģimnāzija,68.70%
LAT12,Daugavpils Valsts ģimnāzija,68.20%
ANG12,Daugavpils Valsts tehnikums,35.00%
MAT12,Daugavpils Valsts tehnikums,27.70%
LAT12,Daugavpils Valsts tehnikums,35.00%
ANG12,Dāvja Ozoliņa Apes vidusskola,48.20%
MAT12,Dāvja Ozoliņa Apes vidusskola,31.00%
LAT12,Dāvja Ozoliņa Apes vidusskola,56.40%
ANG12,Dobeles 1. vidusskola,48.40%
MAT12,Dobeles 1. vidusskola,31.20%
LAT12,Dobeles 1. vidusskola,48.90%
ANG12,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,32.10%
MAT12,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,18.90%
LAT12,Dobeles AMAT12niecības un vispārizglītojošā vidusskola,36.50%
ANG12,Dobeles Valsts ģimnāzija,62.50%
MAT12,Dobeles Valsts ģimnāzija,58.30%
LAT12,Dobeles Valsts ģimnāzija,66.80%
ANG12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,70.60%
MAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,64.30%
LAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,69.70%
ANG12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,61.30%
MAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,44.70%
LAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,60.60%
ANG12,Dricānu vidusskola,48.70%
MAT12,Dricānu vidusskola,57.30%
LAT12,Dricānu vidusskola,54.10%
ANG12,Dundagas vidusskola,56.60%
MAT12,Dundagas vidusskola,45.80%
LAT12,Dundagas vidusskola,58.10%
ANG12,Dzērbenes vidusskola,46.50%
MAT12,Dzērbenes vidusskola,36.30%
LAT12,Dzērbenes vidusskola,62.60%
ANG12,Edgara Kauliņa Lielvārdes vidusskola,56.20%
MAT12,Edgara Kauliņa Lielvārdes vidusskola,43.70%
LAT12,Edgara Kauliņa Lielvārdes vidusskola,59.20%
ANG12,Elejas vidusskola,58.90%
MAT12,Elejas vidusskola,55.90%
LAT12,Elejas vidusskola,65.80%
ANG12,Emīla Dārziņa mūzikas vidusskola,67.90%
MAT12,Emīla Dārziņa mūzikas vidusskola,56.80%
LAT12,Emīla Dārziņa mūzikas vidusskola,70.80%
ANG12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,58.70%
MAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,32.90%
LAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,64.60%
ANG12,Engures vidusskola,57.90%
MAT12,Engures vidusskola,56.20%
LAT12,Engures vidusskola,65.00%
ANG12,Ērgļu arodvidusskola,37.10%
MAT12,Ērgļu arodvidusskola,52.30%
LAT12,Ērgļu arodvidusskola,50.40%
ANG12,Ērgļu vidusskola,62.60%
MAT12,Ērgļu vidusskola,61.10%
LAT12,Ērgļu vidusskola,60.30%
ANG12,Ernsta Glika Alūksnes Valsts ģimnāzija,63.50%
MAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,62.30%
LAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,72.30%
ANG12,Ezernieku vidusskola,60.10%
MAT12,Ezernieku vidusskola,66.70%
LAT12,Ezernieku vidusskola,54.00%
ANG12,Garkalnes vidusskola,65.70%
MAT12,Garkalnes vidusskola,46.30%
LAT12,Garkalnes vidusskola,56.40%
ANG12,Grobiņas ģimnāzija,59.80%
MAT12,Grobiņas ģimnāzija,50.00%
LAT12,Grobiņas ģimnāzija,60.80%
ANG12,Gulbenes 2. vidusskola,46.00%
MAT12,Gulbenes 2. vidusskola,36.60%
LAT12,Gulbenes 2. vidusskola,57.70%
ANG12,Gulbenes novada valsts ģimnāzija,66.40%
MAT12,Gulbenes novada valsts ģimnāzija,62.50%
LAT12,Gulbenes novada valsts ģimnāzija,66.20%
ANG12,Gulbenes Vakara (maiņu) vidusskola,44.20%
MAT12,Gulbenes Vakara (maiņu) vidusskola,35.20%
LAT12,Gulbenes Vakara (maiņu) vidusskola,49.00%
ANG12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,25.90%
MAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,24.50%
LAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,28.90%
ANG12,Gulbenes vidusskola,52.40%
MAT12,Gulbenes vidusskola,37.90%
LAT12,Gulbenes vidusskola,49.00%
ANG12,Gulbīša vidusskola,56.30%
MAT12,Gulbīša vidusskola,60.10%
LAT12,Gulbīša vidusskola,53.00%
ANG12,Humanitārā privātģimnāzija,67.90%
MAT12,Humanitārā privātģimnāzija,36.50%
LAT12,Humanitārā privātģimnāzija,60.30%
ANG12,Iecavas vidusskola,57.40%
MAT12,Iecavas vidusskola,48.30%
LAT12,Iecavas vidusskola,59.30%
ANG12,Ikšķiles vidusskola,64.10%
MAT12,Ikšķiles vidusskola,53.30%
LAT12,Ikšķiles vidusskola,61.90%
ANG12,Ilmāra Gaiša Kokneses vidusskola,60.30%
MAT12,Ilmāra Gaiša Kokneses vidusskola,47.20%
LAT12,Ilmāra Gaiša Kokneses vidusskola,54.90%
ANG12,Ilūkstes 1. vidusskola,58.70%
MAT12,Ilūkstes 1. vidusskola,62.90%
LAT12,Ilūkstes 1. vidusskola,56.80%
ANG12,Ilūkstes Sadraudzības vidusskola,34.80%
MAT12,Ilūkstes Sadraudzības vidusskola,40.30%
LAT12,Ilūkstes Sadraudzības vidusskola,32.00%
ANG12,Iļģuciema vidusskola,66.10%
MAT12,Iļģuciema vidusskola,42.20%
LAT12,Iļģuciema vidusskola,64.80%
ANG12,Indras vidusskola,43.50%
MAT12,Indras vidusskola,44.10%
LAT12,Indras vidusskola,38.60%
ANG12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",57.20%
MAT12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",46.90%
LAT12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",38.70%
ANG12,Irlavas vidusskola,53.00%
MAT12,Irlavas vidusskola,40.90%
LAT12,Irlavas vidusskola,53.10%
ANG12,Īslīces vidusskola,49.20%
MAT12,Īslīces vidusskola,36.50%
LAT12,Īslīces vidusskola,54.20%
ANG12,Istras vidusskola,47.60%
MAT12,Istras vidusskola,58.60%
LAT12,Istras vidusskola,39.10%
ANG12,J. Čakstes Liepājas pilsētas 10. vidusskola,65.00%
MAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,50.30%
LAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,61.30%
ANG12,J. Raiņa Daugavpils 6. vidusskola,37.20%
MAT12,J. Raiņa Daugavpils 6. vidusskola,46.70%
LAT12,J. Raiņa Daugavpils 6. vidusskola,37.80%
ANG12,J.Pilsudska Daugavpils valsts poļu ģimnāzija,53.60%
MAT12,J.Pilsudska Daugavpils valsts poļu ģimnāzija,61.60%
LAT12,J.Pilsudska Daugavpils valsts poļu ģimnāzija,50.40%
ANG12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,54.10%
MAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,36.50%
LAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,61.50%
ANG12,Jaņa Rozentāla Rīgas Mākslas vidusskola,72.60%
MAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,50.60%
LAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,65.70%
ANG12,Jaunaglonas arodvidusskola,26.60%
MAT12,Jaunaglonas arodvidusskola,21.50%
LAT12,Jaunaglonas arodvidusskola,36.70%
ANG12,Jaungulbenes arodvidusskola,37.90%
MAT12,Jaungulbenes arodvidusskola,25.70%
LAT12,Jaungulbenes arodvidusskola,34.00%
ANG12,Jaunjelgavas vidusskola,65.10%
MAT12,Jaunjelgavas vidusskola,37.60%
LAT12,Jaunjelgavas vidusskola,64.70%
ANG12,Jaunogres vidusskola,59.60%
MAT12,Jaunogres vidusskola,65.80%
LAT12,Jaunogres vidusskola,45.00%
ANG12,Jaunpiebalgas vidusskola,48.50%
