Priekšmets,Skola,Kopvērtējums
MAT12,Latvijas Jūras akadēmijas Jūrskola,46.70%
LAT12,Latvijas Jūras akadēmijas Jūrskola,44.90%
ANG12,Latvijas Universitāte,63.60%
MAT12,Latvijas Universitāte,46.00%
LAT12,Latvijas Universitāte,53.90%
ANG12,Lejasciema vidusskola,50.70%
MAT12,Lejasciema vidusskola,37.50%
LAT12,Lejasciema vidusskola,55.60%
ANG12,Liepājas 15. vidusskola,59.10%
MAT12,Liepājas 15. vidusskola,55.40%
LAT12,Liepājas 15. vidusskola,59.40%
ANG12,Liepājas 7. vidusskola,41.80%
MAT12,Liepājas 7. vidusskola,35.90%
LAT12,Liepājas 7. vidusskola,29.80%
ANG12,Liepājas 8. vidusskola,52.60%
MAT12,Liepājas 8. vidusskola,36.30%
LAT12,Liepājas 8. vidusskola,46.10%
ANG12,Liepājas A. Puškina 2. vidusskola,56.70%
MAT12,Liepājas A. Puškina 2. vidusskola,67.70%
LAT12,Liepājas A. Puškina 2. vidusskola,41.20%
ANG12,Liepājas Jūrniecības koledža,42.60%
MAT12,Liepājas Jūrniecības koledža,30.40%
LAT12,Liepājas Jūrniecības koledža,33.50%
ANG12,Liepājas mākslas vidusskola,45.60%
MAT12,Liepājas mākslas vidusskola,31.90%
LAT12,Liepājas mākslas vidusskola,54.90%
ANG12,Liepājas pilsētas 12. vidusskola,53.70%
MAT12,Liepājas pilsētas 12. vidusskola,49.00%
LAT12,Liepājas pilsētas 12. vidusskola,38.60%
ANG12,Liepājas Raiņa 6. vidusskola,58.30%
MAT12,Liepājas Raiņa 6. vidusskola,40.10%
LAT12,Liepājas Raiņa 6. vidusskola,57.80%
ANG12,Liepājas Universitāte,28.10%
MAT12,Liepājas Universitāte,38.10%
LAT12,Liepājas Universitāte,43.30%
ANG12,Liepājas vakara (maiņu) vidusskola,38.70%
MAT12,Liepājas vakara (maiņu) vidusskola,19.60%
LAT12,Liepājas vakara (maiņu) vidusskola,45.10%
ANG12,Liepājas Valsts 1. ģimnāzija,67.90%
MAT12,Liepājas Valsts 1. ģimnāzija,53.60%
LAT12,Liepājas Valsts 1. ģimnāzija,65.10%
ANG12,Liepnas vidusskola,46.30%
MAT12,Liepnas vidusskola,32.80%
LAT12,Liepnas vidusskola,53.60%
ANG12,Liepupes vidusskola,52.60%
MAT12,Liepupes vidusskola,32.70%
LAT12,Liepupes vidusskola,53.20%
ANG12,Līgatnes novada vidusskola,52.20%
MAT12,Līgatnes novada vidusskola,40.50%
LAT12,Līgatnes novada vidusskola,52.90%
ANG12,Limbažu 3. vidusskola,63.10%
MAT12,Limbažu 3. vidusskola,54.00%
LAT12,Limbažu 3. vidusskola,56.60%
ANG12,Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,44.10%
MAT12,Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,28.40%
LAT12,Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,48.10%
ANG12,Limbažu novada ģimnāzija,58.40%
MAT12,Limbažu novada ģimnāzija,50.60%
LAT12,Limbažu novada ģimnāzija,62.10%
ANG12,Limbažu Profesionālā vidusskola,36.20%
MAT12,Limbažu Profesionālā vidusskola,19.50%
LAT12,Limbažu Profesionālā vidusskola,35.40%
ANG12,Līvānu 1. vidusskola,59.70%
MAT12,Līvānu 1. vidusskola,43.30%
LAT12,Līvānu 1. vidusskola,61.50%
ANG12,Līvānu 2. vidusskola,36.50%
MAT12,Līvānu 2. vidusskola,28.60%
LAT12,Līvānu 2. vidusskola,40.80%
ANG12,Līvānu novada Vakara (maiņu) vidusskola,49.30%
MAT12,Līvānu novada Vakara (maiņu) vidusskola,38.70%
LAT12,Līvānu novada Vakara (maiņu) vidusskola,47.60%
ANG12,Līvbērzes vidusskola,51.50%
MAT12,Līvbērzes vidusskola,30.30%
LAT12,Līvbērzes vidusskola,47.80%
ANG12,Lizuma vidusskola,56.60%
MAT12,Lizuma vidusskola,46.40%
LAT12,Lizuma vidusskola,59.00%
ANG12,Lubānas vidusskola,43.30%
MAT12,Lubānas vidusskola,32.70%
LAT12,Lubānas vidusskola,58.90%
ANG12,Lūcijas Rancānes Makašānu AMAT12u vidusskola,46.00%
MAT12,Lūcijas Rancānes Makašānu AMAT12u vidusskola,39.50%
LAT12,Lūcijas Rancānes Makašānu AMAT12u vidusskola,43.50%
ANG12,Ludzas 2. vidusskola,43.00%
MAT12,Ludzas 2. vidusskola,32.30%
LAT12,Ludzas 2. vidusskola,37.20%
ANG12,Ludzas novada vakara vidusskola,27.10%
MAT12,Ludzas novada vakara vidusskola,26.40%
LAT12,Ludzas novada vakara vidusskola,35.90%
ANG12,Ludzas pilsētas ģimnāzija,57.90%
MAT12,Ludzas pilsētas ģimnāzija,48.90%
LAT12,Ludzas pilsētas ģimnāzija,65.60%
ANG12,Lūznavas Profesionālā vidusskola,25.60%
MAT12,Lūznavas Profesionālā vidusskola,28.40%
LAT12,Lūznavas Profesionālā vidusskola,38.60%
ANG12,Ļaudonas vidusskola,43.70%
MAT12,Ļaudonas vidusskola,37.60%
LAT12,Ļaudonas vidusskola,46.50%
ANG12,Madlienas vidusskola,51.40%
MAT12,Madlienas vidusskola,39.00%
LAT12,Madlienas vidusskola,57.70%
ANG12,Madonas pilsētas 1. vidusskola,65.50%
MAT12,Madonas pilsētas 1. vidusskola,43.00%
LAT12,Madonas pilsētas 1. vidusskola,64.40%
ANG12,Madonas pilsētas 2. vidusskola,41.50%
MAT12,Madonas pilsētas 2. vidusskola,27.60%
LAT12,Madonas pilsētas 2. vidusskola,46.60%
ANG12,Madonas Vakara un neklātienes vidusskola,28.20%
MAT12,Madonas Vakara un neklātienes vidusskola,13.90%
LAT12,Madonas Vakara un neklātienes vidusskola,41.10%
ANG12,Madonas Valsts ģimnāzija,64.40%
MAT12,Madonas Valsts ģimnāzija,56.80%
LAT12,Madonas Valsts ģimnāzija,66.60%
ANG12,Malnavas koledža,30.60%
MAT12,Malnavas koledža,37.40%
LAT12,Malnavas koledža,37.70%
ANG12,Mālpils Profesionālā vidusskola,28.60%
MAT12,Mālpils Profesionālā vidusskola,18.60%
LAT12,Mālpils Profesionālā vidusskola,37.70%
ANG12,Mālpils vidusskola,58.80%
MAT12,Mālpils vidusskola,43.80%
LAT12,Mālpils vidusskola,55.30%
ANG12,Maltas 1. vidusskola,52.20%
MAT12,Maltas 1. vidusskola,42.50%
LAT12,Maltas 1. vidusskola,52.40%
ANG12,Maltas 2. vidusskola,42.40%
MAT12,Maltas 2. vidusskola,30.60%
LAT12,Maltas 2. vidusskola,33.60%
ANG12,Mārupes vidusskola,56.50%
MAT12,Mārupes vidusskola,41.90%
LAT12,Mārupes vidusskola,54.80%
ANG12,Mazsalacas vidusskola,62.60%
MAT12,Mazsalacas vidusskola,54.10%
LAT12,Mazsalacas vidusskola,67.70%
ANG12,Mērsraga vidusskola,55.10%
MAT12,Mērsraga vidusskola,29.20%
LAT12,Mērsraga vidusskola,54.40%
ANG12,Misas vidusskola,53.30%
MAT12,Misas vidusskola,36.50%
LAT12,Misas vidusskola,59.20%
ANG12,Murjāņu sporta ģimnāzija,49.90%
MAT12,Murjāņu sporta ģimnāzija,37.50%
LAT12,Murjāņu sporta ģimnāzija,52.80%
ANG12,Murjāņu sporta ģimnāzija Jūrmalas filiāle,41.40%
MAT12,Murjāņu sporta ģimnāzija Jūrmalas filiāle,41.60%
LAT12,Murjāņu sporta ģimnāzija Jūrmalas filiāle,53.70%
ANG12,Naukšēnu novada vidusskola,51.80%
MAT12,Naukšēnu novada vidusskola,37.00%
LAT12,Naukšēnu novada vidusskola,52.80%
ANG12,Nautrēnu vidusskola,50.80%
MAT12,Nautrēnu vidusskola,55.30%
LAT12,Nautrēnu vidusskola,56.30%
ANG12,Neretas Jāņa Jaunsudrabiņa vidusskola,61.80%
MAT12,Neretas Jāņa Jaunsudrabiņa vidusskola,53.10%
LAT12,Neretas Jāņa Jaunsudrabiņa vidusskola,61.50%
ANG12,Nīcas vidusskola,53.60%
MAT12,Nīcas vidusskola,56.10%
LAT12,Nīcas vidusskola,65.10%
ANG12,Nītaures vidusskola,57.10%
MAT12,Nītaures vidusskola,41.10%
LAT12,Nītaures vidusskola,73.40%
ANG12,Ogres 1. vidusskola,60.80%
MAT12,Ogres 1. vidusskola,52.80%
LAT12,Ogres 1. vidusskola,54.90%
ANG12,Ogres Valsts ģimnāzija,67.80%
MAT12,Ogres Valsts ģimnāzija,58.10%
LAT12,Ogres Valsts ģimnāzija,66.60%
ANG12,Ogres Valsts tehnikums,35.80%
MAT12,Ogres Valsts tehnikums,20.10%
LAT12,Ogres Valsts tehnikums,41.60%
ANG12,Ojāra Vācieša Gaujienas vidusskola,49.20%
MAT12,Ojāra Vācieša Gaujienas vidusskola,48.40%
LAT12,Ojāra Vācieša Gaujienas vidusskola,63.90%
ANG12,Olaines 1. vidusskola,65.30%
MAT12,Olaines 1. vidusskola,50.70%
LAT12,Olaines 1. vidusskola,64.40%
ANG12,Olaines 2. vidusskola,48.60%
MAT12,Olaines 2. vidusskola,48.60%
LAT12,Olaines 2. vidusskola,39.00%
ANG12,Olaines Mehānikas un tehnoloģijas koledža,38.70%
MAT12,Olaines Mehānikas un tehnoloģijas koledža,25.00%
LAT12,Olaines Mehānikas un tehnoloģijas koledža,39.30%
ANG12,Ozolnieku vidusskola,51.80%
MAT12,Ozolnieku vidusskola,52.20%
LAT12,Ozolnieku vidusskola,59.00%
ANG12,Pāvilostas vidusskola,45.90%
MAT12,Pāvilostas vidusskola,46.80%
LAT12,Pāvilostas vidusskola,59.40%
ANG12,"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",22.20%
MAT12,"PIKC ""Rīgas Valsts tehnikums"" Balvu teritoriālā struktūrvienība",21.30%
ANG12,PIKC RVT Krāslavas reģionālā struktūrvienība ,22.30%
MAT12,PIKC RVT Krāslavas reģionālā struktūrvienība ,41.90%
LAT12,PIKC RVT Krāslavas reģionālā struktūrvienība ,38.00%
ANG12,Pilsrundāles vidusskola,61.00%
MAT12,Pilsrundāles vidusskola,68.00%
LAT12,Pilsrundāles vidusskola,57.50%
ANG12,Piltenes vidusskola,56.90%
MAT12,Piltenes vidusskola,42.60%
LAT12,Piltenes vidusskola,54.10%
ANG12,Pļaviņu novada ģimnāzija,59.50%
MAT12,Pļaviņu novada ģimnāzija,43.90%
LAT12,Pļaviņu novada ģimnāzija,54.70%
ANG12,Preiļu 2. vidusskola,54.50%
MAT12,Preiļu 2. vidusskola,42.30%
LAT12,Preiļu 2. vidusskola,54.80%
ANG12,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,37.30%
MAT12,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,49.00%
LAT12,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,46.40%
ANG12,Preiļu Valsts ģimnāzija,59.30%
MAT12,Preiļu Valsts ģimnāzija,67.20%
LAT12,Preiļu Valsts ģimnāzija,67.10%
ANG12,Priekules vidusskola,55.90%
MAT12,Priekules vidusskola,53.60%
LAT12,Priekules vidusskola,61.80%
ANG12,Priekuļu un Jāņmuižas Valsts tehnikums,43.40%
MAT12,Priekuļu un Jāņmuižas Valsts tehnikums,28.80%
LAT12,Priekuļu un Jāņmuižas Valsts tehnikums,45.50%
ANG12,"Priekuļu un Jāņmuižas Valsts tehnikums, Jāņmuižas filiāle",35.40%
MAT12,"Priekuļu un Jāņmuižas Valsts tehnikums, Jāņmuižas filiāle",23.50%
LAT12,"Priekuļu un Jāņmuižas Valsts tehnikums, Jāņmuižas filiāle",43.60%
ANG12,Priekuļu vidusskola,56.90%
MAT12,Priekuļu vidusskola,44.90%
LAT12,Priekuļu vidusskola,58.30%
ANG12,"Privātā Profesionālā vidusskola ""SIGMA""",44.20%
MAT12,"Privātā Profesionālā vidusskola ""SIGMA""",24.90%
LAT12,"Privātā Profesionālā vidusskola ""SIGMA""",34.90%
ANG12,Privātā Rīgas Tehnolingvistiskā ģimnāzija,69.00%
MAT12,Privātā Rīgas Tehnolingvistiskā ģimnāzija,59.20%
LAT12,Privātā Rīgas Tehnolingvistiskā ģimnāzija,45.40%
ANG12,"Privātā vidusskola ""Klasika""",66.70%
MAT12,"Privātā vidusskola ""Klasika""",46.90%
LAT12,"Privātā vidusskola ""Klasika""",58.00%
ANG12,"Privātā vidusskola ""Laisma""",73.60%
MAT12,"Privātā vidusskola ""Laisma""",68.40%
LAT12,"Privātā vidusskola ""Laisma""",37.20%
ANG12,"Privātā vidusskola ""Norma""",49.30%
MAT12,"Privātā vidusskola ""Norma""",49.40%
LAT12,"Privātā vidusskola ""Norma""",41.10%
ANG12,"Privātā vidusskola ""Patnis""",64.10%
MAT12,"Privātā vidusskola ""Patnis""",45.60%
LAT12,"Privātā vidusskola ""Patnis""",62.10%
ANG12,"Privātā vidusskola ""Templum""",52.60%
MAT12,"Privātā vidusskola ""Templum""",27.90%
LAT12,"Privātā vidusskola ""Templum""",31.10%
ANG12,Privātā vidusskola Ādažu Brīvā Valdorfa skola,63.90%
MAT12,Privātā vidusskola Ādažu Brīvā Valdorfa skola,44.60%
LAT12,Privātā vidusskola Ādažu Brīvā Valdorfa skola,64.00%
ANG12,"Privātskola ""Latreia""",59.90%
MAT12,"Privātskola ""Latreia""",36.60%
LAT12,"Privātskola ""Latreia""",36.70%
ANG12,"Profesionālā vidusskola ""RIMAN""",40.60%
MAT12,"Profesionālā vidusskola ""RIMAN""",20.00%
LAT12,"Profesionālā vidusskola ""RIMAN""",27.20%
ANG12,"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",39.80%
MAT12,"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",34.30%
LAT12,"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",42.90%
ANG12,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",43.90%
MAT12,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",29.80%
LAT12,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",46.10%
ANG12,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",43.90%
MAT12,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",30.00%
LAT12,"Profesionālās izglītības kompetences centrs ""Rīgas Valsts tehnikums""",40.80%
ANG12,Pumpuru vidusskola,55.80%
MAT12,Pumpuru vidusskola,33.60%
LAT12,Pumpuru vidusskola,50.20%
ANG12,Puškina licejs,59.30%
MAT12,Puškina licejs,56.90%
LAT12,Puškina licejs,37.40%
ANG12,Rankas arodvidusskola,35.50%
MAT12,Rankas arodvidusskola,38.40%
LAT12,Rankas arodvidusskola,37.40%
ANG12,Raunas vidusskola,35.90%
MAT12,Raunas vidusskola,35.60%
LAT12,Raunas vidusskola,47.80%
ANG12,Rekavas vidusskola,53.60%
MAT12,Rekavas vidusskola,59.80%
LAT12,Rekavas vidusskola,64.10%
ANG12,Rēzeknes 1. vidusskola,70.50%
MAT12,Rēzeknes 1. vidusskola,68.40%
LAT12,Rēzeknes 1. vidusskola,64.90%
ANG12,Rēzeknes 14. arodvidusskola,25.10%
MAT12,Rēzeknes 14. arodvidusskola,23.80%
LAT12,Rēzeknes 14. arodvidusskola,35.00%
ANG12,Rēzeknes 2. vidusskola,51.90%
MAT12,Rēzeknes 2. vidusskola,58.80%
LAT12,Rēzeknes 2. vidusskola,48.60%
ANG12,Rēzeknes 3. vidusskola,55.60%
MAT12,Rēzeknes 3. vidusskola,64.10%
LAT12,Rēzeknes 3. vidusskola,50.50%
ANG12,Rēzeknes 4. vidusskola,27.90%
MAT12,Rēzeknes 4. vidusskola,44.90%
LAT12,Rēzeknes 4. vidusskola,34.80%
ANG12,Rēzeknes 5. vidusskola,65.10%
MAT12,Rēzeknes 5. vidusskola,67.10%
LAT12,Rēzeknes 5. vidusskola,68.20%
ANG12,Rēzeknes 6. vidusskola,53.30%
MAT12,Rēzeknes 6. vidusskola,58.50%
LAT12,Rēzeknes 6. vidusskola,47.70%
ANG12,Rēzeknes Katoļu vidusskola,64.70%
MAT12,Rēzeknes Katoļu vidusskola,42.90%
LAT12,Rēzeknes Katoļu vidusskola,65.90%
ANG12,Rēzeknes Mākslas un dizaina vidusskola,44.90%
MAT12,Rēzeknes Mākslas un dizaina vidusskola,34.30%
LAT12,Rēzeknes Mākslas un dizaina vidusskola,46.80%
ANG12,Rēzeknes Profesionālā vidusskola,36.60%
MAT12,Rēzeknes Profesionālā vidusskola,28.70%
LAT12,Rēzeknes Profesionālā vidusskola,43.00%
ANG12,Rēzeknes vakara vidusskola,28.30%
MAT12,Rēzeknes vakara vidusskola,28.40%
LAT12,Rēzeknes vakara vidusskola,33.20%
ANG12,Rēzeknes Valsts ģimnāzija,59.40%
MAT12,Rēzeknes Valsts ģimnāzija,65.70%
LAT12,Rēzeknes Valsts ģimnāzija,68.30%
ANG12,Rēzeknes valsts poļu ģimnāzija,53.00%
MAT12,Rēzeknes valsts poļu ģimnāzija,61.00%
LAT12,Rēzeknes valsts poļu ģimnāzija,61.00%
ANG12,Riebiņu vidusskola,47.00%
MAT12,Riebiņu vidusskola,59.60%
LAT12,Riebiņu vidusskola,53.90%
ANG12,"Rietumzemgales profesionālās izglītības kompetences centrs ""Jelgavas AMAT12niecības vidusskola""",36.70%
MAT12,"Rietumzemgales profesionālās izglītības kompetences centrs ""Jelgavas AMAT12niecības vidusskola""",21.20%
LAT12,"Rietumzemgales profesionālās izglītības kompetences centrs ""Jelgavas AMAT12niecības vidusskola""",40.10%
ANG12,Rīgas 1. privātā vidusskola,48.40%
MAT12,Rīgas 1. privātā vidusskola,28.60%
LAT12,Rīgas 1. privātā vidusskola,47.60%
ANG12,Rīgas 10. vidusskola,67.80%
MAT12,Rīgas 10. vidusskola,61.40%
LAT12,Rīgas 10. vidusskola,45.10%
ANG12,Rīgas 13. vidusskola,64.60%
MAT12,Rīgas 13. vidusskola,68.20%
LAT12,Rīgas 13. vidusskola,42.10%
ANG12,Rīgas 14. vakara (maiņu) vidusskola,35.60%
MAT12,Rīgas 14. vakara (maiņu) vidusskola,18.50%
LAT12,Rīgas 14. vakara (maiņu) vidusskola,40.50%
ANG12,Rīgas 15. vidusskola,40.70%
MAT12,Rīgas 15. vidusskola,36.70%
LAT12,Rīgas 15. vidusskola,35.80%
ANG12,Rīgas 18. vakara (maiņu) vidusskola,40.50%
MAT12,Rīgas 18. vakara (maiņu) vidusskola,20.30%
LAT12,Rīgas 18. vakara (maiņu) vidusskola,39.90%
ANG12,Rīgas 19. vidusskola,62.40%
MAT12,Rīgas 19. vidusskola,33.20%
LAT12,Rīgas 19. vidusskola,50.90%
ANG12,Rīgas 21. vidusskola,57.60%
MAT12,Rīgas 21. vidusskola,45.90%
LAT12,Rīgas 21. vidusskola,41.60%
ANG12,Rīgas 22. vidusskola,62.60%
MAT12,Rīgas 22. vidusskola,53.70%
LAT12,Rīgas 22. vidusskola,40.90%
ANG12,Rīgas 25. vidusskola,57.00%
MAT12,Rīgas 25. vidusskola,41.60%
LAT12,Rīgas 25. vidusskola,53.90%
ANG12,Rīgas 28. vidusskola,54.30%
MAT12,Rīgas 28. vidusskola,30.30%
LAT12,Rīgas 28. vidusskola,47.20%
ANG12,Rīgas 29. vidusskola,39.80%
MAT12,Rīgas 29. vidusskola,41.10%
LAT12,Rīgas 29. vidusskola,30.50%
ANG12,Rīgas 31. vidusskola,60.40%
MAT12,Rīgas 31. vidusskola,56.70%
LAT12,Rīgas 31. vidusskola,54.00%
ANG12,Rīgas 32. vidusskola,44.80%
MAT12,Rīgas 32. vidusskola,51.40%
LAT12,Rīgas 32. vidusskola,33.50%
ANG12,Rīgas 33. vidusskola,66.00%
MAT12,Rīgas 33. vidusskola,62.00%
LAT12,Rīgas 33. vidusskola,48.40%
ANG12,Rīgas 34. vidusskola,71.40%
MAT12,Rīgas 34. vidusskola,59.50%
LAT12,Rīgas 34. vidusskola,49.80%
ANG12,Rīgas 37. vidusskola,40.80%
MAT12,Rīgas 37. vidusskola,59.70%
LAT12,Rīgas 37. vidusskola,35.90%
ANG12,Rīgas 40. vidusskola,72.20%
MAT12,Rīgas 40. vidusskola,65.10%
LAT12,Rīgas 40. vidusskola,50.00%
ANG12,Rīgas 41. vidusskola,67.10%
MAT12,Rīgas 41. vidusskola,54.70%
LAT12,Rīgas 41. vidusskola,56.90%
ANG12,Rīgas 45. vidusskola,58.50%
MAT12,Rīgas 45. vidusskola,30.10%
LAT12,Rīgas 45. vidusskola,58.10%
ANG12,Rīgas 46. vidusskola,53.80%
MAT12,Rīgas 46. vidusskola,38.50%
LAT12,Rīgas 46. vidusskola,37.00%
ANG12,Rīgas 47. vidusskola,55.40%
MAT12,Rīgas 47. vidusskola,34.10%
LAT12,Rīgas 47. vidusskola,55.40%
ANG12,Rīgas 49. vidusskola,74.00%
MAT12,Rīgas 49. vidusskola,69.20%
LAT12,Rīgas 49. vidusskola,69.70%
ANG12,Rīgas 51. vidusskola,40.70%
MAT12,Rīgas 51. vidusskola,36.40%
LAT12,Rīgas 51. vidusskola,34.20%
ANG12,Rīgas 53. vidusskola,49.50%
MAT12,Rīgas 53. vidusskola,56.20%
LAT12,Rīgas 53. vidusskola,42.80%
ANG12,Rīgas 54. vidusskola,55.40%
MAT12,Rīgas 54. vidusskola,41.90%
LAT12,Rīgas 54. vidusskola,38.10%
ANG12,Rīgas 6. vidusskola,65.50%
MAT12,Rīgas 6. vidusskola,44.80%
LAT12,Rīgas 6. vidusskola,61.30%
ANG12,Rīgas 60. vidusskola,61.30%
MAT12,Rīgas 60. vidusskola,56.10%
LAT12,Rīgas 60. vidusskola,47.00%
ANG12,Rīgas 61. vidusskola,43.00%
MAT12,Rīgas 61. vidusskola,39.90%
LAT12,Rīgas 61. vidusskola,39.70%
ANG12,Rīgas 62. vidusskola,56.40%
MAT12,Rīgas 62. vidusskola,47.40%
LAT12,Rīgas 62. vidusskola,50.20%
ANG12,Rīgas 63. vidusskola,48.00%
MAT12,Rīgas 63. vidusskola,41.40%
LAT12,Rīgas 63. vidusskola,41.50%
ANG12,Rīgas 64. vidusskola,77.50%
MAT12,Rīgas 64. vidusskola,78.10%
LAT12,Rīgas 64. vidusskola,75.00%
ANG12,Rīgas 65. vidusskola,51.20%
MAT12,Rīgas 65. vidusskola,34.20%
LAT12,Rīgas 65. vidusskola,35.10%
ANG12,Rīgas 66. speciālā vidusskola,51.90%
MAT12,Rīgas 66. speciālā vidusskola,35.20%
LAT12,Rīgas 66. speciālā vidusskola,41.10%
ANG12,Rīgas 68. vidusskola,56.70%
MAT12,Rīgas 68. vidusskola,49.60%
LAT12,Rīgas 68. vidusskola,40.30%
ANG12,Rīgas 69. vidusskola,56.20%
MAT12,Rīgas 69. vidusskola,45.30%
LAT12,Rīgas 69. vidusskola,63.80%
ANG12,Rīgas 71. vidusskola,59.70%
MAT12,Rīgas 71. vidusskola,53.30%
LAT12,Rīgas 71. vidusskola,43.40%
ANG12,Rīgas 72. vidusskola,60.60%
MAT12,Rīgas 72. vidusskola,42.40%
LAT12,Rīgas 72. vidusskola,43.30%
ANG12,Rīgas 74. vidusskola,53.20%
MAT12,Rīgas 74. vidusskola,63.50%
LAT12,Rīgas 74. vidusskola,39.70%
ANG12,Rīgas 75. vidusskola,58.50%
MAT12,Rīgas 75. vidusskola,46.00%
LAT12,Rīgas 75. vidusskola,37.90%
ANG12,Rīgas 80. vidusskola,55.00%
MAT12,Rīgas 80. vidusskola,49.10%
LAT12,Rīgas 80. vidusskola,39.40%
ANG12,Rīgas 84. vidusskola,68.70%
MAT12,Rīgas 84. vidusskola,67.20%
LAT12,Rīgas 84. vidusskola,65.00%
ANG12,Rīgas 85. vidusskola,66.00%
MAT12,Rīgas 85. vidusskola,47.10%
LAT12,Rīgas 85. vidusskola,65.30%
ANG12,Rīgas 86. vidusskola,54.50%
MAT12,Rīgas 86. vidusskola,47.50%
LAT12,Rīgas 86. vidusskola,37.30%
ANG12,Rīgas 88. vidusskola,56.30%
MAT12,Rīgas 88. vidusskola,45.80%
LAT12,Rīgas 88. vidusskola,35.60%
ANG12,Rīgas 89. vidusskola,51.10%
MAT12,Rīgas 89. vidusskola,50.30%
LAT12,Rīgas 89. vidusskola,46.20%
ANG12,Rīgas 9. vakara (maiņu) vidusskola,46.40%
MAT12,Rīgas 9. vakara (maiņu) vidusskola,22.60%
LAT12,Rīgas 9. vakara (maiņu) vidusskola,45.60%
ANG12,Rīgas 92. vidusskola,42.70%
MAT12,Rīgas 92. vidusskola,33.10%
LAT12,Rīgas 92. vidusskola,31.40%
ANG12,Rīgas 93. vidusskola,58.90%
MAT12,Rīgas 93. vidusskola,29.50%
LAT12,Rīgas 93. vidusskola,57.70%
ANG12,Rīgas 94. vidusskola,62.40%
MAT12,Rīgas 94. vidusskola,60.60%
LAT12,Rīgas 94. vidusskola,58.70%
ANG12,Rīgas 95. vidusskola,49.30%
MAT12,Rīgas 95. vidusskola,57.60%
LAT12,Rīgas 95. vidusskola,38.10%
ANG12,Rīgas 96. vidusskola,61.00%
MAT12,Rīgas 96. vidusskola,55.30%
LAT12,Rīgas 96. vidusskola,41.00%
ANG12,Rīgas AMAT12niecības vidusskola,47.30%
MAT12,Rīgas AMAT12niecības vidusskola,22.50%
LAT12,Rīgas AMAT12niecības vidusskola,44.90%
ANG12,Rīgas ANG12ļu ģimnāzija,79.40%
MAT12,Rīgas ANG12ļu ģimnāzija,60.80%
LAT12,Rīgas ANG12ļu ģimnāzija,67.60%
ANG12,Rīgas Anniņmuižas vidusskola,65.00%
MAT12,Rīgas Anniņmuižas vidusskola,61.90%
LAT12,Rīgas Anniņmuižas vidusskola,43.50%
ANG12,Rīgas Būvniecības vidusskola,36.80%
MAT12,Rīgas Būvniecības vidusskola,19.20%
LAT12,Rīgas Būvniecības vidusskola,35.20%
ANG12,Rīgas Celtniecības koledža,51.20%
MAT12,Rīgas Celtniecības koledža,44.70%
LAT12,Rīgas Celtniecības koledža,48.80%
ANG12,Rīgas Centra humanitārā vidusskola,86.20%
MAT12,Rīgas Centra humanitārā vidusskola,60.30%
LAT12,Rīgas Centra humanitārā vidusskola,69.50%
ANG12,Rīgas Centra krievu privātģimnāzija,35.70%
MAT12,Rīgas Centra krievu privātģimnāzija,13.50%
LAT12,Rīgas Centra krievu privātģimnāzija,34.70%
ANG12,Rīgas Daugavgrīvas vidusskola,70.20%
MAT12,Rīgas Daugavgrīvas vidusskola,65.90%
LAT12,Rīgas Daugavgrīvas vidusskola,42.00%
ANG12,Rīgas Dizaina un mākslas vidusskola,57.00%
MAT12,Rīgas Dizaina un mākslas vidusskola,35.20%
LAT12,Rīgas Dizaina un mākslas vidusskola,61.50%
ANG12,Rīgas Doma kora skola,68.60%
MAT12,Rīgas Doma kora skola,49.80%
LAT12,Rīgas Doma kora skola,70.60%
ANG12,Rīgas Ezerkrastu vidusskola,50.50%
MAT12,Rīgas Ezerkrastu vidusskola,29.40%
LAT12,Rīgas Ezerkrastu vidusskola,52.00%
ANG12,Rīgas Franču licejs,80.90%
MAT12,Rīgas Franču licejs,62.90%
LAT12,Rīgas Franču licejs,78.60%
ANG12,"Rīgas ģimnāzija ""Maksima""",81.30%
MAT12,"Rīgas ģimnāzija ""Maksima""",62.00%
LAT12,"Rīgas ģimnāzija ""Maksima""",44.60%
ANG12,Rīgas Hanzas vidusskola,64.60%
MAT12,Rīgas Hanzas vidusskola,53.00%
LAT12,Rīgas Hanzas vidusskola,64.30%
ANG12,Rīgas Herdera vidusskola,63.00%
MAT12,Rīgas Herdera vidusskola,39.80%
LAT12,Rīgas Herdera vidusskola,52.30%
