Novads,Skola,Priekšmets,Kopvērtējums,Kārtotāju skaits
217,Vecumnieku vidusskola,ANG12,65.6%,17
217,Vecumnieku vidusskola,LAT12,51.9%,18
217,Vecumnieku vidusskola,MAT12,32.4%,18
218,Ugāles vidusskola,ANG12,81.4%,11
218,Ugāles vidusskola,LAT12,68.1%,11
218,Ugāles vidusskola,MAT12,41.1%,11
219,"Profesionālās izglītības kompetences centrs ""Ventspils Mūzikas vidusskola"" (prof.)",ANG12,77.9%,14
219,"Profesionālās izglītības kompetences centrs ""Ventspils Mūzikas vidusskola"" (prof.)",LAT12,64.8%,14
219,"Profesionālās izglītības kompetences centrs ""Ventspils Mūzikas vidusskola"" (prof.)",MAT12,31.5%,15
219,Ventspils 2. vidusskola,ANG12,61.8%,21
219,Ventspils 2. vidusskola,LAT12,36.6%,21
219,Ventspils 2. vidusskola,MAT12,54.0%,21
219,Ventspils 3. vidusskola,ANG12,47.3%,17
219,Ventspils 3. vidusskola,LAT12,30.2%,17
219,Ventspils 3. vidusskola,MAT12,21.2%,17
219,Ventspils 4. vidusskola,ANG12,73.0%,47
219,Ventspils 4. vidusskola,LAT12,61.2%,47
219,Ventspils 4. vidusskola,MAT12,37.0%,46
219,Ventspils 6. vidusskola,ANG12,62.7%,29
219,Ventspils 6. vidusskola,LAT12,57.0%,35
219,Ventspils 6. vidusskola,MAT12,33.1%,35
219,Ventspils Tehnikums (prof.),ANG12,55.8%,128
219,Ventspils Tehnikums (prof.),LAT12,38.0%,138
219,Ventspils Tehnikums (prof.),MAT12,15.0%,139
219,Ventspils Valsts 1. ģimnāzija,ANG12,77.3%,69
219,Ventspils Valsts 1. ģimnāzija,LAT12,63.6%,75
219,Ventspils Valsts 1. ģimnāzija,MAT12,47.7%,74
220,Viesītes vidusskola,ANG12,68.9%,8
220,Viesītes vidusskola,LAT12,53.8%,11
220,Viesītes vidusskola,MAT12,45.6%,11
221,Rekavas vidusskola,ANG12,58.1%,9
221,Rekavas vidusskola,LAT12,54.0%,13
221,Rekavas vidusskola,MAT12,36.6%,13
221,Viļakas Valsts ģimnāzija,ANG12,72.2%,10
221,Viļakas Valsts ģimnāzija,LAT12,57.5%,14
221,Viļakas Valsts ģimnāzija,MAT12,51.3%,14
222,Viļānu vidusskola,ANG12,64.0%,14
222,Viļānu vidusskola,LAT12,50.9%,33
222,Viļānu vidusskola,MAT12,25.4%,33
223,Zilupes vidusskola,ANG12,53.5%,11
223,Zilupes vidusskola,LAT12,29.3%,24
223,Zilupes vidusskola,MAT12,30.2%,24
226,Mērsraga vidusskola,ANG12,73.3%,8
226,Mērsraga vidusskola,LAT12,58.4%,8
226,Mērsraga vidusskola,MAT12,27.5%,8
