Novads,Skola,Kopvērtējums,Priekšmets
Alūksnes novads,Liepnas vidusskola,66.43%,ANG9
Alūksnes novads,Liepnas internātpamatskola,42.00%,ANG9
Amatas novads,Sērmūkšu pamatskola,71.78%,ANG9
Amatas novads,Skujenes pamatskola,74.50%,ANG9
Amatas novads,Zaubes pamatskola,61.00%,ANG9
Amatas novads,Nītaures vidusskola,68.17%,ANG9
Amatas novads,Drabešu internātpamatskola,33.80%,ANG9
Apes novads,Dāvja Ozoliņa Apes vidusskola,69.27%,ANG9
Apes novads,Sikšņu pamatskola,31.00%,ANG9
Apes novads,Trapenes pamatskola,75.29%,ANG9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,66.17%,ANG9
Apes novads,Gaujienas speciālā internātpamatskola,56.57%,ANG9
Auces novads,Auces vidusskola,60.25%,ANG9
Auces novads,Bēnes vidusskola,57.08%,ANG9
Ādažu novads,Ādažu vidusskola,70.00%,ANG9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,80.71%,ANG9
Babītes novads,Babītes vidusskola,71.15%,ANG9
Baldones novads,Baldones Mūzikas pamatskola,74.75%,ANG9
Baldones novads,Baldones vidusskola,74.55%,ANG9
Baltinavas novads,Baltinavas vidusskola,75.33%,ANG9
Balvu novads,Balvu pamatskola,62.67%,ANG9
Balvu novads,Balvu Amatniecības vidusskola,78.92%,ANG9
Balvu novads,Balvu Valsts ģimnāzija,70.22%,ANG9
Balvu novads,Briežuciema pamatskola,65.17%,ANG9
Balvu novads,Bērzpils vidusskolas filiāle,66.80%,ANG9
Balvu novads,Stacijas pamatskola,67.00%,ANG9
Balvu novads,Tilžas internātpamatskola,67.83%,ANG9
Balvu novads,Bērzpils vidusskola,56.75%,ANG9
Balvu novads,Tilžas vidusskola,74.11%,ANG9
Bauskas novads,Bauskas pilsētas Kristīgā pamatskola,56.40%,ANG9
Bauskas novads,Bauskas pilsētas pamatskola,74.18%,ANG9
Bauskas novads,Bauskas 1. vidusskola,78.72%,ANG9
Bauskas novads,Bauskas 2. vidusskola,67.07%,ANG9
Bauskas novads,Codes pamatskola,56.46%,ANG9
Bauskas novads,Griķu pamatskola,59.75%,ANG9
Bauskas novads,Mežgaļu pamatskola,66.89%,ANG9
Bauskas novads,Ozolaines pamatskola,53.00%,ANG9
Bauskas novads,Vecsaules pamatskola,75.64%,ANG9
Bauskas novads,Īslīces vidusskola,63.87%,ANG9
Bauskas novads,Uzvaras vidusskola,87.57%,ANG9
Bauskas novads,Mežotnes internātvidusskola,58.18%,ANG9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,66.67%,ANG9
Beverīnas novads,Trikātas pamatskola,63.86%,ANG9
Brocēnu novads,Brocēnu vidusskola,65.81%,ANG9
Brocēnu novads,Blīdenes pamatskola,65.50%,ANG9
Brocēnu novads,Gaiķu pamatskola,55.00%,ANG9
Brocēnu novads,Remtes pamatskola,59.86%,ANG9
Burtnieku novads,Ēveles pamatskola,61.50%,ANG9
Burtnieku novads,Matīšu pamatskola,64.86%,ANG9
Burtnieku novads,Rencēnu pamatskola,83.25%,ANG9
Burtnieku novads,Burtnieku Ausekļa vidusskola,70.50%,ANG9
Carnikavas novads,Carnikavas pamatskola,80.00%,ANG9
Cesvaines novads,Cesvaines vidusskola,68.00%,ANG9
Cesvaines novads,Cesvaines internātpamatskola,45.86%,ANG9
Cēsu novads,Cēsu 1. pamatskola,68.96%,ANG9
Cēsu novads,Cēsu 2. pamatskola,64.96%,ANG9
Cēsu novads,Cēsu pilsētas pamatskola,69.92%,ANG9
Cēsu novads,Cēsu 2. vidusskola,64.67%,ANG9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,63.00%,ANG9
Cēsu novads,Cēsu Valsts ģimnāzija,86.48%,ANG9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,75.85%,ANG9
Cēsu novads,Cēsu internātpamatskola - rehabilitācijas centrs,85.50%,ANG9
Cēsu novads,Līvu pamatskola,54.50%,ANG9
Ciblas novads,Cirmas pamatskola,45.00%,ANG9
Ciblas novads,Pušmucovas pamatskola,71.33%,ANG9
Ciblas novads,Ciblas vidusskola,76.40%,ANG9
Dagdas novads,Andrupenes pamatskola,84.67%,ANG9
Dagdas novads,Andzeļu pamatskola,79.00%,ANG9
Dagdas novads,Asūnes pamatskola,80.00%,ANG9
Daugavpils novads,Naujenes pamatskola,82.25%,ANG9
Daugavpils novads,Biķernieku pamatskola,53.38%,ANG9
Daugavpils novads,Randenes pamatskola,44.50%,ANG9
Daugavpils novads,Silenes pamatskola,51.56%,ANG9
Daugavpils novads,Tabores pamatskola,47.67%,ANG9
Daugavpils novads,Kalupes pamatskola,71.57%,ANG9
Daugavpils novads,Lāču pamatskola,57.00%,ANG9
Daugavpils novads,Špoģu vidusskola,73.91%,ANG9
Daugavpils novads,Vaboles vidusskola,72.25%,ANG9
Daugavpils novads,Salienas vidusskola,65.43%,ANG9
Daugavpils novads,Sventes vidusskola,73.00%,ANG9
Daugavpils novads,Zemgales vidusskola,52.15%,ANG9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,62.00%,ANG9
Daugavpils pilsēta,Daugavpils 11. pamatskola,43.61%,ANG9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,81.39%,ANG9
Daugavpils pilsēta,Daugavpils 12. vidusskola,73.08%,ANG9
Daugavpils pilsēta,Daugavpils 10. vidusskola,66.13%,ANG9
Daugavpils pilsēta,Daugavpils 15. vidusskola,53.00%,ANG9
Daugavpils pilsēta,Daugavpils Krievu vidusskola - licejs,80.03%,ANG9
Daugavpils pilsēta,J. Raiņa Daugavpils 6. vidusskola,49.28%,ANG9
Daugavpils pilsēta,Daugavpils 16. vidusskola,61.37%,ANG9
Daugavpils pilsēta,Daugavpils 17. vidusskola,48.00%,ANG9
Daugavpils pilsēta,Daugavpils 3. vidusskola,65.31%,ANG9
Daugavpils pilsēta,Daugavpils pilsētas Centra ģimnāzija,61.83%,ANG9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,83.64%,ANG9
Daugavpils pilsēta,Daugavpils 1. arodvidusskola,44.76%,ANG9
Daugavpils pilsēta,Daugavpils Celtnieku profesionālā vidusskola,36.83%,ANG9
Daugavpils pilsēta,Daugavpils Mūzikas vidusskola,56.50%,ANG9
Daugavpils pilsēta,Daugavpils 4. speciālā pamatskola,46.00%,ANG9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,53.00%,ANG9
Dobeles novads,Dobeles Kristīgā pamatskola,62.00%,ANG9
Dobeles novads,Dobeles 1. vidusskola,62.07%,ANG9
Dobeles novads,Dobeles 2. vidusskola,49.82%,ANG9
Dobeles novads,Dobeles Valsts ģimnāzija,72.57%,ANG9
Dobeles novads,Bikstu pamatskola,64.56%,ANG9
Dobeles novads,Mežinieku pamatskola,57.67%,ANG9
Dobeles novads,Naudītes pamatskola,56.80%,ANG9
Dobeles novads,Lejasstrazdu pamatskola,37.57%,ANG9
Dundagas novads,Kolkas pamatskola,67.88%,ANG9
Dundagas novads,Dundagas vidusskola,65.50%,ANG9
Durbes novads,Ata Kronvalda Durbes vidusskola,75.63%,ANG9
Durbes novads,A. Spāģa Dunalkas pamatskola,67.86%,ANG9
Durbes novads,Rāvas pamatskola,71.50%,ANG9
Engures novads,Lapmežciema pamatskola,58.50%,ANG9
Engures novads,Smārdes pamatskola,72.38%,ANG9
Engures novads,Engures vidusskola,64.18%,ANG9
Ērgļu novads,Jāņa Zālīša Sausnējas pamatskola,58.29%,ANG9
Ērgļu novads,Ērgļu vidusskola,77.85%,ANG9
Garkalnes novads,Garkalnes vidusskola,85.00%,ANG9
Garkalnes novads,Berģu Mūzikas un mākslas pamatskola,77.76%,ANG9
Grobiņas novads,Grobiņas vidusskola,59.13%,ANG9
Grobiņas novads,Grobiņas ģimnāzija,76.00%,ANG9
Grobiņas novads,Bārtas pamatskola,59.00%,ANG9
Grobiņas novads,Gaviezes pamatskola,64.00%,ANG9
Grobiņas novads,Kapsēdes pamatskola,63.50%,ANG9
Gulbenes novads,Gulbenes 2. vidusskola,67.25%,ANG9
Gulbenes novads,Gulbenes vidusskola,63.29%,ANG9
Gulbenes novads,Gulbenes Vakara (maiņu) vidusskola,52.50%,ANG9
Gulbenes novads,Gulbenes novada valsts ģimnāzija,82.87%,ANG9
Gulbenes novads,Daukstes pamatskola,72.33%,ANG9
Gulbenes novads,Druvienas pamatskola,64.33%,ANG9
Gulbenes novads,Galgauskas pamatskola,60.75%,ANG9
Gulbenes novads,K. Valdemāra pamatskola,68.08%,ANG9
Gulbenes novads,Litenes pamatskola,69.60%,ANG9
Gulbenes novads,Ozolkalna pamatskola,51.33%,ANG9
Gulbenes novads,Rankas pamatskola,59.86%,ANG9
Gulbenes novads,Stāķu pamatskola,71.38%,ANG9
Gulbenes novads,Stāmerienas pamatskola,70.00%,ANG9
Gulbenes novads,Tirzas pamatskola,71.00%,ANG9
Gulbenes novads,Gulbīša vidusskola,56.60%,ANG9
Gulbenes novads,Lejasciema vidusskola,76.69%,ANG9
Gulbenes novads,Lizuma vidusskola,70.20%,ANG9
Gulbenes novads,Rankas arodvidusskola,45.67%,ANG9
Iecavas novads,Dzimtmisas pamatskola,69.25%,ANG9
Iecavas novads,Iecavas vidusskola,72.37%,ANG9
Iecavas novads,Iecavas internātpamatskola,63.75%,ANG9
Ikšķiles novads,Ikšķiles vidusskola,78.34%,ANG9
Ikšķiles novads,Tīnūžu pamatskola,68.29%,ANG9
Ilūkstes novads,Ilūkstes 1. vidusskola,80.68%,ANG9
Ilūkstes novads,Ilūkstes Sadraudzības vidusskola,65.67%,ANG9
Ilūkstes novads,Bebrenes vidusskola,71.67%,ANG9
Inčukalna novads,Vangažu vidusskola,65.75%,ANG9
Inčukalna novads,Inčukalna pamatskola,64.42%,ANG9
Jaunjelgavas novads,Jaunjelgavas vidusskola,75.64%,ANG9
Jaunjelgavas novads,Daudzeses pamatskola,68.13%,ANG9
Jaunjelgavas novads,Seces pagasta pamatskola,61.25%,ANG9
Jaunpiebalgas novads,Piebalgas pamatskola,41.60%,ANG9
Jaunpiebalgas novads,Jaunpiebalgas vidusskola,60.47%,ANG9
Jaunpils novads,Jaunpils vidusskola,66.00%,ANG9
Jelgavas novads,Kalnciema pagasta vidusskola,54.64%,ANG9
Jelgavas novads,Aizupes pamatskola,74.57%,ANG9
Jelgavas novads,Sesavas pamatskola,58.40%,ANG9
Jelgavas novads,Svētes pamatskola,66.88%,ANG9
Jelgavas novads,Šķibes pamatskola,63.50%,ANG9
Jelgavas novads,Vilces pamatskola,53.25%,ANG9
Jelgavas novads,Zaļenieku pamatskola,73.14%,ANG9
Jelgavas novads,Elejas vidusskola,68.54%,ANG9
Jelgavas novads,Kalnciema vidusskola,64.60%,ANG9
Jelgavas novads,Līvbērzes vidusskola,68.43%,ANG9
Jelgavas novads,Platones pamatskola,67.50%,ANG9
Jelgavas novads,Staļģenes vidusskola,77.08%,ANG9
Jelgavas novads,Vircavas vidusskola,46.67%,ANG9
Jelgavas novads,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,59.00%,ANG9
Jelgavas novads,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,42.50%,ANG9
Jelgavas pilsēta,Jelgavas 4. vidusskola,72.45%,ANG9
Jelgavas pilsēta,Jelgavas 5. vidusskola,69.66%,ANG9
Jelgavas pilsēta,Jelgavas 6. vidusskola,70.77%,ANG9
Jelgavas pilsēta,Jelgavas Vakara (maiņu) vidusskola,55.13%,ANG9
Jelgavas pilsēta,Jelgavas 1. ģimnāzija,65.94%,ANG9
Jelgavas pilsēta,Jelgavas Spīdolas ģimnāzija,76.76%,ANG9
Jelgavas pilsēta,Jelgavas Valsts ģimnāzija,79.73%,ANG9
Jelgavas pilsēta,Jelgavas 1.speciālā internātpamatskola,88.00%,ANG9
Jelgavas pilsēta,Jelgavas speciālā internātpamatskola,54.50%,ANG9
Jēkabpils novads,Ābeļu pamatskola,61.86%,ANG9
Jēkabpils novads,Bērzgala pamatskola,67.20%,ANG9
Jēkabpils novads,Dignājas pamatskola,54.50%,ANG9
Jēkabpils novads,Dunavas pamatskola,59.71%,ANG9
Jēkabpils novads,Rubenes pamatskola,74.29%,ANG9
Jēkabpils novads,Zasas vidusskola,62.50%,ANG9
Jēkabpils pilsēta,Krustpils pamatskola,77.00%,ANG9
Jēkabpils pilsēta,Jēkabpils Poļu pamatskola,67.00%,ANG9
Jēkabpils pilsēta,Jēkabpils 3. vidusskola,72.39%,ANG9
Jēkabpils pilsēta,Jēkabpils 2. vidusskola,56.29%,ANG9
Jēkabpils pilsēta,Jēkabpils vakara vidusskola,48.13%,ANG9
Jēkabpils pilsēta,Jēkabpils Valsts ģimnāzija,79.09%,ANG9
Jūrmalas pilsēta,Jūrmalas Alternatīvā skola,88.39%,ANG9
Jūrmalas pilsēta,Majoru pamatskola,71.36%,ANG9
Jūrmalas pilsēta,Slokas pamatskola,66.13%,ANG9
Jūrmalas pilsēta,Vaivaru pamatskola,78.80%,ANG9
Jūrmalas pilsēta,Ķemeru vidusskola,84.67%,ANG9
Jūrmalas pilsēta,Pumpuru vidusskola,70.21%,ANG9
Jūrmalas pilsēta,Jūrmalas pilsētas Kauguru vidusskola,57.42%,ANG9
Jūrmalas pilsēta,Jūrmalas pilsētas Mežmalas vidusskola,54.70%,ANG9
Jūrmalas pilsēta,Jūrmalas pilsētas Jaundubultu vidusskola,59.60%,ANG9
Jūrmalas pilsēta,Jūrmalas pilsētas Lielupes vidusskola,78.91%,ANG9
Jūrmalas pilsēta,Jūrmalas vakara vidusskola,68.25%,ANG9
Jūrmalas pilsēta,Murjāņu sporta ģimnāzija Jūrmalas filiāle,62.00%,ANG9
Jūrmalas pilsēta,Jūrmalas Valsts ģimnāzija,79.55%,ANG9
Kandavas novads,Kandavas Kārļa Mīlenbaha vidusskola,58.54%,ANG9
Kandavas novads,Kandavas internātvidusskola,66.00%,ANG9
Kandavas novads,Cēres pamatskola,53.83%,ANG9
Kandavas novads,Kandavas novada Zantes pamatskola,59.80%,ANG9
Kandavas novads,Vānes pamatskola,63.14%,ANG9
Kandavas novads,Zemītes pamatskola,56.33%,ANG9
Kārsavas novads,Kārsavas vidusskola,73.08%,ANG9
Kārsavas novads,Mērdzenes pamatskola,82.33%,ANG9
Kārsavas novads,Mežvidu pamatskola (Kārsavas),73.71%,ANG9
Kārsavas novads,Salnavas pamatskola,68.88%,ANG9
Kokneses novads,Bebru pamatskola,74.13%,ANG9
Kokneses novads,Pērses pamatskola,63.50%,ANG9
Kokneses novads,Ilmāra Gaiša Kokneses vidusskola,75.35%,ANG9
Kokneses novads,Bebru vispārizglītojošā internātpamatskola,53.00%,ANG9
Krāslavas novads,Krāslavas pamatskola,67.64%,ANG9
Krāslavas novads,Krāslavas gr. Plāteru v.n. Poļu pamatskola,62.50%,ANG9
Krāslavas novads,Krāslavas Varavīksnes vidusskola,52.08%,ANG9
Krāslavas novads,Krāslavas Valsts ģimnāzija,65.90%,ANG9
Krāslavas novads,Izvaltas pamatskola,67.00%,ANG9
Krāslavas novads,Skaistas pamatskola,78.00%,ANG9
Krāslavas novads,Kalniešu pamatskola,39.57%,ANG9
Krāslavas novads,Indras vidusskola,81.00%,ANG9
Krimuldas novads,Garlība Merķeļa Lēdurgas pamatskola,61.33%,ANG9
Krimuldas novads,Turaidas pamatskola,65.00%,ANG9
Krimuldas novads,Krimuldas vidusskola,71.21%,ANG9
Krustpils novads,Liepenes pamatskola,79.00%,ANG9
Krustpils novads,Sūnu pamatskola,61.75%,ANG9
Krustpils novads,Mežāres pamatskola,56.40%,ANG9
Krustpils novads,Brāļu Skrindu Atašienes vidusskola,61.75%,ANG9
Kuldīgas novads,Kuldīgas pamatskola,71.06%,ANG9
Kuldīgas novads,Kuldīgas 2. vidusskola,60.50%,ANG9
Kuldīgas novads,Kuldīgas Centra vidusskola,66.16%,ANG9
Kuldīgas novads,V. Plūdoņa Kuldīgas ģimnāzija,69.76%,ANG9
Kuldīgas novads,Ēdoles pamatskola,61.00%,ANG9
Kuldīgas novads,Laidu pamatskola,42.88%,ANG9
Kuldīgas novads,Turlavas pamatskola,69.60%,ANG9
Kuldīgas novads,Vārmes pamatskola,75.44%,ANG9
Kuldīgas novads,Vilgāles pamatskola,61.63%,ANG9
Kuldīgas novads,Z.A. Meierovica Kabiles pamatskola,58.43%,ANG9
Ķeguma novads,Ķeguma komercnovirziena vidusskola,72.75%,ANG9
Ķeguma novads,Birzgales pamatskola,58.08%,ANG9
Ķekavas novads,Baložu vidusskola,75.00%,ANG9
Ķekavas novads,Ķekavas vidusskola,76.18%,ANG9
Lielvārdes novads,Lielvārdes pamatskola,67.61%,ANG9
Lielvārdes novads,Edgara Kauliņa Lielvārdes vidusskola,79.40%,ANG9
Lielvārdes novads,Kaibalas pamatskola,82.67%,ANG9
Lielvārdes novads,Lēdmanes pamatskola,69.83%,ANG9
Lielvārdes novads,Jumpravas vidusskola,73.17%,ANG9
Liepājas pilsēta,Liepājas Katoļu pamatskola,80.57%,ANG9
Liepājas pilsēta,Liepājas 3. pamatskola,58.02%,ANG9
Liepājas pilsēta,J. Čakstes Liepājas pilsētas 10. vidusskola,66.17%,ANG9
Liepājas pilsēta,Liepājas 15. vidusskola,72.26%,ANG9
Liepājas pilsēta,Liepājas Raiņa 6. vidusskola,68.33%,ANG9
Liepājas pilsēta,Liepājas 7. vidusskola,60.37%,ANG9
Liepājas pilsēta,Liepājas A. Puškina 2. vidusskola,79.00%,ANG9
Liepājas pilsēta,Liepājas pilsētas 12. vidusskola,58.86%,ANG9
Liepājas pilsēta,Liepājas 8. vidusskola,72.60%,ANG9
Liepājas pilsēta,Liepājas vakara (maiņu) vidusskola,61.04%,ANG9
Liepājas pilsēta,Liepājas Valsts 1. ģimnāzija,78.23%,ANG9
Liepājas pilsēta,Liepājas Valsts tehnikums,54.35%,ANG9
Liepājas pilsēta,Liepājas internātpamatskola,59.50%,ANG9
Limbažu novads,Limbažu 1. vidusskola,66.25%,ANG9
Limbažu novads,Limbažu 2. vidusskola,41.67%,ANG9
Limbažu novads,Limbažu 3. vidusskola,77.67%,ANG9
Limbažu novads,Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,58.80%,ANG9
Limbažu novads,Limbažu Profesionālā vidusskola,46.00%,ANG9
Limbažu novads,Baumaņu Kārļa Viļķenes pamatskola,67.83%,ANG9
Limbažu novads,Friča Bārdas Pociema pamatskola,56.43%,ANG9
Limbažu novads,Lādezera pamatskola,62.83%,ANG9
Limbažu novads,Pāles pamatskola,73.75%,ANG9
Limbažu novads,Umurgas pamatskola,63.13%,ANG9
Limbažu novads,Vidrižu pamatskola,61.89%,ANG9
Līgatnes novads,Līgatnes novada vidusskola,63.47%,ANG9
Līvānu novads,Līvānu 1. vidusskola,75.58%,ANG9
Līvānu novads,Līvānu 2. vidusskola,53.82%,ANG9
Līvānu novads,Jaunsilavas pamatskola,79.75%,ANG9
Līvānu novads,Jersikas pamatskola,67.00%,ANG9
Līvānu novads,Rožupes pamatskola,77.11%,ANG9
Līvānu novads,Sutru pamatskola,69.00%,ANG9
Līvānu novads,Rudzātu vidusskola,80.83%,ANG9
Lubānas novads,Lubānas vidusskola,70.79%,ANG9
Lubānas novads,Meirānu Kalpaka pamatskola,45.67%,ANG9
Ludzas novads,Ludzas 2. vidusskola,56.96%,ANG9
Ludzas novads,Ludzas novada vakara vidusskola,48.20%,ANG9
Ludzas novads,Ludzas pilsētas ģimnāzija,67.03%,ANG9
Ludzas novads,Istras vidusskola,46.11%,ANG9
Madonas novads,Madonas pilsētas 1. vidusskola,69.83%,ANG9
Madonas novads,Madonas pilsētas 2. vidusskola,70.35%,ANG9
Madonas novads,Madonas Vakara un neklātienes vidusskola,65.00%,ANG9
Madonas novads,Madonas Valsts ģimnāzija,85.29%,ANG9
Madonas novads,Bērzaunes pamatskola,46.80%,ANG9
Madonas novads,Degumnieku pamatskola,64.90%,ANG9
Madonas novads,Dzelzavas pamatskola,72.87%,ANG9
Madonas novads,Kalsnavas pamatskola,72.29%,ANG9
Madonas novads,Kusas pamatskola,68.86%,ANG9
Madonas novads,Lazdonas pamatskola,47.00%,ANG9
Madonas novads,Liezēres pamatskola,53.27%,ANG9
Madonas novads,Mārcienas pamatskola,58.00%,ANG9
Madonas novads,Mētrienas pamatskola,61.43%,ANG9
Madonas novads,Sarkaņu pamatskola,57.75%,ANG9
Madonas novads,Vestienas pamatskola,62.50%,ANG9
Madonas novads,Ļaudonas vidusskola,64.89%,ANG9
Madonas novads,Barkavas arodvidusskola,71.00%,ANG9
Mazsalacas novads,Mazsalacas vidusskola,69.31%,ANG9
Mālpils novads,Mālpils vidusskola,69.12%,ANG9
Mālpils novads,Mālpils internātpamatskola,61.63%,ANG9
Mālpils novads,Sidgundas pamatskola,71.17%,ANG9
Mārupes novads,Mārupes vidusskola,75.69%,ANG9
Naukšēnu novads,Naukšēnu novada vidusskola,61.79%,ANG9
Neretas novads,Mazzalves pamatskola,72.83%,ANG9
Neretas novads,Sproģu pamatskola,68.75%,ANG9
Neretas novads,Neretas Jāņa Jaunsudrabiņa vidusskola,66.70%,ANG9
Ogres novads,Ogres Sv. Meinarda katoļu pamatskola,55.50%,ANG9
Ogres novads,Ogres 1. vidusskola,76.38%,ANG9
Ogres novads,Jaunogres vidusskola,62.88%,ANG9
Ogres novads,Ogres Vakara vidusskola,53.20%,ANG9
Ogres novads,Ogres Valsts ģimnāzija,75.33%,ANG9
Ogres novads,Krapes pamatskola,56.50%,ANG9
Ogres novads,Ķeipenes pamatskola,71.82%,ANG9
Ogres novads,Lauberes pamatskola,56.00%,ANG9
Ogres novads,Mazozolu pamatskola,60.80%,ANG9
Ogres novads,Meņģeles pamatskola,46.00%,ANG9
Ogres novads,Ogresgala pamatskola,70.57%,ANG9
Ogres novads,Madlienas vidusskola,68.71%,ANG9
Ogres novads,Suntažu vidusskola,71.29%,ANG9
Ogres novads,Taurupes vidusskola,64.00%,ANG9
Ogres novads,Suntažu internātpamatskola - rehabilitācijas centrs,64.33%,ANG9
Olaines novads,Olaines 2. vidusskola,63.63%,ANG9
Olaines novads,Olaines 1. vidusskola,76.96%,ANG9
Ozolnieku novads,Garozas pamatskola,56.30%,ANG9
Ozolnieku novads,Salgales pamatskola,61.78%,ANG9
Ozolnieku novads,Teteles pamatskola,78.20%,ANG9
Ozolnieku novads,Ozolnieku vidusskola,71.77%,ANG9
Pārgaujas novads,Raiskuma pamatskola,68.75%,ANG9
Pārgaujas novads,Straupes pamatskola,62.78%,ANG9
Pārgaujas novads,Stalbes vidusskola,54.71%,ANG9
Pārgaujas novads,Raiskuma speciālā internātpamatskola – rehabilitācijas centrs,65.00%,ANG9
Pāvilostas novads,Pāvilostas vidusskola,71.86%,ANG9
Pāvilostas novads,Vērgales pamatskola,72.10%,ANG9
Pļaviņu novads,Pļaviņu novada ģimnāzija,70.54%,ANG9
Preiļu novads,Preiļu 1. pamatskola,77.70%,ANG9
Preiļu novads,Preiļu 2. vidusskola,52.95%,ANG9
Preiļu novads,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,35.00%,ANG9
Preiļu novads,Priekuļu pamatskola,64.40%,ANG9
Priekules novads,Priekules vidusskola,73.27%,ANG9
Priekules novads,Gramzdas pamatskola,45.00%,ANG9
Priekules novads,Kalētu pamatskola,64.75%,ANG9
Priekules novads,Krotes Kronvalda Ata pamatskola,68.25%,ANG9
Priekules novads,Virgas pamatskola,37.50%,ANG9
Priekuļu novads,Mārsnēnu pamatskola,68.50%,ANG9
Priekuļu novads,Liepas pamatskola,57.00%,ANG9
Priekuļu novads,Priekuļu vidusskola,64.29%,ANG9
Raunas novads,Drustu pamatskola,69.80%,ANG9
Raunas novads,Raunas vidusskola,58.00%,ANG9
Rēzeknes novads,Kruķu pamatskola,50.40%,ANG9
Rēzeknes novads,Gaigalavas pamatskola,80.25%,ANG9
Rēzeknes novads,Rēznas pamatskola,55.00%,ANG9
Rēzeknes novads,Audriņu pamatskola,68.13%,ANG9
Rēzeknes novads,Feimaņu pamatskola,43.38%,ANG9
Rēzeknes novads,Sakstagala Jāņa Klīdzēja pamatskola,67.89%,ANG9
Rēzeknes novads,Verēmu pamatskola,80.25%,ANG9
Rēzeknes novads,Dricānu vidusskola,77.60%,ANG9
Rēzeknes novads,Makašānu Amatu vidusskola,48.50%,ANG9
Rēzeknes novads,Maltas 1. vidusskola,88.50%,ANG9
Rēzeknes novads,Nautrēnu vidusskola,74.55%,ANG9
Rēzeknes novads,Kaunatas vidusskola,64.05%,ANG9
Rēzeknes novads,Maltas 2. vidusskola,52.58%,ANG9
Rēzeknes pilsēta,Rēzeknes 1. vidusskola,79.45%,ANG9
Rēzeknes pilsēta,Rēzeknes 5. vidusskola,70.64%,ANG9
Rēzeknes pilsēta,Rēzeknes Katoļu vidusskola,67.88%,ANG9
Rēzeknes pilsēta,Rēzeknes valsts poļu ģimnāzija,68.85%,ANG9
Rēzeknes pilsēta,Rēzeknes 2. vidusskola,63.36%,ANG9
Rēzeknes pilsēta,Rēzeknes 3. vidusskola,62.32%,ANG9
Rēzeknes pilsēta,Rēzeknes 6. vidusskola,56.56%,ANG9
