Novads,Skola,Kopvērtējums,Priekšmets
Aglonas novads,Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola,48.00%,ANG9
Aglonas novads,Aglonas vidusskola,75.44%,ANG9
Aglonas novads,Priežmalas pamatskola,91.00%,ANG9
Aglonas novads,Aglonas internātvidusskola,70.00%,ANG9
Aizkraukles novads,Aizkraukles 1. vidusskola,69.63%,ANG9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,47.75%,ANG9
Aizkraukles novads,Aizkraukles novada ģimnāzija,72.68%,ANG9
Aizputes novads,Aizputes vidusskola,67.31%,ANG9
Aizputes novads,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,52.00%,ANG9
Aizputes novads,Aizputes pagasta pamatskola,65.82%,ANG9
Aizputes novads,Apriķu pamatskola,45.50%,ANG9
Aizputes novads,Dzērves pamatskola,60.33%,ANG9
Aizputes novads,Kalvenes pamatskola,64.60%,ANG9
Aizputes novads,Māteru Jura Kazdangas pamatskola,73.85%,ANG9
Aknīstes novads,Aknīstes vidusskola,85.20%,ANG9
Aknīstes novads,Asares pamatskola,75.00%,ANG9
Aknīstes novads,Gārsenes pamatskola,68.17%,ANG9
Alojas novads,Staiceles vidusskola,65.95%,ANG9
Alojas novads,Alojas Ausekļa vidusskola,67.00%,ANG9
Alojas novads,Ozolmuižas pamatskola,46.25%,ANG9
Alojas novads,Puikules pamatskola,72.00%,ANG9
Alsungas novads,Alsungas vidusskola,65.00%,ANG9
Alūksnes novads,Alūksnes vidusskola,57.80%,ANG9
Alūksnes novads,Alūksnes Vakara (maiņu) un neklātienes vidusskola,47.00%,ANG9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,81.68%,ANG9
Alūksnes novads,Alūksnes novada Jaunannas pamatskola,66.00%,ANG9
Alūksnes novads,Bejas pamatskola,81.67%,ANG9
Alūksnes novads,Ilzenes pamatskola,57.67%,ANG9
Alūksnes novads,Jaunlaicenes pamatskola,67.00%,ANG9
Alūksnes novads,Malienas pamatskola,71.60%,ANG9
Alūksnes novads,Mālupes pamatskola,51.33%,ANG9
Alūksnes novads,Mārkalnes pamatskola,56.75%,ANG9
Alūksnes novads,Strautiņu pamatskola,68.00%,ANG9
Alūksnes novads,Ziemeru pamatskola,74.13%,ANG9
Alūksnes novads,Pededzes pamatskola,65.56%,ANG9
