Izglītības iestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Ērgļu vidusskola,59.68%,17,LAT9
Ernsta Glika Alūksnes Valsts ģimnāzija,69.25%,53,LAT9
Ēveles pamatskola,67.27%,8,LAT9
Ezernieku vidusskola,57.23%,21,LAT9
Feimaņu pamatskola,53.07%,8,LAT9
"filiāle ""Laidzes pamatskola""",63.07%,8,LAT9
Friča Brīvzemnieka pamatskola,62.73%,25,LAT9
Gaigalavas pamatskola,60.26%,7,LAT9
Gaiķu pamatskola,50.91%,1,LAT9
Galēnu pamatskola,75.76%,6,LAT9
Galgauskas pamatskola,65.91%,2,LAT9
Gardenes pamatskola,49.19%,9,LAT9
Garkalnes Mākslu un vispārizglītojošā pamatskola,53.67%,24,LAT9
Garlība Merķeļa Lēdurgas pamatskola,61.17%,7,LAT9
Garozas pamatskola,60.55%,15,LAT9
Gaujienas pamatskola,57.45%,5,LAT9
Gaviezes pamatskola,61.21%,3,LAT9
Griķu pamatskola,56.89%,12,LAT9
Grobiņas ģimnāzija,65.67%,55,LAT9
Grundzāles pamatskola,68.10%,11,LAT9
Gulbenes 2. vidusskola,56.80%,68,LAT9
Gulbenes novada valsts ģimnāzija,71.79%,28,LAT9
Gulbīša pamatskola,51.70%,8,LAT9
Iecavas internātpamatskola,60.71%,14,LAT9
Iecavas vidusskola,69.01%,55,LAT9
Ikšķiles vidusskola,62.73%,75,LAT9
Iļģuciema vidusskola,67.45%,31,LAT9
Ilmāra Gaiša Kokneses vidusskola,62.23%,44,LAT9
Ilūkstes Raiņa vidusskola,62.47%,25,LAT9
Inčukalna pamatskola,78.67%,13,LAT9
Indras pamatskola,45.45%,11,LAT9
IPĪV_Dagda,42.73%,6,LAT9
Irlavas pamatskola,56.67%,9,LAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,60.61%,48,LAT9
J. Endzelīna Kauguru pamatskola,63.94%,12,LAT9
Jāņa Eglīša Preiļu Valsts ģimnāzija,67.18%,20,LAT9
Jāņa Zālīša Sausnējas pamatskola,53.48%,6,LAT9
Jaunannas Mūzikas un mākslas pamatskola,69.55%,4,LAT9
Jaunjelgavas vidusskola,73.48%,23,LAT9
Jaunmārupes pamatskola,61.06%,37,LAT9
Jaunpiebalgas vidusskola,62.87%,25,LAT9
Jaunpils vidusskola,58.23%,21,LAT9
Jaunsilavas pamatskola,69.45%,10,LAT9
Jaunstrūžānu pamatskola,54.34%,9,LAT9
Jēkabpils 3. vidusskola,62.22%,63,LAT9
Jēkabpils vakara vidusskola,62.73%,4,LAT9
Jēkabpils Valsts ģimnāzija,66.48%,93,LAT9
Jelgavas 4. vidusskola,54.95%,94,LAT9
Jelgavas Amatu vidusskola,53.35%,16,LAT9
Jelgavas novada Neklātienes vidusskola,53.18%,10,LAT9
"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",59.87%,7,LAT9
Jelgavas Spīdolas Valsts ģimnāzija,66.23%,90,LAT9
Jelgavas Tehnoloģiju vidusskola,60.65%,81,LAT9
Jelgavas Vakara (maiņu) vidusskola,38.79%,3,LAT9
Jelgavas Valsts ģimnāzija,68.62%,120,LAT9
Jersikas pamatskola,57.16%,8,LAT9
Jumpravas pamatskola,65.40%,17,LAT9
Jura Neikena Dikļu pamatskola,60.23%,8,LAT9
JŪRMALA,55.00%,10,LAT9
Jūrmalas Alternatīvā skola,73.49%,19,LAT9
Jūrmalas pilsētas Lielupes pamatskola,76.00%,10,LAT9
Jūrmalas vakara vidusskola,51.82%,3,LAT9
Jūrmalas Valsts ģimnāzija,67.01%,51,LAT9
Kalētu Mūzikas un mākslas pamatskola,64.64%,10,LAT9
Kalnciema pagasta vidusskola,66.12%,11,LAT9
Kalnciema vidusskola,58.07%,16,LAT9
Kalsnavas pamatskola,69.03%,14,LAT9
Kalupes pamatskola,63.71%,13,LAT9
Kalvenes pamatskola,61.59%,8,LAT9
Kandavas internātvidusskola,56.05%,23,LAT9
Kandavas Kārļa Mīlenbaha vidusskola,57.27%,31,LAT9
Kandavas novada Zantes pamatskola,41.36%,8,LAT9
Kapsēdes pamatskola,64.24%,9,LAT9
Kārsavas vidusskola,71.82%,19,LAT9
Kaunatas vidusskola,59.66%,8,LAT9
Ķeguma komercnovirziena vidusskola,70.03%,27,LAT9
Ķeipenes pamatskola,67.27%,11,LAT9
Ķekavas vidusskola,71.88%,86,LAT9
Kocēnu pamatskola,65.89%,23,LAT9
Kolkas pamatskola,86.82%,2,LAT9
Krāslavas pamatskola,55.75%,28,LAT9
Krāslavas Valsts ģimnāzija,63.00%,23,LAT9
Krimuldas vidusskola,66.45%,22,LAT9
Krišjāņa Valdemāra Ainažu pamatskola,73.86%,8,LAT9
Kristiāna Dāvida pamatskola,69.09%,1,LAT9
Krotes Kronvalda Ata pamatskola,63.38%,7,LAT9
Krustpils pamatskola,62.20%,12,LAT9
Kuldīgas 2. vidusskola,55.03%,41,LAT9
Kuldīgas Centra vidusskola,59.65%,52,LAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola,74.62%,25,LAT9
Kusas pamatskola,68.86%,12,LAT9
Lādezera pamatskola,60.72%,19,LAT9
Laidu pamatskola,65.00%,4,LAT9
Lapmežciema pamatskola,83.25%,7,LAT9
Laucienes pamatskola,64.87%,17,LAT9
Lazdonas pamatskola,49.55%,6,LAT9
Lēdmanes pamatskola,56.31%,16,LAT9
Lejasciema vidusskola,63.11%,12,LAT9
Lielvārdes pamatskola,67.87%,35,LAT9
Liepājas 8. vidusskola,53.64%,29,LAT9
Liepājas internātpamatskola,57.09%,10,LAT9
Liepājas Katoļu pamatskola,64.68%,7,LAT9
Liepājas Raiņa 6. vidusskola,57.91%,85,LAT9
Liepājas vakara (maiņu) vidusskola,44.73%,10,LAT9
Liepājas Valsts 1. ģimnāzija,68.05%,90,LAT9
Liepas pamatskola,59.92%,11,LAT9
Liepnas vidusskola,48.18%,2,LAT9
Liepupes pamatskola,66.45%,10,LAT9
Liezēres pamatskola,66.10%,7,LAT9
Līgatnes novada vidusskola,61.11%,9,LAT9
Limbažu 3. vidusskola,60.79%,31,LAT9
Limbažu novada ģimnāzija,61.28%,39,LAT9
Līvānu 1. vidusskola,68.10%,35,LAT9
Līvānu novada Vakara (maiņu) vidusskola,47.27%,5,LAT9
Līvbērzes pamatskola,57.79%,7,LAT9
Lizuma vidusskola,61.05%,13,LAT9
Lubānas vidusskola,60.53%,19,LAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,47.95%,8,LAT9
Ludzas novada vakara vidusskola,42.42%,3,LAT9
Ludzas pilsētas ģimnāzija,62.35%,53,LAT9
Madlienas vidusskola,60.45%,16,LAT9
Madonas pilsētas vidusskola,61.83%,63,LAT9
Madonas Valsts ģimnāzija,76.20%,38,LAT9
Majoru vidusskola,63.35%,35,LAT9
Malienas pamatskola,58.33%,6,LAT9
Mālpils novada vidusskola,76.00%,25,LAT9
Maltas vidusskola,66.59%,16,LAT9
Mārupes pamatskola,70.84%,13,LAT9
Mārupes vidusskola,62.99%,84,LAT9
Māteru Jura Kazdangas pamatskola,66.03%,11,LAT9
Matīšu pamatskola,66.18%,10,LAT9
Mazozolu filiāle,60.30%,3,LAT9
Mazsalacas vidusskola,59.47%,19,LAT9
Mazzalves pamatskola,60.82%,10,LAT9
Medumu pamatskola,49.70%,6,LAT9
Meirānu Kalpaka pamatskola,54.55%,4,LAT9
Mērdzenes pamatskola,63.64%,6,LAT9
Mērsraga vidusskola,66.67%,12,LAT9
Mētrienas pamatskola,55.23%,4,LAT9
Mežāres pamatskola,44.85%,3,LAT9
Mežciema pamatskola,71.20%,54,LAT9
Mežgaļu pamatskola,71.94%,15,LAT9
Mežinieku pamatskola,60.30%,12,LAT9
Mežvidu pamatskola,72.58%,6,LAT9
Misas vidusskola,52.50%,8,LAT9
Mores pamatskola,63.94%,3,LAT9
Murjāņu sporta ģimnāzija,57.30%,37,LAT9
Murmastienes pamatskola,66.36%,2,LAT9
Naujenes pamatskola,67.99%,14,LAT9
Naukšēnu novada vidusskola,57.27%,16,LAT9
Nautrēnu vidusskola,66.77%,9,LAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,80.19%,14,LAT9
Nīcas vidusskola,66.51%,19,LAT9
Nīgrandes pagasta Kalnu vidusskola,61.92%,18,LAT9
Nīkrāces pamatskola,62.42%,6,LAT9
Nītaures vidusskola,75.18%,10,LAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,59.82%,41,LAT9
Ogres 1. vidusskola,69.36%,95,LAT9
Ogres Valsts ģimnāzija,65.70%,77,LAT9
Ogresgala pamatskola,64.92%,12,LAT9
Ojāra Vācieša Gaujienas pamatskola,70.40%,9,LAT9
Olaines 1. vidusskola,63.82%,58,LAT9
Oskara Kalpaka Liepājas 15. vidusskola,56.50%,55,LAT9
Ozolmuižas pamatskola,46.97%,3,LAT9
Ozolnieku vidusskola,59.42%,36,LAT9
Pāles pamatskola,66.93%,8,LAT9
Palsmanes pamatskola,63.18%,10,LAT9
"Pamatskola ""Rīdze""",66.21%,60,LAT9
Pastendes pamatskola,61.64%,10,LAT9
Pāvilostas vidusskola,69.42%,14,LAT9
Pededzes pamatskola,54.36%,5,LAT9
Pelēču pamatskola,54.73%,5,LAT9
Penkules pamatskola,72.48%,11,LAT9
Pildas pamatskola,40.91%,3,LAT9
Pilsrundāles vidusskola,57.54%,27,LAT9
Piltenes vidusskola,57.44%,11,LAT9
Pļaviņu novada ģimnāzija,68.97%,30,LAT9
Popes pamatskola,66.23%,7,LAT9
Praulienas pamatskola,62.05%,8,LAT9
Preiļu 1. pamatskola,60.95%,23,LAT9
Priekules vidusskola,58.40%,21,LAT9
Priekuļu tehnikums,56.52%,6,LAT9
Priekuļu vidusskola,63.99%,41,LAT9
Priežmalas pamatskola,51.43%,7,LAT9
"Privātā pamatskola ""Gaismas tilts 97""",72.55%,5,LAT9
"Privātā vidusskola ""Citruss""",66.59%,4,LAT9
"Privātā vidusskola ""Klasika""",60.00%,3,LAT9
"Privātā vidusskola ""Laisma""",75.23%,4,LAT9
"Privātā vidusskola ""Patnis""",69.09%,13,LAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,70.10%,35,LAT9
Pumpuru vidusskola,64.43%,57,LAT9
Pūņu pamatskola,65.95%,11,LAT9
Pūres pamatskola,60.79%,15,LAT9
Pušmucovas pamatskola,55.09%,5,LAT9
Puzes pamatskola,62.42%,3,LAT9
Rāmuļu pamatskola,51.59%,8,LAT9
Rankas pamatskola,57.27%,9,LAT9
Raunas vidusskola,67.45%,15,LAT9
Rekavas vidusskola,64.55%,14,LAT9
Rencēnu pamatskola,72.73%,3,LAT9
Rēzeknes 5. vidusskola,73.33%,45,LAT9
Rēzeknes internātpamatskola-attīstības centrs,62.58%,6,LAT9
Rēzeknes Katoļu vidusskola,65.95%,11,LAT9
Rēzeknes Valsts 1. ģimnāzija,74.95%,63,LAT9
Rēzeknes valsts poļu ģimnāzija,64.39%,41,LAT9
Rēznas pamatskola,58.52%,8,LAT9
Riebiņu vidusskola,52.10%,13,LAT9
Rīgas 1. Privātā tālmācības vidusskola,36.36%,1,LAT9
Rīgas 1. Tālmācības vidusskola,53.03%,45,LAT9
Rīgas 1. vidusskola,58.02%,17,LAT9
Rīgas 14. vakara (maiņu) vidusskola,48.41%,8,LAT9
Rīgas 18. vakara (maiņu) vidusskola,59.22%,7,LAT9
Rīgas 19. vidusskola,66.77%,27,LAT9
Rīgas 25. vidusskola,50.98%,48,LAT9
Rīgas 28. vidusskola,62.00%,15,LAT9
Rīgas 31. vidusskola,53.66%,34,LAT9
Rīgas 41. vidusskola,61.21%,36,LAT9
Rīgas 45. vidusskola,61.97%,55,LAT9
Rīgas 47. vidusskola,64.43%,40,LAT9
Rīgas 49. vidusskola,72.22%,86,LAT9
Rīgas 6. vidusskola,69.47%,57,LAT9
Rīgas 64. vidusskola,74.45%,84,LAT9
Rīgas 66. speciālā vidusskola,74.09%,8,LAT9
Rīgas 69. vidusskola,66.41%,18,LAT9
Rīgas 7. pamatskola,76.36%,7,LAT9
Rīgas 72. vidusskola,0.00%,22,LAT9
Rīgas 84. vidusskola,66.85%,66,LAT9
Rīgas 85. vidusskola,62.41%,23,LAT9
Rīgas 9. vakara (maiņu) vidusskola,61.75%,13,LAT9
Rīgas 93. vidusskola,65.82%,37,LAT9
Rīgas 94. vidusskola,59.70%,33,LAT9
Rīgas Angļu ģimnāzija,67.26%,86,LAT9
Rīgas Avotu pamatskola,57.05%,20,LAT9
Rīgas Centra daiļamatniecības pamatskola,74.27%,20,LAT9
Rīgas Centra humanitārā vidusskola,68.86%,89,LAT9
Rīgas Doma kora skola,71.52%,24,LAT9
Rīgas Ezerkrastu pamatskola,42.05%,16,LAT9
Rīgas Franču licejs,72.11%,60,LAT9
Rīgas Hanzas vidusskola,64.11%,67,LAT9
Rīgas Igauņu pamatskola,70.21%,13,LAT9
Rīgas Imantas vidusskola,59.90%,54,LAT9
Rīgas Jāņa Poruka vidusskola,52.23%,24,LAT9
Rīgas Juglas vidusskola,60.37%,117,LAT9
Rīgas Katoļu ģimnāzija,68.00%,10,LAT9
Rīgas Kristīgā vidusskola,64.26%,19,LAT9
Rīgas Kultūru vidusskola,79.98%,50,LAT9
Rīgas Lastādijas internātpamatskola,59.09%,2,LAT9
Rīgas Lietuviešu vidusskola,67.38%,26,LAT9
Rīgas Mūzikas internātvidusskola,59.30%,17,LAT9
Rīgas Natālijas Draudziņas vidusskola ,54.23%,37,LAT9
Rīgas Pļavnieku pamatskola,59.13%,45,LAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,50.00%,19,LAT9
Rīgas Tālmācības vidusskola,59.67%,19,LAT9
Rīgas Teikas vidusskola,71.09%,90,LAT9
Rīgas vakara ģimnāzija,48.13%,17,LAT9
Rīgas Valdorfskola,64.50%,19,LAT9
Rīgas Valsts 1. ģimnāzija,77.82%,128,LAT9
Rīgas Valsts 2. ģimnāzija,77.54%,115,LAT9
Rīgas Valsts 3. ģimnāzija,69.61%,93,LAT9
Rīgas Valsts vācu ģimnāzija,71.30%,108,LAT9
Robežnieku pamatskola,53.18%,4,LAT9
Rojas vidusskola,67.77%,29,LAT9
Ropažu vidusskola,61.91%,19,LAT9
Rožupes pamatskola,50.00%,1,LAT9
Rubenes pamatskola,65.64%,10,LAT9
Rubeņu pamatskola,57.97%,13,LAT9
Rucavas pamatskola,67.73%,6,LAT9
Rudzātu vidusskola,64.55%,7,LAT9
Rugāju novada Eglaines pamatskola,56.91%,5,LAT9
Rugāju novada vidusskola,58.06%,15,LAT9
Rūjienas vidusskola,64.17%,44,LAT9
Rušonas pamatskola,58.00%,5,LAT9
Sabiles pamatskola,47.07%,9,LAT9
Sakstagala Jāņa Klīdzēja pamatskola,60.82%,10,LAT9
Salacgrīvas vidusskola,59.77%,28,LAT9
Salas pamatskola,65.45%,4,LAT9
Salas vidusskola,60.48%,21,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",62.74%,68,LAT9
Saldus novada pašvaldības Druvas vidusskola,69.44%,36,LAT9
Saldus novada pašvaldības Ezeres pamatskola,69.50%,11,LAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,56.97%,3,LAT9
Saldus novada pašvaldības Kursīšu pamatskola,60.36%,5,LAT9
Saldus novada pašvaldības Lutriņu pamatskola,55.45%,6,LAT9
Saldus novada pašvaldības Pampāļu pamatskola,65.68%,8,LAT9
Saldus novada pašvaldības Rubas pamatskola,62.36%,10,LAT9
Saldus novada pašvaldības Zirņu pamatskola,55.73%,10,LAT9
Saldus pamatskola,66.83%,31,LAT9
Saldus vidusskola,68.77%,48,LAT9
Salgales pamatskola,53.75%,8,LAT9
Salnavas pamatskola,71.52%,3,LAT9
Saulkrastu vidusskola,68.89%,27,LAT9
Seces pagasta pamatskola,70.57%,8,LAT9
Sējas pamatskola,73.48%,17,LAT9
Sesavas pamatskola,61.36%,4,LAT9
Siguldas 1. pamatskola,64.02%,31,LAT9
Siguldas pilsētas vidusskola,66.91%,20,LAT9
Siguldas Valsts ģimnāzija,76.47%,83,LAT9
Sikšņu pamatskola,61.82%,4,LAT9
Silenes pamatskola,67.42%,6,LAT9
Sīļukalna pamatskola,65.00%,2,LAT9
Skaistkalnes vidusskola,66.57%,18,LAT9
Šķibes pamatskola,55.73%,13,LAT9
Skrundas vidusskola,58.94%,37,LAT9
Slokas pamatskola,58.69%,27,LAT9
Smārdes pamatskola,61.82%,17,LAT9
Smiltenes vidusskola,66.24%,64,LAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",57.27%,2,LAT9
Špoģu vidusskola,66.97%,21,LAT9
Stacijas pamatskola,64.42%,7,LAT9
Staiceles pamatskola,61.00%,10,LAT9
Stāķu pamatskola,59.19%,9,LAT9
Stalbes vidusskola,66.93%,8,LAT9
Staļģenes vidusskola,66.43%,13,LAT9
Stāmerienas pamatskola,61.21%,6,LAT9
Stelpes pamatskola,63.18%,4,LAT9
Stendes pamatskola,62.31%,11,LAT9
Straupes pamatskola,61.45%,5,LAT9
Strautiņu pamatskola,60.61%,9,LAT9
Strenču novada vidusskola,62.94%,13,LAT9
Sunākstes pamatskola,55.45%,1,LAT9
Suntažu pamatskola - rehabilitācijas centrs,70.00%,2,LAT9
Suntažu vidusskola,64.49%,16,LAT9
Sūnu pamatskola,51.82%,12,LAT9
Sventes vidusskola,56.82%,8,LAT9
Svētes pamatskola,69.14%,18,LAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",72.51%,25,LAT9
Talsu 2. vidusskola,63.23%,60,LAT9
Talsu Kristīgā vidusskola,77.77%,20,LAT9
Talsu novada Vakara un neklātienes vidusskola,49.09%,9,LAT9
Talsu pamatskola,58.07%,16,LAT9
Talsu Valsts ģimnāzija,69.84%,40,LAT9
Tārgales pamatskola,64.46%,11,LAT9
Taurupes pamatskola,62.12%,3,LAT9
Teteles pamatskola,68.18%,7,LAT9
Tilžas internātpamatskola,55.27%,5,LAT9
Tilžas vidusskola,64.46%,11,LAT9
Tirzas pamatskola,56.97%,9,LAT9
Torņakalna Privātā vidusskola,65.45%,5,LAT9
Trikātas pamatskola,70.78%,7,LAT9
Tukuma 2. pamatskola,70.09%,40,LAT9
Tukuma 2. vidusskola,63.14%,55,LAT9
Tukuma 3. pamatskola,59.65%,18,LAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,47.27%,12,LAT9
Tukuma Raiņa ģimnāzija,69.30%,31,LAT9
Tukuma Vakara un neklātienes vidusskola,40.11%,8,LAT9
Tumes vidusskola,62.89%,17,LAT9
Turlavas pamatskola,53.27%,10,LAT9
Ugāles vidusskola,64.70%,12,LAT9
Ulbrokas vidusskola,63.20%,62,LAT9
Umurgas pamatskola,74.14%,9,LAT9
Upesleju internātpamatskola - rehabilitācijas centrs,69.77%,4,LAT9
Užavas pamatskola,56.20%,11,LAT9
V. Plūdoņa Kuldīgas vidusskola,61.82%,51,LAT9
Vaboles vidusskola,64.55%,7,LAT9
Vaiņodes vidusskola,58.48%,15,LAT9
Vaivaru pamatskola,51.64%,10,LAT9
Valdemārpils vidusskola,69.47%,19,LAT9
Valkas Jāņa Cimzes ģimnāzija,55.67%,60,LAT9
Valmieras 2. vidusskola,51.56%,14,LAT9
Valmieras 5. vidusskola,68.13%,18,LAT9
Valmieras Gaujas krasta vidusskola - attīstības centrs,0.00%,6,LAT9
Valmieras Pārgaujas ģimnāzija,66.89%,85,LAT9
Valmieras Valsts ģimnāzija,70.72%,66,LAT9
Valmieras Viestura vidusskola,66.27%,70,LAT9
Vandzenes pamatskola,77.61%,8,LAT9
Vānes pamatskola,60.00%,11,LAT9
Vangažu vidusskola,62.56%,11,LAT9
Varakļānu vidusskola,65.66%,27,LAT9
Variņu pamatskola,77.95%,4,LAT9
Vārkavas vidusskola,57.58%,15,LAT9
Vārmes pamatskola,59.38%,16,LAT9
Vecpiebalgas novada pamatskola,72.27%,2,LAT9
Vecpiebalgas vidusskola,58.57%,14,LAT9
Vecsaules pamatskola,61.39%,15,LAT9
Vecumnieku novada Domes Valles vidusskola,56.36%,17,LAT9
Vecumnieku vidusskola,58.01%,21,LAT9
Ventspils 1. pamatskola,62.32%,31,LAT9
Ventspils 2. pamatskola,64.77%,16,LAT9
Ventspils 4. vidusskola,64.43%,48,LAT9
Ventspils 6. vidusskola,61.36%,18,LAT9
Ventspils Pārventas pamatskola,69.00%,20,LAT9
Ventspils Valsts 1. ģimnāzija,77.50%,64,LAT9
Verēmu pamatskola,67.09%,10,LAT9
Vērgales pamatskola,72.05%,8,LAT9
VESETAS IELA 9,68.96%,7,LAT9
Vestienas pamatskola,64.81%,7,LAT9
Vidrižu pamatskola,61.82%,5,LAT9
Viduču pamatskola,56.97%,9,LAT9
Viesītes vidusskola,62.20%,33,LAT9
Viļakas Valsts ģimnāzija,63.64%,22,LAT9
Viļānu vidusskola,59.14%,19,LAT9
Vilces pamatskola,63.18%,6,LAT9
Vilgāles pamatskola,52.95%,8,LAT9
Vīpes pamatskola,58.33%,6,LAT9
Virbu pamatskola,55.73%,10,LAT9
Vircavas vidusskola,58.21%,32,LAT9
Virgas pamatskola,71.11%,9,LAT9
Z.A. Meierovica Kabiles pamatskola,57.79%,7,LAT9
Zaķumuižas pamatskola,60.28%,13,LAT9
Zaļenieku komerciālā un amatniecības vidusskola,54.55%,10,LAT9
Zasas vidusskola,63.44%,14,LAT9
Zaubes pamatskola,70.45%,6,LAT9
Zemgales vidusskola,58.38%,18,LAT9
Zemītes pamatskola,46.36%,1,LAT9
Ziemeļvalstu ģimnāzija,61.83%,66,LAT9
Ziemeru pamatskola,58.48%,6,LAT9
Žīguru pamatskola,57.27%,4,LAT9
Zilupes vidusskola,54.95%,9,LAT9
Zūru pamatskola,63.45%,10,LAT9
Zvejniekciema vidusskola,60.96%,19,LAT9
A. Spāģa Dunalkas pamatskola,33.33%,6,MAT9
Ābeļu pamatskola,48.56%,12,MAT9
Ādažu vidusskola,67.13%,121,MAT9
Āgenskalna Valsts ģimnāzija,83.23%,109,MAT9
Aglonas Katoļu ģimnāzija,66.67%,1,MAT9
Aglonas vidusskola,66.48%,14,MAT9
Aizkraukles novada vidusskola,50.96%,72,MAT9
Aizkraukles Vakara (maiņu) vidusskola,43.76%,11,MAT9
Aizputes novada Neklātienes vidusskola,45.60%,5,MAT9
Aizputes pagasta pamatskola,46.00%,10,MAT9
Aizputes vidusskola,56.19%,43,MAT9
Aizupes pamatskola,58.81%,19,MAT9
Aknīstes vidusskola,48.27%,15,MAT9
Aleksandrovas internātpamatskola,44.67%,2,MAT9
Allažu pamatskola,46.93%,10,MAT9
Alojas Ausekļa vidusskola,48.06%,22,MAT9
Alsungas vidusskola,55.73%,10,MAT9
Alūksnes novada vidusskola,33.51%,15,MAT9
Amatas novada Skujenes pamatskola,60.00%,2,MAT9
Amatas pamatskola,48.33%,4,MAT9
Ances pamatskola,54.86%,7,MAT9
Andreja Eglīša Ļaudonas vidusskola,55.19%,28,MAT9
Andreja Pumpura Rīgas 11. pamatskola,69.16%,31,MAT9
Andreja Upīša Skrīveru vidusskola,57.43%,27,MAT9
Andrupenes pamatskola,38.22%,6,MAT9
Andzeļu pamatskola,68.67%,4,MAT9
Annas Brigaderes pamatskola,60.29%,14,MAT9
Annenieku pamatskola,34.93%,5,MAT9
Ata Kronvalda Durbes pamatskola,49.03%,13,MAT9
Auces vidusskola,54.56%,39,MAT9
Audriņu pamatskola,44.67%,2,MAT9
Augstkalnes vidusskola,57.80%,17,MAT9
Babītes vidusskola,66.43%,61,MAT9
Baldones Mūzikas pamatskola,68.33%,12,MAT9
Baldones vidusskola,44.61%,24,MAT9
Baložu vidusskola,48.62%,28,MAT9
Baltinavas vidusskola,63.15%,11,MAT9
Balvu pamatskola,66.67%,6,MAT9
Balvu profesionālā un vispārizglītojošā vidusskola,38.95%,19,MAT9
Balvu Valsts ģimnāzija,64.50%,51,MAT9
Barkavas pamatskola,48.53%,5,MAT9
Bārtas pamatskola,68.00%,5,MAT9
Baumaņu Kārļa Viļķenes pamatskola,63.11%,9,MAT9
Bauskas 2. vidusskola,55.35%,37,MAT9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Īslīces pamatskola""",34.20%,17,MAT9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Uzvaras pamatskola""",57.60%,10,MAT9
Bauskas pilsētas pamatskola,45.39%,24,MAT9
Bauskas Valsts ģimnāzija,61.80%,57,MAT9
Bebrenes vispārizglītojošā un profesionālā vidusskola,57.00%,8,MAT9
Bebru pamatskola,45.87%,5,MAT9
Bejas pamatskola,51.56%,9,MAT9
Bēnes vidusskola,56.67%,14,MAT9
Berģu Mūzikas un mākslas pamatskola,68.07%,18,MAT9
Bērzaunes pamatskola,47.83%,8,MAT9
Bērzgales pamatskola,62.50%,8,MAT9
Bērzpils vidusskola,36.57%,7,MAT9
"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",80.00%,1,MAT9
Biķernieku pamatskola,55.11%,6,MAT9
Bikstu pamatskola,69.11%,6,MAT9
Bilskas pamatskola,44.67%,2,MAT9
Birzgales pamatskola,36.56%,12,MAT9
Biržu pamatskola,50.13%,10,MAT9
Blīdenes pamatskola,40.31%,13,MAT9
Blomes pamatskola,59.56%,6,MAT9
Brāļu Skrindu Atašienes vidusskola,52.36%,11,MAT9
Brocēnu vidusskola,55.27%,42,MAT9
Burtnieku Ausekļa pamatskola,48.44%,6,MAT9
Carnikavas pamatskola,54.56%,13,MAT9
Cēres pamatskola,58.13%,5,MAT9
Cēsu 1. pamatskola,53.15%,22,MAT9
Cēsu 2. pamatskola,54.18%,38,MAT9
Cēsu 2. vakara (maiņu) vidusskola,38.67%,2,MAT9
Cēsu internātpamatskola - attīstības centrs,40.89%,3,MAT9
Cēsu Pilsētas vidusskola,41.01%,45,MAT9
Cēsu Valsts ģimnāzija,86.21%,44,MAT9
Cesvaines vidusskola,48.94%,24,MAT9
Ciblas vidusskola,66.67%,8,MAT9
Cieceres pamatskola,35.36%,23,MAT9
Codes pamatskola,58.06%,11,MAT9
Dagdas vidusskola,59.08%,32,MAT9
Daudzeses pamatskola,69.33%,5,MAT9
Daugavgrīvas cietums,48.89%,6,MAT9
Daugavpils 10. vidusskola,62.03%,50,MAT9
Daugavpils 11. pamatskola,41.04%,18,MAT9
Daugavpils 12. vidusskola,63.48%,36,MAT9
Daugavpils 13. vidusskola,56.36%,60,MAT9
Daugavpils 15. vidusskola,57.82%,55,MAT9
Daugavpils 16. vidusskola,52.48%,53,MAT9
Daugavpils 17. vidusskola,57.59%,26,MAT9
Daugavpils 3. vidusskola,62.24%,50,MAT9
Daugavpils 9. vidusskola,62.81%,57,MAT9
Daugavpils Centra vidusskola,71.89%,37,MAT9
Daugavpils Krievu vidusskola - licejs,80.29%,56,MAT9
Daugavpils Saskaņas pamatskola,74.47%,47,MAT9
Daugavpils Stropu pamatskola - attīstības centrs,51.11%,12,MAT9
Daugavpils Valsts ģimnāzija,72.44%,33,MAT9
Daugavpils Vienības pamatskola,58.33%,32,MAT9
Daugmales pamatskola,57.03%,13,MAT9
Dāvja Ozoliņa Apes vidusskola,60.67%,8,MAT9
Degumnieku pamatskola,45.33%,6,MAT9
Dekšāru pamatskola,58.22%,9,MAT9
Dignājas pamatskola,46.67%,8,MAT9
Dobeles 1. vidusskola,27.48%,69,MAT9
Dobeles Amatniecības un vispārizglītojošā vidusskola,36.33%,12,MAT9
Dobeles Valsts ģimnāzija,68.80%,58,MAT9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,62.48%,22,MAT9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,56.27%,80,MAT9
Dravnieku pamatskola,38.67%,6,MAT9
