"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
46,Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,LAT12,40.17%,7
46,Pumpuru vidusskola,4631216,ANG12,66.99%,24
46,Pumpuru vidusskola,4631216,MAT12,26.67%,34
46,Pumpuru vidusskola,4631216,LAT12,48.42%,34
46,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,ANG12,58.25%,3
46,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,MAT12,21.67%,3
46,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola,4671220,LAT12,38.63%,3
46,"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,ANG12,42.55%,29
46,"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,MAT12,25.58%,28
46,"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,LAT12,41.43%,28
47,Kandavas internātvidusskola,4781302,ANG12,43.41%,9
47,Kandavas internātvidusskola,4781302,MAT12,32.36%,9
47,Kandavas internātvidusskola,4781302,LAT12,51.20%,9
47,Kandavas Kārļa Mīlenbaha vidusskola,4731303,ANG12,56.39%,19
47,Kandavas Kārļa Mīlenbaha vidusskola,4731303,MAT12,35.15%,21
47,Kandavas Kārļa Mīlenbaha vidusskola,4731303,LAT12,54.00%,21
47,Kandavas Lauksaimniecības tehnikums,4771309,ANG12,41.06%,72
47,Kandavas Lauksaimniecības tehnikums,4771309,MAT12,27.57%,71
47,Kandavas Lauksaimniecības tehnikums,4771309,LAT12,42.12%,71
48,Kārsavas vidusskola,4831302,ANG12,61.58%,12
48,Kārsavas vidusskola,4831302,MAT12,37.77%,28
48,Kārsavas vidusskola,4831302,LAT12,56.59%,28
48,Malnavas koledža,4871404,ANG12,50.10%,31
48,Malnavas koledža,4871404,MAT12,14.62%,70
48,Malnavas koledža,4871404,LAT12,37.74%,66
49,Ilmāra Gaiša Kokneses vidusskola,4931403,ANG12,64.84%,29
49,Ilmāra Gaiša Kokneses vidusskola,4931403,MAT12,32.29%,30
49,Ilmāra Gaiša Kokneses vidusskola,4931403,LAT12,48.58%,30
49,Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,ANG12,35.91%,4
49,Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,MAT12,20.87%,5
49,Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,LAT12,39.34%,4
50,Krāslavas Valsts ģimnāzija,5061308,ANG12,58.22%,30
50,Krāslavas Valsts ģimnāzija,5061308,MAT12,34.00%,44
50,Krāslavas Valsts ģimnāzija,5061308,LAT12,49.35%,44
50,Krāslavas Varavīksnes vidusskola,5033309,ANG12,57.69%,21
50,Krāslavas Varavīksnes vidusskola,5033309,MAT12,50.32%,25
50,Krāslavas Varavīksnes vidusskola,5033309,LAT12,46.88%,25
50,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība,5071311,ANG12,23.60%,14
50,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība,5071311,MAT12,27.61%,11
50,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība,5071311,LAT12,20.51%,10
51,Krimuldas vidusskola,5131402,ANG12,60.01%,11
51,Krimuldas vidusskola,5131402,MAT12,28.18%,11
51,Krimuldas vidusskola,5131402,LAT12,51.44%,11
52,Brāļu Skrindu Atašienes vidusskola,5231402,ANG12,48.64%,4
52,Brāļu Skrindu Atašienes vidusskola,5231402,MAT12,17.05%,7
52,Brāļu Skrindu Atašienes vidusskola,5231402,LAT12,40.26%,7
53,Kuldīgas 2. vidusskola,5331303,ANG12,50.88%,20
53,Kuldīgas 2. vidusskola,5331303,MAT12,22.69%,26
53,Kuldīgas 2. vidusskola,5331303,LAT12,49.85%,24
53,Kuldīgas Centra vidusskola,5331305,ANG12,66.84%,29
53,Kuldīgas Centra vidusskola,5331305,MAT12,39.00%,32
53,Kuldīgas Centra vidusskola,5331305,LAT12,65.64%,32
53,Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,ANG12,75.70%,13
53,Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,MAT12,45.71%,14
53,Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,LAT12,72.56%,14
53,Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,ANG12,40.22%,67
53,Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,MAT12,13.40%,68
53,Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,LAT12,40.18%,66
53,V. Plūdoņa Kuldīgas ģimnāzija,5351318,ANG12,71.46%,24
53,V. Plūdoņa Kuldīgas ģimnāzija,5351318,MAT12,49.60%,25
53,V. Plūdoņa Kuldīgas ģimnāzija,5351318,LAT12,64.81%,25
54,Ķeguma komercnovirziena vidusskola,5431302,ANG12,73.24%,14
54,Ķeguma komercnovirziena vidusskola,5431302,MAT12,49.73%,14
54,Ķeguma komercnovirziena vidusskola,5431302,LAT12,59.33%,14
55,Baložu vidusskola,5533301,ANG12,67.09%,12
55,Baložu vidusskola,5533301,MAT12,32.88%,13
55,Baložu vidusskola,5533301,LAT12,54.54%,13
55,Ķekavas vidusskola,5531403,ANG12,72.83%,21
55,Ķekavas vidusskola,5531403,MAT12,42.24%,22
55,Ķekavas vidusskola,5531403,LAT12,64.10%,22
56,Edgara Kauliņa Lielvārdes vidusskola,5631301,ANG12,74.43%,16
56,Edgara Kauliņa Lielvārdes vidusskola,5631301,MAT12,34.58%,18
56,Edgara Kauliņa Lielvārdes vidusskola,5631301,LAT12,66.25%,18
56,Jumpravas vidusskola,5631403,ANG12,72.77%,6
56,Jumpravas vidusskola,5631403,MAT12,34.91%,7
56,Jumpravas vidusskola,5631403,LAT12,61.93%,7
57,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,ANG12,67.62%,46
57,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,MAT12,35.44%,47
57,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,LAT12,66.40%,47
57,J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,ANG12,72.46%,25
57,J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,MAT12,36.10%,25
57,J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,LAT12,59.13%,25
57,Liepājas 7. vidusskola,5732206,ANG12,52.31%,31
57,Liepājas 7. vidusskola,5732206,MAT12,50.02%,31
57,Liepājas 7. vidusskola,5732206,LAT12,42.85%,31
57,Liepājas 8. vidusskola,5733207,ANG12,69.03%,15
57,Liepājas 8. vidusskola,5733207,MAT12,23.09%,16
57,Liepājas 8. vidusskola,5733207,LAT12,42.15%,16
57,Liepājas A. Puškina 2. vidusskola,5732208,ANG12,54.09%,46
57,Liepājas A. Puškina 2. vidusskola,5732208,MAT12,43.14%,46
57,Liepājas A. Puškina 2. vidusskola,5732208,LAT12,37.32%,46
57,Liepājas Jūrniecības koledža,5771213,ANG12,48.12%,49
57,Liepājas Jūrniecības koledža,5771213,MAT12,23.55%,45
57,Liepājas Jūrniecības koledža,5771213,LAT12,31.85%,45
57,"Liepājas Mūzikas, mākslas un dizaina vidusskola",5771231,ANG12,63.97%,45
57,"Liepājas Mūzikas, mākslas un dizaina vidusskola",5771231,MAT12,29.28%,42
57,"Liepājas Mūzikas, mākslas un dizaina vidusskola",5771231,LAT12,57.25%,44
57,Liepājas pilsētas 12. vidusskola,5732220,ANG12,49.20%,23
57,Liepājas pilsētas 12. vidusskola,5732220,MAT12,44.94%,23
57,Liepājas pilsētas 12. vidusskola,5732220,LAT12,30.26%,23
57,Liepājas Raiņa 6. vidusskola,5731221,ANG12,66.91%,17
57,Liepājas Raiņa 6. vidusskola,5731221,MAT12,30.24%,18
57,Liepājas Raiņa 6. vidusskola,5731221,LAT12,58.17%,18
57,Liepājas Universitāte,5793222,ANG12,53.87%,2
57,Liepājas Universitāte,5793222,LAT12,53.98%,2
57,Liepājas vakara (maiņu) vidusskola,5741224,ANG12,46.92%,47
57,Liepājas vakara (maiņu) vidusskola,5741224,MAT12,15.42%,53
57,Liepājas vakara (maiņu) vidusskola,5741224,LAT12,40.39%,51
57,Liepājas Valsts 1. ģimnāzija,5761225,ANG12,71.27%,83
57,Liepājas Valsts 1. ģimnāzija,5761225,MAT12,44.37%,84
57,Liepājas Valsts 1. ģimnāzija,5761225,LAT12,64.67%,84
57,Oskara Kalpaka Liepājas 15. vidusskola,5731204,ANG12,70.96%,13
57,Oskara Kalpaka Liepājas 15. vidusskola,5731204,MAT12,45.59%,19
57,Oskara Kalpaka Liepājas 15. vidusskola,5731204,LAT12,60.97%,19
57,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,ANG12,46.28%,179
57,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,MAT12,20.59%,183
57,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,LAT12,43.87%,177
58,Limbažu 3. vidusskola,5831308,ANG12,64.90%,27
58,Limbažu 3. vidusskola,5831308,MAT12,28.04%,31
58,Limbažu 3. vidusskola,5831308,LAT12,58.19%,31
58,Limbažu novada ģimnāzija,5851315,ANG12,64.96%,25
58,Limbažu novada ģimnāzija,5851315,MAT12,38.01%,27
58,Limbažu novada ģimnāzija,5851315,LAT12,66.24%,27
58,PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,ANG12,36.13%,11
58,PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,MAT12,13.75%,13
58,PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,LAT12,34.87%,13
59,Līgatnes novada vidusskola,5931301,ANG12,51.91%,1
59,Līgatnes novada vidusskola,5931301,MAT12,24.79%,3
59,Līgatnes novada vidusskola,5931301,LAT12,55.49%,3
60,Līvānu 1. vidusskola,6031303,ANG12,64.92%,28
60,Līvānu 1. vidusskola,6031303,MAT12,31.06%,36
60,Līvānu 1. vidusskola,6031303,LAT12,62.76%,36
60,Līvānu 2. vidusskola,6033304,ANG12,35.60%,14
60,Līvānu 2. vidusskola,6033304,MAT12,30.49%,14
60,Līvānu 2. vidusskola,6033304,LAT12,37.13%,14
60,Līvānu novada Vakara (maiņu) vidusskola,6041305,ANG12,40.97%,6
60,Līvānu novada Vakara (maiņu) vidusskola,6041305,MAT12,35.45%,11
60,Līvānu novada Vakara (maiņu) vidusskola,6041305,LAT12,50.18%,9
60,Rudzātu vidusskola,6031408,ANG12,62.33%,10
60,Rudzātu vidusskola,6031408,MAT12,56.87%,11
60,Rudzātu vidusskola,6031408,LAT12,61.00%,11
62,Ludzas 2. vidusskola,6233304,ANG12,54.04%,8
62,Ludzas 2. vidusskola,6233304,MAT12,60.89%,19
62,Ludzas 2. vidusskola,6233304,LAT12,45.21%,19
62,Ludzas novada vakara vidusskola,6241306,ANG12,56.00%,2
62,Ludzas novada vakara vidusskola,6241306,MAT12,20.40%,14
62,Ludzas novada vakara vidusskola,6241306,LAT12,28.44%,14
62,Ludzas pilsētas ģimnāzija,6251307,ANG12,59.69%,22
62,Ludzas pilsētas ģimnāzija,6251307,MAT12,39.52%,31
62,Ludzas pilsētas ģimnāzija,6251307,LAT12,60.24%,31
63,Andreja Eglīša Ļaudonas vidusskola,6331413,ANG12,43.17%,9
63,Andreja Eglīša Ļaudonas vidusskola,6331413,MAT12,18.96%,9
63,Andreja Eglīša Ļaudonas vidusskola,6331413,LAT12,43.94%,9
63,Barkavas Profesionālā vidusskola,6371401,ANG12,34.03%,30
63,Barkavas Profesionālā vidusskola,6371401,MAT12,17.54%,28
63,Barkavas Profesionālā vidusskola,6371401,LAT12,39.71%,28
63,Madonas pilsētas 1. vidusskola,6331314,ANG12,73.42%,41
63,Madonas pilsētas 1. vidusskola,6331314,MAT12,41.75%,46
63,Madonas pilsētas 1. vidusskola,6331314,LAT12,65.09%,46
63,Madonas pilsētas 2. vidusskola,6331315,ANG12,45.25%,13
63,Madonas pilsētas 2. vidusskola,6331315,MAT12,20.26%,22
63,Madonas pilsētas 2. vidusskola,6331315,LAT12,43.95%,22
63,Madonas Vakara un neklātienes vidusskola,6341316,ANG12,38.85%,19
63,Madonas Vakara un neklātienes vidusskola,6341316,MAT12,10.17%,30
63,Madonas Vakara un neklātienes vidusskola,6341316,LAT12,33.94%,28
63,Madonas Valsts ģimnāzija,6361317,ANG12,72.85%,43
63,Madonas Valsts ģimnāzija,6361317,MAT12,51.44%,43
63,Madonas Valsts ģimnāzija,6361317,LAT12,71.61%,43
64,Mazsalacas vidusskola,6431301,ANG12,75.36%,13
64,Mazsalacas vidusskola,6431301,MAT12,45.43%,13
64,Mazsalacas vidusskola,6431301,LAT12,74.43%,13
65,Mālpils novada vidusskola,6531303,ANG12,70.18%,6
65,Mālpils novada vidusskola,6531303,MAT12,20.38%,10
65,Mālpils novada vidusskola,6531303,LAT12,51.64%,10
65,Mālpils Profesionālā vidusskola,6571302,ANG12,54.23%,12
65,Mālpils Profesionālā vidusskola,6571302,MAT12,13.75%,13
65,Mālpils Profesionālā vidusskola,6571302,LAT12,38.85%,13
66,Mārupes vidusskola,6631303,ANG12,75.75%,33
66,Mārupes vidusskola,6631303,MAT12,48.22%,37
66,Mārupes vidusskola,6631303,LAT12,60.57%,38
67,Naukšēnu novada vidusskola,6731402,ANG12,60.50%,8
67,Naukšēnu novada vidusskola,6731402,MAT12,33.67%,8
67,Naukšēnu novada vidusskola,6731402,LAT12,51.84%,8
68,Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,ANG12,76.46%,11
68,Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,MAT12,48.03%,14
68,Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,LAT12,64.04%,14
69,Nīcas vidusskola,6931401,ANG12,59.74%,12
69,Nīcas vidusskola,6931401,MAT12,38.65%,12
69,Nīcas vidusskola,6931401,LAT12,59.32%,12
70,Jaunogres vidusskola,7033301,ANG12,51.94%,20
70,Jaunogres vidusskola,7033301,MAT12,37.72%,20
70,Jaunogres vidusskola,7033301,LAT12,37.75%,20
70,Madlienas vidusskola,7031405,ANG12,64.21%,10
70,Madlienas vidusskola,7031405,MAT12,24.17%,12
70,Madlienas vidusskola,7031405,LAT12,57.43%,12
70,Ogres 1. vidusskola,7031308,ANG12,73.63%,41
70,Ogres 1. vidusskola,7031308,MAT12,45.76%,40
70,Ogres 1. vidusskola,7031308,LAT12,60.13%,41
70,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,ANG12,67.66%,10
70,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,MAT12,17.65%,17
70,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,LAT12,41.90%,16
70,Ogres Valsts ģimnāzija,7061314,ANG12,74.31%,56
70,Ogres Valsts ģimnāzija,7061314,MAT12,41.52%,59
70,Ogres Valsts ģimnāzija,7061314,LAT12,69.18%,63
70,Suntažu vidusskola,7031418,ANG12,75.68%,12
70,Suntažu vidusskola,7031418,MAT12,46.98%,12
70,Suntažu vidusskola,7031418,LAT12,63.68%,12
71,Olaines 1. vidusskola,7131301,ANG12,71.32%,23
71,Olaines 1. vidusskola,7131301,MAT12,48.86%,23
71,Olaines 1. vidusskola,7131301,LAT12,62.40%,23
71,Olaines 2. vidusskola,7132302,ANG12,59.53%,16
71,Olaines 2. vidusskola,7132302,MAT12,46.21%,16
71,Olaines 2. vidusskola,7132302,LAT12,52.55%,16
71,Olaines Mehānikas un tehnoloģijas koledža,7171303,ANG12,49.79%,20
71,Olaines Mehānikas un tehnoloģijas koledža,7171303,MAT12,21.87%,22
71,Olaines Mehānikas un tehnoloģijas koledža,7171303,LAT12,41.76%,20
72,Ozolnieku vidusskola,7231402,ANG12,64.70%,18
72,Ozolnieku vidusskola,7231402,MAT12,36.21%,18
72,Ozolnieku vidusskola,7231402,LAT12,51.80%,18
73,Stalbes vidusskola,7331405,ANG12,48.96%,2
73,Stalbes vidusskola,7331405,MAT12,25.31%,2
73,Stalbes vidusskola,7331405,LAT12,66.19%,2
74,Pāvilostas vidusskola,7431301,ANG12,69.91%,3
74,Pāvilostas vidusskola,7431301,MAT12,52.91%,3
74,Pāvilostas vidusskola,7431301,LAT12,66.85%,3
75,Pļaviņu novada ģimnāzija,7551302,ANG12,56.22%,8
75,Pļaviņu novada ģimnāzija,7551302,MAT12,40.19%,13
75,Pļaviņu novada ģimnāzija,7551302,LAT12,63.63%,13
76,Jāņa Eglīša Preiļu Valsts ģimnāzija,7661307,ANG12,66.89%,39
76,Jāņa Eglīša Preiļu Valsts ģimnāzija,7661307,MAT12,46.26%,52
76,Jāņa Eglīša Preiļu Valsts ģimnāzija,7661307,LAT12,71.09%,52
76,Preiļu 2. vidusskola,7633305,ANG12,51.64%,15
76,Preiļu 2. vidusskola,7633305,MAT12,32.70%,19
76,Preiļu 2. vidusskola,7633305,LAT12,53.26%,19
76,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,ANG12,32.83%,2
76,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,MAT12,20.50%,5
76,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,LAT12,44.03%,6
76,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,ANG12,30.48%,16
76,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,MAT12,34.06%,16
76,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,LAT12,39.88%,16
77,Priekules vidusskola,7731304,ANG12,67.49%,8
77,Priekules vidusskola,7731304,MAT12,40.69%,9
77,Priekules vidusskola,7731304,LAT12,61.49%,9
78,Priekuļu tehnikums,7871408,ANG12,42.06%,110
78,Priekuļu tehnikums,7871408,MAT12,15.32%,110
78,Priekuļu tehnikums,7871408,LAT12,42.14%,108
78,Priekuļu vidusskola,7831404,ANG12,65.45%,20
78,Priekuļu vidusskola,7831404,MAT12,29.13%,23
78,Priekuļu vidusskola,7831404,LAT12,62.84%,23
79,Raunas vidusskola,7931403,ANG12,49.05%,5
79,Raunas vidusskola,7931403,MAT12,19.37%,5
79,Raunas vidusskola,7931403,LAT12,45.68%,5
80,AustrumLAT12vijas Tehnoloģiju vidusskola,8031201,ANG12,70.47%,6
80,AustrumLAT12vijas Tehnoloģiju vidusskola,8031201,MAT12,71.98%,6
80,AustrumLAT12vijas Tehnoloģiju vidusskola,8031201,LAT12,67.42%,6
80,Dricānu vidusskola,8031406,ANG12,40.04%,16
80,Dricānu vidusskola,8031406,MAT12,32.50%,26
80,Dricānu vidusskola,8031406,LAT12,39.04%,28
80,Kaunatas vidusskola,8033412,ANG12,55.91%,7
80,Kaunatas vidusskola,8033412,MAT12,53.37%,10
80,Kaunatas vidusskola,8033412,LAT12,51.02%,10
80,Lūcijas Rancānes Makašānu AMAT12u vidusskola,8031418,ANG12,56.75%,1
80,Lūcijas Rancānes Makašānu AMAT12u vidusskola,8031418,MAT12,29.22%,8
80,Lūcijas Rancānes Makašānu AMAT12u vidusskola,8031418,LAT12,50.42%,8
80,Maltas vidusskola,8033420,ANG12,55.23%,18
80,Maltas vidusskola,8033420,MAT12,44.32%,24
80,Maltas vidusskola,8033420,LAT12,57.21%,23
80,Nautrēnu vidusskola,8031424,ANG12,51.23%,13
80,Nautrēnu vidusskola,8031424,MAT12,40.92%,17
80,Nautrēnu vidusskola,8031424,LAT12,56.71%,16
80,Tiskādu vidusskola,8032432,ANG12,33.25%,14
80,Tiskādu vidusskola,8032432,MAT12,29.42%,14
80,Tiskādu vidusskola,8032432,LAT12,21.87%,14
81,Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,ANG12,50.34%,11
81,Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,MAT12,65.17%,11
81,Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,LAT12,64.66%,11
81,Rēzeknes 2. vidusskola,8132205,ANG12,56.93%,39
81,Rēzeknes 2. vidusskola,8132205,MAT12,46.26%,41
81,Rēzeknes 2. vidusskola,8132205,LAT12,43.07%,41
81,Rēzeknes 3. vidusskola,8133206,ANG12,55.60%,21
81,Rēzeknes 3. vidusskola,8133206,MAT12,67.90%,20
81,Rēzeknes 3. vidusskola,8133206,LAT12,45.96%,21
81,Rēzeknes 4. vidusskola,8133207,ANG12,42.12%,38
81,Rēzeknes 4. vidusskola,8133207,MAT12,35.64%,55
81,Rēzeknes 4. vidusskola,8133207,LAT12,34.09%,52
81,Rēzeknes 5. vidusskola,8131208,ANG12,66.02%,29
81,Rēzeknes 5. vidusskola,8131208,MAT12,53.91%,36
81,Rēzeknes 5. vidusskola,8131208,LAT12,61.53%,36
81,Rēzeknes 6. vidusskola,8132209,ANG12,67.07%,20
81,Rēzeknes 6. vidusskola,8132209,MAT12,71.25%,20
81,Rēzeknes 6. vidusskola,8132209,LAT12,43.29%,20
81,Rēzeknes Katoļu vidusskola,8131210,ANG12,68.92%,13
81,Rēzeknes Katoļu vidusskola,8131210,MAT12,35.34%,13
81,Rēzeknes Katoļu vidusskola,8131210,LAT12,64.16%,14
81,Rēzeknes Mākslas un dizaina vidusskola,8171212,ANG12,41.35%,20
81,Rēzeknes Mākslas un dizaina vidusskola,8171212,MAT12,49.09%,20
81,Rēzeknes Mākslas un dizaina vidusskola,8171212,LAT12,50.34%,23
81,Rēzeknes tehnikums ,8171218,ANG12,29.43%,108
81,Rēzeknes tehnikums ,8171218,MAT12,15.84%,108
81,Rēzeknes tehnikums ,8171218,LAT12,36.43%,112
81,Rēzeknes Valsts 1. ģimnāzija,8161214,ANG12,66.00%,42
81,Rēzeknes Valsts 1. ģimnāzija,8161214,MAT12,54.87%,58
81,Rēzeknes Valsts 1. ģimnāzija,8161214,LAT12,66.86%,60
81,Rēzeknes valsts poļu ģimnāzija,8154215,ANG12,63.15%,9
81,Rēzeknes valsts poļu ģimnāzija,8154215,MAT12,51.41%,12
81,Rēzeknes valsts poļu ģimnāzija,8154215,LAT12,54.02%,12
82,Riebiņu vidusskola,8231404,ANG12,51.46%,8
82,Riebiņu vidusskola,8231404,MAT12,35.61%,37
82,Riebiņu vidusskola,8231404,LAT12,39.99%,35
83,LAT12vijas Universitāte,8391101,ANG12,65.10%,27
83,LAT12vijas Universitāte,8391101,MAT12,39.77%,22
83,LAT12vijas Universitāte,8391101,LAT12,49.67%,21
83,"Privātā Profesionālā vidusskola ""SIGMA""",8371105,ANG12,58.83%,1
83,"Privātā Profesionālā vidusskola ""SIGMA""",8371105,MAT12,7.50%,1
83,"Privātā Profesionālā vidusskola ""SIGMA""",8371105,LAT12,15.62%,2
83,Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,ANG12,62.42%,11
83,Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,MAT12,40.67%,15
83,Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,LAT12,37.84%,15
83,Rīgas 22. vidusskola,8332109,ANG12,70.52%,24
83,Rīgas 22. vidusskola,8332109,MAT12,65.44%,27
83,Rīgas 22. vidusskola,8332109,LAT12,40.67%,27
83,Rīgas 40. vidusskola,8332111,ANG12,79.67%,49
83,Rīgas 40. vidusskola,8332111,MAT12,62.59%,54
83,Rīgas 40. vidusskola,8332111,LAT12,52.76%,54
83,Rīgas Centra humanitārā vidusskola,8331117,ANG12,88.98%,47
83,Rīgas Centra humanitārā vidusskola,8331117,MAT12,44.43%,47
83,Rīgas Centra humanitārā vidusskola,8331117,LAT12,72.23%,48
83,Rīgas Natālijas Draudziņas vidusskola ,8331137,ANG12,76.36%,14
83,Rīgas Natālijas Draudziņas vidusskola ,8331137,MAT12,52.78%,18
83,Rīgas Natālijas Draudziņas vidusskola ,8331137,LAT12,64.17%,18
83,Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,ANG12,65.00%,22
83,Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,MAT12,21.94%,20
83,Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,LAT12,53.49%,21
83,Rīgas Valsts 1. ģimnāzija,8361130,ANG12,89.80%,213
83,Rīgas Valsts 1. ģimnāzija,8361130,MAT12,90.14%,195
83,Rīgas Valsts 1. ģimnāzija,8361130,LAT12,76.26%,226
83,Rīgas Valsts 3. ģimnāzija,8361131,ANG12,83.70%,119
83,Rīgas Valsts 3. ģimnāzija,8361131,MAT12,66.85%,127
83,Rīgas Valsts 3. ģimnāzija,8361131,LAT12,72.29%,127
84,Emīla Dārziņa mūzikas vidusskola,8471104,ANG12,74.93%,12
84,Emīla Dārziņa mūzikas vidusskola,8471104,MAT12,54.85%,13
84,Emīla Dārziņa mūzikas vidusskola,8471104,LAT12,68.89%,12
84,Iļģuciema vidusskola,8431106,ANG12,71.59%,18
84,Iļģuciema vidusskola,8431106,MAT12,32.22%,18
84,Iļģuciema vidusskola,8431106,LAT12,72.03%,18
84,LAT12vijas Jūras akadēmijas Jūrskola,8471107,ANG12,49.94%,53
84,LAT12vijas Jūras akadēmijas Jūrskola,8471107,MAT12,23.77%,52
84,LAT12vijas Jūras akadēmijas Jūrskola,8471107,LAT12,39.72%,52
84,Nacionālā Mākslu vidusskola,8471101,ANG12,78.60%,38
84,Nacionālā Mākslu vidusskola,8471101,MAT12,41.26%,42
84,Nacionālā Mākslu vidusskola,8471101,LAT12,68.39%,43
84,Privātā vidusskola 'Patnis',8431110,ANG12,81.31%,10
84,Privātā vidusskola 'Patnis',8431110,MAT12,41.75%,10
84,Privātā vidusskola 'Patnis',8431110,LAT12,67.38%,10
84,Privātā vidusskola 'Templum',8433111,ANG12,74.75%,1
84,Privātā vidusskola 'Templum',8433111,MAT12,24.37%,1
84,Privātā vidusskola 'Templum',8433111,LAT12,32.95%,1
84,Privātskola 'LAT12reia',8432112,ANG12,71.56%,10
84,Privātskola 'LAT12reia',8432112,MAT12,23.07%,12
84,Privātskola 'LAT12reia',8432112,LAT12,34.23%,12
84,"Profesionālā vidusskola ""Victoria""",8471126,ANG12,60.78%,69
84,"Profesionālā vidusskola ""Victoria""",8471126,MAT12,35.70%,66
84,"Profesionālā vidusskola ""Victoria""",8471126,LAT12,32.37%,67
84,Rīgas 19. vidusskola,8431114,ANG12,48.95%,11
84,Rīgas 19. vidusskola,8431114,MAT12,27.81%,12
84,Rīgas 19. vidusskola,8431114,LAT12,61.64%,12
84,Rīgas 33. vidusskola,8432115,ANG12,68.39%,27
84,Rīgas 33. vidusskola,8432115,MAT12,44.44%,27
84,Rīgas 33. vidusskola,8432115,LAT12,47.79%,27
84,Rīgas 34. vidusskola,8432116,ANG12,76.02%,51
84,Rīgas 34. vidusskola,8432116,MAT12,63.70%,53
84,Rīgas 34. vidusskola,8432116,LAT12,48.22%,53
84,Rīgas 54. vidusskola,8432118,ANG12,68.68%,13
84,Rīgas 54. vidusskola,8432118,MAT12,40.86%,13
84,Rīgas 54. vidusskola,8432118,LAT12,50.12%,14
84,Rīgas 71. vidusskola,8433121,ANG12,56.80%,26
84,Rīgas 71. vidusskola,8433121,MAT12,52.67%,26
84,Rīgas 71. vidusskola,8433121,LAT12,36.75%,26
84,Rīgas 96. vidusskola,8432123,ANG12,70.84%,27
84,Rīgas 96. vidusskola,8432123,MAT12,44.28%,27
