"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,ANG12,47.90%,18
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,MAT12,32.86%,28
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,LAT12,47.24%,28
15,Balvu Valsts ģimnāzija,1561305,ANG12,62.37%,42
15,Balvu Valsts ģimnāzija,1561305,MAT12,46.98%,43
15,Balvu Valsts ģimnāzija,1561305,LAT12,58.82%,43
15,Bērzpils vidusskola,1531407,ANG12,42.25%,7
15,Bērzpils vidusskola,1531407,MAT12,58.98%,8
15,Bērzpils vidusskola,1531407,LAT12,50.07%,8
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,ANG12,48.31%,5
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,MAT12,44.50%,5
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,LAT12,49.09%,5
15,Tilžas vidusskola,1531415,ANG12,58.19%,7
15,Tilžas vidusskola,1531415,MAT12,44.91%,7
15,Tilžas vidusskola,1531415,LAT12,52.43%,7
16,Bauskas 2. vidusskola,1631302,ANG12,48.28%,15
16,Bauskas 2. vidusskola,1631302,MAT12,21.73%,39
16,Bauskas 2. vidusskola,1631302,LAT12,45.58%,39
16,Bauskas Valsts ģimnāzija,1661301,ANG12,75.20%,47
16,Bauskas Valsts ģimnāzija,1661301,MAT12,46.55%,51
16,Bauskas Valsts ģimnāzija,1661301,LAT12,57.05%,52
16,Īslīces vidusskola,1631411,ANG12,50.01%,5
16,Īslīces vidusskola,1631411,MAT12,16.87%,5
16,Īslīces vidusskola,1631411,LAT12,45.34%,5
16,Uzvaras vidusskola,1631419,ANG12,70.74%,10
16,Uzvaras vidusskola,1631419,MAT12,46.44%,10
16,Uzvaras vidusskola,1631419,LAT12,59.54%,10
18,Brocēnu vidusskola,1831302,ANG12,63.26%,34
18,Brocēnu vidusskola,1831302,MAT12,40.52%,35
18,Brocēnu vidusskola,1831302,LAT12,60.34%,35
21,Cesvaines vidusskola,2131302,ANG12,72.16%,6
21,Cesvaines vidusskola,2131302,MAT12,38.39%,7
21,Cesvaines vidusskola,2131302,LAT12,66.55%,7
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,ANG12,62.59%,13
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,MAT12,26.82%,12
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,LAT12,69.75%,13
22,Cēsu 2. vakara (maiņu) vidusskola,2243305,ANG12,32.88%,2
22,Cēsu 2. vakara (maiņu) vidusskola,2243305,MAT12,16.25%,2
22,Cēsu 2. vakara (maiņu) vidusskola,2243305,LAT12,39.77%,2
22,Cēsu Pilsētas vidusskola,2231306,ANG12,50.38%,21
22,Cēsu Pilsētas vidusskola,2231306,MAT12,16.11%,27
22,Cēsu Pilsētas vidusskola,2231306,LAT12,48.56%,28
22,Cēsu Profesionālā vidusskola,2271311,ANG12,43.40%,46
22,Cēsu Profesionālā vidusskola,2271311,MAT12,11.88%,46
22,Cēsu Profesionālā vidusskola,2271311,LAT12,32.30%,46
22,Cēsu Valsts ģimnāzija,2261313,ANG12,78.07%,67
22,Cēsu Valsts ģimnāzija,2261313,MAT12,61.53%,69
22,Cēsu Valsts ģimnāzija,2261313,LAT12,70.03%,69
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,ANG12,76.31%,44
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,MAT12,44.96%,45
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,LAT12,67.86%,45
23,Ciblas vidusskola,2331402,ANG12,53.90%,5
23,Ciblas vidusskola,2331402,MAT12,35.00%,8
23,Ciblas vidusskola,2331402,LAT12,49.78%,8
24,Dagdas vidusskola,2431306,ANG12,49.79%,16
24,Dagdas vidusskola,2431306,MAT12,39.93%,34
24,Dagdas vidusskola,2431306,LAT12,58.20%,34
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,ANG12,17.72%,20
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,MAT12,24.60%,22
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,LAT12,31.41%,20
24,Ezernieku vidusskola,2431407,ANG12,88.25%,1
24,Ezernieku vidusskola,2431407,MAT12,51.72%,8
24,Ezernieku vidusskola,2431407,LAT12,52.91%,8
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,ANG12,33.84%,14
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,MAT12,39.12%,15
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,LAT12,33.25%,15
25,Salienas vidusskola,2533412,ANG12,50.34%,11
25,Salienas vidusskola,2533412,MAT12,66.83%,13
25,Salienas vidusskola,2533412,LAT12,44.45%,13
25,Sventes vidusskola,2531415,ANG12,58.73%,4
25,Sventes vidusskola,2531415,MAT12,54.17%,36
25,Sventes vidusskola,2531415,LAT12,32.96%,36
25,Špoģu vidusskola,2533416,ANG12,67.21%,13
25,Špoģu vidusskola,2533416,MAT12,59.72%,18
25,Špoģu vidusskola,2533416,LAT12,58.99%,18
25,Vaboles vidusskola,2531418,ANG12,63.54%,4
25,Vaboles vidusskola,2531418,MAT12,43.90%,4
25,Vaboles vidusskola,2531418,LAT12,72.44%,4
25,Zemgales vidusskola,2532420,ANG12,51.65%,9
25,Zemgales vidusskola,2532420,MAT12,44.58%,9
25,Zemgales vidusskola,2532420,LAT12,45.45%,9
26,Daugavpils 10. vidusskola,2632203,ANG12,58.08%,35
26,Daugavpils 10. vidusskola,2632203,MAT12,38.41%,35
26,Daugavpils 10. vidusskola,2632203,LAT12,41.15%,35
26,Daugavpils 12. vidusskola,2631205,ANG12,62.84%,37
26,Daugavpils 12. vidusskola,2631205,MAT12,42.33%,48
26,Daugavpils 12. vidusskola,2631205,LAT12,60.13%,49
26,Daugavpils 13. vidusskola,2633206,ANG12,67.03%,33
26,Daugavpils 13. vidusskola,2633206,MAT12,43.45%,33
26,Daugavpils 13. vidusskola,2633206,LAT12,41.61%,33
26,Daugavpils 15. vidusskola,2632207,ANG12,62.83%,22
26,Daugavpils 15. vidusskola,2632207,MAT12,51.25%,22
26,Daugavpils 15. vidusskola,2632207,LAT12,47.65%,22
26,Daugavpils 16. vidusskola,2633208,ANG12,55.10%,16
26,Daugavpils 16. vidusskola,2633208,MAT12,42.02%,17
26,Daugavpils 16. vidusskola,2633208,LAT12,38.57%,19
26,Daugavpils 17. vidusskola,2633209,ANG12,36.02%,48
26,Daugavpils 17. vidusskola,2633209,MAT12,30.05%,53
26,Daugavpils 17. vidusskola,2633209,LAT12,33.33%,53
26,Daugavpils 3. vidusskola,2632210,ANG12,69.26%,52
26,Daugavpils 3. vidusskola,2632210,MAT12,53.75%,52
26,Daugavpils 3. vidusskola,2632210,LAT12,43.94%,52
26,Daugavpils 9. vidusskola,2633215,ANG12,63.19%,33
26,Daugavpils 9. vidusskola,2633215,MAT12,56.51%,33
26,Daugavpils 9. vidusskola,2633215,LAT12,49.53%,33
26,Daugavpils Būvniecības tehnikums,2671216,ANG12,24.40%,57
26,Daugavpils Būvniecības tehnikums,2671216,MAT12,12.55%,57
26,Daugavpils Būvniecības tehnikums,2671216,LAT12,21.60%,60
26,Daugavpils Centra vidusskola,2632290,ANG12,47.89%,18
26,Daugavpils Centra vidusskola,2632290,MAT12,73.93%,17
26,Daugavpils Centra vidusskola,2632290,LAT12,36.04%,18
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,ANG12,38.08%,14
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,MAT12,21.25%,15
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,LAT12,43.30%,14
26,Daugavpils Krievu vidusskola - licejs,2632217,ANG12,79.33%,48
26,Daugavpils Krievu vidusskola - licejs,2632217,MAT12,81.78%,49
26,Daugavpils Krievu vidusskola - licejs,2632217,LAT12,63.54%,49
26,Daugavpils tehnikums,2671231,ANG12,32.57%,198
26,Daugavpils tehnikums,2671231,MAT12,19.31%,159
26,Daugavpils tehnikums,2671231,LAT12,31.89%,156
26,Daugavpils Universitāte,2691228,ANG12,48.54%,2
26,Daugavpils Universitāte,2691228,LAT12,32.38%,2
26,Daugavpils Valsts ģimnāzija,2661226,ANG12,67.12%,51
26,Daugavpils Valsts ģimnāzija,2661226,MAT12,62.53%,57
26,Daugavpils Valsts ģimnāzija,2661226,LAT12,66.68%,57
26,J. Raiņa Daugavpils 6. vidusskola,2632228,ANG12,34.25%,14
26,J. Raiņa Daugavpils 6. vidusskola,2632228,MAT12,31.47%,14
26,J. Raiņa Daugavpils 6. vidusskola,2632228,LAT12,28.81%,14
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,ANG12,53.99%,22
