Novads,Skola,Kopvērtējums,Priekšmets
Aglonas novads,Priežmalas pamatskola,77.00%,ANG9
Aglonas novads,Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola,79.00%,ANG9
Aglonas novads,Aglonas vidusskola,68.63%,ANG9
Aizkraukles novads,Aizkraukles 1. vidusskola,62.92%,ANG9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,71.00%,ANG9
Aizkraukles novads,Aizkraukles novada ģimnāzija,66.82%,ANG9
Aizputes novads,Aizputes pagasta pamatskola,59.20%,ANG9
Aizputes novads,Apriķu pamatskola,60.25%,ANG9
Aizputes novads,Dzērves pamatskola,68.86%,ANG9
Aizputes novads,Kalvenes pamatskola,91.50%,ANG9
Aizputes novads,Māteru Jura Kazdangas pamatskola,59.07%,ANG9
Aizputes novads,Aizputes vidusskola,58.25%,ANG9
Aizputes novads,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,61.00%,ANG9
Aizputes novads,Cīravas Profesionālā vidusskola,49.00%,ANG9
Aknīstes novads,Asares pamatskola,53.50%,ANG9
Aknīstes novads,Gārsenes pamatskola,85.00%,ANG9
Aknīstes novads,Aknīstes vidusskola,75.58%,ANG9
Alojas novads,Ozolmuižas pamatskola,65.00%,ANG9
Alojas novads,Alojas Ausekļa vidusskola,63.57%,ANG9
Alojas novads,Staiceles vidusskola,70.00%,ANG9
Alsungas novads,Alsungas vidusskola,53.67%,ANG9
Alūksnes novads,Bejas pamatskola,61.25%,ANG9
Alūksnes novads,Ilzenes pamatskola,59.00%,ANG9
Alūksnes novads,Jaunlaicenes pamatskola,62.13%,ANG9
Alūksnes novads,Malienas pamatskola,61.67%,ANG9
Alūksnes novads,Mālupes pamatskola,57.60%,ANG9
Alūksnes novads,Mārkalnes pamatskola,45.00%,ANG9
Alūksnes novads,Pededzes pamatskola,70.33%,ANG9
Alūksnes novads,Strautiņu pamatskola,71.20%,ANG9
Alūksnes novads,Ziemeru pamatskola,67.63%,ANG9
Alūksnes novads,Alūksnes novada vidusskola,41.00%,ANG9
Alūksnes novads,Liepnas vidusskola,73.25%,ANG9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,74.34%,ANG9
Alūksnes novads,Liepnas internātpamatskola,46.00%,ANG9
Amatas novads,Amatas pamatskola,68.00%,ANG9
Amatas novads,Sērmūkšu pamatskola,55.00%,ANG9
Amatas novads,Skujenes pamatskola,65.25%,ANG9
Amatas novads,Zaubes pamatskola,47.83%,ANG9
Amatas novads,Nītaures vidusskola,66.50%,ANG9
