Novads,Skola,Kopvērtējums,Priekšmets
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,55.11%,MAT9
Ādažu novads,Ādažu vidusskola,66.38%,MAT9
Babītes novads,Babītes vidusskola,59.70%,MAT9
Baldones novads,Baldones Mūzikas pamatskola,75.69%,MAT9
Baldones novads,Baldones vidusskola,60.09%,MAT9
Baltinavas novads,Baltinavas vidusskola,50.78%,MAT9
Balvu novads,Briežuciema pamatskola,52.44%,MAT9
Balvu novads,Stacijas pamatskola,41.83%,MAT9
Balvu novads,Balvu pamatskola,58.83%,MAT9
Balvu novads,Balvu Amatniecības vidusskola,51.22%,MAT9
Balvu novads,Bērzpils vidusskola,45.17%,MAT9
Balvu novads,Tilžas vidusskola,49.07%,MAT9
Balvu novads,Balvu Valsts ģimnāzija,60.99%,MAT9
Balvu novads,Tilžas internātpamatskola,56.67%,MAT9
Bauskas novads,Bauskas pilsētas pamatskola,63.17%,MAT9
Bauskas novads,Codes pamatskola,39.60%,MAT9
Bauskas novads,Griķu pamatskola,55.43%,MAT9
Bauskas novads,Jaunsaules pamatskola,55.33%,MAT9
Bauskas novads,Mežgaļu pamatskola,64.50%,MAT9
Bauskas novads,Mežotnes pamatskola,38.67%,MAT9
Bauskas novads,Ozolaines pamatskola,53.48%,MAT9
Bauskas novads,Vecsaules pamatskola,57.33%,MAT9
Bauskas novads,Īslīces vidusskola,47.47%,MAT9
Bauskas novads,Uzvaras vidusskola,57.47%,MAT9
Bauskas novads,Bauskas 2. vidusskola,52.96%,MAT9
Bauskas novads,Bauskas Valsts ģimnāzija,71.05%,MAT9
Bauskas novads,Mežotnes internātvidusskola,27.33%,MAT9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,60.10%,MAT9
Beverīnas novads,Trikātas pamatskola,51.08%,MAT9
Brocēnu novads,Blīdenes pamatskola,59.28%,MAT9
Brocēnu novads,Gaiķu pamatskola,71.69%,MAT9
Brocēnu novads,Remtes pamatskola,59.33%,MAT9
Brocēnu novads,Brocēnu vidusskola,50.98%,MAT9
Burtnieku novads,Ēveles pamatskola,66.89%,MAT9
Burtnieku novads,Matīšu pamatskola,61.93%,MAT9
Burtnieku novads,Rencēnu pamatskola,70.44%,MAT9
Burtnieku novads,Burtnieku Ausekļa vidusskola,53.33%,MAT9
Carnikavas novads,Carnikavas pamatskola,47.03%,MAT9
Cesvaines novads,Cesvaines vidusskola,54.25%,MAT9
Cesvaines novads,Cesvaines internātpamatskola,34.00%,MAT9
Cēsu novads,Cēsu 1. pamatskola,50.53%,MAT9
Cēsu novads,Cēsu 2. pamatskola,57.88%,MAT9
Cēsu novads,Cēsu pilsētas pamatskola,48.37%,MAT9
Cēsu novads,Līvu pamatskola,44.67%,MAT9
Cēsu novads,Rāmuļu pamatskola,37.07%,MAT9
Cēsu novads,Cēsu 2. vidusskola,32.33%,MAT9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,36.00%,MAT9
Cēsu novads,Cēsu Valsts ģimnāzija,80.97%,MAT9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,68.37%,MAT9
Ciblas novads,Cirmas pamatskola,46.67%,MAT9
Ciblas novads,Pušmucovas pamatskola,52.33%,MAT9
Dagdas novads,Šķaunes pamatskola,56.00%,MAT9
Dagdas novads,Andrupenes pamatskola,56.44%,MAT9
Dagdas novads,Andzeļu pamatskola,47.26%,MAT9
Dagdas novads,Asūnes pamatskola,70.33%,MAT9
Dagdas novads,Ezernieku vidusskola,53.78%,MAT9
Dagdas novads,Dagdas vidusskola,51.80%,MAT9
Daugavpils novads,Naujenes pamatskola,44.73%,MAT9
Daugavpils novads,Nīcgales pamatskola,50.00%,MAT9
Daugavpils novads,Skrudalienas pamatskola,60.67%,MAT9
Daugavpils novads,Biķernieku pamatskola,62.86%,MAT9
Daugavpils novads,Birznieku pamatskola,41.33%,MAT9
Daugavpils novads,Randenes pamatskola,68.95%,MAT9
Daugavpils novads,Tabores pamatskola,54.40%,MAT9
Daugavpils novads,Kalupes pamatskola,50.22%,MAT9
Daugavpils novads,Lāču pamatskola,45.94%,MAT9
Daugavpils novads,Vaboles vidusskola,61.45%,MAT9
Daugavpils novads,Zemgales vidusskola (Daugavpils nov.),53.16%,MAT9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,56.26%,MAT9
Daugavpils pilsēta,Daugavpils 11. pamatskola,36.61%,MAT9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,72.93%,MAT9
Daugavpils pilsēta,Daugavpils 12. vidusskola,55.67%,MAT9
Daugavpils pilsēta,Daugavpils 10. vidusskola,56.48%,MAT9
Daugavpils pilsēta,Daugavpils 15. vidusskola,58.67%,MAT9
Daugavpils pilsēta,Daugavpils Krievu vidusskola - licejs,78.13%,MAT9
Daugavpils pilsēta,J. Raiņa Daugavpils 6. vidusskola,57.02%,MAT9
Daugavpils pilsēta,Daugavpils Centra vidusskola,60.23%,MAT9
Daugavpils pilsēta,Daugavpils 13. vidusskola,60.99%,MAT9
Daugavpils pilsēta,Daugavpils 16. vidusskola,59.13%,MAT9
Daugavpils pilsēta,Daugavpils 17. vidusskola,44.58%,MAT9
Daugavpils pilsēta,Daugavpils 3. vidusskola,66.04%,MAT9
Daugavpils pilsēta,Daugavpils 9. vidusskola,62.42%,MAT9
Daugavpils pilsēta,J.Pilsudska Daugavpils valsts poļu ģimnāzija,79.08%,MAT9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,75.31%,MAT9
Daugavpils pilsēta,Daugavpils Celtnieku profesionālā vidusskola,35.14%,MAT9
Daugavpils pilsēta,Daugavpils Mūzikas vidusskola,72.53%,MAT9
Daugavpils pilsēta,Daugavpils Valsts tehnikums,32.44%,MAT9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,47.71%,MAT9
Dobeles novads,Dobeles Kristīgā pamatskola,53.67%,MAT9
Dobeles novads,Bikstu pamatskola,67.88%,MAT9
Dobeles novads,Gardenes pamatskola,27.83%,MAT9
Dobeles novads,Krimūnu pamatskola,45.87%,MAT9
Dobeles novads,Naudītes pamatskola,34.00%,MAT9
Dobeles novads,Penkules pamatskola,41.93%,MAT9
Dobeles novads,Annenieku pamatskola,39.41%,MAT9
Dobeles novads,Lejasstrazdu pamatskola,37.07%,MAT9
Dobeles novads,Dobeles 1. vidusskola,39.56%,MAT9
Dobeles novads,Dobeles Valsts ģimnāzija,70.81%,MAT9
Dobeles novads,Dobeles Amatniecības un vispārizglītojošā vidusskola,43.67%,MAT9
Dobeles novads,Apguldes Profesionālā vidusskola,38.67%,MAT9
Dundagas novads,Kolkas pamatskola,48.11%,MAT9
Dundagas novads,Dundagas vidusskola,49.01%,MAT9
Durbes novads,Ata Kronvalda Durbes vidusskola,53.67%,MAT9
Engures novads,Lapmežciema pamatskola,55.38%,MAT9
Engures novads,Smārdes pamatskola,56.62%,MAT9
Engures novads,Engures vidusskola,52.83%,MAT9
Ērgļu novads,Jāņa Zālīša Sausnējas pamatskola,59.78%,MAT9
Ērgļu novads,Ērgļu vidusskola,53.14%,MAT9
Garkalnes novads,Garkalnes vidusskola,71.85%,MAT9
Garkalnes novads,Berģu Mūzikas un mākslas pamatskola,46.48%,MAT9
Grobiņas novads,Bārtas pamatskola,49.09%,MAT9
Grobiņas novads,Gaviezes pamatskola,41.63%,MAT9
Grobiņas novads,Kapsēdes pamatskola,44.57%,MAT9
Grobiņas novads,Grobiņas pamatskola,54.35%,MAT9
Grobiņas novads,Grobiņas ģimnāzija,71.25%,MAT9
Gulbenes novads,Daukstes pamatskola,45.73%,MAT9
Gulbenes novads,Druvienas pamatskola,74.40%,MAT9
Gulbenes novads,Galgauskas pamatskola,33.19%,MAT9
Gulbenes novads,K. Valdemāra pamatskola,34.10%,MAT9
Gulbenes novads,Litenes pamatskola,72.57%,MAT9
Gulbenes novads,Rankas pamatskola,45.52%,MAT9
Gulbenes novads,Stāķu pamatskola,54.91%,MAT9
Gulbenes novads,Stāmerienas pamatskola,42.55%,MAT9
Gulbenes novads,Tirzas pamatskola,45.45%,MAT9
Gulbenes novads,Gulbenes 2. vidusskola,52.00%,MAT9
Gulbenes novads,Gulbenes vidusskola,52.86%,MAT9
Gulbenes novads,Gulbīša vidusskola,40.97%,MAT9
Gulbenes novads,Lejasciema vidusskola,53.50%,MAT9
Gulbenes novads,Lizuma vidusskola,49.89%,MAT9
Gulbenes novads,Gulbenes Vakara (maiņu) vidusskola,41.33%,MAT9
Gulbenes novads,Gulbenes novada valsts ģimnāzija,62.10%,MAT9
Gulbenes novads,Rankas Profesionālā vidusskola,24.67%,MAT9
Iecavas novads,Dzimtmisas pamatskola,47.47%,MAT9
Iecavas novads,Iecavas vidusskola,53.15%,MAT9
Iecavas novads,Iecavas internātpamatskola,39.85%,MAT9
Ikšķiles novads,Tīnūžu pamatskola,66.58%,MAT9
Ikšķiles novads,Ikšķiles vidusskola,54.86%,MAT9
Ilūkstes novads,Subates pamatskola,47.20%,MAT9
Ilūkstes novads,Eglaines pamatskola,57.17%,MAT9
Ilūkstes novads,Ilūkstes 1. vidusskola,63.61%,MAT9
Ilūkstes novads,Bebrenes vidusskola,79.67%,MAT9
Ilūkstes novads,Ilūkstes Sadraudzības vidusskola,51.85%,MAT9
Inčukalna novads,Inčukalna pamatskola,55.56%,MAT9
Inčukalna novads,Vangažu vidusskola,50.48%,MAT9
Jaunjelgavas novads,Daudzeses pamatskola,44.44%,MAT9
Jaunjelgavas novads,Seces pagasta pamatskola,47.64%,MAT9
Jaunjelgavas novads,Sunākstes pamatskola,13.33%,MAT9
Jaunjelgavas novads,Jaunjelgavas vidusskola,67.73%,MAT9
Jaunpiebalgas novads,Jaunpiebalgas vidusskola,56.86%,MAT9
Jaunpils novads,Jaunpils vidusskola,50.42%,MAT9
Jelgavas novads,Platones pamatskola,50.00%,MAT9
Jelgavas novads,Aizupes pamatskola,48.35%,MAT9
Jelgavas novads,Sesavas pamatskola,52.00%,MAT9
Jelgavas novads,Svētes pamatskola,42.67%,MAT9
Jelgavas novads,Vilces pamatskola,31.83%,MAT9
Jelgavas novads,Zaļenieku pamatskola,53.24%,MAT9
Jelgavas novads,Šķibes pamatskola,44.33%,MAT9
Jelgavas novads,Elejas vidusskola,58.00%,MAT9
Jelgavas novads,Kalnciema vidusskola,53.11%,MAT9
Jelgavas novads,Līvbērzes vidusskola,47.05%,MAT9
Jelgavas novads,Staļģenes vidusskola,47.86%,MAT9
Jelgavas novads,Vircavas vidusskola,41.73%,MAT9
Jelgavas novads,Kalnciema pagasta vidusskola,43.33%,MAT9
Jelgavas novads,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,16.00%,MAT9
Jelgavas pilsēta,Jelgavas 2. pamatskola,57.93%,MAT9
Jelgavas pilsēta,Jelgavas 4. vidusskola,46.69%,MAT9
Jelgavas pilsēta,Jelgavas 5. vidusskola,63.24%,MAT9
Jelgavas pilsēta,Jelgavas 6. vidusskola,57.38%,MAT9
Jelgavas pilsēta,Jelgavas Vakara (maiņu) vidusskola,36.48%,MAT9
Jelgavas pilsēta,Jelgavas 1. ģimnāzija,48.05%,MAT9
Jelgavas pilsēta,Jelgavas Spīdolas ģimnāzija,65.96%,MAT9
Jelgavas pilsēta,Jelgavas Valsts ģimnāzija,51.16%,MAT9
Jelgavas pilsēta,Jelgavas Amatu vidusskola,38.98%,MAT9
Jelgavas pilsēta,Jelgavas 1.speciālā internātpamatskola,67.20%,MAT9
Jēkabpils novads,Ābeļu pamatskola,45.14%,MAT9
Jēkabpils novads,Bērzgala pamatskola,57.78%,MAT9
Jēkabpils novads,Dignājas pamatskola,44.83%,MAT9
Jēkabpils novads,Dunavas pamatskola,40.00%,MAT9
Jēkabpils novads,Rubeņu pamatskola,50.52%,MAT9
Jēkabpils novads,Zasas vidusskola,43.90%,MAT9
Jēkabpils pilsēta,Jēkabpils 3. vidusskola,49.21%,MAT9
Jēkabpils pilsēta,Jēkabpils Valsts ģimnāzija,54.28%,MAT9
Jūrmalas pilsēta,Jūrmalas Alternatīvā skola,65.44%,MAT9
Jūrmalas pilsēta,Slokas pamatskola,53.97%,MAT9
Jūrmalas pilsēta,Vaivaru pamatskola,43.88%,MAT9
Jūrmalas pilsēta,Ķemeru vidusskola,68.00%,MAT9
Jūrmalas pilsēta,Pumpuru vidusskola,51.22%,MAT9
Jūrmalas pilsēta,Majoru vidusskola,56.69%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Kauguru vidusskola,52.33%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Mežmalas vidusskola,46.76%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Jaundubultu vidusskola,47.93%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Lielupes vidusskola,45.58%,MAT9
Jūrmalas pilsēta,Jūrmalas vakara vidusskola,36.89%,MAT9
Jūrmalas pilsēta,Murjāņu sporta ģimnāzija Jūrmalas filiāle,45.58%,MAT9
Jūrmalas pilsēta,Jūrmalas Valsts ģimnāzija,65.04%,MAT9
Kandavas novads,Cēres pamatskola,46.86%,MAT9
Kandavas novads,Kandavas novada Zantes pamatskola,51.73%,MAT9
Kandavas novads,Zemītes pamatskola,54.13%,MAT9
Kandavas novads,Kandavas Kārļa Mīlenbaha vidusskola,57.69%,MAT9
Kandavas novads,Kandavas internātvidusskola,51.43%,MAT9
Kārsavas novads,Mērdzenes pamatskola,52.59%,MAT9
Kārsavas novads,Salnavas pamatskola,49.17%,MAT9
Kārsavas novads,Kārsavas vidusskola,60.97%,MAT9
Kokneses novads,Bebru pamatskola,38.33%,MAT9
Kokneses novads,Pērses pamatskola,44.00%,MAT9
Kokneses novads,Ilmāra Gaiša Kokneses vidusskola,56.32%,MAT9
Kokneses novads,Bebru internātvidusskola,55.41%,MAT9
Krāslavas novads,Krāslavas pamatskola,55.88%,MAT9
Krāslavas novads,Aulejas pamatskola,64.00%,MAT9
Krāslavas novads,Izvaltas pamatskola,39.33%,MAT9
Krāslavas novads,Robežnieku pamatskola,57.00%,MAT9
Krāslavas novads,Krāslavas gr. Plāteru v.n. Poļu pamatskola,40.00%,MAT9
Krāslavas novads,Krāslavas Varavīksnes vidusskola,54.13%,MAT9
Krāslavas novads,Krāslavas Valsts ģimnāzija,56.53%,MAT9
Krimuldas novads,Garlība Merķeļa Lēdurgas pamatskola,65.33%,MAT9
Krimuldas novads,Turaidas pamatskola,29.52%,MAT9
Krimuldas novads,Krimuldas vidusskola,65.75%,MAT9
Krustpils novads,Krustpils pamatskola,49.97%,MAT9
Krustpils novads,Liepenes pamatskola,57.33%,MAT9
Krustpils novads,Sūnu pamatskola,47.78%,MAT9
Krustpils novads,Mežāres pamatskola,39.24%,MAT9
Krustpils novads,Vīpes pamatskola,53.78%,MAT9
Krustpils novads,Brāļu Skrindu Atašienes vidusskola,66.67%,MAT9
Kuldīgas novads,Kuldīgas pamatskola,45.82%,MAT9
Kuldīgas novads,Ēdoles pamatskola,55.44%,MAT9
Kuldīgas novads,Laidu pamatskola,55.24%,MAT9
Kuldīgas novads,Turlavas pamatskola,47.60%,MAT9
Kuldīgas novads,Vārmes pamatskola,61.11%,MAT9
Kuldīgas novads,Vilgāles pamatskola,38.17%,MAT9
Kuldīgas novads,Z.A. Meierovica Kabiles pamatskola,48.80%,MAT9
Kuldīgas novads,Kuldīgas 2. vidusskola,56.41%,MAT9
Kuldīgas novads,Kuldīgas Centra vidusskola,54.83%,MAT9
Kuldīgas novads,Kuldīgas Mākslas un humanitāro zinību vidusskola,49.33%,MAT9
Kuldīgas novads,V. Plūdoņa Kuldīgas ģimnāzija,60.61%,MAT9
Ķeguma novads,Birzgales pamatskola,42.48%,MAT9
Ķeguma novads,Ķeguma komercnovirziena vidusskola,51.05%,MAT9
Ķekavas novads,"Privātā pamatskola ""Gaismas tilts 97""",79.43%,MAT9
Ķekavas novads,Baložu vidusskola,54.73%,MAT9
Lielvārdes novads,Lēdmanes pamatskola,51.07%,MAT9
Lielvārdes novads,Lielvārdes pamatskola,49.25%,MAT9
Lielvārdes novads,Edgara Kauliņa Lielvārdes vidusskola,56.75%,MAT9
Lielvārdes novads,Jumpravas vidusskola,44.82%,MAT9
Liepājas pilsēta,Liepājas Katoļu pamatskola,54.48%,MAT9
Liepājas pilsēta,Liepājas 3. pamatskola,54.16%,MAT9
Liepājas pilsēta,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,60.89%,MAT9
Liepājas pilsēta,J. Čakstes Liepājas pilsētas 10. vidusskola,54.32%,MAT9
Liepājas pilsēta,Liepājas 15. vidusskola,45.93%,MAT9
Liepājas pilsēta,Liepājas Raiņa 6. vidusskola,47.76%,MAT9
Liepājas pilsēta,Liepājas 7. vidusskola,57.47%,MAT9
Liepājas pilsēta,Liepājas A. Puškina 2. vidusskola,70.67%,MAT9
Liepājas pilsēta,Liepājas pilsētas 12. vidusskola,58.29%,MAT9
Liepājas pilsēta,Liepājas 8. vidusskola,56.47%,MAT9
Liepājas pilsēta,Liepājas vakara (maiņu) vidusskola,44.73%,MAT9
Liepājas pilsēta,Liepājas Valsts 1. ģimnāzija,65.86%,MAT9
Liepājas pilsēta,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",41.65%,MAT9
Liepājas pilsēta,Liepājas internātpamatskola,35.62%,MAT9
Limbažu novads,Baumaņu Kārļa Viļķenes pamatskola,64.53%,MAT9
Limbažu novads,Lādezera pamatskola,59.05%,MAT9
Limbažu novads,Pāles pamatskola,41.00%,MAT9
Limbažu novads,Umurgas pamatskola,59.50%,MAT9
Limbažu novads,Vidrižu pamatskola,43.88%,MAT9
Limbažu novads,Limbažu 3. vidusskola,58.46%,MAT9
Limbažu novads,Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,27.78%,MAT9
Limbažu novads,Limbažu novada ģimnāzija,67.17%,MAT9
Limbažu novads,Limbažu Profesionālā vidusskola,35.11%,MAT9
Līgatnes novads,Līgatnes novada vidusskola,54.71%,MAT9
Līvānu novads,Jaunsilavas pamatskola,53.04%,MAT9
Līvānu novads,Jersikas pamatskola,46.96%,MAT9
Līvānu novads,Rožupes pamatskola,42.53%,MAT9
Līvānu novads,Sutru pamatskola,56.00%,MAT9
Līvānu novads,Līvānu 1. vidusskola,65.18%,MAT9
Līvānu novads,Rudzātu vidusskola,74.67%,MAT9
Līvānu novads,Līvānu novada Vakara (maiņu) vidusskola,50.40%,MAT9
Lubānas novads,Meirānu Kalpaka pamatskola,38.83%,MAT9
Lubānas novads,Lubānas vidusskola,45.09%,MAT9
Ludzas novads,Nirzas pamatskola,51.33%,MAT9
Ludzas novads,Pildas pamatskola,48.44%,MAT9
Ludzas novads,Ludzas 2. vidusskola,62.44%,MAT9
Ludzas novads,Istras vidusskola,45.45%,MAT9
Ludzas novads,Ludzas pilsētas ģimnāzija,54.64%,MAT9
Madonas novads,Barkavas pamatskola,60.00%,MAT9
Madonas novads,Bērzaunes pamatskola,46.52%,MAT9
Madonas novads,Degumnieku pamatskola,57.90%,MAT9
Madonas novads,Dzelzavas pamatskola,57.26%,MAT9
Madonas novads,Kalsnavas pamatskola,43.11%,MAT9
Madonas novads,Kristiāna Dāvida pamatskola,42.67%,MAT9
Madonas novads,Kusas pamatskola,48.00%,MAT9
Madonas novads,Lazdonas pamatskola,36.00%,MAT9
Madonas novads,Liezēres pamatskola,54.79%,MAT9
Madonas novads,Mārcienas pamatskola,45.56%,MAT9
Madonas novads,Mētrienas pamatskola,73.14%,MAT9
Madonas novads,Praulienas pamatskola,62.05%,MAT9
Madonas novads,Sarkaņu pamatskola,48.00%,MAT9
Madonas novads,Vestienas pamatskola,53.48%,MAT9
Madonas novads,Madonas pilsētas 1. vidusskola,57.53%,MAT9
Madonas novads,Andreja Eglīša Ļaudonas vidusskola,51.76%,MAT9
Madonas novads,Madonas pilsētas 2. vidusskola,50.90%,MAT9
Madonas novads,Madonas Vakara un neklātienes vidusskola,26.48%,MAT9
Madonas novads,Madonas Valsts ģimnāzija,73.05%,MAT9
Madonas novads,Barkavas Profesionālā vidusskola,27.67%,MAT9
Mazsalacas novads,Mazsalacas vidusskola,53.37%,MAT9
Mālpils novads,Sidgundas pamatskola,61.11%,MAT9
Mālpils novads,Mālpils vidusskola,56.67%,MAT9
Mālpils novads,Mālpils internātpamatskola,43.70%,MAT9
Mārupes novads,Mārupes pamatskola,37.87%,MAT9
Mārupes novads,Mārupes vidusskola,59.38%,MAT9
Naukšēnu novads,Naukšēnu novada vidusskola,52.41%,MAT9
Naukšēnu novads,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",33.56%,MAT9
Neretas novads,Mazzalves pamatskola,44.29%,MAT9
Neretas novads,Sproģu pamatskola,49.07%,MAT9
Neretas novads,Neretas Jāņa Jaunsudrabiņa vidusskola,56.30%,MAT9
Nīcas novads,Nīcas vidusskola,53.47%,MAT9
Ogres novads,Ķeipenes pamatskola,55.27%,MAT9
Ogres novads,Ogresgala pamatskola,48.38%,MAT9
Ogres novads,Ogres 1. vidusskola,55.72%,MAT9
Ogres novads,Madlienas vidusskola,49.84%,MAT9
Ogres novads,Suntažu vidusskola,49.26%,MAT9
Ogres novads,Taurupes vidusskola,52.62%,MAT9
Ogres novads,Ogres 1.vidusskolas vakara un neklātienes nodaļa,35.83%,MAT9
Ogres novads,Ogres Valsts ģimnāzija,66.56%,MAT9
Ogres novads,Suntažu internātpamatskola - rehabilitācijas centrs,41.47%,MAT9
Olaines novads,Olaines 2. vidusskola,57.97%,MAT9
Olaines novads,Olaines 1. vidusskola,53.74%,MAT9
Ozolnieku novads,Garozas pamatskola,34.93%,MAT9
Ozolnieku novads,Teteles pamatskola,59.83%,MAT9
Ozolnieku novads,Ozolnieku vidusskola,59.23%,MAT9
Pārgaujas novads,Straupes pamatskola,57.17%,MAT9
Pārgaujas novads,Stalbes vidusskolas struktūrvienība,56.00%,MAT9
Pārgaujas novads,Stalbes vidusskola,47.00%,MAT9
Pāvilostas novads,Vērgales pamatskola,39.60%,MAT9
Pāvilostas novads,Pāvilostas vidusskola,51.41%,MAT9
Pļaviņu novads,Pļaviņu novada ģimnāzija,58.19%,MAT9
Preiļu novads,Preiļu 1. pamatskola,55.70%,MAT9
Preiļu novads,Pelēču pamatskola,60.53%,MAT9
Preiļu novads,Priekuļu pamatskola,63.47%,MAT9
Preiļu novads,Salas pamatskola,62.00%,MAT9
Preiļu novads,Preiļu 2. vidusskola,46.57%,MAT9
Preiļu novads,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,39.81%,MAT9
Priekules novads,Gramzdas pamatskola,38.81%,MAT9
Priekules novads,Kalētu pamatskola,52.38%,MAT9
Priekules novads,Krotes Kronvalda Ata pamatskola,45.19%,MAT9
Priekules novads,Virgas pamatskola,41.00%,MAT9
Priekules novads,Priekules vidusskola,53.14%,MAT9
Priekuļu novads,Mārsnēnu pamatskola,56.80%,MAT9
Priekuļu novads,Liepas pamatskola,49.57%,MAT9
Priekuļu novads,Priekuļu vidusskola,43.39%,MAT9
Raunas novads,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",37.33%,MAT9
Raunas novads,Drustu pamatskola,46.00%,MAT9
Raunas novads,Raunas vidusskola,63.33%,MAT9
Rēzeknes novads,Bērzgales pamatskola,28.00%,MAT9
Rēzeknes novads,Gaigalavas pamatskola,59.43%,MAT9
Rēzeknes novads,Jaunstrūžānu pamatskola,45.50%,MAT9
Rēzeknes novads,Kalnezeru Katoļu pamatskola,56.22%,MAT9
Rēzeknes novads,Verēmu pamatskola,69.07%,MAT9
Rēzeknes novads,Audriņu pamatskola,53.93%,MAT9
Rēzeknes novads,Rikavas pamatskola,69.00%,MAT9
Rēzeknes novads,Zarečnajas pamatskola,63.33%,MAT9
Rēzeknes novads,Feimaņu pamatskola,61.04%,MAT9
Rēzeknes novads,Rēznas pamatskola,48.40%,MAT9
Rēzeknes novads,Sakstagala Jāņa Klīdzēja pamatskola,43.19%,MAT9
Rēzeknes novads,Dricānu vidusskola,48.50%,MAT9
Rēzeknes novads,Lūcijas Rancānes Makašānu Amatu vidusskola,49.33%,MAT9
Rēzeknes novads,Maltas 1. vidusskola,37.15%,MAT9
Rēzeknes novads,Nautrēnu vidusskola,49.42%,MAT9
Rēzeknes novads,Liepu pamatskola,54.48%,MAT9
Rēzeknes novads,Tiskādu vidusskola,51.90%,MAT9
