Novads,Skola,Kopvērtējums,Priekšmets
Aglonas novads,Priežmalas pamatskola,32.67%,MAT9
Aglonas novads,Šķeltovas pamatskola,71.33%,MAT9
Aglonas novads,Aglonas vidusskola,64.53%,MAT9
Aglonas novads,Aglonas Katoļu ģimnāzija,46.67%,MAT9
Aglonas novads,Aglonas internātvidusskola,48.67%,MAT9
Aizkraukles novads,Aizkraukles 1. vidusskola,51.70%,MAT9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,36.53%,MAT9
Aizkraukles novads,Aizkraukles novada ģimnāzija,56.27%,MAT9
Aizputes novads,Aizputes pagasta pamatskola,54.91%,MAT9
Aizputes novads,Apriķu pamatskola,58.44%,MAT9
Aizputes novads,Dzērves pamatskola,60.44%,MAT9
Aizputes novads,Kalvenes pamatskola,66.79%,MAT9
Aizputes novads,Māteru Jura Kazdangas pamatskola,56.52%,MAT9
Aizputes novads,Aizputes vidusskola,57.51%,MAT9
Aizputes novads,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,48.89%,MAT9
Aizputes novads,Cīravas Profesionālā vidusskola,32.92%,MAT9
Aknīstes novads,Asares pamatskola,36.00%,MAT9
Aknīstes novads,Aknīstes vidusskola,49.58%,MAT9
Alojas novads,Ozolmuižas pamatskola,42.67%,MAT9
Alojas novads,Puikules pamatskola,61.00%,MAT9
Alojas novads,Alojas Ausekļa vidusskola,51.31%,MAT9
Alojas novads,Staiceles vidusskola,54.35%,MAT9
Alsungas novads,Alsungas vidusskola,64.58%,MAT9
Alūksnes novads,Bejas pamatskola,50.06%,MAT9
Alūksnes novads,Ilzenes pamatskola,74.00%,MAT9
Alūksnes novads,Jaunlaicenes pamatskola,60.67%,MAT9
Alūksnes novads,Malienas pamatskola,54.33%,MAT9
Alūksnes novads,Mālupes pamatskola,48.00%,MAT9
Alūksnes novads,Mārkalnes pamatskola,51.62%,MAT9
Alūksnes novads,Strautiņu pamatskola,56.36%,MAT9
Alūksnes novads,Ziemeru pamatskola,44.00%,MAT9
Alūksnes novads,Jaunannas Mūzikas un mākslas pamatskola,74.00%,MAT9
Alūksnes novads,Pededzes pamatskola,69.52%,MAT9
Alūksnes novads,Liepnas vidusskola,62.40%,MAT9
Alūksnes novads,Alūksnes novada vidusskola,45.56%,MAT9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,66.01%,MAT9
Alūksnes novads,Alsviķu Profesionālā skola,36.80%,MAT9
Alūksnes novads,Liepnas internātpamatskola,36.40%,MAT9
Amatas novads,Amatas pamatskola,55.33%,MAT9
Amatas novads,Sērmūkšu pamatskola,62.22%,MAT9
Amatas novads,Skujenes pamatskola,40.00%,MAT9
Amatas novads,Zaubes pamatskola,47.11%,MAT9
Amatas novads,Nītaures vidusskola,53.33%,MAT9
Amatas novads,Drabešu internātpamatskola,41.93%,MAT9
Apes novads,Sikšņu pamatskola,61.33%,MAT9
Apes novads,Trapenes pamatskola,56.89%,MAT9
Apes novads,Dāvja Ozoliņa Apes vidusskola,42.00%,MAT9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,39.88%,MAT9
Apes novads,Gaujienas speciālā internātpamatskola,53.33%,MAT9
Auces novads,Auces vidusskola,46.45%,MAT9
Auces novads,Bēnes vidusskola,44.20%,MAT9
