Novads,Skola,Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
154,Ķeguma komercnovirziena vidusskola,LAT12,62.86,16
154,Ķeguma komercnovirziena vidusskola,MAT12,46.72,16
155,Baložu vidusskola,ANG12,78.98,3
155,Baložu vidusskola,LAT12,45.77,9
155,Baložu vidusskola,MAT12,32.15,9
155,Ķekavas vidusskola,ANG12,79.99,23
155,Ķekavas vidusskola,LAT12,72.38,28
155,Ķekavas vidusskola,MAT12,40.2,28
156,Edgara Kauliņa Lielvārdes vidusskola,ANG12,75.29,17
156,Edgara Kauliņa Lielvārdes vidusskola,LAT12,64.23,22
156,Edgara Kauliņa Lielvārdes vidusskola,MAT12,27.16,22
156,Jumpravas vidusskola,ANG12,80.98,4
156,Jumpravas vidusskola,LAT12,70.6,4
156,Jumpravas vidusskola,MAT12,24.69,4
157,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,ANG12,67.23,49
157,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,LAT12,64.18,49
157,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,MAT12,34.39,49
157,J. Čakstes Liepājas pilsētas 10. vidusskola,ANG12,69.95,28
157,J. Čakstes Liepājas pilsētas 10. vidusskola,LAT12,57.08,30
157,J. Čakstes Liepājas pilsētas 10. vidusskola,MAT12,25.77,30
157,Liepājas 7. vidusskola,ANG12,58.11,36
157,Liepājas 7. vidusskola,LAT12,42.61,36
157,Liepājas 7. vidusskola,MAT12,61.72,36
157,Liepājas 8. vidusskola,ANG12,65.82,19
157,Liepājas 8. vidusskola,LAT12,39.66,31
157,Liepājas 8. vidusskola,MAT12,17.36,31
157,Liepājas A. Puškina 2. vidusskola,ANG12,60.3,31
157,Liepājas A. Puškina 2. vidusskola,LAT12,44.11,32
157,Liepājas A. Puškina 2. vidusskola,MAT12,44.77,32
157,Liepājas Jūrniecības koledža,ANG12,54,87
157,Liepājas Jūrniecības koledža,LAT12,37.71,84
157,Liepājas Jūrniecības koledža,MAT12,28.76,84
157,Liepājas pilsētas 12. vidusskola,ANG12,52.3,40
157,Liepājas pilsētas 12. vidusskola,LAT12,33.76,40
157,Liepājas pilsētas 12. vidusskola,MAT12,34.17,40
157,Liepājas Raiņa 6. vidusskola,ANG12,61.82,38
157,Liepājas Raiņa 6. vidusskola,LAT12,56.22,43
157,Liepājas Raiņa 6. vidusskola,MAT12,24.1,43
157,Liepājas Universitāte,ANG12,20.6,1
157,Liepājas vakara (maiņu) vidusskola,ANG12,42.46,49
157,Liepājas vakara (maiņu) vidusskola,LAT12,44.69,56
157,Liepājas vakara (maiņu) vidusskola,MAT12,17.73,57
157,Liepājas Valsts 1. ģimnāzija,ANG12,75.16,88
157,Liepājas Valsts 1. ģimnāzija,LAT12,68.84,93
157,Liepājas Valsts 1. ģimnāzija,MAT12,41.12,93
157,Oskara Kalpaka Liepājas 15. vidusskola,ANG12,64.15,31
157,Oskara Kalpaka Liepājas 15. vidusskola,LAT12,59.14,37
157,Oskara Kalpaka Liepājas 15. vidusskola,MAT12,37.75,37
157,"Profesionālās izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola"" (prof.)",ANG12,56.65,42
157,"Profesionālās izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola"" (prof.)",LAT12,55.55,42
157,"Profesionālās izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola"" (prof.)",MAT12,29.19,41
157,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums"" (prof.)",ANG12,48.37,184
157,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums"" (prof.)",LAT12,44.55,182
157,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums"" (prof.)",MAT12,18.71,185
158,Limbažu 3. vidusskola,ANG12,59.97,25
158,Limbažu 3. vidusskola,LAT12,54.63,27
158,Limbažu 3. vidusskola,MAT12,22.92,27
158,Limbažu novada ģimnāzija,ANG12,68.49,17
158,Limbažu novada ģimnāzija,LAT12,67.71,17
158,Limbažu novada ģimnāzija,MAT12,49.41,17
158,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Limbažu teritoriālā struktūrvienība (prof.) (strukt.),ANG12,36.4,5
158,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Limbažu teritoriālā struktūrvienība (prof.) (strukt.),LAT12,29.64,6
158,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Limbažu teritoriālā struktūrvienība (prof.) (strukt.),MAT12,8.33,6
159,Līgatnes novada vidusskola,ANG12,75.07,7
159,Līgatnes novada vidusskola,LAT12,55.43,9
159,Līgatnes novada vidusskola,MAT12,22.22,9
160,Līvānu 1. vidusskola,ANG12,65.78,38
160,Līvānu 1. vidusskola,LAT12,68.66,45
160,Līvānu 1. vidusskola,MAT12,36.14,45
160,Līvānu 2. vidusskola,ANG12,49.38,17
160,Līvānu 2. vidusskola,LAT12,41.01,17
160,Līvānu 2. vidusskola,MAT12,38.35,17
160,Līvānu novada Vakara (maiņu) vidusskola,ANG12,47.63,9
160,Līvānu novada Vakara (maiņu) vidusskola,LAT12,39.02,12
160,Līvānu novada Vakara (maiņu) vidusskola,MAT12,18.54,12
160,Rudzātu vidusskola,ANG12,54.98,15
160,Rudzātu vidusskola,LAT12,60.11,15
160,Rudzātu vidusskola,MAT12,35.17,15
161,Lubānas vidusskola,ANG12,51.51,7
161,Lubānas vidusskola,LAT12,53.41,7
161,Lubānas vidusskola,MAT12,19.2,7
162,Istras vidusskola,ANG12,42.48,3
162,Istras vidusskola,LAT12,46.21,3
162,Istras vidusskola,MAT12,25,3
162,Ludzas 2. vidusskola,ANG12,83.12,4
162,Ludzas 2. vidusskola,LAT12,44.53,16
162,Ludzas 2. vidusskola,MAT12,42.38,16
162,Ludzas novada vakara vidusskola,LAT12,26.25,15
162,Ludzas novada vakara vidusskola,MAT12,18.66,14
162,Ludzas pilsētas ģimnāzija,ANG12,65.15,37
162,Ludzas pilsētas ģimnāzija,LAT12,62.24,56
162,Ludzas pilsētas ģimnāzija,MAT12,41.61,56
163,Andreja Eglīša Ļaudonas vidusskola,ANG12,57.63,10
163,Andreja Eglīša Ļaudonas vidusskola,LAT12,64,11
163,Andreja Eglīša Ļaudonas vidusskola,MAT12,18.98,11
163,Jēkabpils Agrobiznesa koledžas Barkavas struktūrvienība (strukt.),ANG12,35.05,16
163,Jēkabpils Agrobiznesa koledžas Barkavas struktūrvienība (strukt.),LAT12,31.53,16
163,Jēkabpils Agrobiznesa koledžas Barkavas struktūrvienība (strukt.),MAT12,12.29,18
163,Madonas pilsētas vidusskola,ANG12,65.63,57
163,Madonas pilsētas vidusskola,LAT12,55.87,69
163,Madonas pilsētas vidusskola,MAT12,29.67,69
163,Madonas Vakara un neklātienes vidusskola,ANG12,34.42,19
163,Madonas Vakara un neklātienes vidusskola,LAT12,40.36,26
163,Madonas Vakara un neklātienes vidusskola,MAT12,13.82,28
163,Madonas Valsts ģimnāzija,ANG12,76.15,54
163,Madonas Valsts ģimnāzija,LAT12,67.62,54
163,Madonas Valsts ģimnāzija,MAT12,45.35,54
164,Mazsalacas vidusskola,ANG12,71.62,8
164,Mazsalacas vidusskola,LAT12,68.37,9
164,Mazsalacas vidusskola,MAT12,32.43,9
165,Mālpils novada vidusskola,ANG12,70.73,10
165,Mālpils novada vidusskola,LAT12,59.7,15
165,Mālpils novada vidusskola,MAT12,33.08,13
166,Mārupes vidusskola,ANG12,79.74,49
166,Mārupes vidusskola,LAT12,63.33,52
166,Mārupes vidusskola,MAT12,46.26,53
167,Naukšēnu novada vidusskola,ANG12,54.31,11
167,Naukšēnu novada vidusskola,LAT12,58.06,11
167,Naukšēnu novada vidusskola,MAT12,26.36,11
168,Neretas Jāņa Jaunsudrabiņa vidusskola,ANG12,54.85,11
168,Neretas Jāņa Jaunsudrabiņa vidusskola,LAT12,53.12,12
168,Neretas Jāņa Jaunsudrabiņa vidusskola,MAT12,43.85,12
169,Nīcas vidusskola,ANG12,66.9,11
169,Nīcas vidusskola,LAT12,63.33,11
169,Nīcas vidusskola,MAT12,29.03,11
170,Jaunogres vidusskola,ANG12,58.93,19
170,Jaunogres vidusskola,LAT12,42.58,18
170,Jaunogres vidusskola,MAT12,54.2,18
170,Madlienas vidusskola,ANG12,71.14,11
170,Madlienas vidusskola,LAT12,69.01,11
170,Madlienas vidusskola,MAT12,22.22,11
170,Ogres 1. vidusskola,ANG12,75.17,38
170,Ogres 1. vidusskola,LAT12,65.94,39
170,Ogres 1. vidusskola,MAT12,44.65,39
170,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),ANG12,53.19,9
170,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),LAT12,36.36,12
170,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),MAT12,13.44,12
170,Ogres Valsts ģimnāzija,ANG12,73.61,19
170,Ogres Valsts ģimnāzija,LAT12,62.75,27
170,Ogres Valsts ģimnāzija,MAT12,45.83,24
170,Suntažu vidusskola,ANG12,66.83,17
170,Suntažu vidusskola,LAT12,60.39,17
170,Suntažu vidusskola,MAT12,35.26,17
171,Olaines 1. vidusskola,ANG12,74.69,29
171,Olaines 1. vidusskola,LAT12,62.87,29
171,Olaines 1. vidusskola,MAT12,49.53,29
171,Olaines 2. vidusskola,ANG12,63.85,25
171,Olaines 2. vidusskola,LAT12,46.98,25
171,Olaines 2. vidusskola,MAT12,51.68,25
171,Olaines Mehānikas un tehnoloģijas koledža,ANG12,38.8,23
171,Olaines Mehānikas un tehnoloģijas koledža,LAT12,46,21
171,Olaines Mehānikas un tehnoloģijas koledža,MAT12,24.2,21
172,Ozolnieku vidusskola,ANG12,76.48,12
172,Ozolnieku vidusskola,LAT12,69.67,16
172,Ozolnieku vidusskola,MAT12,34.3,16
174,Pāvilostas vidusskola,ANG12,60.52,6
174,Pāvilostas vidusskola,LAT12,63.92,6
174,Pāvilostas vidusskola,MAT12,46.67,6
175,Pļaviņu novada ģimnāzija,ANG12,71.86,11
175,Pļaviņu novada ģimnāzija,LAT12,48.92,19
175,Pļaviņu novada ģimnāzija,MAT12,30.43,19
176,Jāņa Eglīša Preiļu Valsts ģimnāzija,ANG12,71.58,40
176,Jāņa Eglīša Preiļu Valsts ģimnāzija,LAT12,70.7,46
176,Jāņa Eglīša Preiļu Valsts ģimnāzija,MAT12,48.52,46
176,Preiļi (prof.) (strukt.),ANG12,33.87,23
176,Preiļi (prof.) (strukt.),LAT12,35.03,23
176,Preiļi (prof.) (strukt.),MAT12,17.47,23
176,Preiļu 2. vidusskola,ANG12,63.2,7
176,Preiļu 2. vidusskola,LAT12,45.7,14
176,Preiļu 2. vidusskola,MAT12,31.88,14
176,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,ANG12,61.72,1
176,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,LAT12,28.41,9
176,Preiļu novada Vakara (maiņu) un neklātienes vidusskola,MAT12,22.36,9
177,Priekules vidusskola,ANG12,49.84,13
177,Priekules vidusskola,LAT12,55.54,16
177,Priekules vidusskola,MAT12,34.77,16
178,Priekuļu tehnikums (prof.),ANG12,49.28,93
178,Priekuļu tehnikums (prof.),LAT12,40.12,94
178,Priekuļu tehnikums (prof.),MAT12,14.71,96
178,Priekuļu vidusskola,ANG12,68.88,13
178,Priekuļu vidusskola,LAT12,63.59,13
178,Priekuļu vidusskola,MAT12,30.53,13
179,Raunas vidusskola,ANG12,55.97,5
179,Raunas vidusskola,LAT12,48.52,5
179,Raunas vidusskola,MAT12,22.5,5
180,Austrumlatvijas Tehnoloģiju vidusskola,ANG12,73.01,20
180,Austrumlatvijas Tehnoloģiju vidusskola,LAT12,65.26,20
180,Austrumlatvijas Tehnoloģiju vidusskola,MAT12,75.34,20
180,Dricānu vidusskola,ANG12,49.99,11
180,Dricānu vidusskola,LAT12,49,17
180,Dricānu vidusskola,MAT12,18.64,17
180,Kaunatas vidusskola,ANG12,51.35,9
180,Kaunatas vidusskola,LAT12,56.59,10
180,Kaunatas vidusskola,MAT12,54.88,10
180,Lūcijas Rancānes Makašānu Amatu vidusskola,ANG12,44.23,8
180,Lūcijas Rancānes Makašānu Amatu vidusskola,LAT12,45.8,10
180,Lūcijas Rancānes Makašānu Amatu vidusskola,MAT12,10.25,10
180,Maltas vidusskola,ANG12,33.28,11
180,Maltas vidusskola,LAT12,41.96,26
180,Maltas vidusskola,MAT12,25.84,26
180,Nautrēnu vidusskola,ANG12,62.18,10
180,Nautrēnu vidusskola,LAT12,51.74,18
180,Nautrēnu vidusskola,MAT12,42.12,18
180,Tiskādu vidusskola,ANG12,32.43,12
180,Tiskādu vidusskola,LAT12,19.13,12
180,Tiskādu vidusskola,MAT12,30.21,12
181,Jāņa Ivanova Rēzeknes mūzikas vidusskola (prof.),ANG12,66.18,9
181,Jāņa Ivanova Rēzeknes mūzikas vidusskola (prof.),LAT12,82.46,8
181,Jāņa Ivanova Rēzeknes mūzikas vidusskola (prof.),MAT12,74.06,8
181,Rēzeknes 2. vidusskola,ANG12,56.21,30
181,Rēzeknes 2. vidusskola,LAT12,47.64,31
181,Rēzeknes 2. vidusskola,MAT12,33.45,31
181,Rēzeknes 3. vidusskola,ANG12,43.44,15
181,Rēzeknes 3. vidusskola,LAT12,41.93,15
181,Rēzeknes 3. vidusskola,MAT12,42.08,15
181,Rēzeknes 4. vidusskola,ANG12,35.36,42
181,Rēzeknes 4. vidusskola,LAT12,32.55,54
181,Rēzeknes 4. vidusskola,MAT12,28.09,54
181,Rēzeknes 5. vidusskola,ANG12,75.41,24
181,Rēzeknes 5. vidusskola,LAT12,74.51,29
181,Rēzeknes 5. vidusskola,MAT12,49.74,29
181,Rēzeknes 6. vidusskola,ANG12,60.2,32
181,Rēzeknes 6. vidusskola,LAT12,48.12,33
181,Rēzeknes 6. vidusskola,MAT12,63.77,32
181,Rēzeknes Katoļu vidusskola,ANG12,61.57,9
181,Rēzeknes Katoļu vidusskola,LAT12,63.89,9
181,Rēzeknes Katoļu vidusskola,MAT12,33.4,9
181,Rēzeknes Mākslas un dizaina vidusskola (prof.),ANG12,47.44,16
181,Rēzeknes Mākslas un dizaina vidusskola (prof.),LAT12,44.82,16
181,Rēzeknes Mākslas un dizaina vidusskola (prof.),MAT12,49.8,16
181,Rēzeknes tehnikums (prof.),ANG12,33.66,115
181,Rēzeknes tehnikums (prof.),LAT12,34.21,94
181,Rēzeknes tehnikums (prof.),MAT12,16.73,117
181,Rēzeknes Valsts 1. ģimnāzija,ANG12,69.66,49
181,Rēzeknes Valsts 1. ģimnāzija,LAT12,69.56,62
181,Rēzeknes Valsts 1. ģimnāzija,MAT12,53.01,62
181,Rēzeknes valsts poļu ģimnāzija,ANG12,67.35,21
181,Rēzeknes valsts poļu ģimnāzija,LAT12,69.55,22
181,Rēzeknes valsts poļu ģimnāzija,MAT12,64.32,21
182,Riebiņu vidusskola,ANG12,52.15,9
182,Riebiņu vidusskola,LAT12,46.65,19
182,Riebiņu vidusskola,MAT12,40.33,19
183,Latvijas Universitāte,ANG12,57.99,26
183,Latvijas Universitāte,LAT12,52.35,29
183,Latvijas Universitāte,MAT12,42.62,25
183,"Privātā Profesionālā vidusskola ""SIGMA"" (prof.)",ANG12,56.55,3
183,"Privātā Profesionālā vidusskola ""SIGMA"" (prof.)",LAT12,35.04,3
183,"Privātā Profesionālā vidusskola ""SIGMA"" (prof.)",MAT12,26.67,3
183,Privātā Rīgas Tehnolingvistiskā ģimnāzija,ANG12,66.28,15
183,Privātā Rīgas Tehnolingvistiskā ģimnāzija,LAT12,36.84,13
183,Privātā Rīgas Tehnolingvistiskā ģimnāzija,MAT12,29.22,12
183,Rīgas 22. vidusskola,ANG12,71.91,29
183,Rīgas 22. vidusskola,LAT12,45.86,35
183,Rīgas 22. vidusskola,MAT12,54.93,35
183,Rīgas 40. vidusskola,ANG12,79.78,35
183,Rīgas 40. vidusskola,LAT12,51.81,38
183,Rīgas 40. vidusskola,MAT12,62.11,38
183,Rīgas Centra humanitārā vidusskola,ANG12,90.22,41
183,Rīgas Centra humanitārā vidusskola,LAT12,71.79,45
183,Rīgas Centra humanitārā vidusskola,MAT12,43.25,45
183,Rīgas Natālijas Draudziņas vidusskola ,ANG12,74.4,22
183,Rīgas Natālijas Draudziņas vidusskola ,LAT12,69.29,24
183,Rīgas Natālijas Draudziņas vidusskola ,MAT12,44.56,24
183,Rīgas Raiņa 8. vakara (maiņu) vidusskola,ANG12,70.52,23
183,Rīgas Raiņa 8. vakara (maiņu) vidusskola,LAT12,43.39,30
183,Rīgas Raiņa 8. vakara (maiņu) vidusskola,MAT12,16.94,29
183,Rīgas Valsts 1. ģimnāzija,ANG12,90.81,188
183,Rīgas Valsts 1. ģimnāzija,LAT12,77.87,219
183,Rīgas Valsts 1. ģimnāzija,MAT12,83.29,220
183,Rīgas Valsts 3. ģimnāzija,ANG12,80.53,136
183,Rīgas Valsts 3. ģimnāzija,LAT12,72.87,151
183,Rīgas Valsts 3. ģimnāzija,MAT12,63.35,150
184,Iļģuciema vidusskola,ANG12,79.25,18
184,Iļģuciema vidusskola,LAT12,68.75,19
184,Iļģuciema vidusskola,MAT12,36.22,19
184,Latvijas Jūras akadēmijas Jūrskola (prof.),ANG12,54.57,44
184,Latvijas Jūras akadēmijas Jūrskola (prof.),LAT12,38.77,44
184,Latvijas Jūras akadēmijas Jūrskola (prof.),MAT12,22.87,44
184,"Privātā vidusskola ""Patnis""",ANG12,74.6,7
184,"Privātā vidusskola ""Patnis""",LAT12,56.18,8
184,"Privātā vidusskola ""Patnis""",MAT12,41.09,8
184,"Privātā vidusskola ""Templum""",ANG12,67.98,1
184,"Privātā vidusskola ""Templum""",LAT12,31.82,1
184,"Privātā vidusskola ""Templum""",MAT12,31.25,1
184,"Privātskola ""Latreia""",ANG12,68.59,4
184,"Privātskola ""Latreia""",LAT12,24.2,5
184,"Privātskola ""Latreia""",MAT12,34.06,4
184,"Profesionālā vidusskola ""Victoria"" (prof.)",ANG12,61.47,73
184,"Profesionālā vidusskola ""Victoria"" (prof.)",LAT12,37.65,74
184,"Profesionālā vidusskola ""Victoria"" (prof.)",MAT12,45.74,72
184,"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",ANG12,80.83,61
184,"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",LAT12,75.91,56
184,"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",MAT12,42.79,56
184,Rīgas 1. Privātā tālmācības vidusskola,ANG12,50.45,11
184,Rīgas 1. Privātā tālmācības vidusskola,LAT12,38.37,13
184,Rīgas 1. Privātā tālmācības vidusskola,MAT12,12.28,14
184,Rīgas 33. vidusskola,ANG12,69.39,28
184,Rīgas 33. vidusskola,LAT12,46,28
184,Rīgas 33. vidusskola,MAT12,38.62,28
184,Rīgas 34. vidusskola,ANG12,75.9,45
184,Rīgas 34. vidusskola,LAT12,59.76,47
184,Rīgas 34. vidusskola,MAT12,58.72,47
184,Rīgas 41. vidusskola,ANG12,65.49,9
184,Rīgas 41. vidusskola,LAT12,57.43,12
184,Rīgas 41. vidusskola,MAT12,32.92,12
184,Rīgas 54. vidusskola,ANG12,59.58,17
184,Rīgas 54. vidusskola,LAT12,44.59,17
184,Rīgas 54. vidusskola,MAT12,31.99,17
184,Rīgas 71. vidusskola,ANG12,64.93,20
184,Rīgas 71. vidusskola,LAT12,44.65,17
184,Rīgas 71. vidusskola,MAT12,46.51,17
184,Rīgas 96. vidusskola,ANG12,66.61,31
184,Rīgas 96. vidusskola,LAT12,47.19,32
184,Rīgas 96. vidusskola,MAT12,50.59,32
184,Rīgas Anniņmuižas vidusskola,ANG12,57.18,48
184,Rīgas Anniņmuižas vidusskola,LAT12,39.89,49
184,Rīgas Anniņmuižas vidusskola,MAT12,45.56,49
184,Rīgas Daugavgrīvas vidusskola,ANG12,58.69,22
184,Rīgas Daugavgrīvas vidusskola,LAT12,34.43,25
184,Rīgas Daugavgrīvas vidusskola,MAT12,48.96,21
184,Rīgas Imantas vidusskola,ANG12,60.31,22
184,Rīgas Imantas vidusskola,LAT12,53.98,24
184,Rīgas Imantas vidusskola,MAT12,20.29,24
184,Rīgas Mākslas un mediju tehnikums (prof.),ANG12,60.54,101
184,Rīgas Mākslas un mediju tehnikums (prof.),LAT12,47.64,99
184,Rīgas Mākslas un mediju tehnikums (prof.),MAT12,18.8,98
184,Rīgas Ostvalda vidusskola,ANG12,69.65,37
184,Rīgas Ostvalda vidusskola,LAT12,41.99,40
184,Rīgas Ostvalda vidusskola,MAT12,51.19,40
184,Rīgas Valsts vācu ģimnāzija,ANG12,81.17,84
184,Rīgas Valsts vācu ģimnāzija,LAT12,68.87,116
184,Rīgas Valsts vācu ģimnāzija,MAT12,41.7,115
185,Eiropas Tālmācības vidusskola,ANG12,62.79,94
185,Eiropas Tālmācības vidusskola,LAT12,38.5,110
185,Eiropas Tālmācības vidusskola,MAT12,20.38,108
185,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",ANG12,66.64,10
185,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",LAT12,37.31,12
185,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",MAT12,41.49,13
185,J.G.Herdera Rīgas Grīziņkalna vidusskola,ANG12,54.9,27
185,J.G.Herdera Rīgas Grīziņkalna vidusskola,LAT12,38.07,31
185,J.G.Herdera Rīgas Grīziņkalna vidusskola,MAT12,30.04,30
185,"Privātā vidusskola ""Norma""",ANG12,61.75,4
185,"Privātā vidusskola ""Norma""",LAT12,42.76,4
185,"Privātā vidusskola ""Norma""",MAT12,46.09,4
185,Rīgas 1. Tālmācības vidusskola,ANG12,60.52,126
185,Rīgas 1. Tālmācības vidusskola,LAT12,46.74,184
185,Rīgas 1. Tālmācības vidusskola,MAT12,16.01,183
185,Rīgas 1. vidusskola,ANG12,52.23,53
185,Rīgas 1. vidusskola,LAT12,37.48,57
185,Rīgas 1. vidusskola,MAT12,17.77,57
185,Rīgas 15. vidusskola,ANG12,43.23,21
185,Rīgas 15. vidusskola,LAT12,35.62,20
185,Rīgas 15. vidusskola,MAT12,28.49,19
185,Rīgas 25. vidusskola,ANG12,76.93,35
185,Rīgas 25. vidusskola,LAT12,58.96,43
185,Rīgas 25. vidusskola,MAT12,39.52,43
185,Rīgas 51. vidusskola,ANG12,50.16,15
185,Rīgas 51. vidusskola,LAT12,36.7,15
185,Rīgas 51. vidusskola,MAT12,37.54,15
185,Rīgas 6. vidusskola,ANG12,71.03,24
185,Rīgas 6. vidusskola,LAT12,65.43,26
185,Rīgas 6. vidusskola,MAT12,38.03,26
185,Rīgas 65. vidusskola,ANG12,45.78,21
185,Rīgas 65. vidusskola,LAT12,33.03,22
185,Rīgas 65. vidusskola,MAT12,27.65,21
185,Rīgas 72. vidusskola,ANG12,62.22,39
185,Rīgas 72. vidusskola,LAT12,46.92,41
185,Rīgas 72. vidusskola,MAT12,44.63,41
185,Rīgas 75. vidusskola,ANG12,63.27,19
185,Rīgas 75. vidusskola,LAT12,40.37,21
185,Rīgas 75. vidusskola,MAT12,37.22,20
185,Rīgas 86. vidusskola,ANG12,55.19,25
185,Rīgas 86. vidusskola,LAT12,32.93,25
185,Rīgas 86. vidusskola,MAT12,42.05,25
185,Rīgas 88. vidusskola,ANG12,66.24,48
185,Rīgas 88. vidusskola,LAT12,38.9,51
185,Rīgas 88. vidusskola,MAT12,42.41,49
185,Rīgas 92. vidusskola,ANG12,50.74,41
185,Rīgas 92. vidusskola,LAT12,34.69,42
185,Rīgas 92. vidusskola,MAT12,35.11,41
185,Rīgas 93. vidusskola,ANG12,70.97,12
185,Rīgas 93. vidusskola,LAT12,63.16,12
185,Rīgas 93. vidusskola,MAT12,26.41,12
185,Rīgas Celtniecības koledža,ANG12,51.46,74
185,Rīgas Celtniecības koledža,LAT12,37.59,75
185,Rīgas Celtniecības koledža,MAT12,22.68,76
185,"Rīgas ģimnāzija ""Maksima""",ANG12,80.99,6
185,"Rīgas ģimnāzija ""Maksima""",LAT12,46.83,7
185,"Rīgas ģimnāzija ""Maksima""",MAT12,33.21,7
185,Rīgas Ķengaraga vidusskola,ANG12,57.81,39
185,Rīgas Ķengaraga vidusskola,LAT12,34.6,39
185,Rīgas Ķengaraga vidusskola,MAT12,36.02,38
185,Rīgas Lietuviešu vidusskola,ANG12,75.57,14
185,Rīgas Lietuviešu vidusskola,LAT12,72.48,14
185,Rīgas Lietuviešu vidusskola,MAT12,51.83,14
185,Rīgas Sergeja Žoltoka vidusskola,ANG12,54.53,11
185,Rīgas Sergeja Žoltoka vidusskola,LAT12,44.18,12
185,Rīgas Sergeja Žoltoka vidusskola,MAT12,34.9,12
185,Rīgas Tālmācības vidusskola,ANG12,66.16,87
185,Rīgas Tālmācības vidusskola,LAT12,50.96,108
185,Rīgas Tālmācības vidusskola,MAT12,20.84,108
185,Rīgas Ukraiņu vidusskola,ANG12,70.33,6
185,Rīgas Ukraiņu vidusskola,LAT12,40.98,8
185,Rīgas Ukraiņu vidusskola,MAT12,30.86,8
185,Rīgas vakara ģimnāzija,ANG12,48.24,65
185,Rīgas vakara ģimnāzija,LAT12,34.7,87
185,Rīgas vakara ģimnāzija,MAT12,22.24,81
185,"Tālmācības vidusskola ""Rīgas Komercskola""",ANG12,70.24,47
186,Banku augstskolas Uzņēmējdarbības koledža,ANG12,64.73,27
186,Banku augstskolas Uzņēmējdarbības koledža,LAT12,54.08,28
186,Banku augstskolas Uzņēmējdarbības koledža,MAT12,24.15,28
186,Jāzepa Mediņa Rīgas Mūzikas vidusskola (prof.),ANG12,73.17,25
186,Jāzepa Mediņa Rīgas Mūzikas vidusskola (prof.),LAT12,68.06,23
186,Jāzepa Mediņa Rīgas Mūzikas vidusskola (prof.),MAT12,36.67,33
186,"Privātā vidusskola ""Klasika""",ANG12,81.04,7
186,"Privātā vidusskola ""Klasika""",LAT12,51.62,7
186,"Privātā vidusskola ""Klasika""",MAT12,49.55,7
186,"Privātā vidusskola ""Laisma""",ANG12,89.68,1
186,"Privātā vidusskola ""Laisma""",LAT12,36.2,7
186,"Privātā vidusskola ""Laisma""",MAT12,28.83,8
186,"Profesionālās izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola"" (prof.)",ANG12,72.61,98
186,"Profesionālās izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola"" (prof.)",LAT12,63.28,87
186,"Profesionālās izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola"" (prof.)",MAT12,30.14,88
186,"Profesionālās izglītības kompetences centrs ""Rīgas Tehniskā koledža""",ANG12,58.52,232
186,"Profesionālās izglītības kompetences centrs ""Rīgas Tehniskā koledža""",LAT12,48.29,171
186,"Profesionālās izglītības kompetences centrs ""Rīgas Tehniskā koledža""",MAT12,20.67,175
186,Rīgas 21. vidusskola,ANG12,57.35,24
186,Rīgas 21. vidusskola,LAT12,32.77,27
186,Rīgas 21. vidusskola,MAT12,30.65,27
186,Rīgas 45. vidusskola,ANG12,72.18,28
186,Rīgas 45. vidusskola,LAT12,62.64,33
186,Rīgas 45. vidusskola,MAT12,27.9,33
186,Rīgas 49. vidusskola,ANG12,71.22,47
186,Rīgas 49. vidusskola,LAT12,64.88,52
186,Rīgas 49. vidusskola,MAT12,50.89,52
186,Rīgas 60. vidusskola,ANG12,55.19,28
186,Rīgas 60. vidusskola,LAT12,38.92,28
186,Rīgas 60. vidusskola,MAT12,34.73,28
