Priekšmets,Skola,Kopvērtējums
ANG12,Ādažu vidusskola,61.42%
MAT12,Ādažu vidusskola,49.09%
LAT12,Ādažu vidusskola,61.60%
ANG12,Āgenskalna ģimnāzija,70.14%
MAT12,Āgenskalna ģimnāzija,49.98%
LAT12,Āgenskalna ģimnāzija,61.52%
ANG12,Āgenskalna Valsts ģimnāzija,73.26%
MAT12,Āgenskalna Valsts ģimnāzija,63.69%
LAT12,Āgenskalna Valsts ģimnāzija,71.60%
ANG12,Aglonas internātvidusskola,40.62%
MAT12,Aglonas internātvidusskola,44.20%
LAT12,Aglonas internātvidusskola,53.53%
ANG12,Aglonas vidusskola,46.87%
MAT12,Aglonas vidusskola,61.25%
LAT12,Aglonas vidusskola,54.30%
ANG12,Aizkraukles 1. vidusskola,50.00%
MAT12,Aizkraukles 1. vidusskola,35.16%
ANG12,Aizkraukles arodvidusskola,33.72%
MAT12,Aizkraukles arodvidusskola,17.03%
LAT12,Aizkraukles arodvidusskola,33.31%
ANG12,Aizkraukles novada ģimnāzija,56.75%
MAT12,Aizkraukles novada ģimnāzija,44.38%
LAT12,Aizkraukles novada ģimnāzija,62.54%
ANG12,Aizkraukles Vakara (maiņu) vidusskola,47.64%
MAT12,Aizkraukles Vakara (maiņu) vidusskola,18.25%
LAT12,Aizkraukles Vakara (maiņu) vidusskola,44.54%
ANG12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,41.07%
MAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,31.95%
LAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,40.09%
ANG12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,30.16%
MAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,27.84%
LAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,31.25%
ANG12,Aizputes vidusskola,53.46%
MAT12,Aizputes vidusskola,53.21%
LAT12,Aizputes vidusskola,54.62%
ANG12,Aknīstes vidusskola,53.31%
MAT12,Aknīstes vidusskola,39.64%
LAT12,Aknīstes vidusskola,52.83%
ANG12,Alfrēda Kalniņa Cēsu mūzikas vidusskola,53.60%
MAT12,Alfrēda Kalniņa Cēsu mūzikas vidusskola,21.52%
LAT12,Alfrēda Kalniņa Cēsu mūzikas vidusskola,52.28%
ANG12,Alojas Ausekļa vidusskola,53.64%
MAT12,Alojas Ausekļa vidusskola,30.29%
LAT12,Alojas Ausekļa vidusskola,56.21%
ANG12,Alsungas vidusskola,51.72%
MAT12,Alsungas vidusskola,31.81%
LAT12,Alsungas vidusskola,63.98%
ANG12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,43.99%
MAT12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,21.99%
LAT12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,40.07%
ANG12,Alūksnes vidusskola,42.52%
MAT12,Alūksnes vidusskola,27.85%
LAT12,Alūksnes vidusskola,48.45%
ANG12,Andreja Upīša Skrīveru vidusskola,59.46%
MAT12,Andreja Upīša Skrīveru vidusskola,52.25%
LAT12,Andreja Upīša Skrīveru vidusskola,58.76%
ANG12,Apguldes arodvidusskola,36.82%
MAT12,Apguldes arodvidusskola,30.66%
LAT12,Apguldes arodvidusskola,35.05%
ANG12,Auces vidusskola,49.81%
MAT12,Auces vidusskola,43.19%
LAT12,Auces vidusskola,56.05%
ANG12,Audriņu vidusskola,34.78%
MAT12,Audriņu vidusskola,51.44%
ANG12,Augstkalnes vidusskola,45.79%
MAT12,Augstkalnes vidusskola,45.77%
LAT12,Augstkalnes vidusskola,53.74%
ANG12,Babītes vidusskola,59.34%
MAT12,Babītes vidusskola,52.55%
LAT12,Babītes vidusskola,61.82%
ANG12,Baldones vidusskola,61.24%
MAT12,Baldones vidusskola,38.49%
LAT12,Baldones vidusskola,55.84%
ANG12,Baltinavas vidusskola,47.35%
MAT12,Baltinavas vidusskola,43.75%
LAT12,Baltinavas vidusskola,54.64%
ANG12,Balvu AMAT12niecības vidusskola,43.90%
MAT12,Balvu AMAT12niecības vidusskola,40.06%
LAT12,Balvu AMAT12niecības vidusskola,47.87%
ANG12,Balvu Vakara (maiņu) vidusskola,47.65%
MAT12,Balvu Vakara (maiņu) vidusskola,50.44%
LAT12,Balvu Vakara (maiņu) vidusskola,35.02%
ANG12,Balvu Valsts ģimnāzija,58.84%
MAT12,Balvu Valsts ģimnāzija,57.20%
LAT12,Balvu Valsts ģimnāzija,57.95%
ANG12,Barkavas arodvidusskola,32.30%
MAT12,Barkavas arodvidusskola,23.33%
LAT12,Barkavas arodvidusskola,41.31%
ANG12,Bauskas 1. vidusskola,60.59%
MAT12,Bauskas 1. vidusskola,46.13%
LAT12,Bauskas 1. vidusskola,62.32%
ANG12,Bauskas 2. vidusskola,44.78%
MAT12,Bauskas 2. vidusskola,27.77%
LAT12,Bauskas 2. vidusskola,42.19%
ANG12,Bebrenes Profesionālā vidusskola,34.93%
MAT12,Bebrenes Profesionālā vidusskola,37.91%
LAT12,Bebrenes Profesionālā vidusskola,44.75%
ANG12,Bebrenes vidusskola,47.38%
MAT12,Bebrenes vidusskola,43.61%
LAT12,Bebrenes vidusskola,57.22%
ANG12,Bēnes vidusskola,51.27%
MAT12,Bēnes vidusskola,32.19%
LAT12,Bēnes vidusskola,58.16%
ANG12,Bērzpils vidusskola,58.38%
MAT12,Bērzpils vidusskola,57.09%
LAT12,Bērzpils vidusskola,55.83%
ANG12,Biznesa un vadības privātvidusskola,61.32%
MAT12,Biznesa un vadības privātvidusskola,26.34%
LAT12,Biznesa un vadības privātvidusskola,45.17%
ANG12,Brāļu Skrindu Atašienes vidusskola,30.84%
MAT12,Brāļu Skrindu Atašienes vidusskola,31.08%
