Priekšmets,Skola,Kopvērtējums
LAT12,Brāļu Skrindu Atašienes vidusskola,40.60%
ANG12,Brocēnu vidusskola,49.51%
MAT12,Brocēnu vidusskola,29.79%
LAT12,Brocēnu vidusskola,53.20%
ANG12,Cēsu 2. vidusskola,45.73%
MAT12,Cēsu 2. vidusskola,29.93%
LAT12,Cēsu 2. vidusskola,51.46%
ANG12,Cēsu pilsētas Vakara vidusskola,45.11%
MAT12,Cēsu pilsētas Vakara vidusskola,19.46%
LAT12,Cēsu pilsētas Vakara vidusskola,41.99%
ANG12,Cēsu pilsētas vakara vidusskolas Vecpiebalgas konsult. punkts,30.27%
MAT12,Cēsu pilsētas vakara vidusskolas Vecpiebalgas konsult. punkts,12.16%
LAT12,Cēsu pilsētas vakara vidusskolas Vecpiebalgas konsult. punkts,35.45%
ANG12,Cēsu Profesionālā vidusskola,40.56%
MAT12,Cēsu Profesionālā vidusskola,19.27%
LAT12,Cēsu Profesionālā vidusskola,34.18%
ANG12,Cēsu Valsts ģimnāzija,68.61%
MAT12,Cēsu Valsts ģimnāzija,58.50%
LAT12,Cēsu Valsts ģimnāzija,67.54%
ANG12,Cesvaines vidusskola,48.25%
MAT12,Cesvaines vidusskola,47.69%
LAT12,Cesvaines vidusskola,63.40%
ANG12,Ciblas vidusskola,55.39%
MAT12,Ciblas vidusskola,32.67%
LAT12,Ciblas vidusskola,47.00%
ANG12,Cīravas arodvidusskola,29.54%
MAT12,Cīravas arodvidusskola,27.55%
LAT12,Cīravas arodvidusskola,25.76%
ANG12,Dagdas arodvidusskola,20.25%
MAT12,Dagdas arodvidusskola,12.04%
LAT12,Dagdas arodvidusskola,21.51%
ANG12,Dagdas vidusskola,46.75%
MAT12,Dagdas vidusskola,55.13%
LAT12,Dagdas vidusskola,59.16%
ANG12,Daugavpils 1. arodvidusskola,36.26%
MAT12,Daugavpils 1. arodvidusskola,31.11%
LAT12,Daugavpils 1. arodvidusskola,35.65%
ANG12,Daugavpils 10. vidusskola,57.37%
MAT12,Daugavpils 10. vidusskola,58.00%
ANG12,Daugavpils 12. vidusskola,46.89%
MAT12,Daugavpils 12. vidusskola,33.83%
LAT12,Daugavpils 12. vidusskola,47.82%
ANG12,Daugavpils 13. vidusskola,47.72%
MAT12,Daugavpils 13. vidusskola,65.70%
ANG12,Daugavpils 15. vidusskola,50.71%
MAT12,Daugavpils 15. vidusskola,48.59%
ANG12,Daugavpils 16. vidusskola,40.75%
MAT12,Daugavpils 16. vidusskola,36.32%
ANG12,Daugavpils 17. vidusskola,35.76%
MAT12,Daugavpils 17. vidusskola,30.21%
LAT12,Daugavpils 17. vidusskola,33.11%
ANG12,Daugavpils 3. vidusskola,61.22%
MAT12,Daugavpils 3. vidusskola,64.89%
ANG12,Daugavpils 9. vidusskola,70.82%
MAT12,Daugavpils 9. vidusskola,55.01%
ANG12,Daugavpils Celtnieku profesionālā vidusskola,29.08%
MAT12,Daugavpils Celtnieku profesionālā vidusskola,27.23%
LAT12,Daugavpils Celtnieku profesionālā vidusskola,24.93%
ANG12,Daugavpils Krievu vidusskola - licejs,77.16%
MAT12,Daugavpils Krievu vidusskola - licejs,71.70%
ANG12,"Daugavpils mākslas vidusskola ""Saules skola""",41.58%
MAT12,"Daugavpils mākslas vidusskola ""Saules skola""",25.13%
LAT12,"Daugavpils mākslas vidusskola ""Saules skola""",48.15%
ANG12,Daugavpils Mūzikas vidusskola,45.53%
MAT12,Daugavpils Mūzikas vidusskola,33.12%
LAT12,Daugavpils Mūzikas vidusskola,56.61%
ANG12,Daugavpils pilsētas Centra ģimnāzija,54.56%
MAT12,Daugavpils pilsētas Centra ģimnāzija,49.25%
LAT12,Daugavpils pilsētas Centra ģimnāzija,52.27%
ANG12,Daugavpils Universitāte,42.16%
MAT12,Daugavpils Universitāte,33.75%
LAT12,Daugavpils Universitāte,62.10%
ANG12,Daugavpils Valsts ģimnāzija,63.92%
MAT12,Daugavpils Valsts ģimnāzija,62.78%
LAT12,Daugavpils Valsts ģimnāzija,66.37%
ANG12,Daugavpils valsts poļu ģimnāzija,53.11%
MAT12,Daugavpils valsts poļu ģimnāzija,63.75%
ANG12,Dāvja Ozoliņa Apes vidusskola,35.75%
MAT12,Dāvja Ozoliņa Apes vidusskola,25.38%
LAT12,Dāvja Ozoliņa Apes vidusskola,46.76%
ANG12,Dobeles 1. vidusskola,49.25%
MAT12,Dobeles 1. vidusskola,22.41%
LAT12,Dobeles 1. vidusskola,50.03%
ANG12,Dobeles 2. vidusskola,36.12%
MAT12,Dobeles 2. vidusskola,31.94%
LAT12,Dobeles 2. vidusskola,37.29%
ANG12,Dobeles AMAT12niecības vidusskola,26.75%
MAT12,Dobeles AMAT12niecības vidusskola,13.21%
LAT12,Dobeles AMAT12niecības vidusskola,31.53%
ANG12,Dobeles Valsts ģimnāzija,60.28%
MAT12,Dobeles Valsts ģimnāzija,56.56%
LAT12,Dobeles Valsts ģimnāzija,65.03%
ANG12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,73.59%
MAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,57.08%
LAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,72.59%
ANG12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,62.10%
MAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,44.96%
LAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,64.52%
ANG12,Dricānu vidusskola,61.59%
MAT12,Dricānu vidusskola,62.35%
LAT12,Dricānu vidusskola,60.25%
ANG12,Dundagas vidusskola,60.12%
MAT12,Dundagas vidusskola,36.43%
LAT12,Dundagas vidusskola,63.26%
ANG12,Dzērbenes vidusskola,30.70%
MAT12,Dzērbenes vidusskola,24.06%
LAT12,Dzērbenes vidusskola,39.27%
ANG12,Džūkstes vidusskola,36.62%
MAT12,Džūkstes vidusskola,46.40%
LAT12,Džūkstes vidusskola,44.74%
ANG12,Edgara Kauliņa Lielvārdes vidusskola,59.38%
MAT12,Edgara Kauliņa Lielvārdes vidusskola,32.35%
LAT12,Edgara Kauliņa Lielvārdes vidusskola,57.92%
ANG12,Elejas vidusskola,46.35%
MAT12,Elejas vidusskola,41.08%
LAT12,Elejas vidusskola,51.06%
ANG12,Emīla Dārziņa mūzikas vidusskola,60.07%
MAT12,Emīla Dārziņa mūzikas vidusskola,44.07%
LAT12,Emīla Dārziņa mūzikas vidusskola,68.01%
ANG12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,62.75%
MAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,24.47%
LAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,53.62%
ANG12,Engures vidusskola,52.58%
MAT12,Engures vidusskola,43.42%
LAT12,Engures vidusskola,56.50%
ANG12,Ērgļu arodvidusskola,27.58%
MAT12,Ērgļu arodvidusskola,30.32%
LAT12,Ērgļu arodvidusskola,31.80%
ANG12,Ērgļu vidusskola,60.09%
MAT12,Ērgļu vidusskola,50.82%
LAT12,Ērgļu vidusskola,63.34%
ANG12,Ernsta Glika Alūksnes Valsts ģimnāzija,63.72%
MAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,53.04%
LAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,64.64%
ANG12,Ezernieku vidusskola,37.27%
MAT12,Ezernieku vidusskola,53.27%
LAT12,Ezernieku vidusskola,54.52%
ANG12,Grobiņas ģimnāzija,58.31%
MAT12,Grobiņas ģimnāzija,43.94%
LAT12,Grobiņas ģimnāzija,54.74%
ANG12,Gulbenes 2. vidusskola,48.75%
MAT12,Gulbenes 2. vidusskola,35.61%
LAT12,Gulbenes 2. vidusskola,54.82%
ANG12,Gulbenes novada valsts ģimnāzija,70.40%
MAT12,Gulbenes novada valsts ģimnāzija,53.72%
LAT12,Gulbenes novada valsts ģimnāzija,69.44%
ANG12,Gulbenes Vakara (maiņu) vidusskola,45.18%
MAT12,Gulbenes Vakara (maiņu) vidusskola,27.06%
LAT12,Gulbenes Vakara (maiņu) vidusskola,51.12%
ANG12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,19.26%
MAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,11.40%
LAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,30.52%
ANG12,Gulbenes vidusskola,40.33%
MAT12,Gulbenes vidusskola,24.26%
LAT12,Gulbenes vidusskola,47.43%
ANG12,Gulbīša vidusskola,43.37%
MAT12,Gulbīša vidusskola,32.14%
LAT12,Gulbīša vidusskola,52.21%
ANG12,Humanitārā privātģimnāzija,67.30%
MAT12,Humanitārā privātģimnāzija,32.85%
LAT12,Humanitārā privātģimnāzija,51.18%
ANG12,Iecavas vidusskola,52.15%
MAT12,Iecavas vidusskola,33.57%
LAT12,Iecavas vidusskola,55.39%
ANG12,Ikšķiles vidusskola,57.91%
MAT12,Ikšķiles vidusskola,37.14%
LAT12,Ikšķiles vidusskola,47.55%
ANG12,Iļģuciema vidusskola,63.05%
MAT12,Iļģuciema vidusskola,33.14%
LAT12,Iļģuciema vidusskola,56.89%
ANG12,Ilmāra Gaiša Kokneses vidusskola,63.16%
MAT12,Ilmāra Gaiša Kokneses vidusskola,49.69%
LAT12,Ilmāra Gaiša Kokneses vidusskola,63.24%
ANG12,Ilūkstes 1. vidusskola,56.99%
MAT12,Ilūkstes 1. vidusskola,58.42%
LAT12,Ilūkstes 1. vidusskola,56.35%
ANG12,Ilūkstes 2. vidusskola,40.49%
MAT12,Ilūkstes 2. vidusskola,39.62%
LAT12,Ilūkstes 2. vidusskola,38.61%
ANG12,Ilūkstes novada Neklātienes vidusskola,29.17%
MAT12,Ilūkstes novada Neklātienes vidusskola,37.40%
LAT12,Ilūkstes novada Neklātienes vidusskola,33.44%
ANG12,Indras vidusskola,28.49%
MAT12,Indras vidusskola,30.05%
LAT12,Indras vidusskola,33.60%
ANG12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",57.79%
MAT12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",44.96%
ANG12,Irlavas vidusskola,48.21%
MAT12,Irlavas vidusskola,39.71%
LAT12,Irlavas vidusskola,57.83%
ANG12,Īslīces vidusskola,53.93%
MAT12,Īslīces vidusskola,35.62%
LAT12,Īslīces vidusskola,58.84%
ANG12,Istras vidusskola,38.85%
MAT12,Istras vidusskola,41.94%
ANG12,J. Čakstes Liepājas pilsētas 10. vidusskola,54.25%
MAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,34.80%
LAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,52.43%
ANG12,J. Raiņa Daugavpils 6. vidusskola,42.08%
MAT12,J. Raiņa Daugavpils 6. vidusskola,36.64%
ANG12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,43.76%
MAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,26.43%
LAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,48.75%
ANG12,Jaņa Rozentāla Rīgas Mākslas vidusskola,70.73%
MAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,36.10%
LAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,63.60%
ANG12,Jāņmuižas Profesionālā vidusskola,34.60%
MAT12,Jāņmuižas Profesionālā vidusskola,17.64%
LAT12,Jāņmuižas Profesionālā vidusskola,37.93%
ANG12,Jaunaglonas arodvidusskola,33.65%
MAT12,Jaunaglonas arodvidusskola,31.19%
LAT12,Jaunaglonas arodvidusskola,32.44%
ANG12,Jaungulbenes arodvidusskola,27.16%
MAT12,Jaungulbenes arodvidusskola,19.54%
LAT12,Jaungulbenes arodvidusskola,38.72%
ANG12,Jaunjelgavas vidusskola,56.92%
MAT12,Jaunjelgavas vidusskola,29.27%
LAT12,Jaunjelgavas vidusskola,59.81%
ANG12,Jaunogres vidusskola,55.36%
MAT12,Jaunogres vidusskola,54.81%
ANG12,Jaunpiebalgas vidusskola,48.48%
MAT12,Jaunpiebalgas vidusskola,37.16%
LAT12,Jaunpiebalgas vidusskola,49.51%
ANG12,Jaunpils vidusskola,55.52%
MAT12,Jaunpils vidusskola,52.28%
LAT12,Jaunpils vidusskola,59.73%
ANG12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,54.74%
MAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,40.14%
LAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,58.59%
ANG12,Jēkabpils 2. vidusskola,45.34%
MAT12,Jēkabpils 2. vidusskola,39.72%
ANG12,Jēkabpils 3. vidusskola,52.65%
MAT12,Jēkabpils 3. vidusskola,39.18%
LAT12,Jēkabpils 3. vidusskola,58.73%
ANG12,Jēkabpils Agrobiznesa koledža,48.60%
MAT12,Jēkabpils Agrobiznesa koledža,36.13%
LAT12,Jēkabpils Agrobiznesa koledža,50.22%
ANG12,Jēkabpils vakara vidusskola,36.08%
MAT12,Jēkabpils vakara vidusskola,16.79%
LAT12,Jēkabpils vakara vidusskola,41.92%
ANG12,Jēkabpils Valsts ģimnāzija,62.47%
MAT12,Jēkabpils Valsts ģimnāzija,49.55%
LAT12,Jēkabpils Valsts ģimnāzija,67.34%
ANG12,Jelgavas 1. ģimnāzija,51.80%
MAT12,Jelgavas 1. ģimnāzija,36.92%
LAT12,Jelgavas 1. ģimnāzija,54.90%
ANG12,Jelgavas 4. vidusskola,59.48%
MAT12,Jelgavas 4. vidusskola,38.87%
LAT12,Jelgavas 4. vidusskola,50.55%
ANG12,Jelgavas 5. vidusskola,58.10%
MAT12,Jelgavas 5. vidusskola,53.23%
ANG12,Jelgavas 6. vidusskola,50.08%
MAT12,Jelgavas 6. vidusskola,54.21%
ANG12,Jelgavas AMAT12niecības vidusskola,37.16%
MAT12,Jelgavas AMAT12niecības vidusskola,18.07%
LAT12,Jelgavas AMAT12niecības vidusskola,34.35%
ANG12,Jelgavas AMAT12u vidusskola,31.80%
MAT12,Jelgavas AMAT12u vidusskola,13.98%
LAT12,Jelgavas AMAT12u vidusskola,31.87%
ANG12,Jelgavas Mūzikas vidusskola,42.29%
MAT12,Jelgavas Mūzikas vidusskola,48.31%
LAT12,Jelgavas Mūzikas vidusskola,45.04%
ANG12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,34.24%
MAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,16.38%
LAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,31.44%
ANG12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,16.50%
MAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,9.84%
LAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,25.87%
ANG12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,25.11%
MAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,11.56%
LAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,39.14%
ANG12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,43.66%
MAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,19.35%
LAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,41.74%
ANG12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,25.67%
MAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,22.81%
LAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,33.51%
ANG12,Jelgavas Spīdolas ģimnāzija,63.89%
MAT12,Jelgavas Spīdolas ģimnāzija,44.72%
LAT12,Jelgavas Spīdolas ģimnāzija,67.35%
ANG12,Jelgavas Vakara (maiņu) vidusskola,38.48%
MAT12,Jelgavas Vakara (maiņu) vidusskola,20.67%
LAT12,Jelgavas Vakara (maiņu) vidusskola,40.99%
ANG12,Jelgavas Valsts ģimnāzija,67.31%
MAT12,Jelgavas Valsts ģimnāzija,53.47%
LAT12,Jelgavas Valsts ģimnāzija,67.18%
ANG12,Jumpravas vidusskola,53.87%
MAT12,Jumpravas vidusskola,34.93%
LAT12,Jumpravas vidusskola,60.40%
ANG12,Jūrmalas pilsētas Jaundubultu vidusskola,56.98%
MAT12,Jūrmalas pilsētas Jaundubultu vidusskola,38.87%
ANG12,Jūrmalas pilsētas Kauguru vidusskola,59.83%
MAT12,Jūrmalas pilsētas Kauguru vidusskola,46.10%
ANG12,Jūrmalas pilsētas Lielupes vidusskola,46.56%
MAT12,Jūrmalas pilsētas Lielupes vidusskola,31.31%
LAT12,Jūrmalas pilsētas Lielupes vidusskola,45.68%
ANG12,Jūrmalas pilsētas Mežmalas vidusskola,34.85%
MAT12,Jūrmalas pilsētas Mežmalas vidusskola,31.25%
ANG12,Jūrmalas vakara vidusskola,38.97%
MAT12,Jūrmalas vakara vidusskola,19.90%
LAT12,Jūrmalas vakara vidusskola,43.02%
ANG12,Jūrmalas Valsts ģimnāzija,66.23%
MAT12,Jūrmalas Valsts ģimnāzija,50.36%
LAT12,Jūrmalas Valsts ģimnāzija,60.71%
ANG12,Kalnciema pilsētas vidusskola,38.02%
MAT12,Kalnciema pilsētas vidusskola,31.58%
LAT12,Kalnciema pilsētas vidusskola,41.93%
ANG12,Kalnciema vidusskola,47.68%
MAT12,Kalnciema vidusskola,35.31%
LAT12,Kalnciema vidusskola,50.15%
ANG12,Kandavas internātvidusskola,46.38%
MAT12,Kandavas internātvidusskola,32.15%
LAT12,Kandavas internātvidusskola,54.69%
ANG12,Kandavas Kārļa Mīlenbaha vidusskola,55.06%
MAT12,Kandavas Kārļa Mīlenbaha vidusskola,39.66%
LAT12,Kandavas Kārļa Mīlenbaha vidusskola,58.46%
ANG12,Kārļa Videnieka Rīgas 77. vidusskola,53.81%
MAT12,Kārļa Videnieka Rīgas 77. vidusskola,32.55%
LAT12,Kārļa Videnieka Rīgas 77. vidusskola,45.23%
ANG12,Kārsavas vidusskola,63.97%
MAT12,Kārsavas vidusskola,48.21%
LAT12,Kārsavas vidusskola,62.61%
ANG12,Kaunatas vidusskola,57.30%
MAT12,Kaunatas vidusskola,42.53%
LAT12,Kaunatas vidusskola,52.47%
ANG12,Ķeguma komercnovirziena vidusskola,57.30%
MAT12,Ķeguma komercnovirziena vidusskola,52.42%
LAT12,Ķeguma komercnovirziena vidusskola,59.61%
ANG12,Ķekavas vidusskola,60.98%
MAT12,Ķekavas vidusskola,36.82%
LAT12,Ķekavas vidusskola,64.47%
ANG12,Ķemeru vidusskola,58.74%
MAT12,Ķemeru vidusskola,34.26%
LAT12,Ķemeru vidusskola,49.53%
ANG12,Krāslavas Valsts ģimnāzija,57.44%
MAT12,Krāslavas Valsts ģimnāzija,49.35%
LAT12,Krāslavas Valsts ģimnāzija,59.98%
ANG12,Krāslavas Varavīksnes vidusskola,41.74%
MAT12,Krāslavas Varavīksnes vidusskola,44.04%
LAT12,Krāslavas Varavīksnes vidusskola,31.45%
ANG12,Krimuldas vidusskola,58.63%
MAT12,Krimuldas vidusskola,40.44%
LAT12,Krimuldas vidusskola,62.51%
ANG12,Kuldīgas 2. vidusskola,40.41%
MAT12,Kuldīgas 2. vidusskola,24.68%
LAT12,Kuldīgas 2. vidusskola,46.88%
ANG12,Kuldīgas Centra vidusskola,52.54%
MAT12,Kuldīgas Centra vidusskola,42.75%
LAT12,Kuldīgas Centra vidusskola,57.83%
ANG12,Kuldīgas Mākslas un humanitāro zinību vidusskola,58.76%
MAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,34.05%
LAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,55.57%
ANG12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,32.39%
MAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,17.44%
LAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,37.40%
ANG12,Laidzes Profesionālā vidusskola,31.94%
MAT12,Laidzes Profesionālā vidusskola,19.09%
LAT12,Laidzes Profesionālā vidusskola,34.37%
ANG12,Latgales AMAT12niecības meistaru skola,28.69%
MAT12,Latgales AMAT12niecības meistaru skola,26.87%
LAT12,Latgales AMAT12niecības meistaru skola,25.75%
ANG12,Latgales Transporta un sakaru tehniskā skola,36.86%
MAT12,Latgales Transporta un sakaru tehniskā skola,22.78%
LAT12,Latgales Transporta un sakaru tehniskā skola,33.10%
ANG12,Latvijas Jūras akadēmijas Jūrskola,51.98%
MAT12,Latvijas Jūras akadēmijas Jūrskola,49.48%
LAT12,Latvijas Jūras akadēmijas Jūrskola,41.46%
ANG12,"Latvijas Universitāte, Pirmsstudiju mācību centrs",56.29%
MAT12,"Latvijas Universitāte, Pirmsstudiju mācību centrs",53.05%
LAT12,"Latvijas Universitāte, Pirmsstudiju mācību centrs",50.49%
ANG12,"Lazdiņas privātā vidusskola ""Punktiņš""",29.66%
MAT12,"Lazdiņas privātā vidusskola ""Punktiņš""",8.12%
LAT12,"Lazdiņas privātā vidusskola ""Punktiņš""",26.59%
ANG12,Lejasciema vidusskola,62.24%
MAT12,Lejasciema vidusskola,38.46%
LAT12,Lejasciema vidusskola,68.49%
ANG12,Liepājas 15. vidusskola,56.20%
MAT12,Liepājas 15. vidusskola,36.38%
LAT12,Liepājas 15. vidusskola,52.10%
ANG12,Liepājas 7. vidusskola,49.33%
MAT12,Liepājas 7. vidusskola,41.17%
ANG12,Liepājas 8. vidusskola,52.75%
MAT12,Liepājas 8. vidusskola,28.76%
LAT12,Liepājas 8. vidusskola,44.04%
ANG12,Liepājas A. Puškina 2. vidusskola,54.26%
MAT12,Liepājas A. Puškina 2. vidusskola,54.31%
ANG12,Liepājas BūvaMAT12niecības vidusskola,34.07%
MAT12,Liepājas BūvaMAT12niecības vidusskola,23.58%
LAT12,Liepājas BūvaMAT12niecības vidusskola,32.38%
ANG12,Liepājas Jūrniecības koledža,48.08%
MAT12,Liepājas Jūrniecības koledža,23.06%
