Novads,Skola,Kopvērtējums,Priekšmets
Rīgas pilsēta (Kurzemes raj.),Rīgas Valdorfskola,62.70%,ANG9
Rīgas pilsēta (Kurzemes raj.),Iļģuciema vidusskola,80.68%,ANG9
Rīgas pilsēta (Kurzemes raj.),"Privātā vidusskola ""Patnis""",87.67%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 19. vidusskola,67.83%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 41. vidusskola,65.76%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 69. vidusskola,73.63%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas Imantas vidusskola,73.78%,ANG9
Rīgas pilsēta (Kurzemes raj.),"Privātskola ""Latreia""",84.50%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 34. vidusskola,78.82%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 54. vidusskola,57.26%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 68. vidusskola,68.38%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 96. vidusskola,72.47%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas Daugavgrīvas vidusskola,54.03%,ANG9
Rīgas pilsēta (Kurzemes raj.),Emīla Dārziņa mūzikas vidusskola,68.68%,ANG9
Rīgas pilsēta (Kurzemes raj.),"Privātā vidusskola ""Templum""",43.00%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas 71. vidusskola,58.92%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas Anniņmuižas vidusskola,69.00%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas Ostvalda vidusskola,77.70%,ANG9
Rīgas pilsēta (Kurzemes raj.),Āgenskalna Valsts ģimnāzija,76.94%,ANG9
Rīgas pilsēta (Kurzemes raj.),Rīgas Valsts vācu ģimnāzija,75.84%,ANG9
Rīgas pilsēta (Latgales priekšp.),Andreja Pumpura Rīgas 11. pamatskola,75.00%,ANG9
Rīgas pilsēta (Latgales priekšp.),O.Kalpaka Rīgas Tautas daiļamatu pamatskola,71.71%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Pļavnieku pamatskola,70.10%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Privātā pamatskola ""Maksima""",64.00%,ANG9
Rīgas pilsēta (Latgales priekšp.),Jankas Kupalas Rīgas Baltkrievu pamatskola,54.67%,ANG9
Rīgas pilsēta (Latgales priekšp.),Kārļa Videnieka Rīgas 77. vidusskola,66.94%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 25. vidusskola,70.95%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 6. vidusskola,70.06%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 62. vidusskola,74.96%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Kristīgā vidusskola,72.05%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Lietuviešu vidusskola,66.63%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",60.60%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Privātā vidusskola ""INNOVA""",72.00%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 32. vidusskola,45.50%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 51. vidusskola,57.95%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 65. vidusskola,67.88%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 72. vidusskola,57.55%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 75. vidusskola,60.61%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 86. vidusskola,67.50%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 88. vidusskola,65.05%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Sergeja Žoltoka vidusskola,68.26%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Universālā vidusskola,63.09%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Privātā vidusskola ""Laisma""",80.17%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 15. vidusskola,50.32%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 92. vidusskola,53.92%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Krievu vidusskola,47.29%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Ukraiņu vidusskola,70.00%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas vakara ģimnāzija,49.00%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas pilsētas Pļavnieku ģimnāzija,73.03%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas 3. arodskola,58.40%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Sergeja Žoltoka vidusskola (š.cietums),36.86%,ANG9
Rīgas pilsēta (Latgales priekšp.),Rīgas Lastādijas internātpamatskola,44.50%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Mežciema pamatskola,66.85%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 49. vidusskola,78.98%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 64. vidusskola,73.69%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 84. vidusskola,74.64%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 85. vidusskola,80.22%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 93. vidusskola,70.26%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Ezerkrastu vidusskola,60.77%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Hanzas vidusskola,74.33%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Juglas vidusskola,76.91%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Teikas vidusskola,78.26%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 60. vidusskola,73.00%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 63. vidusskola,52.48%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 74. vidusskola,68.30%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Purvciema vidusskola,74.77%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Š. Dubnova Rīgas Ebreju vidusskola,72.11%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Biznesa un vadības privātvidusskola,81.00%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),"Privātā vidusskola ""Klasika""",81.70%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 21. vidusskola,65.19%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 80. vidusskola,69.40%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 89. vidusskola,71.13%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Itas Kozakēvičas Poļu vidusskola,60.82%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas 9. vakara (maiņu) vidusskola,55.91%,ANG9
Rīgas pilsēta (Vidzemes priekšp.),Rīgas Klasiskā ģimnāzija,78.91%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Katoļu ģimnāzija,64.00%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Friča Brīvzemnieka pamatskola,74.07%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Pārdaugavas pamatskola,51.07%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Igauņu pamatskola,83.18%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 47. vidusskola,61.72%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 53. vidusskola,55.47%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 61. vidusskola,51.71%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas 95. vidusskola,66.44%,ANG9
Rīgas pilsēta (Zemgales priekšp.),"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",74.21%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Angļu ģimnāzija,86.53%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Ziemeļvalstu ģimnāzija,73.70%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Zolitūdes ģimnāzija,76.70%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Doma kora skola,76.74%,ANG9
Rīgas pilsēta (Zemgales priekšp.),Rīgas Mūzikas internātvidusskola,66.33%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 7. pamatskola,71.75%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 28. vidusskola,67.75%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 31. vidusskola,66.80%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Jāņa Poruka vidusskola,75.13%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Kultūru vidusskola,77.11%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Puškina licejs,70.88%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 10. vidusskola,78.91%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 29. vidusskola,54.71%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 46. vidusskola,53.82%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Rīnūžu vidusskola,59.86%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 13. vidusskola,65.73%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 37. vidusskola,58.74%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas 18. vakara (maiņu) vidusskola,53.13%,ANG9
Rīgas pilsēta (Ziemeļu raj.),Rīgas Valsts 2.ģimnāzija,84.77%,ANG9
Rojas novads,Mērsraga vidusskola,62.82%,ANG9
Rojas novads,Rojas vidusskola,67.83%,ANG9
Ropažu novads,Zaķumuižas pamatskola,58.60%,ANG9
Ropažu novads,Ropažu vidusskola,58.95%,ANG9
Rucavas novads,Rucavas pamatskola,66.33%,ANG9
Rucavas novads,Sikšņu pamatskola,48.75%,ANG9
Rugāju novads,Eglaines pamatskola,48.00%,ANG9
Rugāju novads,Rugāju novada vidusskola,63.92%,ANG9
Rundāles novads,Pilsrundāles vidusskola,63.50%,ANG9
Rūjienas novads,Jeru pamatskola,67.33%,ANG9
Rūjienas novads,Rūjienas vidusskola,69.35%,ANG9
Salacgrīvas novads,Krišjāņa Valdemāra Ainažu pamatskola,82.43%,ANG9
Salacgrīvas novads,Salacgrīvas vidusskola,70.39%,ANG9
Salacgrīvas novads,Liepupes vidusskola,66.89%,ANG9
Salas novads,Biržu internātpamatskola,46.43%,ANG9
Salas novads,Biržu pamatskola,59.33%,ANG9
Salas novads,Salas vidusskola,70.50%,ANG9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",69.73%,ANG9
Salaspils novads,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",53.09%,ANG9
Saldus novads,Saldus pamatskola,76.42%,ANG9
Saldus novads,Saldus novada pašvaldības Jaunlutriņu pamatskola,57.45%,ANG9
Saldus novads,Saldus novada pašvaldības Kursīšu pamatskola,48.80%,ANG9
Saldus novads,Saldus novada pašvaldības Kurzemītes pamatskola,57.40%,ANG9
Saldus novads,Saldus novada pašvaldības Lutriņu pamatskola,49.60%,ANG9
Saldus novads,Saldus novada pašvaldības Nīgrandes pamatskola,54.90%,ANG9
Saldus novads,Saldus novada pašvaldības Pampāļu pamatskola,53.00%,ANG9
Saldus novads,Saldus novada pašvaldības Rubas pamatskola,35.33%,ANG9
Saldus novads,Saldus novada pašvaldības Sātiņu pamatskola,52.08%,ANG9
Saldus novads,Saldus novada pašvaldības Striķu pamatskola,68.80%,ANG9
Saldus novads,Saldus novada pašvaldības Zirņu pamatskola,64.33%,ANG9
Saldus novads,Saldus 2. vidusskola,61.93%,ANG9
Saldus novads,Saldus novada pašvaldības Druvas vidusskola,72.06%,ANG9
Saldus novads,Saldus novada pašvaldības Ezeres vidusskola,55.75%,ANG9
Saldus novads,Saldus novada pašvaldības Kalnu vidusskola,52.22%,ANG9
Saldus novads,Saldus Vakara vidusskola,40.00%,ANG9
Saldus novads,Saldus ģimnāzija,75.11%,ANG9
Saldus novads,Saldus novada pašvaldības Cieceres internātpamatskola,50.08%,ANG9
Saulkrastu novads,Saulkrastu vidusskola,68.05%,ANG9
Saulkrastu novads,Zvejniekciema vidusskola,72.86%,ANG9
Sējas novads,Sējas pamatskola,49.75%,ANG9
Sējas novads,Murjāņu sporta ģimnāzija,72.30%,ANG9
Siguldas novads,Siguldas 1. pamatskola,63.39%,ANG9
Siguldas novads,Allažu pamatskola,53.89%,ANG9
Siguldas novads,Siguldas novada vidusskola,62.00%,ANG9
Siguldas novads,Siguldas pilsētas vidusskola,55.67%,ANG9
Siguldas novads,Siguldas Valsts ģimnāzija,77.63%,ANG9
Skrīveru novads,Andreja Upīša Skrīveru vidusskola,71.63%,ANG9
Skrundas novads,Nīkrāces pamatskola,53.40%,ANG9
Skrundas novads,Oskara Kalpaka Rudbāržu pamatskola,52.33%,ANG9
Skrundas novads,Skrundas vidusskola,63.37%,ANG9
Skrundas novads,Skrundas arodvidusskola,52.50%,ANG9
Smiltenes novads,Bilskas pamatskola,66.00%,ANG9
Smiltenes novads,Blomes pamatskola,54.44%,ANG9
Smiltenes novads,Grundzāles pamatskola,60.83%,ANG9
Smiltenes novads,Palsmanes pamatskola,64.50%,ANG9
Smiltenes novads,Variņu pamatskola,66.38%,ANG9
Smiltenes novads,Smiltenes Centra vidusskola,63.07%,ANG9
Smiltenes novads,Smiltenes ģimnāzija,66.45%,ANG9
Stopiņu novads,Stopiņu pamatskola,56.44%,ANG9
Stopiņu novads,Ulbrokas vidusskola,70.93%,ANG9
Stopiņu novads,Upesleju internātpamatskola – rehabilitācijas centrs,51.09%,ANG9
Talsu novads,Stendes pamatskola,55.40%,ANG9
Talsu novads,Talsu pamatskola,69.14%,ANG9
Talsu novads,Laucienes pamatskola,52.91%,ANG9
Talsu novads,Laucienes pamatskolas filiāle,69.71%,ANG9
Talsu novads,Pastendes pamatskola,57.92%,ANG9
Talsu novads,Pūņu pamatskola,73.44%,ANG9
Talsu novads,Virbu pamatskola,71.10%,ANG9
Talsu novads,Vandzenes pamatskola,60.00%,ANG9
Talsu novads,Sabiles vidusskola,64.22%,ANG9
Talsu novads,Talsu 2. vidusskola,65.85%,ANG9
Talsu novads,Talsu Kristīgā vidusskola,71.31%,ANG9
Talsu novads,Valdemārpils vidusskola,60.63%,ANG9
Talsu novads,Talsu novada Vakara un neklātienes vidusskola,46.00%,ANG9
Talsu novads,Talsu Valsts ģimnāzija,75.17%,ANG9
Tērvetes novads,Bukaišu pamatskola,54.50%,ANG9
Tērvetes novads,Tērvetes pamatskola,57.75%,ANG9
Tērvetes novads,Annas Brigaderes pamatskola,79.57%,ANG9
Tērvetes novads,Augstkalnes vidusskola,60.44%,ANG9
Tukuma novads,Tukuma 2. pamatskola,67.65%,ANG9
Tukuma novads,Tukuma E. Birznieka-Upīša 1. pamatskola,69.74%,ANG9
Tukuma novads,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola, ""Dzīvā skola""",48.25%,ANG9
Tukuma novads,Pūres pamatskola,62.63%,ANG9
Tukuma novads,Tukuma 3. pamatskola,61.36%,ANG9
Tukuma novads,Tukuma 2. vidusskola,71.24%,ANG9
Tukuma novads,Džūkstes pamatskola,64.25%,ANG9
Tukuma novads,Irlavas vidusskola,51.20%,ANG9
Tukuma novads,Tumes vidusskola,64.00%,ANG9
Tukuma novads,Zemgales vidusskola,57.40%,ANG9
Tukuma novads,Tukuma Vakara un neklātienes vidusskola,52.30%,ANG9
Tukuma novads,Tukuma Raiņa ģimnāzija,76.86%,ANG9
Vaiņodes novads,Vaiņodes vidusskola,58.79%,ANG9
Vaiņodes novads,Vaiņodes internātpamatskola,45.83%,ANG9
Valkas novads,Ērģemes pamatskola,56.60%,ANG9
Valkas novads,Kārķu pamatskola,64.50%,ANG9
Valkas novads,Ozolu pamatskola,49.00%,ANG9
Valkas novads,Vijciema pamatskola,57.40%,ANG9
Valkas novads,Valkas pamatskola,70.54%,ANG9
Valkas novads,Valkas ģimnāzija,78.27%,ANG9
Valmieras novads,Jaunburtnieku pamatskola,30.00%,ANG9
Valmieras novads,Jura Neikena Dikļu pamatskola,60.33%,ANG9
Valmieras novads,Kocēnu pamatskola,64.20%,ANG9
Valmieras novads,Rubenes pamatskola,71.11%,ANG9
Valmieras pilsēta,Valmieras 5. vidusskola,58.74%,ANG9
Valmieras pilsēta,Valmieras Viestura vidusskola,71.50%,ANG9
Valmieras pilsēta,Valmieras 2. vidusskola,62.05%,ANG9
Valmieras pilsēta,Valmieras 2.vidusskolas filiāle,42.83%,ANG9
Valmieras pilsēta,Valmieras Pārgaujas ģimnāzija,70.55%,ANG9
Valmieras pilsēta,Valmieras Valsts ģimnāzija,73.54%,ANG9
Valmieras pilsēta,Valmieras vājdzirdīgo bērnu internātvidusskola - attīstības centrs,35.20%,ANG9
Varakļānu novads,Murmastienes pamatskola,69.60%,ANG9
Varakļānu novads,Varakļānu novada pašvaldības Stirnienes pamatskola,53.00%,ANG9
Varakļānu novads,Varakļānu vidusskola,61.48%,ANG9
Vārkavas novads,Vanagu pamatskola,73.50%,ANG9
Vārkavas novads,Vārkavas pamatskola,76.00%,ANG9
Vārkavas novads,Vārkavas vidusskola,69.33%,ANG9
Vecpiebalgas novads,Inešu pamatskola,60.75%,ANG9
Vecpiebalgas novads,Taurenes pamatskola,64.75%,ANG9
Vecpiebalgas novads,Vecpiebalgas vidusskola,69.11%,ANG9
Vecumnieku novads,Vecumnieku novada Domes Bārbeles pamatskola,74.00%,ANG9
Vecumnieku novads,Misas vidusskola,64.27%,ANG9
Vecumnieku novads,Skaistkalnes vidusskola,64.35%,ANG9
Vecumnieku novads,Vecumnieku novada Domes Valles vidusskola,64.73%,ANG9
Vecumnieku novads,Vecumnieku vidusskola,69.47%,ANG9
Ventspils novads,Ances pamatskola,40.50%,ANG9
Ventspils novads,Jūrkalnes pamatskola,53.00%,ANG9
Ventspils novads,Popes pamatskola,62.00%,ANG9
Ventspils novads,Puzes pamatskola,59.00%,ANG9
Ventspils novads,Tārgales pamatskola,62.57%,ANG9
Ventspils novads,Užavas pamatskola,62.29%,ANG9
Ventspils novads,Zlēku pamatskola,70.14%,ANG9
Ventspils novads,Zūru pamatskola,69.50%,ANG9
Ventspils novads,Piltenes vidusskola,61.33%,ANG9
Ventspils novads,Ugāles vidusskola,57.84%,ANG9
Ventspils pilsēta,Ventspils 1. pamatskola,69.59%,ANG9
Ventspils pilsēta,Ventspils 2. pamatskola,70.81%,ANG9
Ventspils pilsēta,Ventspils 4. vidusskola,78.45%,ANG9
Ventspils pilsēta,Ventspils 5. vidusskola,63.56%,ANG9
Ventspils pilsēta,Ventspils 2. vidusskola,67.50%,ANG9
Ventspils pilsēta,Ventspils 3. vidusskola,64.77%,ANG9
Ventspils pilsēta,Ventspils 6. vidusskola,65.30%,ANG9
Ventspils pilsēta,Ventspils vakara vidusskola,39.09%,ANG9
Viesītes novads,Viesītes vidusskola,63.90%,ANG9
Viļānu novads,Dekšāru pamatskola,56.83%,ANG9
Viļānu novads,Viļānu vidusskola,64.57%,ANG9
Zilupes novads,Zilupes vidusskola,52.63%,ANG9
Rīgas pilsēta (Latgales priekšp.),"Tālmācības vidusskola ""Rīgas Komercskola""",77.50%,ANG9
Aglonas novads,Priežmalas pamatskola,65.09%,LAT9
Aglonas novads,Aglonas vidusskola,74.30%,LAT9
Aglonas novads,Aglonas Katoļu ģimnāzija,65.45%,LAT9
Aglonas novads,Aglonas internātvidusskola,52.08%,LAT9
Aizkraukles novads,Aizkraukles 1. vidusskola,45.11%,LAT9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,50.91%,LAT9
Aizkraukles novads,Aizkraukles novada ģimnāzija,67.55%,LAT9
Aizputes novads,Aizputes pagasta pamatskola,53.86%,LAT9
Aizputes novads,Apriķu pamatskola,52.12%,LAT9
Aizputes novads,Dzērves pamatskola,57.01%,LAT9
Aizputes novads,Kalvenes pamatskola,63.90%,LAT9
Aizputes novads,Māteru Jura Kazdangas pamatskola,53.45%,LAT9
Aizputes novads,Aizputes vidusskola,57.74%,LAT9
Aizputes novads,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,42.73%,LAT9
Aknīstes novads,Asares pamatskola,63.18%,LAT9
Aknīstes novads,Gārsenes pamatskola,57.84%,LAT9
Aknīstes novads,Aknīstes vidusskola,71.86%,LAT9
Alojas novads,Ozolmuižas pamatskola,52.86%,LAT9
Alojas novads,Puikules pamatskola,49.09%,LAT9
Alojas novads,Alojas Ausekļa vidusskola,63.31%,LAT9
Alojas novads,Staiceles vidusskola,49.55%,LAT9
Alsungas novads,Alsungas vidusskola,65.91%,LAT9
Alūksnes novads,Alūksnes novada Jaunannas pamatskola,54.65%,LAT9
Alūksnes novads,Bejas pamatskola,58.26%,LAT9
Alūksnes novads,Ilzenes pamatskola,78.30%,LAT9
Alūksnes novads,Jaunlaicenes pamatskola,68.38%,LAT9
Alūksnes novads,Malienas pamatskola,58.44%,LAT9
Alūksnes novads,Mālupes pamatskola,66.36%,LAT9
Alūksnes novads,Mārkalnes pamatskola,56.46%,LAT9
Alūksnes novads,Strautiņu pamatskola,61.29%,LAT9
Alūksnes novads,Ziemeru pamatskola,65.45%,LAT9
Alūksnes novads,Pededzes pamatskola,68.91%,LAT9
Alūksnes novads,Liepnas vidusskola,58.61%,LAT9
Alūksnes novads,Alūksnes novada vidusskola,58.76%,LAT9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,69.24%,LAT9
Alūksnes novads,Liepnas internātpamatskola,65.71%,LAT9
Amatas novads,Amatas pamatskola,62.22%,LAT9
Amatas novads,Sērmūkšu pamatskola,64.32%,LAT9
Amatas novads,Skujenes pamatskola,68.44%,LAT9
Amatas novads,Zaubes pamatskola,58.36%,LAT9
Amatas novads,Nītaures vidusskola,71.52%,LAT9
Amatas novads,Drabešu internātpamatskola,56.57%,LAT9
Apes novads,Sikšņu pamatskola,66.93%,LAT9
Apes novads,Trapenes pamatskola,52.84%,LAT9
Apes novads,Dāvja Ozoliņa Apes vidusskola,64.77%,LAT9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,65.09%,LAT9
Apes novads,Gaujienas speciālā internātpamatskola,55.96%,LAT9
Auces novads,Auces vidusskola,61.99%,LAT9
Auces novads,Bēnes vidusskola,56.36%,LAT9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,68.83%,LAT9
Ādažu novads,Ādažu vidusskola,64.79%,LAT9
Babītes novads,Babītes vidusskola,71.67%,LAT9
Baldones novads,Baldones Mūzikas pamatskola,70.56%,LAT9
Baldones novads,Baldones vidusskola,65.50%,LAT9
Baltinavas novads,Baltinavas vidusskola,66.73%,LAT9
Balvu novads,Briežuciema pamatskola,59.55%,LAT9
Balvu novads,Bērzpils vidusskolas filiāle,59.55%,LAT9
Balvu novads,Stacijas pamatskola,67.84%,LAT9
Balvu novads,Tilžas vidusskolas filiāle,59.85%,LAT9
Balvu novads,Balvu Amatniecības vidusskola,58.33%,LAT9
Balvu novads,Bērzpils vidusskola,61.82%,LAT9
Balvu novads,Tilžas vidusskola,58.45%,LAT9
Balvu novads,Balvu Valsts ģimnāzija,77.91%,LAT9
Balvu novads,Tilžas internātpamatskola,56.69%,LAT9
Bauskas novads,Bauskas pilsētas pamatskola,69.29%,LAT9
Bauskas novads,Codes pamatskola,62.31%,LAT9
Bauskas novads,Griķu pamatskola,42.42%,LAT9
Bauskas novads,Mežgaļu pamatskola,85.66%,LAT9
Bauskas novads,Mežotnes pamatskola,59.89%,LAT9
Bauskas novads,Ozolaines pamatskola,75.58%,LAT9
Bauskas novads,Vecsaules pamatskola,68.83%,LAT9
Bauskas novads,Bauskas Valsts ģimnāzija,72.81%,LAT9
Bauskas novads,Īslīces vidusskola,65.26%,LAT9
Bauskas novads,Uzvaras vidusskola,73.69%,LAT9
Bauskas novads,Bauskas 2. vidusskola,58.59%,LAT9
Bauskas novads,Mežotnes internātvidusskola,49.09%,LAT9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,76.36%,LAT9
Beverīnas novads,Trikātas pamatskola,72.86%,LAT9
Brocēnu novads,Blīdenes pamatskola,61.82%,LAT9
Brocēnu novads,Gaiķu pamatskola,72.21%,LAT9
Brocēnu novads,Remtes pamatskola,79.32%,LAT9
Burtnieku novads,Ēveles pamatskola,58.18%,LAT9
Burtnieku novads,Matīšu pamatskola,64.55%,LAT9
Burtnieku novads,Rencēnu pamatskola,64.79%,LAT9
Burtnieku novads,Burtnieku Ausekļa vidusskola,69.00%,LAT9
Cesvaines novads,Cesvaines vidusskola,62.44%,LAT9
Cesvaines novads,Cesvaines internātpamatskola,46.36%,LAT9
Cēsu novads,Cēsu 1. pamatskola,64.45%,LAT9
Cēsu novads,Cēsu 2. pamatskola,69.68%,LAT9
Cēsu novads,Cēsu pilsētas pamatskola,56.12%,LAT9
Cēsu novads,Līvu pamatskola,59.77%,LAT9
Cēsu novads,Rāmuļu pamatskola,51.59%,LAT9
Cēsu novads,Cēsu 2. vidusskola,57.50%,LAT9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,54.73%,LAT9
Cēsu novads,Cēsu Valsts ģimnāzija,66.89%,LAT9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,82.54%,LAT9
Cēsu novads,Cēsu internātpamatskola - rehabilitācijas centrs,66.06%,LAT9
Ciblas novads,Cirmas pamatskola,46.59%,LAT9
Ciblas novads,Pušmucovas pamatskola,54.09%,LAT9
Ciblas novads,Ciblas vidusskola,50.27%,LAT9
Dagdas novads,Andrupenes pamatskola,66.10%,LAT9
Dagdas novads,Andzeļu pamatskola,68.76%,LAT9
Dagdas novads,Asūnes pamatskola,60.34%,LAT9
Dagdas novads,Ezernieku vidusskola,70.49%,LAT9
Dagdas novads,Dagdas vidusskola,74.31%,LAT9
Daugavpils novads,Naujenes pamatskola,69.60%,LAT9
Daugavpils novads,Skrudalienas pamatskola,51.21%,LAT9
Daugavpils novads,Kalupes pamatskola,65.45%,LAT9
Daugavpils novads,Medumu vidusskola,70.20%,LAT9
Daugavpils novads,Vaboles vidusskola,65.35%,LAT9
Daugavpils novads,Sventes vidusskola,60.52%,LAT9
Daugavpils novads,Špoģu vidusskola,77.88%,LAT9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,56.72%,LAT9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,71.27%,LAT9
Daugavpils pilsēta,Daugavpils 12. vidusskola,62.73%,LAT9
Daugavpils pilsēta,Daugavpils 3. vidusskola,64.55%,LAT9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,68.74%,LAT9
Daugavpils pilsēta,Daugavpils Mūzikas vidusskola,62.55%,LAT9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,54.65%,LAT9
Dobeles novads,Dobeles Kristīgā pamatskola,57.00%,LAT9
Dobeles novads,Bikstu pamatskola,59.65%,LAT9
Dobeles novads,Gardenes pamatskola,44.27%,LAT9
Dobeles novads,Krimūnu pamatskola,53.90%,LAT9
Dobeles novads,Mežinieku pamatskola,63.47%,LAT9
Dobeles novads,Naudītes pamatskola,55.97%,LAT9
