Priekšmets,Skola,Kopvērtējums
ANG12,Aglonas internātvidusskola,60.70%
MAT12,Aglonas internātvidusskola,53.20%
LAT12,Aglonas internātvidusskola,63.40%
ANG12,Aglonas vidusskola,60.50%
MAT12,Aglonas vidusskola,61.10%
LAT12,Aglonas vidusskola,50.30%
ANG12,Aizkraukles 1. vidusskola,48.90%
MAT12,Aizkraukles 1. vidusskola,42.80%
ANG12,Aizkraukles arodvidusskola,29.30%
MAT12,Aizkraukles arodvidusskola,24.80%
LAT12,Aizkraukles arodvidusskola,31.20%
ANG12,Aizkraukles novada ģimnāzija,60.30%
MAT12,Aizkraukles novada ģimnāzija,43.20%
LAT12,Aizkraukles novada ģimnāzija,66.40%
ANG12,Aizkraukles Vakara (maiņu) vidusskola,42.70%
MAT12,Aizkraukles Vakara (maiņu) vidusskola,14.70%
LAT12,Aizkraukles Vakara (maiņu) vidusskola,39.30%
ANG12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,26.10%
MAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,14.10%
LAT12,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,46.90%
ANG12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,20.10%
MAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,15.90%
LAT12,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,35.30%
ANG12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,31.60%
MAT12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,10.60%
LAT12,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,41.60%
ANG12,Aizputes vidusskola,52.60%
MAT12,Aizputes vidusskola,45.70%
LAT12,Aizputes vidusskola,60.10%
ANG12,Aknīstes vidusskola,50.90%
MAT12,Aknīstes vidusskola,41.40%
LAT12,Aknīstes vidusskola,49.30%
ANG12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,56.20%
MAT12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,38.50%
LAT12,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,63.70%
ANG12,Alojas Ausekļa vidusskola,49.40%
MAT12,Alojas Ausekļa vidusskola,28.10%
LAT12,Alojas Ausekļa vidusskola,56.10%
ANG12,Alsungas vidusskola,54.80%
MAT12,Alsungas vidusskola,38.80%
LAT12,Alsungas vidusskola,61.30%
ANG12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,39.50%
MAT12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,16.50%
LAT12,Alūksnes Vakara (maiņu) un neklātienes vidusskola,38.50%
ANG12,Alūksnes vidusskola,39.60%
MAT12,Alūksnes vidusskola,18.30%
LAT12,Alūksnes vidusskola,46.00%
ANG12,Andreja Upīša Skrīveru vidusskola,58.70%
MAT12,Andreja Upīša Skrīveru vidusskola,47.10%
LAT12,Andreja Upīša Skrīveru vidusskola,60.00%
ANG12,Apguldes arodvidusskola,27.00%
MAT12,Apguldes arodvidusskola,19.30%
LAT12,Apguldes arodvidusskola,29.00%
ANG12,Auces vidusskola,55.70%
MAT12,Auces vidusskola,47.40%
LAT12,Auces vidusskola,64.70%
ANG12,Augstkalnes vidusskola,47.80%
MAT12,Augstkalnes vidusskola,40.30%
LAT12,Augstkalnes vidusskola,57.70%
ANG12,Ādažu vidusskola,59.60%
MAT12,Ādažu vidusskola,43.20%
LAT12,Ādažu vidusskola,56.80%
ANG12,Āgenskalna Valsts ģimnāzija,72.90%
MAT12,Āgenskalna Valsts ģimnāzija,60.20%
LAT12,Āgenskalna Valsts ģimnāzija,74.60%
ANG12,Babītes vidusskola,55.20%
MAT12,Babītes vidusskola,56.30%
LAT12,Babītes vidusskola,61.10%
ANG12,Baldones vidusskola,54.80%
MAT12,Baldones vidusskola,33.90%
LAT12,Baldones vidusskola,52.30%
ANG12,Baltinavas vidusskola,57.00%
MAT12,Baltinavas vidusskola,47.90%
LAT12,Baltinavas vidusskola,53.70%
ANG12,Balvu AMAT12niecības vidusskola,48.00%
MAT12,Balvu AMAT12niecības vidusskola,33.60%
LAT12,Balvu AMAT12niecības vidusskola,42.20%
ANG12,Balvu Valsts ģimnāzija,59.10%
MAT12,Balvu Valsts ģimnāzija,54.50%
LAT12,Balvu Valsts ģimnāzija,59.00%
ANG12,Barkavas arodvidusskola,35.00%
MAT12,Barkavas arodvidusskola,17.30%
LAT12,Barkavas arodvidusskola,53.00%
ANG12,Bauskas 1. vidusskola,64.20%
MAT12,Bauskas 1. vidusskola,51.30%
LAT12,Bauskas 1. vidusskola,68.90%
ANG12,Bauskas 2. vidusskola,42.40%
MAT12,Bauskas 2. vidusskola,31.70%
LAT12,Bauskas 2. vidusskola,44.00%
ANG12,Bebrenes Profesionālā vidusskola,39.80%
MAT12,Bebrenes Profesionālā vidusskola,35.90%
LAT12,Bebrenes Profesionālā vidusskola,41.80%
ANG12,Bebrenes vidusskola,50.60%
MAT12,Bebrenes vidusskola,43.60%
LAT12,Bebrenes vidusskola,63.00%
ANG12,Bēnes vidusskola,43.60%
MAT12,Bēnes vidusskola,18.90%
LAT12,Bēnes vidusskola,47.50%
ANG12,Bērzpils vidusskola,49.50%
MAT12,Bērzpils vidusskola,46.90%
LAT12,Bērzpils vidusskola,66.90%
ANG12,Biznesa un vadības privātvidusskola,39.60%
MAT12,Biznesa un vadības privātvidusskola,27.50%
LAT12,Biznesa un vadības privātvidusskola,22.00%
ANG12,Brāļu Skrindu Atašienes vidusskola,34.10%
MAT12,Brāļu Skrindu Atašienes vidusskola,25.20%
LAT12,Brāļu Skrindu Atašienes vidusskola,44.00%
ANG12,Brocēnu vidusskola,49.30%
MAT12,Brocēnu vidusskola,41.30%
LAT12,Brocēnu vidusskola,52.50%
ANG12,Burtnieku Ausekļa vidusskola,44.40%
MAT12,Burtnieku Ausekļa vidusskola,32.00%
LAT12,Burtnieku Ausekļa vidusskola,44.20%
ANG12,Cesvaines vidusskola,55.00%
MAT12,Cesvaines vidusskola,54.50%
LAT12,Cesvaines vidusskola,59.90%
ANG12,Cēsu 2. vakara (maiņu) vidusskola,46.10%
MAT12,Cēsu 2. vakara (maiņu) vidusskola,46.30%
LAT12,Cēsu 2. vakara (maiņu) vidusskola,69.10%
ANG12,Cēsu 2. vidusskola,47.20%
MAT12,Cēsu 2. vidusskola,19.70%
LAT12,Cēsu 2. vidusskola,47.10%
ANG12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,12.10%
MAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11.40%
LAT12,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,38.30%
ANG12,Cēsu Profesionālā vidusskola,34.90%
MAT12,Cēsu Profesionālā vidusskola,16.10%
LAT12,Cēsu Profesionālā vidusskola,31.90%
ANG12,Cēsu Valsts ģimnāzija,65.60%
MAT12,Cēsu Valsts ģimnāzija,57.50%
LAT12,Cēsu Valsts ģimnāzija,68.60%
ANG12,Ciblas vidusskola,43.80%
MAT12,Ciblas vidusskola,13.80%
LAT12,Ciblas vidusskola,54.20%
ANG12,Cīravas arodvidusskola,23.00%
MAT12,Cīravas arodvidusskola,14.70%
LAT12,Cīravas arodvidusskola,27.70%
ANG12,Dagdas arodvidusskola,17.10%
MAT12,Dagdas arodvidusskola,28.70%
LAT12,Dagdas arodvidusskola,23.50%
ANG12,Dagdas vidusskola,47.60%
MAT12,Dagdas vidusskola,45.80%
LAT12,Dagdas vidusskola,62.60%
ANG12,Daugavpils 1. arodvidusskola,31.10%
MAT12,Daugavpils 1. arodvidusskola,22.00%
LAT12,Daugavpils 1. arodvidusskola,28.80%
ANG12,Daugavpils 10. vidusskola,57.90%
MAT12,Daugavpils 10. vidusskola,59.80%
ANG12,Daugavpils 12. vidusskola,58.30%
MAT12,Daugavpils 12. vidusskola,41.40%
LAT12,Daugavpils 12. vidusskola,53.10%
ANG12,Daugavpils 13. vidusskola,49.90%
MAT12,Daugavpils 13. vidusskola,55.70%
ANG12,Daugavpils 15. vidusskola,50.10%
MAT12,Daugavpils 15. vidusskola,42.90%
ANG12,Daugavpils 16. vidusskola,36.80%
MAT12,Daugavpils 16. vidusskola,41.50%
ANG12,Daugavpils 17. vidusskola,34.30%
MAT12,Daugavpils 17. vidusskola,27.90%
LAT12,Daugavpils 17. vidusskola,39.10%
ANG12,Daugavpils 3. vidusskola,58.60%
MAT12,Daugavpils 3. vidusskola,64.40%
ANG12,Daugavpils 9. vidusskola,59.70%
MAT12,Daugavpils 9. vidusskola,50.20%
ANG12,Daugavpils Celtnieku profesionālā vidusskola,22.50%
MAT12,Daugavpils Celtnieku profesionālā vidusskola,17.50%
LAT12,Daugavpils Celtnieku profesionālā vidusskola,20.20%
ANG12,Daugavpils Krievu vidusskola - licejs,74.10%
MAT12,Daugavpils Krievu vidusskola - licejs,66.30%
ANG12,"Daugavpils mākslas vidusskola ""Saules skola""",41.10%
MAT12,"Daugavpils mākslas vidusskola ""Saules skola""",20.30%
LAT12,"Daugavpils mākslas vidusskola ""Saules skola""",44.50%
ANG12,Daugavpils Mūzikas vidusskola,48.80%
MAT12,Daugavpils Mūzikas vidusskola,31.20%
LAT12,Daugavpils Mūzikas vidusskola,62.30%
ANG12,Daugavpils pilsētas Centra ģimnāzija,46.40%
MAT12,Daugavpils pilsētas Centra ģimnāzija,51.20%
LAT12,Daugavpils pilsētas Centra ģimnāzija,51.90%
ANG12,Daugavpils Universitāte,37.40%
LAT12,Daugavpils Universitāte,36.70%
ANG12,Daugavpils Valsts ģimnāzija,62.60%
MAT12,Daugavpils Valsts ģimnāzija,59.70%
LAT12,Daugavpils Valsts ģimnāzija,65.50%
ANG12,Dāvja Ozoliņa Apes vidusskola,55.00%
MAT12,Dāvja Ozoliņa Apes vidusskola,35.20%
LAT12,Dāvja Ozoliņa Apes vidusskola,53.70%
ANG12,Dobeles 1. vidusskola,47.80%
MAT12,Dobeles 1. vidusskola,25.60%
LAT12,Dobeles 1. vidusskola,49.50%
ANG12,Dobeles 2. vidusskola,36.90%
MAT12,Dobeles 2. vidusskola,18.40%
LAT12,Dobeles 2. vidusskola,34.50%
ANG12,Dobeles AMAT12niecības vidusskola,28.10%
MAT12,Dobeles AMAT12niecības vidusskola,10.70%
LAT12,Dobeles AMAT12niecības vidusskola,28.20%
ANG12,Dobeles Valsts ģimnāzija,57.70%
MAT12,Dobeles Valsts ģimnāzija,49.70%
LAT12,Dobeles Valsts ģimnāzija,61.00%
ANG12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,70.20%
MAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,52.30%
LAT12,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,68.40%
ANG12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,59.40%
MAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,48.90%
LAT12,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,60.80%
ANG12,Dricānu vidusskola,47.60%
MAT12,Dricānu vidusskola,43.20%
LAT12,Dricānu vidusskola,47.10%
ANG12,Dundagas vidusskola,52.90%
