Priekšmets,Skola,Kopvērtējums
MAT12,Dundagas vidusskola,36.20%
LAT12,Dundagas vidusskola,57.90%
ANG12,Dzērbenes vidusskola,49.00%
MAT12,Dzērbenes vidusskola,20.90%
LAT12,Dzērbenes vidusskola,38.70%
ANG12,Edgara Kauliņa Lielvārdes vidusskola,60.30%
MAT12,Edgara Kauliņa Lielvārdes vidusskola,37.20%
LAT12,Edgara Kauliņa Lielvārdes vidusskola,61.50%
ANG12,Elejas vidusskola,50.50%
MAT12,Elejas vidusskola,45.30%
LAT12,Elejas vidusskola,53.20%
ANG12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,46.60%
MAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,30.10%
LAT12,Emiļa Melngaiļa Liepājas mūzikas vidusskola,52.00%
ANG12,Emīla Dārziņa mūzikas vidusskola,68.70%
MAT12,Emīla Dārziņa mūzikas vidusskola,47.70%
LAT12,Emīla Dārziņa mūzikas vidusskola,71.90%
ANG12,Engures vidusskola,49.40%
MAT12,Engures vidusskola,41.60%
LAT12,Engures vidusskola,61.30%
ANG12,Ernsta Glika Alūksnes Valsts ģimnāzija,61.20%
MAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,47.20%
LAT12,Ernsta Glika Alūksnes Valsts ģimnāzija,62.30%
ANG12,Ezernieku vidusskola,63.30%
MAT12,Ezernieku vidusskola,56.00%
LAT12,Ezernieku vidusskola,57.00%
ANG12,Ērgļu arodvidusskola,24.60%
MAT12,Ērgļu arodvidusskola,30.20%
LAT12,Ērgļu arodvidusskola,42.00%
ANG12,Ērgļu vidusskola,56.70%
MAT12,Ērgļu vidusskola,51.50%
LAT12,Ērgļu vidusskola,64.50%
ANG12,Grobiņas ģimnāzija,56.70%
MAT12,Grobiņas ģimnāzija,46.20%
LAT12,Grobiņas ģimnāzija,60.00%
ANG12,Gulbenes 2. vidusskola,50.00%
MAT12,Gulbenes 2. vidusskola,35.60%
LAT12,Gulbenes 2. vidusskola,56.10%
ANG12,Gulbenes novada valsts ģimnāzija,68.20%
MAT12,Gulbenes novada valsts ģimnāzija,49.90%
LAT12,Gulbenes novada valsts ģimnāzija,67.40%
ANG12,Gulbenes Vakara (maiņu) vidusskola,34.30%
MAT12,Gulbenes Vakara (maiņu) vidusskola,23.30%
LAT12,Gulbenes Vakara (maiņu) vidusskola,41.20%
ANG12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,25.80%
MAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,9.20%
LAT12,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,24.10%
ANG12,Gulbenes vidusskola,43.40%
MAT12,Gulbenes vidusskola,22.90%
LAT12,Gulbenes vidusskola,52.60%
ANG12,Gulbīša vidusskola,54.60%
MAT12,Gulbīša vidusskola,53.90%
LAT12,Gulbīša vidusskola,60.90%
ANG12,Habad Ebreju privātā vidusskola,58.20%
MAT12,Habad Ebreju privātā vidusskola,61.70%
ANG12,Humanitārā privātģimnāzija,65.60%
MAT12,Humanitārā privātģimnāzija,29.50%
LAT12,Humanitārā privātģimnāzija,49.50%
ANG12,Iecavas vidusskola,56.40%
MAT12,Iecavas vidusskola,43.20%
LAT12,Iecavas vidusskola,57.30%
ANG12,Ikšķiles vidusskola,59.90%
MAT12,Ikšķiles vidusskola,43.00%
LAT12,Ikšķiles vidusskola,53.40%
ANG12,Ilmāra Gaiša Kokneses vidusskola,53.70%
MAT12,Ilmāra Gaiša Kokneses vidusskola,40.90%
LAT12,Ilmāra Gaiša Kokneses vidusskola,54.30%
ANG12,Ilūkstes 1. vidusskola,55.90%
MAT12,Ilūkstes 1. vidusskola,49.90%
LAT12,Ilūkstes 1. vidusskola,58.50%
ANG12,Ilūkstes Sadraudzības vidusskola,28.10%
MAT12,Ilūkstes Sadraudzības vidusskola,34.70%
LAT12,Ilūkstes Sadraudzības vidusskola,34.30%
ANG12,Iļģuciema vidusskola,67.30%
MAT12,Iļģuciema vidusskola,48.20%
LAT12,Iļģuciema vidusskola,71.20%
ANG12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",51.10%
MAT12,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",34.40%
ANG12,Irlavas vidusskola,40.50%
MAT12,Irlavas vidusskola,39.50%
LAT12,Irlavas vidusskola,46.50%
ANG12,Istras vidusskola,44.20%
MAT12,Istras vidusskola,37.90%
ANG12,Īslīces vidusskola,38.90%
MAT12,Īslīces vidusskola,27.80%
LAT12,Īslīces vidusskola,49.70%
ANG12,J. Čakstes Liepājas pilsētas 10. vidusskola,58.20%
MAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,35.60%
LAT12,J. Čakstes Liepājas pilsētas 10. vidusskola,49.30%
ANG12,J. Raiņa Daugavpils 6. vidusskola,39.60%
MAT12,J. Raiņa Daugavpils 6. vidusskola,41.60%
ANG12,J.Pilsudska Daugavpils valsts poļu ģimnāzija,43.10%
MAT12,J.Pilsudska Daugavpils valsts poļu ģimnāzija,61.40%
ANG12,Jaņa Rozentāla Rīgas Mākslas vidusskola,70.00%
MAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,40.10%
LAT12,Jaņa Rozentāla Rīgas Mākslas vidusskola,62.10%
ANG12,Jaunaglonas arodvidusskola,28.80%
MAT12,Jaunaglonas arodvidusskola,37.40%
LAT12,Jaunaglonas arodvidusskola,36.70%
ANG12,Jaungulbenes arodvidusskola,22.30%
MAT12,Jaungulbenes arodvidusskola,8.30%
LAT12,Jaungulbenes arodvidusskola,29.20%
ANG12,Jaunjelgavas vidusskola,57.80%
MAT12,Jaunjelgavas vidusskola,30.70%
LAT12,Jaunjelgavas vidusskola,56.70%
ANG12,Jaunogres vidusskola,48.50%
MAT12,Jaunogres vidusskola,52.30%
ANG12,Jaunpiebalgas vidusskola,47.50%
MAT12,Jaunpiebalgas vidusskola,25.00%
LAT12,Jaunpiebalgas vidusskola,58.20%
ANG12,Jaunpils vidusskola,46.00%
MAT12,Jaunpils vidusskola,39.70%
LAT12,Jaunpils vidusskola,51.60%
ANG12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,43.10%
MAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,25.90%
LAT12,Jāņa Ivanova Rēzeknes mūzikas vidusskola,55.40%
ANG12,Jāņmuižas Profesionālā vidusskola,31.90%
MAT12,Jāņmuižas Profesionālā vidusskola,15.60%
LAT12,Jāņmuižas Profesionālā vidusskola,35.50%
ANG12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,58.10%
MAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,39.90%
LAT12,Jāzepa Mediņa Rīgas Mūzikas vidusskola,65.60%
ANG12,Jelgavas 1. ģimnāzija,54.10%
MAT12,Jelgavas 1. ģimnāzija,39.80%
LAT12,Jelgavas 1. ģimnāzija,60.60%
ANG12,Jelgavas 4. vidusskola,56.40%
MAT12,Jelgavas 4. vidusskola,39.50%
LAT12,Jelgavas 4. vidusskola,60.20%
ANG12,Jelgavas 5. vidusskola,59.60%
MAT12,Jelgavas 5. vidusskola,59.50%
ANG12,Jelgavas 6. vidusskola,48.80%
MAT12,Jelgavas 6. vidusskola,48.20%
ANG12,Jelgavas AMAT12niecības vidusskola,35.60%
MAT12,Jelgavas AMAT12niecības vidusskola,16.20%
LAT12,Jelgavas AMAT12niecības vidusskola,32.70%
ANG12,Jelgavas AMAT12u vidusskola,32.70%
MAT12,Jelgavas AMAT12u vidusskola,14.80%
LAT12,Jelgavas AMAT12u vidusskola,33.10%
ANG12,Jelgavas Mūzikas vidusskola,48.80%
MAT12,Jelgavas Mūzikas vidusskola,40.20%
LAT12,Jelgavas Mūzikas vidusskola,51.30%
ANG12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,40.00%
MAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,15.80%
LAT12,Jelgavas novada Neklātienes vidusskolas Centra konsult. punkts,30.10%
ANG12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,41.40%
MAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,26.40%
LAT12,Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts,44.00%
ANG12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,44.70%
MAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,11.30%
LAT12,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,35.30%
ANG12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,14.60%
MAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,19.50%
LAT12,Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts,29.10%
ANG12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,25.00%
MAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,6.80%
LAT12,Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,25.00%
ANG12,Jelgavas Spīdolas ģimnāzija,66.30%
MAT12,Jelgavas Spīdolas ģimnāzija,45.10%
LAT12,Jelgavas Spīdolas ģimnāzija,66.20%
ANG12,Jelgavas Vakara (maiņu) vidusskola,38.00%
MAT12,Jelgavas Vakara (maiņu) vidusskola,18.10%
LAT12,Jelgavas Vakara (maiņu) vidusskola,45.40%
ANG12,Jelgavas Valsts ģimnāzija,66.70%
MAT12,Jelgavas Valsts ģimnāzija,51.10%
LAT12,Jelgavas Valsts ģimnāzija,66.60%
ANG12,Jēkabpils 2. vidusskola,36.50%
MAT12,Jēkabpils 2. vidusskola,35.40%
ANG12,Jēkabpils 3. vidusskola,47.60%
MAT12,Jēkabpils 3. vidusskola,33.10%
LAT12,Jēkabpils 3. vidusskola,53.30%
ANG12,Jēkabpils Agrobiznesa koledža,49.80%
MAT12,Jēkabpils Agrobiznesa koledža,31.20%
LAT12,Jēkabpils Agrobiznesa koledža,52.00%
ANG12,Jēkabpils vakara vidusskola,33.60%
MAT12,Jēkabpils vakara vidusskola,13.90%
LAT12,Jēkabpils vakara vidusskola,37.50%
ANG12,Jēkabpils Valsts ģimnāzija,62.80%
MAT12,Jēkabpils Valsts ģimnāzija,56.00%
LAT12,Jēkabpils Valsts ģimnāzija,67.00%
ANG12,Jumpravas vidusskola,60.00%
MAT12,Jumpravas vidusskola,48.20%
LAT12,Jumpravas vidusskola,62.50%
ANG12,Jūrmalas pilsētas Jaundubultu vidusskola,51.60%
MAT12,Jūrmalas pilsētas Jaundubultu vidusskola,41.80%
ANG12,Jūrmalas pilsētas Kauguru vidusskola,53.70%
MAT12,Jūrmalas pilsētas Kauguru vidusskola,47.20%
ANG12,Jūrmalas pilsētas Lielupes vidusskola,49.10%
MAT12,Jūrmalas pilsētas Lielupes vidusskola,34.50%
LAT12,Jūrmalas pilsētas Lielupes vidusskola,43.20%
ANG12,Jūrmalas pilsētas Mežmalas vidusskola,41.30%
MAT12,Jūrmalas pilsētas Mežmalas vidusskola,39.60%
ANG12,Jūrmalas vakara vidusskola,38.40%
MAT12,Jūrmalas vakara vidusskola,35.90%
LAT12,Jūrmalas vakara vidusskola,39.40%
ANG12,Jūrmalas Valsts ģimnāzija,64.20%
MAT12,Jūrmalas Valsts ģimnāzija,50.20%
LAT12,Jūrmalas Valsts ģimnāzija,62.40%
ANG12,Kalnciema pagasta vidusskola,33.90%
MAT12,Kalnciema pagasta vidusskola,28.60%
LAT12,Kalnciema pagasta vidusskola,47.20%
ANG12,Kalnciema vidusskola,39.30%
MAT12,Kalnciema vidusskola,16.70%
LAT12,Kalnciema vidusskola,43.70%
ANG12,Kandavas internātvidusskola,36.20%
MAT12,Kandavas internātvidusskola,49.70%
LAT12,Kandavas internātvidusskola,58.30%
ANG12,Kandavas Kārļa Mīlenbaha vidusskola,60.40%
MAT12,Kandavas Kārļa Mīlenbaha vidusskola,35.80%
LAT12,Kandavas Kārļa Mīlenbaha vidusskola,64.40%
ANG12,Kaunatas vidusskola,37.80%
MAT12,Kaunatas vidusskola,38.60%
LAT12,Kaunatas vidusskola,50.40%
ANG12,Kārļa Videnieka Rīgas 77. vidusskola,49.30%
MAT12,Kārļa Videnieka Rīgas 77. vidusskola,24.60%
LAT12,Kārļa Videnieka Rīgas 77. vidusskola,44.30%
ANG12,Kārsavas vidusskola,57.00%
MAT12,Kārsavas vidusskola,45.30%
LAT12,Kārsavas vidusskola,65.00%
ANG12,Krāslavas Valsts ģimnāzija,54.70%
MAT12,Krāslavas Valsts ģimnāzija,54.70%
LAT12,Krāslavas Valsts ģimnāzija,60.90%
ANG12,Krāslavas Varavīksnes vidusskola,43.20%
MAT12,Krāslavas Varavīksnes vidusskola,41.10%
LAT12,Krāslavas Varavīksnes vidusskola,32.30%
ANG12,Krimuldas vidusskola,57.20%
MAT12,Krimuldas vidusskola,39.70%
LAT12,Krimuldas vidusskola,59.00%
ANG12,Kuldīgas 2. vidusskola,44.00%
MAT12,Kuldīgas 2. vidusskola,23.90%
LAT12,Kuldīgas 2. vidusskola,45.30%
ANG12,Kuldīgas Centra vidusskola,49.90%
MAT12,Kuldīgas Centra vidusskola,41.90%
LAT12,Kuldīgas Centra vidusskola,60.20%
ANG12,Kuldīgas Mākslas un humanitāro zinību vidusskola,52.70%
MAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,42.80%
LAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,68.90%
ANG12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,25.50%
MAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,11.60%
LAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,34.70%
ANG12,Ķeguma komercnovirziena vidusskola,58.20%
MAT12,Ķeguma komercnovirziena vidusskola,40.60%
LAT12,Ķeguma komercnovirziena vidusskola,55.80%
ANG12,Ķekavas vidusskola,59.10%
MAT12,Ķekavas vidusskola,37.90%
LAT12,Ķekavas vidusskola,61.90%
ANG12,Ķemeru vidusskola,37.60%
MAT12,Ķemeru vidusskola,19.30%
LAT12,Ķemeru vidusskola,42.10%
ANG12,Laidzes Profesionālā vidusskola,29.70%
MAT12,Laidzes Profesionālā vidusskola,18.60%
LAT12,Laidzes Profesionālā vidusskola,34.60%
ANG12,Latgales AMAT12niecības meistaru skola,35.20%
MAT12,Latgales AMAT12niecības meistaru skola,37.00%
LAT12,Latgales AMAT12niecības meistaru skola,37.00%
ANG12,Latgales Transporta un sakaru tehniskā skola,31.40%
MAT12,Latgales Transporta un sakaru tehniskā skola,23.30%
LAT12,Latgales Transporta un sakaru tehniskā skola,33.30%
ANG12,Latvijas Jūras akadēmijas Jūrskola,44.10%
MAT12,Latvijas Jūras akadēmijas Jūrskola,27.20%
LAT12,Latvijas Jūras akadēmijas Jūrskola,33.90%
ANG12,Latvijas Universitāte,59.90%
MAT12,Latvijas Universitāte,39.60%
LAT12,Latvijas Universitāte,59.80%
ANG12,Lejasciema vidusskola,51.60%
MAT12,Lejasciema vidusskola,42.50%
LAT12,Lejasciema vidusskola,63.20%
ANG12,Liepājas 15. vidusskola,61.50%
MAT12,Liepājas 15. vidusskola,55.80%
LAT12,Liepājas 15. vidusskola,58.30%
ANG12,Liepājas 7. vidusskola,47.40%
MAT12,Liepājas 7. vidusskola,47.40%
ANG12,Liepājas 8. vidusskola,50.30%
MAT12,Liepājas 8. vidusskola,23.70%
LAT12,Liepājas 8. vidusskola,36.20%
ANG12,Liepājas A. Puškina 2. vidusskola,56.00%
MAT12,Liepājas A. Puškina 2. vidusskola,56.20%
ANG12,Liepājas Jūrniecības koledža,47.10%
MAT12,Liepājas Jūrniecības koledža,22.80%
LAT12,Liepājas Jūrniecības koledža,27.50%
ANG12,Liepājas mākslas vidusskola,44.40%
MAT12,Liepājas mākslas vidusskola,29.20%
LAT12,Liepājas mākslas vidusskola,52.40%
ANG12,Liepājas pilsētas 12. vidusskola,51.50%
MAT12,Liepājas pilsētas 12. vidusskola,49.80%
ANG12,Liepājas Raiņa 6. vidusskola,53.60%
MAT12,Liepājas Raiņa 6. vidusskola,36.70%
LAT12,Liepājas Raiņa 6. vidusskola,53.80%
ANG12,Liepājas Universitāte,74.20%
MAT12,Liepājas Universitāte,33.80%
LAT12,Liepājas Universitāte,51.90%
ANG12,Liepājas vakara (maiņu) vidusskola,31.70%
MAT12,Liepājas vakara (maiņu) vidusskola,16.90%
LAT12,Liepājas vakara (maiņu) vidusskola,41.00%
ANG12,Liepājas Valsts 1. ģimnāzija,59.80%
