Skola,skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
Siguldas Valsts ģimnāzija,10161310,LAT12,70.42%,67
Siguldas Valsts ģimnāzija,10161310,MAT12,67.32%,67
Siguldas Valsts ģimnāzija,10161310,ANG12,66.55%,67
Andreja Upīša Skrīveru vidusskola,10231401,MAT12,70.92%,19
Andreja Upīša Skrīveru vidusskola,10231401,ANG12,67.41%,17
Andreja Upīša Skrīveru vidusskola,10231401,LAT12,60.07%,19
Skrundas vidusskola,10331307,MAT12,62.37%,10
Skrundas vidusskola,10331307,LAT12,61.53%,10
Skrundas vidusskola,10331307,ANG12,54.12%,10
Skrundas Profesionālā vidusskola,10371406,LAT12,33.42%,6
Skrundas Profesionālā vidusskola,10371406,ANG12,25.54%,6
Skrundas Profesionālā vidusskola,10371406,MAT12,22.05%,7
Smiltenes Centra vidusskola,10431309,ANG12,54.41%,11
Smiltenes Centra vidusskola,10431309,LAT12,54.39%,11
Smiltenes Centra vidusskola,10431309,MAT12,44.03%,11
Smiltenes ģimnāzija,10451310,ANG12,62.32%,42
Smiltenes ģimnāzija,10451310,LAT12,57.42%,47
Smiltenes ģimnāzija,10451310,MAT12,47.22%,47
Smiltenes tehnikums,10471412,LAT12,39.27%,101
Smiltenes tehnikums,10471412,ANG12,34.80%,89
Smiltenes tehnikums,10471412,MAT12,22.04%,103
Ulbrokas vidusskola,10531303,ANG12,71.47%,13
Ulbrokas vidusskola,10531303,LAT12,60.67%,14
Ulbrokas vidusskola,10531303,MAT12,42.14%,14
Strenču novada vidusskola,10633303,ANG12,68.91%,5
Strenču novada vidusskola,10633303,MAT12,58.75%,5
Strenču novada vidusskola,10633303,LAT12,53.52%,5
Sabiles vidusskola,10731311,ANG12,50.43%,8
Sabiles vidusskola,10731311,LAT12,45.02%,8
Sabiles vidusskola,10731311,MAT12,42.58%,8
Talsu 2. vidusskola,10731316,LAT12,60.20%,53
Talsu 2. vidusskola,10731316,ANG12,55.81%,51
Talsu 2. vidusskola,10731316,MAT12,49.82%,52
Talsu Kristīgā vidusskola,10731317,ANG12,67.11%,10
Talsu Kristīgā vidusskola,10731317,LAT12,65.28%,10
Talsu Kristīgā vidusskola,10731317,MAT12,62.25%,10
Valdemārpils vidusskola,10731324,LAT12,49.68%,18
Valdemārpils vidusskola,10731324,ANG12,46.68%,18
Valdemārpils vidusskola,10731324,MAT12,41.53%,18
Talsu novada Vakara un neklātienes vidusskola,10741318,LAT12,44.21%,28
Talsu novada Vakara un neklātienes vidusskola,10741318,ANG12,39.22%,24
Talsu novada Vakara un neklātienes vidusskola,10741318,MAT12,19.24%,28
Talsu Valsts ģimnāzija,10761321,ANG12,75.16%,25
Talsu Valsts ģimnāzija,10761321,LAT12,61.97%,27
Talsu Valsts ģimnāzija,10761321,MAT12,54.47%,27
Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,ANG12,37.74%,32
Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,LAT12,34.34%,31
Profesionālās izglītības kompetences centrs Rīgas Valsts tehnikums Laidzes teritoriālā struktūrvienība,10771403,MAT12,26.21%,34
Augstkalnes vidusskola,10831402,LAT12,56.77%,12
Augstkalnes vidusskola,10831402,ANG12,49.08%,11
Augstkalnes vidusskola,10831402,MAT12,43.39%,12
Tukuma 2. vidusskola,10931313,LAT12,57.41%,39
Tukuma 2. vidusskola,10931313,ANG12,55.20%,39
Tukuma 2. vidusskola,10931313,MAT12,43.73%,37
Irlavas vidusskola,10931404,LAT12,48.86%,6
Irlavas vidusskola,10931404,MAT12,34.17%,6
Irlavas vidusskola,10931404,ANG12,31.28%,6
Tumes vidusskola,10931420,ANG12,68.16%,4
Tumes vidusskola,10931420,LAT12,48.58%,6
Tumes vidusskola,10931420,MAT12,30.31%,6
Zemgales vidusskola,10931421,LAT12,48.91%,12
Zemgales vidusskola,10931421,ANG12,45.27%,12
Zemgales vidusskola,10931421,MAT12,42.29%,12
Tukuma Vakara un neklātienes vidusskola,10941319,ANG12,50.00%,21
Tukuma Vakara un neklātienes vidusskola,10941319,LAT12,44.17%,28
Tukuma Vakara un neklātienes vidusskola,10941319,MAT12,22.31%,27
Tukuma Raiņa ģimnāzija,10951317,ANG12,65.73%,41
Tukuma Raiņa ģimnāzija,10951317,LAT12,59.18%,43
Tukuma Raiņa ģimnāzija,10951317,MAT12,55.72%,43
Vaiņodes vidusskola,11031402,LAT12,44.31%,12
Vaiņodes vidusskola,11031402,MAT12,40.26%,12
Vaiņodes vidusskola,11031402,ANG12,36.57%,12
Valkas ģimnāzija,11151304,ANG12,62.10%,37
Valkas ģimnāzija,11151304,LAT12,55.02%,43
Valkas ģimnāzija,11151304,MAT12,50.27%,43
Valmieras 5. vidusskola,11331204,LAT12,49.56%,39
Valmieras 5. vidusskola,11331204,ANG12,46.38%,37
Valmieras 5. vidusskola,11331204,MAT12,32.02%,39
Valmieras Viestura vidusskola,11331213,ANG12,63.74%,54
Valmieras Viestura vidusskola,11331213,LAT12,60.32%,54
Valmieras Viestura vidusskola,11331213,MAT12,50.68%,54
Valmieras 2. vidusskola,11333201,ANG12,44.57%,15
Valmieras 2. vidusskola,11333201,MAT12,43.44%,14
Valmieras 2. vidusskola,11333201,LAT12,41.64%,14
Valmieras 2.vidusskolas filiāle,11341202,LAT12,44.55%,24
Valmieras 2.vidusskolas filiāle,11341202,ANG12,33.55%,15
Valmieras 2.vidusskolas filiāle,11341202,MAT12,25.62%,25
Valmieras Pārgaujas ģimnāzija,11351207,ANG12,65.05%,74
Valmieras Pārgaujas ģimnāzija,11351207,LAT12,63.93%,81
Valmieras Pārgaujas ģimnāzija,11351207,MAT12,54.42%,81
Valmieras Valsts ģimnāzija,11361212,ANG12,68.27%,103
Valmieras Valsts ģimnāzija,11361212,LAT12,63.94%,103
Valmieras Valsts ģimnāzija,11361212,MAT12,52.01%,103
Valmieras Mākslas vidusskola,11371205,ANG12,50.90%,18
Valmieras Mākslas vidusskola,11371205,LAT12,47.03%,9
Valmieras Mākslas vidusskola,11371205,MAT12,29.03%,9
Valmieras tehnikums,11371216,LAT12,44.35%,90
Valmieras tehnikums,11371216,ANG12,36.59%,92
Valmieras tehnikums,11371216,MAT12,22.95%,92
Vidzemes Augstskola,11391212,LAT12,84.09%,1
Vidzemes Augstskola,11391212,ANG12,83.04%,2
Vidzemes Augstskola,11391212,MAT12,72.50%,1
Varakļānu vidusskola,11431303,LAT12,57.60%,16
Varakļānu vidusskola,11431303,ANG12,56.87%,16
Varakļānu vidusskola,11431303,MAT12,49.06%,16
Vārkavas vidusskola,11531404,LAT12,58.14%,12
Vārkavas vidusskola,11531404,MAT12,56.09%,12
Vārkavas vidusskola,11531404,ANG12,48.16%,12
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11631401,LAT12,47.15%,1
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,11631401,MAT12,13.75%,2
Vecpiebalgas vidusskola,11631405,ANG12,52.08%,16
Vecpiebalgas vidusskola,11631405,LAT12,51.63%,16
Vecpiebalgas vidusskola,11631405,MAT12,39.61%,16
Misas vidusskola,11731402,LAT12,58.47%,11
Misas vidusskola,11731402,ANG12,54.21%,10
Misas vidusskola,11731402,MAT12,48.41%,11
Skaistkalnes vidusskola,11731403,ANG12,45.49%,11
Skaistkalnes vidusskola,11731403,LAT12,42.66%,12
Skaistkalnes vidusskola,11731403,MAT12,37.86%,12
Vecumnieku novada Domes Valles vidusskola,11731406,ANG12,63.46%,7
Vecumnieku novada Domes Valles vidusskola,11731406,LAT12,61.28%,7
Vecumnieku novada Domes Valles vidusskola,11731406,MAT12,42.41%,7
Vecumnieku vidusskola,11731407,ANG12,62.52%,13
Vecumnieku vidusskola,11731407,MAT12,49.64%,14
Vecumnieku vidusskola,11731407,LAT12,46.50%,14
Piltenes vidusskola,11831303,LAT12,45.67%,5
Piltenes vidusskola,11831303,MAT12,28.37%,5
Piltenes vidusskola,11831303,ANG12,28.37%,4
Ugāles vidusskola,11831408,MAT12,57.90%,11
Ugāles vidusskola,11831408,ANG12,54.08%,10
Ugāles vidusskola,11831408,LAT12,49.64%,11
Ventspils 4. vidusskola,11931208,ANG12,65.21%,64
Ventspils 4. vidusskola,11931208,MAT12,57.41%,64
Ventspils 4. vidusskola,11931208,LAT12,56.07%,64
Ventspils 5. vidusskola,11931209,LAT12,59.61%,13
Ventspils 5. vidusskola,11931209,ANG12,46.98%,9
Ventspils 5. vidusskola,11931209,MAT12,43.99%,13
Ventspils 2. vidusskola,11933206,MAT12,67.22%,32
Ventspils 2. vidusskola,11933206,ANG12,62.08%,33
Ventspils 2. vidusskola,11933206,LAT12,43.96%,32
Ventspils 3. vidusskola,11933207,MAT12,54.51%,23
Ventspils 3. vidusskola,11933207,ANG12,52.77%,23
Ventspils 3. vidusskola,11933207,LAT12,36.73%,23
Ventspils 6. vidusskola,11933210,ANG12,59.96%,43
Ventspils 6. vidusskola,11933210,MAT12,52.70%,43
Ventspils 6. vidusskola,11933210,LAT12,52.53%,43
Ventspils vakara vidusskola,11943214,ANG12,41.72%,27
Ventspils vakara vidusskola,11943214,LAT12,37.48%,36
Ventspils vakara vidusskola,11943214,MAT12,21.05%,35
Ventspils 1. ģimnāzija,11951203,ANG12,70.49%,44
Ventspils 1. ģimnāzija,11951203,LAT12,65.44%,46
Ventspils 1. ģimnāzija,11951203,MAT12,59.94%,46
Ventspils Mūzikas vidusskola,11971212,LAT12,54.34%,25
Ventspils Mūzikas vidusskola,11971212,ANG12,48.96%,25
Ventspils Mūzikas vidusskola,11971212,MAT12,29.54%,11
Ventspils Tehnikums,11971216,ANG12,42.07%,90
Ventspils Tehnikums,11971216,LAT12,36.40%,106
Ventspils Tehnikums,11971216,MAT12,18.58%,106
Viesītes vidusskola,12031303,LAT12,49.09%,17
Viesītes vidusskola,12031303,MAT12,45.95%,17
Viesītes vidusskola,12031303,ANG12,40.21%,15
Rekavas vidusskola,12131411,MAT12,66.25%,19
Rekavas vidusskola,12131411,LAT12,49.07%,19
Rekavas vidusskola,12131411,ANG12,42.99%,13
Viļakas Valsts ģimnāzija,12161321,MAT12,61.22%,20
Viļakas Valsts ģimnāzija,12161321,LAT12,60.25%,20
Viļakas Valsts ģimnāzija,12161321,ANG12,54.37%,13
Viļānu vidusskola,12233303,ANG12,59.52%,22
Viļānu vidusskola,12233303,LAT12,53.74%,34
Viļānu vidusskola,12233303,MAT12,50.95%,34
Zilupes vidusskola,12333303,MAT12,36.08%,18
Zilupes vidusskola,12333303,ANG12,36.06%,17
Zilupes vidusskola,12333303,LAT12,24.17%,18
