Nosaukums,Skolas kods,Kopvērtējums,Skaits,Priekšmets
Mārupes pamatskola,6621302,54.13%,10,MAT9
Mārupes vidusskola,6631303,67.17%,90,MAT9
Naukšēnu novada vidusskola,6731402,62.59%,17,MAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",6781404,64.89%,3,MAT9
Mazzalves pamatskola,6821401,53.50%,8,MAT9
Sproģu pamatskola,6821403,50.00%,2,MAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,58.00%,24,MAT9
Rudes pamatskola,6921402,76.00%,3,MAT9
Nīcas vidusskola,6931401,65.73%,17,MAT9
Madlienas vidusskolas Krapes filiāle,7021402,49.33%,3,MAT9
Ķeipenes pamatskola,7021403,65.48%,9,MAT9
Ogresgala pamatskola,7021415,44.10%,13,MAT9
Taurupes pamatskola,7021419,48.00%,5,MAT9
Ogres 1. vidusskola,7031308,65.96%,72,MAT9
Madlienas vidusskola,7031405,58.12%,22,MAT9
Mazozolu filiāle,7031406,32.67%,2,MAT9
Suntažu vidusskola,7031418,50.89%,30,MAT9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,26.67%,3,MAT9
Ogres Valsts ģimnāzija,7061314,59.67%,93,MAT9
Suntažu internātpamatskola - rehabilitācijas centrs,7081416,46.00%,2,MAT9
Olaines 1. vidusskola,7131301,62.21%,64,MAT9
Olaines 2. vidusskola,7132302,47.45%,51,MAT9
Garozas pamatskola,7221401,56.57%,7,MAT9
Salgales pamatskola,7221403,50.37%,9,MAT9
Teteles pamatskola,7223404,57.73%,17,MAT9
Ozolnieku vidusskola,7231402,68.81%,36,MAT9
Straupes pamatskola,7321406,57.17%,8,MAT9
Stalbes vidusskola,7331405,47.33%,12,MAT9
Vērgales pamatskola,7421402,63.49%,13,MAT9
Pāvilostas vidusskola,7431301,50.48%,14,MAT9
Pļaviņu novada ģimnāzija,7551302,54.27%,34,MAT9
Preiļu 1. pamatskola,7621304,62.24%,56,MAT9
Pelēču pamatskola,7621402,68.76%,7,MAT9
Salas pamatskola,7621409,54.93%,5,MAT9
Preiļu 2. vidusskola,7633305,59.05%,14,MAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,44.44%,3,MAT9
Gramzdas pamatskola,7721401,49.07%,5,MAT9
Kalētu pamatskola,7721402,71.67%,8,MAT9
Krotes Kronvalda Ata pamatskola,7721403,28.57%,7,MAT9
Virgas pamatskola,7721406,43.56%,12,MAT9
Priekules vidusskola,7731304,45.23%,13,MAT9
Liepas pamatskola,7821402,52.38%,14,MAT9
Mārsnēnu pamatskola,7821403,51.43%,7,MAT9
Priekuļu vidusskola,7831404,52.00%,22,MAT9
Drustu pamatskola,7921402,58.00%,8,MAT9
Raunas vidusskola,7931403,56.59%,18,MAT9
Rikavas pamatskola,8021327,61.83%,8,MAT9
Bērzgales pamatskola,8021404,54.00%,8,MAT9
Feimaņu pamatskola,8021407,56.00%,10,MAT9
Gaigalavas pamatskola,8021408,60.59%,9,MAT9
Jaunstrūžānu pamatskola,8021410,43.24%,7,MAT9
Kalnezeru Katoļu pamatskola,8021411,34.55%,11,MAT9
Rēznas pamatskola,8021426,41.04%,9,MAT9
Verēmu pamatskola,8021433,69.03%,13,MAT9
Audriņu pamatskola,8022402,62.17%,8,MAT9
Zarečnajas pamatskola,8023335,54.13%,5,MAT9
Sakstagala Jāņa Klīdzēja pamatskola,8023428,56.07%,18,MAT9
Dricānu vidusskola,8031406,41.81%,14,MAT9
Nautrēnu vidusskola,8031424,52.00%,19,MAT9
Liepu pamatskola,8032315,58.52%,9,MAT9
Tiskādu vidusskola,8032432,53.54%,13,MAT9
Kaunatas vidusskola,8033412,47.52%,22,MAT9
Kruķu pamatskola,8033413,65.11%,6,MAT9
Maltas vidusskola,8033420,49.58%,44,MAT9
Rēzeknes 5. vidusskola,8131208,68.24%,56,MAT9
Rēzeknes Katoļu vidusskola,8131210,78.07%,20,MAT9
Rēzeknes 2. vidusskola,8132205,60.37%,58,MAT9
Rēzeknes 4. vidusskola,8132207,58.80%,20,MAT9
Rēzeknes 6. vidusskola,8132209,61.12%,37,MAT9
Rēzeknes 3. vidusskola,8133206,66.57%,29,MAT9
Rēzeknes valsts poļu ģimnāzija,8154215,56.13%,32,MAT9
Rēzeknes Valsts 1. ģimnāzija,8161214,66.54%,51,MAT9
Rēzeknes logopēdiskā internātpamatskola,8181211,34.13%,5,MAT9
Dravnieku pamatskola,8221401,53.33%,5,MAT9
Galēnu pamatskola,8221403,54.67%,6,MAT9
Rušonas pamatskola,8221405,54.83%,8,MAT9
Sīļukalna pamatskola,8221407,53.07%,10,MAT9
Riebiņu vidusskola,8231404,49.70%,18,MAT9
"Pamatskola ""Rīdze""",8321104,71.32%,43,MAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,8321107,60.40%,40,MAT9
Rīgas Centra daiļamatniecības pamatskola,8321116,60.58%,37,MAT9
Rīgas Centra humanitārā vidusskola,8331117,68.73%,79,MAT9
Rīgas Natālijas Draudziņas vidusskola ,8331137,63.67%,28,MAT9
Rīgas 22. vidusskola,8332109,73.28%,72,MAT9
Rīgas 40. vidusskola,8332111,80.47%,90,MAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,24.00%,11,MAT9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,53.83%,8,MAT9
Rīgas Valsts 1. ģimnāzija,8361130,96.15%,126,MAT9
Rīgas Valsts 3. ģimnāzija,8361131,80.67%,128,MAT9
Rīgas Valdorfskola,8421133,64.21%,13,MAT9
Iļģuciema vidusskola,8431106,57.45%,35,MAT9
"Privātā vidusskola ""Patnis""",8431110,54.07%,9,MAT9
Rīgas 19. vidusskola,8431114,39.41%,34,MAT9
Rīgas 41. vidusskola,8431117,45.98%,31,MAT9
Rīgas 69. vidusskola,8431120,68.81%,33,MAT9
Rīgas Imantas vidusskola,8431128,58.71%,58,MAT9
"Privātskola ""Latreia""",8432112,56.50%,8,MAT9
Rīgas 33. vidusskola,8432115,54.69%,59,MAT9
Rīgas 34. vidusskola,8432116,72.74%,72,MAT9
Rīgas 54. vidusskola,8432118,66.67%,30,MAT9
Rīgas 96. vidusskola,8432123,62.98%,55,MAT9
Rīgas Daugavgrīvas vidusskola,8432126,59.02%,49,MAT9
"Privātā vidusskola ""Templum""",8433111,88.00%,2,MAT9
Rīgas 71. vidusskola,8433121,63.27%,42,MAT9
Rīgas Anniņmuižas vidusskola,8433125,65.08%,47,MAT9
Rīgas Ostvalda vidusskola,8433130,62.70%,37,MAT9
Rīgas Valsts vācu ģimnāzija,8461134,68.97%,95,MAT9
Emīla Dārziņa mūzikas vidusskola,8471104,69.08%,26,MAT9
Rīgas Doma kora skola,8471114,75.68%,25,MAT9
Andreja Pumpura Rīgas 11. pamatskola,8521101,56.03%,40,MAT9
Rīgas Avotu pamatskola,8521105,36.95%,14,MAT9
Rīgas Pļavnieku pamatskola,8521150,42.34%,45,MAT9
"Privātā pamatskola ""Maksima""",8522108,85.07%,15,MAT9
"Privātā pamatskola ""RIMS-Rīga International meridian school""",8523149,53.00%,8,MAT9
Jankas Kupalas Rīgas Baltkrievu pamatskola,8524127,60.95%,28,MAT9
Rīgas 25. vidusskola,8531115,54.05%,78,MAT9
Rīgas 6. vidusskola,8531118,62.37%,58,MAT9
Rīgas 93. vidusskola,8531129,55.85%,55,MAT9
Rīgas Kristīgā vidusskola,8531134,51.13%,23,MAT9
Rīgas Lietuviešu vidusskola,8531137,51.11%,27,MAT9
Habad Ebreju privātā vidusskola,8532102,57.67%,4,MAT9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",8532104,68.29%,14,MAT9
Rīgas Austrumu vidusskola,8532116,60.70%,21,MAT9
Rīgas 51. vidusskola,8532117,64.40%,43,MAT9
Rīgas 65. vidusskola,8532120,64.83%,32,MAT9
Rīgas 72. vidusskola,8532121,56.84%,87,MAT9
Rīgas 75. vidusskola,8532122,50.62%,53,MAT9
Rīgas 86. vidusskola,8532123,68.28%,48,MAT9
Rīgas 88. vidusskola,8532124,59.85%,89,MAT9
J.G.Herdera Rīgas Grīziņkalna vidusskola,8532134,53.84%,34,MAT9
Rīgas Sergeja Žoltoka vidusskola,8532141,60.89%,27,MAT9
Rīgas Ķengaraga vidusskola,8532146,61.06%,59,MAT9
Rīgas 1. vidusskola,8533111,38.82%,17,MAT9
Rīgas 15. vidusskola,8533113,42.67%,22,MAT9
Rīgas 92. vidusskola,8533126,56.37%,54,MAT9
Rīgas Ukraiņu vidusskola,8534145,50.97%,26,MAT9
Rīgas Tālmācības vidusskola,8541105,36.49%,27,MAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,40.76%,7,MAT9
Rīgas vakara ģimnāzija,8543147,56.00%,24,MAT9
Rīgas 1. Tālmācības vidusskola,8543150,43.11%,24,MAT9
Rīgas pilsētas Pļavnieku ģimnāzija,8551138,55.13%,20,MAT9
Rīgas Lastādijas internātpamatskola,8583135,43.52%,14,MAT9
Mežciema pamatskola,8621104,69.37%,36,MAT9
"Pamatskola ""Harmonija""",8621105,61.87%,5,MAT9
Rīgas Ezerkrastu pamatskola,8621131,44.24%,11,MAT9
"privātā vidusskola ""Norma""",8631109,70.22%,9,MAT9
Rīgas 45. vidusskola,8631117,50.91%,43,MAT9
Rīgas 49. vidusskola,8631118,77.44%,64,MAT9
Rīgas 64. vidusskola,8631122,76.40%,81,MAT9
Rīgas 84. vidusskola,8631125,67.11%,54,MAT9
Rīgas 85. vidusskola,8631126,53.74%,23,MAT9
Rīgas Hanzas vidusskola,8631133,61.54%,63,MAT9
Rīgas Juglas vidusskola,8631136,67.63%,64,MAT9
Rīgas Teikas vidusskola,8631143,70.61%,93,MAT9
Rīgas 60. vidusskola,8632120,60.61%,46,MAT9
Rīgas 63. vidusskola,8632121,45.10%,51,MAT9
Rīgas 74. vidusskola,8632123,56.75%,32,MAT9
Rīgas Purvciema vidusskola,8632139,75.86%,96,MAT9
Š. Dubnova Rīgas Ebreju vidusskola,8632145,60.95%,14,MAT9
Biznesa un vadības privātvidusskola,8633102,27.33%,2,MAT9
"Privātā vidusskola ""Klasika""",8633107,63.08%,13,MAT9
"Privātā vidusskola ""Laisma""",8633109,73.87%,5,MAT9
Rīgas 21. vidusskola,8633113,52.56%,26,MAT9
Rīgas 80. vidusskola,8633124,61.40%,60,MAT9
Rīgas 89. vidusskola,8633127,62.44%,42,MAT9
Rīgas Itas Kozakēvičas Poļu vidusskola,8634135,74.00%,36,MAT9
Rīgas 9. vakara (maiņu) vidusskola,8643128,29.91%,23,MAT9
Rīgas Franču licejs,8651132,72.54%,52,MAT9
Rīgas Centra krievu privātģimnāzija,8652130,26.67%,1,MAT9
Rīgas Klasiskā ģimnāzija,8652137,70.35%,122,MAT9
Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem,8681144,73.33%,2,MAT9
Friča Brīvzemnieka pamatskola,8721101,45.65%,21,MAT9
Rīgas Igauņu pamatskola,8721129,56.67%,4,MAT9
Rīgas Pārdaugavas pamatskola,8722120,52.00%,15,MAT9
Rīgas 47. vidusskola,8731105,51.38%,32,MAT9
Rīgas 94. vidusskola,8731110,64.72%,39,MAT9
Rīgas 53. vidusskola,8732107,62.58%,16,MAT9
Rīgas 61. vidusskola,8732108,39.79%,26,MAT9
Rīgas 95. vidusskola,8732111,61.68%,76,MAT9
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,69.90%,7,MAT9
Rīgas 14. vakara (maiņu) vidusskola,8743103,34.83%,8,MAT9
Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,4.53%,5,MAT9
Rīgas Angļu ģimnāzija,8751112,66.42%,55,MAT9
Rīgas Katoļu ģimnāzija,8751118,36.33%,4,MAT9
Ziemeļvalstu ģimnāzija,8751128,66.25%,51,MAT9
Rīgas Zolitūdes ģimnāzija,8752125,75.18%,121,MAT9
Āgenskalna Valsts ģimnāzija,8761103,79.32%,88,MAT9
Rīgas Mūzikas internātvidusskola,8781118,24.44%,12,MAT9
Rīgas 7. pamatskola,8821112,57.90%,7,MAT9
Rīgas 28. vidusskola,8831107,37.51%,31,MAT9
Rīgas 31. vidusskola,8831109,52.21%,32,MAT9
Rīgas Jāņa Poruka vidusskola,8831113,42.67%,22,MAT9
Rīgas Kultūru vidusskola,8831114,65.94%,22,MAT9
Puškina licejs,8832103,65.10%,46,MAT9
Rīgas 10. vidusskola,8832104,77.33%,72,MAT9
Rīgas 29. vidusskola,8832108,34.57%,14,MAT9
Rīgas 46. vidusskola,8832111,49.13%,32,MAT9
Rīgas Rīnūžu vidusskola,8832117,75.22%,46,MAT9
Rīgas 13. vidusskola,8833105,74.09%,44,MAT9
Rīgas 37. vidusskola,8833110,64.08%,16,MAT9
Rīgas 18. vakara (maiņu) vidusskola,8843106,30.04%,19,MAT9
Rīgas Valsts 2. ģimnāzija,8861121,86.80%,89,MAT9
Rīgas 66. speciālā vidusskola,8883112,62.05%,13,MAT9
Rojas vidusskola,8931402,48.40%,27,MAT9
Zaķumuižas pamatskola,9021303,58.44%,12,MAT9
Ropažu vidusskola,9031301,47.52%,14,MAT9
Rucavas pamatskola,9121401,63.56%,9,MAT9
Sikšņu pamatskola,9121402,56.22%,6,MAT9
Rugāju novada Eglaines pamatskola,9221401,48.95%,7,MAT9
Rugāju novada vidusskola,9231402,43.90%,14,MAT9
Pilsrundāles vidusskola,9331401,71.21%,22,MAT9
Rūjienas vidusskola,9431304,52.21%,38,MAT9
Krišjāņa Valdemāra Ainažu pamatskola,9521301,55.41%,9,MAT9
Salacgrīvas vidusskola,9531303,51.71%,28,MAT9
Liepupes vidusskola,9531402,58.00%,12,MAT9
Biržu pamatskola,9621403,41.33%,9,MAT9
Salas vidusskola,9631404,60.33%,12,MAT9
Biržu internātpamatskola,9681402,46.75%,16,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,59.67%,52,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,59.91%,62,MAT9
Saldus pamatskola,9821319,58.58%,32,MAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,9821407,48.76%,7,MAT9
Saldus novada pašvaldības Kursīšu pamatskola,9821409,51.62%,7,MAT9
Saldus novada pašvaldības Lutriņu pamatskola,9821411,49.00%,12,MAT9
Saldus novada pašvaldības Nīgrandes pamatskola,9821412,63.11%,9,MAT9
Saldus novada pašvaldības Pampāļu pamatskola,9821413,60.33%,8,MAT9
Saldus novada pašvaldības Rubas pamatskola,9821414,51.89%,12,MAT9
Saldus novada pašvaldības Striķu pamatskola,9821417,55.00%,4,MAT9
Saldus novada pašvaldības Zirņu pamatskola,9821418,61.33%,10,MAT9
Saldus 2. vidusskola,9831302,70.38%,33,MAT9
Saldus 1.vidusskola,9831303,56.07%,38,MAT9
Saldus novada pašvaldības Druvas vidusskola,9831405,68.46%,23,MAT9
Saldus novada pašvaldības Ezeres vidusskola,9831406,62.67%,15,MAT9
Saldus novada pašvaldības Kalnu vidusskola,9831408,62.15%,26,MAT9
Saldus Vakara vidusskola,9841322,61.67%,4,MAT9
Saldus novada pašvaldības Cieceres internātpamatskola,9881304,40.82%,13,MAT9
Saulkrastu vidusskola,9931301,59.27%,11,MAT9
Zvejniekciema vidusskola,9931302,72.18%,15,MAT9
Sējas pamatskola,10021303,62.67%,8,MAT9
Murjāņu sporta ģimnāzija,10051301,54.24%,34,MAT9
Siguldas 1. pamatskola,10121304,56.68%,39,MAT9
Allažu pamatskola,10121402,60.00%,14,MAT9
Mores pamatskola,10121403,35.20%,5,MAT9
Siguldas pilsētas vidusskola,10133311,61.93%,18,MAT9
Siguldas Valsts ģimnāzija,10161310,74.92%,64,MAT9
Andreja Upīša Skrīveru vidusskola,10231401,69.98%,29,MAT9
Nīkrāces pamatskola,10321403,46.22%,6,MAT9
Oskara Kalpaka Rudbāržu pamatskola,10321404,53.93%,9,MAT9
Skrundas vidusskola,10331307,57.67%,36,MAT9
Bilskas pamatskola,10421401,44.67%,6,MAT9
Grundzāles pamatskola,10421405,64.57%,7,MAT9
Palsmanes pamatskola,10421407,50.67%,8,MAT9
Smiltenes Centra vidusskola,10431309,48.98%,30,MAT9
Smiltenes ģimnāzija,10451310,66.58%,44,MAT9
Stopiņu pamatskola,10522302,63.87%,10,MAT9
Ulbrokas vidusskola,10531303,55.22%,55,MAT9
Upesleju internātpamatskola - rehabilitācijas centrs,10581304,22.67%,6,MAT9
Strenču novada vidusskola,10633303,46.88%,25,MAT9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola""",10721301,74.17%,8,MAT9
Stendes pamatskola,10721313,52.85%,11,MAT9
Talsu pamatskola,10721319,69.75%,16,MAT9
"filiāle ""Laidzes pamatskola""",10721402,71.20%,5,MAT9
Laucienes pamatskola,10721404,52.00%,9,MAT9
Pastendes pamatskola,10721408,58.83%,8,MAT9
Pūņu pamatskola,10721410,70.00%,16,MAT9
Virbu pamatskola,10721427,49.17%,8,MAT9
Vandzenes pamatskola,10721428,56.57%,7,MAT9
Sabiles vidusskola,10731311,47.29%,15,MAT9
Talsu 2. vidusskola,10731316,60.03%,53,MAT9
Talsu Kristīgā vidusskola,10731317,72.08%,16,MAT9
Valdemārpils vidusskola,10731324,52.82%,26,MAT9
Talsu novada Vakara un neklātienes vidusskola,10741318,26.22%,18,MAT9
Talsu Valsts ģimnāzija,10761321,62.84%,31,MAT9
Annas Brigaderes pamatskola,10821401,40.09%,15,MAT9
Augstkalnes vidusskola,10831402,63.73%,15,MAT9
Tukuma 2. pamatskola,10921312,62.29%,32,MAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,10921316,47.46%,27,MAT9
Džūkstes pamatskola,10921402,48.75%,23,MAT9
Pūres pamatskola,10921409,52.44%,15,MAT9
Tukuma 3. pamatskola,10923314,74.67%,17,MAT9
Tukuma 2. vidusskola,10931313,50.78%,49,MAT9
Irlavas vidusskola,10931404,53.24%,15,MAT9
Tumes vidusskola,10931420,48.37%,18,MAT9
Zemgales vidusskola (Tukuma novads),10931421,52.84%,19,MAT9
Tukuma Vakara un neklātienes vidusskola,10941319,27.85%,9,MAT9
Tukuma Raiņa ģimnāzija,10951317,67.65%,34,MAT9
Vaiņodes vidusskola,11031402,51.64%,22,MAT9
Vaiņodes internātpamatskola,11081401,45.67%,8,MAT9
Valkas pamatskola,11121305,39.69%,17,MAT9
Ērģemes pamatskola,11121401,68.33%,4,MAT9
Kārķu pamatskola,11121402,54.13%,5,MAT9
Ozolu pamatskola,11121403,45.33%,7,MAT9
Vijciema pamatskola,11121406,44.89%,3,MAT9
Valkas ģimnāzija,11151304,62.67%,44,MAT9
Jaunburtnieku pamatskola,11221402,49.58%,22,MAT9
Jura Neikena Dikļu pamatskola,11221405,44.67%,6,MAT9
Kocēnu pamatskola,11221406,56.12%,11,MAT9
Rubenes pamatskola,11221407,65.83%,8,MAT9
Valmieras 5. vidusskola,11331204,46.17%,27,MAT9
Valmieras Viestura vidusskola,11331213,62.23%,58,MAT9
Valmieras 2. vidusskola,11333201,53.76%,25,MAT9
Valmieras 2.vidusskolas filiāle,11341202,27.75%,16,MAT9
Valmieras Pārgaujas ģimnāzija,11351207,66.83%,83,MAT9
Valmieras Valsts ģimnāzija,11361212,65.78%,71,MAT9
Valmieras vājdzirdīgo bērnu internātvidusskola - attīstības centrs,11381210,44.67%,2,MAT9
Murmastienes pamatskola,11421401,65.78%,6,MAT9
Varakļānu novada pašvaldības Stirnienes pamatskola,11421402,89.33%,1,MAT9
Varakļānu vidusskola,11431303,54.93%,15,MAT9
Vārkavas pamatskola,11521403,48.33%,4,MAT9
Vārkavas vidusskola,11531404,49.11%,12,MAT9
Dzērbenes vispārizglītojošā un mūzikas pamatskola,11621402,56.00%,4,MAT9
Inešu pamatskola,11621403,61.67%,4,MAT9
Taurenes pamatskola,11621404,28.89%,3,MAT9
Vecpiebalgas vidusskola,11631405,42.85%,22,MAT9
Stelpes pamatskola,11721404,42.13%,5,MAT9
Misas vidusskola,11731402,40.82%,13,MAT9
Skaistkalnes vidusskola,11731403,62.76%,14,MAT9
Vecumnieku novada Domes Valles vidusskola,11731406,65.90%,7,MAT9
Vecumnieku vidusskola,11731407,53.58%,32,MAT9
Ances pamatskola,11821401,63.11%,3,MAT9
Jūrkalnes pamatskola,11821402,49.07%,5,MAT9
Popes pamatskola,11821404,48.57%,7,MAT9
Puzes pamatskola,11821405,41.95%,13,MAT9
Tārgales pamatskola,11821407,67.33%,10,MAT9
Užavas pamatskola,11821410,75.11%,9,MAT9
Zlēku pamatskola,11821412,62.67%,2,MAT9
Zūru pamatskola,11821413,58.19%,14,MAT9
Piltenes vidusskola,11831303,59.83%,8,MAT9
Ugāles vidusskola,11831408,56.15%,18,MAT9
Ventspils 1. pamatskola,11921204,67.52%,22,MAT9
Ventspils 2. pamatskola,11921205,68.64%,23,MAT9
Ventspils 4. vidusskola,11931208,61.37%,65,MAT9
Ventspils 5. vidusskola,11931209,63.50%,16,MAT9
Ventspils 2. vidusskola,11933206,75.63%,51,MAT9
Ventspils 3. vidusskola,11933207,44.76%,30,MAT9
Ventspils 6. vidusskola,11933210,62.43%,68,MAT9
Ventspils vakara vidusskola,11943214,23.78%,12,MAT9
Rites pamatskola,12021401,58.67%,8,MAT9
Viesītes vidusskola,12031303,52.00%,21,MAT9
Upītes pamatskola,12121416,36.22%,6,MAT9
Viduču pamatskola,12121418,48.67%,4,MAT9
Žīguru pamatskola,12121423,57.70%,11,MAT9
Rekavas vidusskola,12131411,54.67%,12,MAT9
Viļakas Valsts ģimnāzija,12161321,57.44%,12,MAT9
Dekšāru pamatskola,12221401,61.73%,10,MAT9
Viļānu vidusskola,12233303,54.03%,40,MAT9
Zilupes vidusskola,12333303,61.96%,38,MAT9
Zilupes arodvidusskola,12373302,43.52%,11,MAT9
Mērsraga vidusskola,12631401,57.18%,17,MAT9
