IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Gardenes pamatskola,63.25%,14,LAT9
Garkalnes Mākslu un vispārizglītojošā vidusskola (prof.),56.98%,17,LAT9
Garlība Merķeļa Lēdurgas pamatskola,70.70%,13,LAT9
Garozas pamatskola,70.13%,7,LAT9
Gaujienas internātpamatskola,67.12%,6,LAT9
Gaviezes pamatskola,59.68%,7,LAT9
Gramzdas pamatskola,69.39%,6,LAT9
Griķu pamatskola,58.98%,4,LAT9
Grobiņas ģimnāzija,60.07%,50,LAT9
Grundzāles pamatskola,67.16%,8,LAT9
Gulbenes 2. vidusskola,69.30%,28,LAT9
Gulbenes novada valsts ģimnāzija,69.45%,20,LAT9
Gulbenes vidusskola,65.85%,22,LAT9
Gulbīša vidusskola,65.52%,7,LAT9
Iecavas internātpamatskola,73.94%,6,LAT9
Iecavas vidusskola,68.68%,48,LAT9
Ikšķiles vidusskola,63.27%,51,LAT9
Ilmāra Gaiša Kokneses vidusskola,67.52%,31,LAT9
Ilūkstes 1. vidusskola,71.53%,16,LAT9
Ilzenes pamatskola,62.27%,4,LAT9
Iļģuciema vidusskola,56.01%,28,LAT9
Inčukalna pamatskola,69.45%,23,LAT9
Indras pamatskola,45.96%,9,LAT9
Inešu pamatskola (prof.),68.56%,6,LAT9
IPĪV_Dagda (prof.) (strukt.),50.71%,7,LAT9
Irlavas vidusskola,64.52%,16,LAT9
Īslīces vidusskola,67.30%,15,LAT9
Izvaltas pamatskola,53.94%,9,LAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,69.51%,36,LAT9
J. Endzelīna Kauguru pamatskola,73.53%,17,LAT9
Jāņa Zālīša Sausnējas pamatskola,69.55%,7,LAT9
Jaunannas Mūzikas un mākslas pamatskola (prof.),74.29%,7,LAT9
Jaunburtnieku pamatskola,56.02%,12,LAT9
Jaunjelgavas vidusskola,65.49%,13,LAT9
Jaunlaicenes pamatskola,60.00%,5,LAT9
Jaunmārupes pamatskola,71.21%,21,LAT9
Jaunpiebalgas vidusskola,59.09%,20,LAT9
Jaunpils vidusskola,58.46%,18,LAT9
Jaunsilavas pamatskola,64.55%,6,LAT9
Jaunstrūžānu pamatskola,69.55%,8,LAT9
Jēkabpils 3. vidusskola,69.54%,44,LAT9
Jēkabpils Agrobiznesa koledža (prof.),53.75%,4,LAT9
Jēkabpils vakara vidusskola,64.65%,13,LAT9
Jēkabpils Valsts ģimnāzija,68.23%,72,LAT9
Jelgavas 1. internātpamatskola,55.84%,7,LAT9
Jelgavas 4. vidusskola,62.32%,62,LAT9
Jelgavas Amatu vidusskola (prof.),42.33%,8,LAT9
Jelgavas novada Neklātienes vidusskola,57.27%,11,LAT9
Jelgavas Spīdolas ģimnāzija,69.21%,88,LAT9
Jelgavas Tehnoloģiju vidusskola,64.97%,65,LAT9
Jelgavas Vakara (maiņu) vidusskola,54.20%,8,LAT9
Jelgavas Valsts ģimnāzija,65.73%,114,LAT9
Jersikas pamatskola,58.33%,6,LAT9
Jumpravas vidusskola,65.25%,20,LAT9
Jura Neikena Dikļu pamatskola,56.72%,9,LAT9
Jūrmalas Alternatīvā skola,79.45%,15,LAT9
Jūrmalas pilsētas Lielupes pamatskola,81.82%,9,LAT9
Jūrmalas vakara vidusskola,59.09%,4,LAT9
Jūrmalas Valsts ģimnāzija,76.01%,57,LAT9
K. Valdemāra pamatskola,57.42%,3,LAT9
Kalētu pamatskola,61.64%,5,LAT9
Kalnciema pagasta vidusskola,60.91%,14,LAT9
Kalnciema vidusskola,57.44%,19,LAT9
Kalsnavas pamatskola,60.29%,14,LAT9
Kalupes pamatskola,54.36%,5,LAT9
Kalvenes pamatskola,67.12%,3,LAT9
Kandavas internātvidusskola,65.94%,34,LAT9
Kandavas Kārļa Mīlenbaha vidusskola,60.96%,25,LAT9
Kandavas novada Zantes pamatskola,63.58%,8,LAT9
Kapsēdes pamatskola,58.41%,10,LAT9
Kārķu pamatskola,68.03%,6,LAT9
Kārsavas vidusskola,78.59%,20,LAT9
Kaunatas vidusskola,68.77%,20,LAT9
Kocēnu pamatskola,74.82%,18,LAT9
Kolkas pamatskola,78.05%,7,LAT9
Krapes filiāle (strukt.),59.55%,4,LAT9
Krāslavas pamatskola,65.45%,23,LAT9
Krāslavas Valsts ģimnāzija,69.24%,22,LAT9
Krimuldas vidusskola,64.47%,29,LAT9
Kristiāna Dāvida pamatskola,51.97%,3,LAT9
Krišjāņa Valdemāra Ainažu pamatskola,76.16%,11,LAT9
Krotes Kronvalda Ata pamatskola,62.64%,10,LAT9
Krustpils pamatskola,68.50%,20,LAT9
Kuldīgas 2. vidusskola,57.27%,37,LAT9
Kuldīgas Centra vidusskola,63.52%,54,LAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola (prof.),74.20%,16,LAT9
Kuldīgas pamatskola,61.82%,19,LAT9
Kuldīgas pamatskolas Basu filiāle (strukt.),66.02%,4,LAT9
Kusas pamatskola,69.13%,12,LAT9
Ķeguma komercnovirziena vidusskola,70.13%,18,LAT9
Ķeipenes pamatskola,68.18%,7,LAT9
Ķekavas vidusskola,71.94%,70,LAT9
Ķemeru pamatskola,58.98%,8,LAT9
Lādezera pamatskola,63.48%,9,LAT9
Laidu pamatskola,58.35%,11,LAT9
Lapmežciema pamatskola,75.84%,7,LAT9
Laucienes pamatskola,66.69%,11,LAT9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola"" (strukt.)",67.00%,5,LAT9
Lazdonas pamatskola,58.64%,5,LAT9
Lēdmanes pamatskola,71.62%,16,LAT9
Lejasciema vidusskola,62.22%,8,LAT9
Lielvārdes pamatskola,72.25%,25,LAT9
Liepājas 8. vidusskola,61.07%,28,LAT9
Liepājas internātpamatskola,55.34%,16,LAT9
Liepājas Katoļu pamatskola,60.71%,7,LAT9
Liepājas Raiņa 6. vidusskola,67.62%,69,LAT9
Liepājas vakara (maiņu) vidusskola,59.01%,17,LAT9
Liepājas Valsts 1. ģimnāzija,71.21%,89,LAT9
Liepas pamatskola,62.76%,13,LAT9
Liepnas internātpamatskola,55.76%,12,LAT9
Liepnas vidusskola,55.45%,4,LAT9
Liepupes vidusskola,68.47%,11,LAT9
Liezēres pamatskola,59.66%,8,LAT9
Līgatnes novada vidusskola,62.91%,15,LAT9
Limbažu 3. vidusskola,63.42%,30,LAT9
Limbažu novada ģimnāzija,68.98%,42,LAT9
Litenes pamatskola,64.55%,4,LAT9
Līvānu 1. vidusskola,71.61%,48,LAT9
Līvānu novada Vakara (maiņu) vidusskola,41.97%,9,LAT9
Līvbērzes vidusskola,69.94%,8,LAT9
Līvu pamatskola,57.77%,10,LAT9
Lizuma vidusskola,68.32%,13,LAT9
Lubānas vidusskola,66.89%,20,LAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,60.91%,6,LAT9
Ludzas 2. vidusskola,59.35%,19,LAT9
Ludzas novada vakara vidusskola,61.36%,2,LAT9
Ludzas pilsētas ģimnāzija,62.85%,48,LAT9
Madlienas vidusskola,67.65%,17,LAT9
Madonas pilsētas 1. vidusskola,64.86%,30,LAT9
Madonas pilsētas 2. vidusskola,57.39%,19,LAT9
Madonas Vakara un neklātienes vidusskola,54.55%,2,LAT9
Madonas Valsts ģimnāzija,72.77%,39,LAT9
Majoru vidusskola,65.82%,39,LAT9
Malienas pamatskola,65.45%,9,LAT9
Mālpils internātpamatskola (prof.),56.36%,8,LAT9
Mālpils novada vidusskola,76.97%,36,LAT9
Maltas vidusskola,72.24%,31,LAT9
Mālupes pamatskola,82.50%,4,LAT9
Mārsnēnu pamatskola,56.25%,4,LAT9
Mārupes pamatskola,61.39%,16,LAT9
Mārupes vidusskola,65.38%,76,LAT9
Māteru Jura Kazdangas pamatskola,73.54%,14,LAT9
Matīšu pamatskola,62.98%,9,LAT9
Mazozolu filiāle (strukt.),70.00%,6,LAT9
Mazsalacas vidusskola,70.02%,25,LAT9
Mazzalves pamatskola,64.43%,8,LAT9
Medumu pamatskola,58.05%,7,LAT9
Meirānu Kalpaka pamatskola,58.18%,1,LAT9
Meņģeles filiāle (strukt.),85.15%,6,LAT9
Mērdzenes pamatskola,67.88%,3,LAT9
Mērsraga vidusskola,62.87%,16,LAT9
Mētrienas pamatskola,57.73%,1,LAT9
Mežāres pamatskola,62.23%,10,LAT9
Mežciema pamatskola,68.92%,47,LAT9
Mežgaļu pamatskola,57.83%,9,LAT9
Mežinieku pamatskola,70.41%,11,LAT9
Mežotnes pamatskola,66.17%,7,LAT9
Mežvidu pamatskola,42.42%,3,LAT9
Misas vidusskola,56.40%,13,LAT9
Mores pamatskola,57.41%,10,LAT9
Murjāņu sporta ģimnāzija (prof.),60.62%,39,LAT9
Murmastienes pamatskola,69.20%,4,LAT9
Naujenes pamatskola,68.43%,13,LAT9
Naukšēnu novada vidusskola,58.85%,17,LAT9
Nautrēnu vidusskola,69.92%,12,LAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,69.09%,11,LAT9
Nīcas vidusskola,68.97%,15,LAT9
Nīgrandes pagasta Kalnu vidusskola,68.92%,16,LAT9
Nīkrāces pamatskola,73.86%,4,LAT9
Nirzas pamatskola,40.64%,5,LAT9
Nītaures vidusskola,71.18%,10,LAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,66.22%,43,LAT9
Ogres 1. vidusskola,71.95%,80,LAT9
Ogres Valsts ģimnāzija,66.57%,71,LAT9
Ogresgala pamatskola,60.37%,17,LAT9
Ojāra Vācieša Gaujienas pamatskola,76.46%,9,LAT9
Olaines 1. vidusskola,68.37%,56,LAT9
Oskara Kalpaka Liepājas 15. vidusskola,65.20%,55,LAT9
Oskara Kalpaka Rudbāržu pamatskola,63.94%,3,LAT9
Ozolaines pamatskola,76.86%,11,LAT9
Ozolmuižas pamatskola,62.39%,8,LAT9
Ozolnieku vidusskola,68.03%,34,LAT9
Ozolu pamatskola,56.89%,6,LAT9
Pāles pamatskola,61.69%,11,LAT9
Palsmanes pamatskola,57.99%,7,LAT9
"Pamatskola ""Harmonija""",76.18%,5,LAT9
"Pamatskola ""Rīdze""",70.92%,50,LAT9
Pastendes pamatskola,68.43%,13,LAT9
Pāvilostas vidusskola,66.33%,14,LAT9
Pededzes pamatskola,67.86%,7,LAT9
Pelēču pamatskola,56.82%,2,LAT9
Penkules pamatskola,81.97%,9,LAT9
Pildas pamatskola,65.23%,12,LAT9
Pilsrundāles vidusskola (prof.),63.56%,19,LAT9
Piltenes vidusskola,56.52%,9,LAT9
Pļaviņu novada ģimnāzija,69.83%,39,LAT9
Popes pamatskola,58.14%,11,LAT9
Praulienas pamatskola,73.41%,4,LAT9
Preiļu 1. pamatskola,68.40%,57,LAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,50.91%,5,LAT9
Priekules vidusskola,63.62%,23,LAT9
Priekuļu vidusskola,65.18%,25,LAT9
Priežmalas pamatskola,67.88%,3,LAT9
"Privātā pamatskola ""Gaismas tilts 97""",80.11%,8,LAT9
"Privātā vidusskola ""Laisma""",61.06%,3,LAT9
"Privātā vidusskola ""Patnis""",69.58%,15,LAT9
"Privātā vidusskola ""RIMS""",59.55%,1,LAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,66.70%,16,LAT9
"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",76.50%,17,LAT9
Pumpuru vidusskola,64.36%,36,LAT9
Pūņu pamatskola,80.52%,7,LAT9
Pūres pamatskola,73.18%,19,LAT9
Pušmucovas pamatskola,60.96%,9,LAT9
Puzes pamatskola,71.06%,6,LAT9
Raiskuma internātpamatskola - rehabilitācijas centrs,78.03%,3,LAT9
Rāmuļu pamatskola,66.36%,3,LAT9
Rankas pamatskola,67.95%,6,LAT9
Raunas vidusskola,68.14%,12,LAT9
Rekavas vidusskola,65.27%,12,LAT9
Remtes pamatskola,73.82%,5,LAT9
Rencēnu pamatskola,69.89%,8,LAT9
Rēzeknes 4. vidusskola,47.73%,4,LAT9
Rēzeknes 5. vidusskola,68.37%,37,LAT9
Rēzeknes internātpamatskola-attīstības centrs,75.15%,6,LAT9
Rēzeknes Katoļu vidusskola,69.13%,13,LAT9
Rēzeknes Valsts 1. ģimnāzija,73.16%,68,LAT9
Rēzeknes valsts poļu ģimnāzija,73.86%,32,LAT9
Rēznas pamatskola,57.36%,10,LAT9
Riebiņu vidusskola,58.59%,21,LAT9
Rīgas 1. Tālmācības vidusskola,47.26%,27,LAT9
Rīgas 1. vidusskola,61.55%,17,LAT9
Rīgas 14. vakara (maiņu) vidusskola,47.30%,15,LAT9
Rīgas 18. vakara (maiņu) vidusskola,39.00%,5,LAT9
Rīgas 19. vidusskola,74.58%,25,LAT9
Rīgas 25. vidusskola,63.95%,79,LAT9
Rīgas 28. vidusskola,66.23%,21,LAT9
Rīgas 31. vidusskola,62.57%,32,LAT9
Rīgas 41. vidusskola,61.29%,30,LAT9
Rīgas 45. vidusskola,65.41%,40,LAT9
Rīgas 47. vidusskola,57.40%,48,LAT9
Rīgas 49. vidusskola,72.07%,61,LAT9
Rīgas 6. vidusskola,65.33%,51,LAT9
Rīgas 64. vidusskola,74.42%,90,LAT9
Rīgas 66. speciālā vidusskola,68.74%,13,LAT9
Rīgas 69. vidusskola,71.99%,19,LAT9
Rīgas 7. pamatskola,58.36%,5,LAT9
Rīgas 84. vidusskola,71.27%,60,LAT9
Rīgas 85. vidusskola,57.27%,9,LAT9
Rīgas 9. vakara (maiņu) vidusskola,54.58%,25,LAT9
Rīgas 93. vidusskola,69.81%,39,LAT9
Rīgas 94. vidusskola,55.27%,24,LAT9
Rīgas Angļu ģimnāzija,71.38%,77,LAT9
Rīgas Avotu pamatskola,67.31%,13,LAT9
Rīgas Centra daiļamatniecības pamatskola,76.09%,35,LAT9
Rīgas Centra humanitārā vidusskola,72.21%,79,LAT9
Rīgas Ezerkrastu pamatskola,54.24%,6,LAT9
Rīgas Franču licejs,79.63%,54,LAT9
Rīgas Hanzas vidusskola,68.84%,80,LAT9
Rīgas Igauņu pamatskola,72.20%,12,LAT9
Rīgas Imantas vidusskola,60.81%,53,LAT9
Rīgas Jāņa Poruka vidusskola,65.42%,27,LAT9
Rīgas Juglas vidusskola,63.85%,59,LAT9
Rīgas Katoļu ģimnāzija,74.32%,4,LAT9
Rīgas Kristīgā vidusskola,62.73%,9,LAT9
Rīgas Kultūru vidusskola,75.78%,35,LAT9
Rīgas Lastādijas internātpamatskola,55.91%,2,LAT9
Rīgas Lietuviešu vidusskola,71.43%,29,LAT9
Rīgas Mūzikas internātvidusskola,67.79%,14,LAT9
Rīgas Natālijas Draudziņas vidusskola ,55.49%,37,LAT9
Rīgas pilsētas Pļavnieku ģimnāzija,65.67%,28,LAT9
Rīgas Pļavnieku pamatskola,65.30%,39,LAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,60.75%,17,LAT9
Rīgas Starptautiskā skola,77.35%,6,LAT9
Rīgas Tālmācības vidusskola,65.76%,27,LAT9
Rīgas Teikas vidusskola,77.48%,88,LAT9
Rīgas vakara ģimnāzija,57.55%,15,LAT9
Rīgas Valdorfskola,62.98%,16,LAT9
Rīgas Valsts 1. ģimnāzija,80.94%,126,LAT9
Rīgas Valsts 2. ģimnāzija,76.06%,85,LAT9
Rīgas Valsts 3. ģimnāzija,72.74%,120,LAT9
Rīgas Valsts vācu ģimnāzija,66.94%,102,LAT9
Rikavas pamatskola (strukt.),77.27%,2,LAT9
Rites pamatskola,58.18%,11,LAT9
Robežnieku pamatskola,41.02%,4,LAT9
Rojas vidusskola,71.56%,26,LAT9
Ropažu vidusskola,61.05%,19,LAT9
Rožupes pamatskola,57.44%,11,LAT9
Rubenes pamatskola,59.72%,13,LAT9
Rubeņu pamatskola,60.51%,8,LAT9
Rucavas pamatskola,64.39%,9,LAT9
Rudes pamatskola,70.11%,4,LAT9
Rudzātu vidusskola,65.05%,10,LAT9
Rugāju novada Eglaines pamatskola,63.64%,10,LAT9
Rugāju novada vidusskola,67.95%,12,LAT9
Rūjienas vidusskola,69.62%,42,LAT9
Rušonas pamatskola,65.83%,6,LAT9
Sabiles vidusskola,67.59%,10,LAT9
Sakstagala Jāņa Klīdzēja pamatskola,59.24%,9,LAT9
Salacgrīvas vidusskola,64.22%,28,LAT9
Salas pamatskola,67.73%,6,LAT9
Salas vidusskola,70.57%,19,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",72.79%,56,LAT9
Saldus novada pašvaldības Cieceres internātpamatskola,59.86%,13,LAT9
Saldus novada pašvaldības Druvas vidusskola,73.62%,22,LAT9
Saldus novada pašvaldības Ezeres pamatskola,81.27%,10,LAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,70.91%,4,LAT9
Saldus novada pašvaldības Kursīšu pamatskola,66.91%,5,LAT9
Saldus novada pašvaldības Lutriņu pamatskola,66.82%,14,LAT9
Saldus novada pašvaldības Pampāļu pamatskola,78.86%,2,LAT9
Saldus novada pašvaldības Rubas pamatskola,74.26%,11,LAT9
Saldus novada pašvaldības Striķu pamatskola,75.76%,6,LAT9
Saldus novada pašvaldības Zirņu pamatskola,67.10%,13,LAT9
Saldus pamatskola,74.59%,19,LAT9
Saldus Vakara vidusskola,60.45%,7,LAT9
Saldus vidusskola,68.81%,69,LAT9
Salgales pamatskola,63.74%,9,LAT9
Salnavas pamatskola,75.91%,7,LAT9
Saulkrastu vidusskola,72.41%,20,LAT9
Seces pagasta pamatskola,73.57%,14,LAT9
Sējas pamatskola,78.45%,20,LAT9
Sesavas pamatskola,62.45%,13,LAT9
Siguldas 1. pamatskola,73.39%,28,LAT9
Siguldas pilsētas vidusskola,71.36%,37,LAT9
Siguldas Valsts ģimnāzija,77.16%,63,LAT9
Sikšņu pamatskola,72.73%,3,LAT9
Skaistkalnes vidusskola,67.70%,15,LAT9
Skrundas vidusskola,61.86%,33,LAT9
Slokas pamatskola,60.36%,30,LAT9
Smārdes pamatskola,64.15%,16,LAT9
Smiltenes vidusskola,71.47%,64,LAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",56.75%,7,LAT9
Sproģu pamatskola,63.79%,3,LAT9
Stacijas pamatskola,59.60%,8,LAT9
Stacijas pamatskolas Vīksnas filiāle (strukt.),58.45%,5,LAT9
Staiceles vidusskola,61.53%,14,LAT9
Stāķu pamatskola,58.48%,9,LAT9
Stalbes vidusskola,67.76%,14,LAT9
Staļģenes vidusskola,68.22%,22,LAT9
Stāmerienas pamatskola,68.35%,11,LAT9
Stelpes pamatskola,67.58%,6,LAT9
Stendes pamatskola,66.82%,6,LAT9
Straupes pamatskola,68.74%,9,LAT9
Strautiņu pamatskola,60.66%,9,LAT9
Strenču novada vidusskola,56.57%,20,LAT9
Struktūrvienība Brasas cietumā (strukt.),46.18%,5,LAT9
Subates pamatskola,57.64%,10,LAT9
Sunākstes pamatskola,56.97%,6,LAT9
Suntažu internātpamatskola - rehabilitācijas centrs (prof.),63.41%,6,LAT9
Suntažu vidusskola,65.51%,17,LAT9
Sūnu pamatskola,71.16%,11,LAT9
Sutru pamatskola,64.82%,5,LAT9
Sventes vidusskola,56.36%,8,LAT9
Svētes pamatskola,58.10%,11,LAT9
Šķaunes pamatskola,49.09%,4,LAT9
Šķeltovas pamatskola,53.38%,7,LAT9
Šķibes pamatskola,65.91%,8,LAT9
Špoģu vidusskola,65.41%,20,LAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",80.00%,5,LAT9
Talsu 2. vidusskola,69.45%,49,LAT9
Talsu Kristīgā vidusskola,80.93%,18,LAT9
Talsu novada Vakara un neklātienes vidusskola,63.83%,7,LAT9
Talsu pamatskola,63.41%,20,LAT9
Talsu Valsts ģimnāzija,76.89%,36,LAT9
Tārgales pamatskola,70.88%,14,LAT9
Taurenes pamatskola,65.00%,2,LAT9
Taurupes pamatskola,64.55%,1,LAT9
Teteles pamatskola,66.88%,7,LAT9
Tilžas internātpamatskola,56.06%,3,LAT9
Tilžas vidusskola,57.16%,4,LAT9
Tīnūžu pamatskola,73.82%,10,LAT9
Tirzas pamatskola,74.66%,8,LAT9
Trapenes pamatskola,67.16%,4,LAT9
Trikātas pamatskola,71.40%,11,LAT9
Tukuma 2. pamatskola,65.43%,39,LAT9
Tukuma 2. vidusskola,64.20%,44,LAT9
Tukuma 3. pamatskola,62.79%,14,LAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,68.04%,24,LAT9
Tukuma Raiņa ģimnāzija,76.22%,26,LAT9
Tukuma Vakara un neklātienes vidusskola,52.73%,6,LAT9
Tumes vidusskola,57.48%,29,LAT9
Turlavas pamatskola,55.91%,5,LAT9
Ugāles vidusskola,65.24%,13,LAT9
Ulbrokas vidusskola,64.45%,55,LAT9
Umurgas pamatskola,65.66%,13,LAT9
Upesleju internātpamatskola - rehabilitācijas centrs,59.68%,10,LAT9
Upītes pamatskola,63.98%,8,LAT9
Uzvaras vidusskola,69.16%,14,LAT9
Užavas pamatskola,64.80%,9,LAT9
V. Plūdoņa Kuldīgas ģimnāzija,67.29%,34,LAT9
Vaboles vidusskola,76.36%,8,LAT9
Vaiņodes internātpamatskola,55.70%,13,LAT9
Vaiņodes vidusskola,63.15%,15,LAT9
Vaivaru pamatskola,63.74%,13,LAT9
Valdemārpils vidusskola,72.01%,31,LAT9
Valkas Jāņa Cimzes ģimnāzija,61.90%,40,LAT9
Valmieras 2. vidusskola,53.48%,12,LAT9
Valmieras 5. vidusskola,76.02%,17,LAT9
Valmieras Pārgaujas ģimnāzija,69.49%,86,LAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),59.62%,6,LAT9
Valmieras Valsts ģimnāzija,76.18%,54,LAT9
Valmieras Viestura vidusskola,68.91%,59,LAT9
Vandzenes pamatskola,69.34%,9,LAT9
Vānes pamatskola,57.73%,4,LAT9
Vangažu vidusskola,49.15%,8,LAT9
Varakļānu novada pašvaldības Stirnienes pamatskola,58.07%,4,LAT9
Varakļānu vidusskola,73.99%,22,LAT9
Variņu pamatskola,73.12%,7,LAT9
Vārkavas vidusskola,64.09%,12,LAT9
Vārmes pamatskola,59.55%,8,LAT9
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola (prof.),56.97%,9,LAT9
Vecpiebalgas konsultpunkts (strukt.),63.48%,3,LAT9
Vecpiebalgas vidusskola,61.99%,13,LAT9
Vecsaules pamatskola,65.68%,10,LAT9
Vecumnieku novada Domes Valles vidusskola,47.54%,12,LAT9
Vecumnieku vidusskola,70.72%,24,LAT9
Ventspils 1. pamatskola,65.42%,29,LAT9
Ventspils 2. pamatskola,63.23%,20,LAT9
Ventspils 4. vidusskola,71.81%,54,LAT9
Ventspils 6. vidusskola,66.72%,34,LAT9
Ventspils Pārventas pamatskola,66.25%,23,LAT9
Ventspils vakara vidusskola,44.39%,6,LAT9
Ventspils Valsts 1. ģimnāzija,75.25%,62,LAT9
Verēmu pamatskola,65.00%,1,LAT9
Vērgales pamatskola,79.09%,9,LAT9
Vestienas pamatskola,66.97%,6,LAT9
Vidagas Sikšņu pamatskola,59.70%,3,LAT9
Vidrižu pamatskola,59.68%,10,LAT9
Viduču pamatskola,60.10%,9,LAT9
Viesītes vidusskola,66.70%,20,LAT9
Vijciema pamatskola,70.00%,5,LAT9
Vilces pamatskola,62.39%,8,LAT9
Vilgāles pamatskola,64.48%,7,LAT9
Viļakas Valsts ģimnāzija,71.32%,20,LAT9
Viļānu vidusskola,57.94%,36,LAT9
Vīpes pamatskola,56.36%,2,LAT9
Virbu pamatskola,75.27%,10,LAT9
Vircavas vidusskola,68.10%,23,LAT9
Virgas pamatskola,56.52%,3,LAT9
Z.A. Meierovica Kabiles pamatskola,69.55%,7,LAT9
Zaķumuižas pamatskola,63.42%,17,LAT9
Zaļenieku komerciālā un amatniecības vidusskola (prof.),66.49%,11,LAT9
Zasas vidusskola,63.92%,16,LAT9
Zaubes pamatskola,71.52%,3,LAT9
Zemgales vidusskola,57.57%,17,LAT9
Zemītes pamatskola,47.22%,9,LAT9
Ziemeļvalstu ģimnāzija,67.91%,68,LAT9
Ziemeru pamatskola,70.33%,11,LAT9
Zilupes vidusskola,67.02%,9,LAT9
Zūru pamatskola,62.39%,12,LAT9
Zvejniekciema vidusskola,69.81%,26,LAT9
Žīguru pamatskola,53.33%,9,LAT9
A. Spāģa Dunalkas pamatskola,39.33%,6,MAT9
Ābeļu pamatskola,37.90%,14,MAT9
Ādažu vidusskola,63.01%,73,MAT9
Āgenskalna Valsts ģimnāzija,80.24%,117,MAT9
Aglonas internātvidusskola,47.76%,11,MAT9
Aglonas Katoļu ģimnāzija,60.44%,3,MAT9
Aglonas vidusskola,66.10%,14,MAT9
Aizkraukles novada vidusskola,60.91%,57,MAT9
Aizkraukles Vakara (maiņu) vidusskola,33.03%,13,MAT9
Aizputes k/p (strukt.),48.00%,2,MAT9
Aizputes pagasta pamatskola,58.22%,9,MAT9
Aizputes vidusskola,55.26%,38,MAT9
Aizupes pamatskola,45.94%,11,MAT9
Aknīstes vidusskola,59.08%,13,MAT9
Allažu pamatskola,55.73%,15,MAT9
Alojas Ausekļa vidusskola,56.33%,16,MAT9
Alsungas vidusskola,66.81%,9,MAT9
Alūksnes novada vidusskola,41.78%,21,MAT9
Amatas novada Skujenes pamatskola,41.33%,7,MAT9
Amatas pamatskola,64.00%,9,MAT9
Ances pamatskola,44.44%,3,MAT9
Andreja Eglīša Ļaudonas vidusskola,60.73%,11,MAT9
Andreja Pumpura Rīgas 11. pamatskola,71.16%,38,MAT9
Andreja Upīša Skrīveru vidusskola,62.21%,26,MAT9
Andrupenes pamatskola,55.17%,8,MAT9
Andzeļu pamatskola,53.78%,6,MAT9
Annas Brigaderes pamatskola,29.83%,8,MAT9
Annenieku pamatskola,29.67%,4,MAT9
Apriķu pamatskola,50.67%,3,MAT9
Asares pamatskola,19.33%,2,MAT9
Asūnes pamatskola,46.67%,6,MAT9
Ata Kronvalda Durbes vidusskola,57.13%,13,MAT9
Auces vidusskola,56.95%,35,MAT9
Audriņu pamatskola,42.13%,5,MAT9
Augstkalnes vidusskola,59.11%,15,MAT9
Babītes vidusskola,56.57%,56,MAT9
Baldones Mūzikas pamatskola,62.00%,10,MAT9
Baldones vidusskola,56.36%,30,MAT9
Baložu vidusskola,66.80%,29,MAT9
Baltinavas vidusskola,51.38%,15,MAT9
Balvu pamatskola,51.56%,3,MAT9
Balvu profesionālā un vispārizglītojošā vidusskola (prof.),41.47%,20,MAT9
Balvu Valsts ģimnāzija,65.73%,54,MAT9
Barkavas pamatskola,46.96%,9,MAT9
Baumaņu Kārļa Viļķenes pamatskola,62.29%,7,MAT9
Bauskas 2. vidusskola,59.84%,25,MAT9
Bauskas pilsētas pamatskola,46.97%,26,MAT9
Bauskas Valsts ģimnāzija,62.85%,57,MAT9
Bebrenes vispārizglītojošā un profesionālā vidusskola (prof.),62.97%,13,MAT9
Bebru pamatskola,50.67%,5,MAT9
Bejas pamatskola,43.52%,14,MAT9
Bēnes vidusskola,41.27%,20,MAT9
Berģu Mūzikas un mākslas pamatskola (prof.),70.46%,13,MAT9
Bērzaunes pamatskola,39.56%,6,MAT9
Bērzgales pamatskola (strukt.),71.00%,8,MAT9
Bērzpils vidusskola,58.87%,13,MAT9
Bikstu pamatskola,52.89%,9,MAT9
Biķernieku pamatskola,52.80%,10,MAT9
Bilskas pamatskola,40.44%,6,MAT9
Birzgales pamatskola,69.11%,6,MAT9
Biržu internātpamatskola,51.56%,9,MAT9
Biržu pamatskola,55.33%,6,MAT9
Blīdenes pamatskola,46.22%,9,MAT9
Blomes pamatskola,50.33%,8,MAT9
Brāļu Skrindu Atašienes vidusskola,76.33%,8,MAT9
Briežuciema pamatskola,65.33%,4,MAT9
